date,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-02,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.1,0.2,0.0
10-03,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.2,0.3,0.3,0.1
10-04,0.2,0.6,0.1,0.4,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.3,0.4,0.6,0.1
10-05,0.2,0.8,0.1,0.6,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.3,0.6,0.8,0.2
10-06,2.7,0.8,0.1,0.6,0.0,0.0,0.4,0.3,0.6,0.0,0.0,0.1,0.5,1.3,2.7,0.3
10-07,2.8,0.8,0.2,1.0,0.0,0.0,0.4,0.3,0.6,0.0,0.0,0.2,0.7,1.5,2.8,0.3
10-08,2.8,0.8,0.2,1.6,0.0,0.0,0.4,0.3,0.6,0.0,0.0,0.2,0.7,2.0,2.8,0.3
10-09,2.8,0.8,0.2,2.4,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.2,1.0,2.5,2.8,0.6
10-10,2.8,0.8,0.2,2.7,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.2,1.0,2.7,2.8,0.6
10-11,2.8,0.8,0.2,3.0,0.0,0.0,1.1,0.4,0.6,0.0,0.0,0.2,1.1,2.9,3.0,0.6
10-12,2.8,0.8,0.2,3.4,0.0,0.0,1.2,0.4,0.7,0.0,0.0,0.2,1.1,3.0,3.4,0.6
10-13,2.8,0.8,0.2,3.4,0.0,0.0,1.8,0.4,0.8,0.0,0.0,0.2,1.7,3.0,3.4,0.6
10-14,2.8,0.8,0.2,3.4,0.0,0.0,1.8,0.4,0.8,0.0,0.0,0.2,1.7,3.0,3.4,0.6
10-15,2.8,0.8,0.2,3.4,0.0,0.0,1.8,0.4,0.8,0.0,0.0,0.2,1.7,3.0,3.4,0.6
10-16,2.8,0.8,0.2,3.4,0.0,0.0,1.8,0.4,,0.0,0.0,0.2,1.7,3.0,3.4,0.6
10-17,2.8,0.8,0.2,3.5,0.0,0.0,1.8,0.4,,0.0,0.0,0.2,1.7,3.0,3.5,0.6
10-18,3.2,0.8,0.2,4.4,0.0,0.0,1.8,0.4,,0.0,0.0,0.2,1.7,3.6,4.4,0.6
10-19,4.2,0.8,0.2,4.6,0.0,0.0,2.0,0.4,,0.0,0.0,0.2,1.8,4.3,4.6,0.6
10-20,5.4,0.8,0.2,4.6,0.0,0.0,2.0,0.4,,0.0,0.0,0.2,1.9,4.9,5.4,0.6
10-21,6.1,0.8,0.2,4.6,0.0,0.0,2.0,0.4,,0.0,0.0,0.2,1.9,5.1,6.1,0.6
10-22,6.3,0.8,0.2,4.7,0.2,0.0,2.0,0.4,,0.0,0.1,0.2,1.9,5.2,6.3,0.6
10-23,6.5,0.8,0.2,5.8,0.2,0.0,2.0,0.8,,0.0,0.1,0.3,1.9,6.0,6.5,0.8
10-24,6.5,0.8,0.2,5.8,0.2,0.0,2.0,1.4,,0.0,0.1,0.3,1.9,6.0,6.5,1.1
10-25,6.5,1.6,0.2,5.8,0.2,0.0,2.0,1.4,,0.0,0.1,0.3,2.0,6.0,6.5,1.5
10-26,6.6,1.7,0.2,5.8,0.2,0.4,2.2,1.4,,0.2,0.2,0.5,2.1,6.0,6.6,1.6
10-27,6.8,1.7,0.2,5.8,0.2,0.6,3.0,1.5,,0.2,0.2,0.6,2.9,6.1,6.8,1.6
10-28,6.8,1.7,0.2,5.8,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.1,6.8,1.6
10-29,6.8,1.7,0.2,5.8,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.1,6.8,1.6
10-30,7.2,1.7,0.2,5.8,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.2,7.2,1.6
10-31,7.2,1.7,0.2,5.9,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.3,7.2,1.6
11-01,7.2,1.8,0.2,5.9,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.3,7.2,1.6
11-02,7.2,1.8,0.2,5.9,0.3,0.6,3.0,1.5,,0.2,0.3,0.6,2.9,6.3,7.2,1.6
11-03,7.2,1.8,0.2,5.9,0.3,0.6,3.0,1.6,,0.2,0.3,0.7,2.9,6.3,7.2,1.7
11-04,7.8,1.8,0.2,5.9,0.3,0.6,3.0,2.4,,0.2,0.3,0.7,3.0,6.5,7.8,2.1
11-05,8.0,1.8,0.2,5.9,0.3,0.6,3.0,2.4,,0.2,0.3,0.7,3.0,6.6,8.0,2.2
11-06,8.1,1.8,0.2,5.9,0.3,0.6,3.0,2.5,,0.2,0.3,0.7,3.0,6.6,8.1,2.2
11-07,8.1,1.8,0.2,5.9,0.3,0.6,3.0,2.5,,0.2,0.3,0.7,3.0,6.6,8.1,2.2
11-08,8.1,1.8,0.2,5.9,0.3,0.9,3.0,2.5,,0.2,0.3,1.0,3.0,6.6,8.1,2.2
11-09,8.1,1.9,0.2,5.9,0.3,1.2,3.0,2.5,,0.2,0.3,1.3,3.0,6.6,8.1,2.2
11-10,8.1,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.6,8.1,2.5
11-11,8.9,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.8,8.9,2.5
11-12,8.9,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.8,8.9,2.5
11-13,8.9,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.8,8.9,2.5
11-14,8.9,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.8,8.9,2.5
11-15,8.9,1.9,0.2,5.9,0.3,1.3,3.2,3.2,,0.2,0.3,1.4,3.2,6.8,8.9,2.5
