date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR)
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
10-03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0
10-04,0.2,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.6,0.3,0.2,0.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.5,0.7,0.1,0.1
10-05,0.2,0.5,0.9,0.2,0.4,0.0,0.3,0.1,0.7,0.3,0.3,1.8,0.2,0.0,0.0,0.0,1.1,0.0,0.0,0.2,0.4,0.8,1.8,0.3,0.2
10-06,0.3,0.9,1.1,0.2,0.6,0.0,0.3,0.1,0.7,0.4,0.3,2.0,0.2,0.0,0.0,0.0,1.1,0.0,0.0,0.2,0.5,1.0,2.0,0.4,0.3
10-07,0.9,0.9,1.1,0.2,1.2,0.0,0.3,0.2,0.9,0.4,0.3,2.0,0.2,0.0,0.1,0.0,1.1,0.0,0.0,0.2,0.9,1.2,2.0,0.4,0.3
10-08,1.1,0.9,1.1,0.3,1.8,0.0,0.3,0.2,1.0,0.4,0.4,2.0,0.2,0.0,0.3,0.0,1.1,0.0,0.0,0.3,0.9,1.5,2.0,0.5,0.4
10-09,1.1,0.9,1.1,0.7,1.9,0.0,0.3,0.2,1.0,0.5,0.4,2.0,0.2,0.0,1.4,0.0,1.1,0.0,0.0,0.3,1.1,1.7,2.0,0.5,0.6
10-10,1.1,0.9,1.2,0.7,1.9,0.0,0.3,0.2,1.0,0.5,0.4,2.5,0.4,0.0,1.8,0.0,1.1,0.0,0.0,0.3,1.1,1.8,2.5,0.6,0.6
10-11,1.1,1.0,1.2,0.7,2.2,0.0,0.6,0.2,1.0,0.5,0.4,3.4,0.4,0.3,1.8,0.0,1.1,0.0,0.1,0.4,1.1,2.0,3.4,0.6,0.6
10-12,1.1,1.6,1.6,0.7,2.7,0.0,0.6,0.3,1.0,0.5,0.4,3.4,0.4,1.1,2.3,0.0,1.4,0.0,0.2,0.4,1.4,2.5,3.4,0.7,0.8
10-13,1.1,1.7,1.6,0.7,2.9,0.1,0.7,0.4,1.0,0.5,0.4,3.4,0.4,1.1,2.9,0.0,1.5,0.0,0.2,0.5,1.4,2.9,3.4,0.7,0.8
10-14,1.2,1.7,1.9,0.7,2.9,0.2,0.8,0.4,1.0,0.5,0.4,3.4,0.4,1.1,3.0,0.0,1.6,0.0,0.3,0.5,1.4,2.9,3.4,0.8,0.9
10-15,1.2,1.7,2.4,0.7,2.9,0.2,0.9,0.4,1.0,0.7,0.6,3.4,0.4,1.5,3.0,0.0,1.5,0.0,0.3,0.6,1.6,3.0,3.4,0.9,1.0
10-16,1.2,1.7,2.4,0.7,2.9,0.2,0.9,0.4,1.0,1.6,0.6,3.4,0.4,1.5,3.0,0.0,,0.0,0.3,0.6,1.7,3.0,3.4,1.0,1.1
