date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR)
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
10-03,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.5,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.0
10-04,0.0,0.2,0.0,0.2,0.0,0.6,0.3,0.1,0.8,0.4,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.5,0.8,0.2,0.1
10-05,0.2,0.4,0.0,0.2,0.0,0.6,0.3,0.2,1.6,0.4,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.6,1.6,0.3,0.2
10-06,0.3,0.9,0.0,0.2,0.0,0.6,0.3,0.2,1.8,0.4,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.8,1.8,0.3,0.2
10-07,0.4,1.3,0.0,0.2,0.0,0.6,0.3,0.3,1.8,0.4,0.0,0.2,0.0,1.3,0.0,0.0,0.2,0.4,1.2,1.8,0.3,0.3
10-08,0.6,1.6,0.0,0.3,0.0,0.6,0.3,0.3,1.9,0.4,0.0,0.4,0.0,1.3,0.0,0.0,0.2,0.5,1.4,1.9,0.5,0.3
10-09,1.3,1.7,0.0,0.3,0.0,0.6,0.3,0.3,1.9,0.4,0.0,0.9,0.0,1.3,0.0,0.0,0.2,0.7,1.6,1.9,0.5,0.3
10-10,1.3,1.7,0.0,0.3,0.0,0.6,0.3,0.3,2.6,0.5,0.0,1.3,0.0,1.3,0.0,0.0,0.2,0.9,1.6,2.6,0.5,0.3
10-11,1.3,1.7,0.0,0.4,0.0,0.6,0.3,0.3,3.4,0.5,0.0,1.3,0.0,1.3,0.0,0.0,0.2,0.9,1.6,3.4,0.6,0.4
10-12,1.3,1.9,0.0,0.4,0.0,0.6,0.3,0.3,3.4,0.5,0.6,1.8,0.1,1.5,0.0,0.0,0.3,0.9,1.9,3.4,0.6,0.5
10-13,1.3,1.9,0.6,0.5,0.0,0.6,0.3,0.3,3.4,0.5,0.6,2.5,0.1,1.6,0.0,0.1,0.4,0.9,2.4,3.4,0.6,0.6
10-14,1.4,2.0,0.7,0.5,0.0,0.6,0.3,0.3,3.4,0.5,0.6,2.5,0.1,1.6,0.0,0.1,0.4,1.0,2.4,3.4,0.7,0.6
10-15,1.4,2.0,0.7,0.5,0.1,0.6,0.3,0.4,3.4,0.5,0.7,2.5,0.1,1.6,0.1,0.1,0.5,1.0,2.4,3.4,0.7,0.6
10-16,1.4,2.0,0.7,0.6,0.1,0.6,0.4,0.4,3.4,0.5,0.7,2.6,0.1,,0.1,0.1,0.5,1.0,2.5,3.4,0.7,0.6
10-17,1.4,2.2,0.9,0.6,0.1,0.7,0.9,0.5,3.4,0.5,0.7,2.7,0.1,,0.1,0.1,0.6,1.1,2.6,3.4,0.8,0.7
10-18,1.4,2.4,0.9,0.6,0.1,0.7,1.7,0.5,3.4,0.6,0.7,2.7,0.1,,0.1,0.2,0.6,1.5,2.6,3.4,0.9,0.7
10-19,1.4,2.4,1.0,0.6,0.1,0.8,1.8,0.5,3.4,0.6,0.7,3.1,0.1,,0.1,0.2,0.6,1.6,3.0,3.4,0.9,0.8
10-20,1.4,2.4,1.0,0.6,0.1,0.9,1.8,0.5,3.4,1.3,0.7,3.6,0.1,,0.1,0.2,0.7,1.6,3.2,3.6,1.2,1.0
10-21,1.4,2.4,1.0,0.6,0.1,0.9,1.8,0.5,3.5,1.6,0.7,3.6,0.1,,0.1,0.2,0.7,1.7,3.3,3.6,1.2,1.0
10-22,1.5,2.4,1.1,0.6,0.1,0.9,1.8,0.5,3.5,1.7,0.7,3.7,0.1,,0.1,0.2,0.7,1.8,3.3,3.7,1.3,1.1
10-23,1.5,2.4,1.7,0.6,0.1,1.0,1.8,0.5,3.8,1.7,0.7,3.7,0.7,,0.1,0.5,0.7,1.8,3.4,3.8,1.5,1.5
10-24,1.8,2.4,2.8,0.6,0.1,1.0,1.8,0.6,3.8,1.7,0.7,3.9,0.7,,0.1,0.6,0.7,2.1,3.6,3.9,1.5,1.7
10-25,3.3,2.4,2.9,0.6,0.1,1.0,1.8,0.6,3.8,1.7,0.8,4.0,0.7,,0.1,0.6,0.8,2.6,3.7,4.0,1.6,1.7
10-26,3.9,2.4,3.6,0.6,0.1,1.0,1.8,0.6,3.8,1.7,0.8,4.4,0.7,,0.1,0.6,0.8,2.9,3.8,4.4,1.6,1.7
10-27,4.2,2.4,3.6,0.6,0.2,1.0,1.8,0.6,3.8,1.7,0.9,4.6,1.0,,0.2,0.6,0.9,2.9,4.1,4.6,1.7,1.7
10-28,4.2,2.4,3.7,0.6,0.2,1.0,1.8,0.6,3.8,1.8,1.0,4.6,1.0,,0.2,0.6,1.0,2.9,4.1,4.6,1.7,1.8
10-29,4.3,2.4,3.7,0.9,0.2,1.0,2.0,0.6,3.8,2.0,1.0,4.6,1.0,,0.2,0.6,1.0,2.9,4.2,4.6,1.8,2.0
10-30,4.3,2.4,3.7,1.1,0.2,1.0,2.0,0.6,3.8,2.2,1.0,4.6,1.1,,0.2,0.7,1.0,2.9,4.2,4.6,1.9,2.0
10-31,4.6,2.4,3.7,1.2,0.2,1.0,2.2,0.6,3.8,2.2,1.0,4.6,1.1,,0.2,0.7,1.1,2.9,4.4,4.6,2.0,2.2
