date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-02,0.0,0.0,0.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.5,0.0
10-03,0.0,0.0,0.5,0.3,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.4,0.5,0.1
10-04,0.0,0.0,0.5,0.3,0.1,0.4,0.3,0.1,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.3,0.4,0.5,0.1
10-05,0.0,0.2,0.5,0.3,0.1,0.4,0.8,0.1,0.0,0.0,0.1,0.6,0.0,0.0,0.1,0.3,0.5,0.8,0.1
10-06,0.0,0.2,0.5,0.4,0.1,0.4,1.2,0.1,0.0,0.2,0.1,0.7,0.0,0.0,0.1,0.4,0.5,1.2,0.2
10-07,0.0,0.2,0.5,0.5,0.1,0.4,1.5,0.1,0.0,0.8,0.1,0.7,0.0,0.0,0.1,0.5,0.8,1.5,0.2
10-08,0.0,0.2,0.5,0.5,0.1,0.4,2.7,0.1,0.0,0.9,0.1,0.7,0.0,0.0,0.1,0.5,0.9,2.7,0.2
10-09,0.0,0.2,0.5,0.5,0.1,0.5,3.2,0.1,0.0,1.8,0.1,0.7,0.0,0.0,0.1,0.5,1.8,3.2,0.2
10-10,0.0,0.3,0.5,0.5,0.1,0.5,3.9,0.1,0.0,2.1,0.1,0.7,0.0,0.0,0.1,0.5,2.1,3.9,0.3
10-11,0.0,0.8,0.5,0.5,0.1,0.5,4.1,0.1,0.0,2.1,0.1,0.7,0.0,0.0,0.1,0.5,2.1,4.1,0.5
10-12,0.0,0.8,0.5,0.5,0.1,0.5,4.4,0.1,0.0,2.3,0.1,1.3,0.0,0.0,0.1,0.5,2.3,4.4,0.5
10-13,1.0,0.8,0.6,0.5,0.1,0.5,4.4,0.1,0.0,3.5,0.1,1.3,0.0,0.1,0.1,0.8,3.5,4.4,0.5
10-14,1.1,1.1,0.6,0.5,0.1,0.5,4.4,0.1,0.0,3.6,0.1,1.3,0.0,0.1,0.1,1.1,3.6,4.4,0.5
10-15,1.1,1.6,0.6,0.5,0.1,0.5,4.4,0.1,0.0,3.7,0.1,1.4,0.0,0.1,0.1,1.1,3.7,4.4,0.5
10-16,1.1,1.6,0.6,0.5,0.1,0.5,4.5,0.1,0.0,3.7,0.1,,0.0,0.1,0.1,1.1,3.7,4.5,0.5
10-17,1.2,1.6,0.6,0.5,0.1,0.5,4.5,0.1,0.0,3.7,0.1,,0.0,0.1,0.1,1.2,3.7,4.5,0.5
10-18,1.2,1.6,0.6,0.7,0.1,0.5,4.7,0.1,0.0,3.7,0.1,,0.0,0.1,0.1,1.2,3.7,4.7,0.6
10-19,1.2,1.6,0.6,1.1,0.1,0.5,4.7,0.2,0.0,4.6,0.1,,0.0,0.1,0.2,1.2,4.6,4.7,0.6
10-20,1.2,1.6,0.6,1.2,0.1,0.5,4.7,0.2,0.0,4.7,0.1,,0.0,0.1,0.2,1.2,4.7,4.7,0.6
10-21,1.2,1.6,0.6,1.6,0.1,0.5,4.7,0.4,0.0,4.7,0.1,,0.0,0.1,0.4,1.6,4.7,4.7,0.6
10-22,1.2,1.6,0.6,1.7,0.1,0.5,4.7,0.5,0.0,4.7,0.1,,0.0,0.1,0.5,1.6,4.7,4.7,0.6
10-23,1.2,1.6,0.6,1.8,0.1,0.5,4.8,0.5,0.0,4.8,1.0,,0.0,0.1,0.5,1.6,4.8,4.8,1.0
10-24,1.2,1.6,0.6,1.9,0.1,0.5,4.8,0.5,0.0,4.8,1.6,,0.0,0.1,0.5,1.6,4.8,4.8,1.2
10-25,1.3,1.6,0.6,1.9,0.4,0.5,4.8,0.5,0.0,4.8,1.8,,0.0,0.4,0.5,1.8,4.8,4.8,1.3
10-26,1.3,1.6,0.6,2.0,0.4,0.5,4.8,0.5,0.2,5.1,1.9,,0.2,0.4,0.5,1.9,4.8,5.1,1.3
10-27,1.3,1.6,0.6,2.0,0.4,0.5,4.8,0.5,0.2,5.6,2.4,,0.2,0.4,0.5,2.0,4.8,5.6,1.3
10-28,1.4,1.6,0.6,2.0,0.4,0.5,4.8,0.6,0.3,5.7,2.4,,0.3,0.4,0.6,2.0,4.8,5.7,1.4
10-29,1.4,2.9,0.6,2.0,0.6,0.5,4.8,0.7,0.3,5.7,2.4,,0.3,0.5,0.6,2.4,4.8,5.7,1.4
10-30,1.4,2.9,0.6,2.5,0.6,0.5,4.8,1.0,0.3,5.7,2.4,,0.3,0.5,0.6,2.5,4.8,5.7,1.4
10-31,1.4,3.1,0.6,2.5,0.6,0.5,4.8,1.0,0.3,5.7,2.4,,0.3,0.5,0.6,2.5,4.8,5.7,1.4
11-01,1.4,3.1,0.6,2.5,0.7,0.5,4.8,1.1,0.3,5.7,2.4,,0.3,0.5,0.7,2.5,4.8,5.7,1.4
11-02,1.4,3.1,0.8,2.5,1.0,0.5,4.9,1.1,0.3,5.7,2.4,,0.3,0.5,1.0,2.5,4.9,5.7,1.4
11-03,1.4,3.1,1.4,2.5,1.0,0.5,5.1,1.2,0.3,5.8,2.8,,0.3,0.5,1.2,2.8,5.1,5.8,1.4
11-04,1.4,3.2,1.7,2.5,1.0,0.5,5.1,1.2,0.3,5.8,2.8,,0.3,0.5,1.2,2.8,5.1,5.8,1.7
11-05,1.4,3.4,1.7,2.6,1.0,1.2,5.1,1.2,0.3,5.8,3.0,,0.3,1.0,1.2,3.0,5.1,5.8,1.7
11-06,1.4,3.4,1.7,2.6,1.0,1.2,5.1,1.2,0.3,5.8,3.3,,0.3,1.0,1.2,3.3,5.1,5.8,1.7
11-07,1.4,3.5,1.7,2.6,1.0,1.2,5.1,1.2,0.3,5.8,3.3,,0.3,1.0,1.2,3.3,5.1,5.8,1.7
11-08,1.4,3.5,1.7,2.6,1.0,1.2,5.1,1.2,0.6,5.8,3.3,,0.6,1.0,1.2,3.3,5.1,5.8,1.7
11-09,1.4,3.5,1.7,2.6,1.0,1.2,5.1,1.2,0.8,5.8,3.3,,0.8,1.0,1.2,3.3,5.1,5.8,1.7
11-10,2.1,3.5,1.7,2.6,1.0,1.2,5.1,1.2,1.5,6.2,4.5,,1.0,1.2,1.5,3.5,5.1,6.2,2.1
11-11,2.4,3.5,1.7,3.5,1.0,1.2,5.1,1.2,1.5,6.3,4.5,,1.0,1.2,1.5,3.5,5.1,6.3,2.4
11-12,2.5,3.5,1.7,3.5,1.0,1.2,5.3,1.2,1.5,6.3,4.5,,1.0,1.2,1.5,3.5,5.3,6.3,2.5
11-13,2.7,3.5,1.7,3.5,1.0,1.2,5.4,1.2,1.5,6.3,4.5,,1.0,1.2,1.5,3.5,5.4,6.3,2.7
11-14,2.7,3.5,2.0,3.5,1.0,1.2,5.4,1.2,1.7,6.3,4.5,,1.0,1.2,1.7,3.5,5.4,6.3,2.7
