date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR)
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-02,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.6,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
10-03,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.1,0.2,0.0,0.2,0.0,1.8,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.1
10-04,0.0,0.0,0.0,0.8,0.1,0.5,0.4,0.2,0.4,0.2,0.0,0.2,0.0,2.2,0.0,0.0,0.0,0.3,0.5,0.8,0.2,0.2
10-05,0.2,0.2,0.0,1.0,0.1,0.5,0.4,0.2,0.6,0.3,0.0,0.2,0.0,2.2,0.0,0.0,0.1,0.3,0.5,1.0,0.2,0.2
10-06,0.2,2.4,0.0,1.1,0.1,0.5,0.4,0.2,0.6,0.3,0.0,0.3,0.0,2.2,0.0,0.0,0.1,0.5,1.0,2.4,0.3,0.3
10-07,0.3,3.1,0.0,1.1,0.1,0.6,0.4,0.2,0.7,0.4,0.0,0.4,0.0,2.2,0.0,0.0,0.2,0.5,1.0,3.1,0.4,0.4
10-08,0.4,4.0,0.1,1.1,0.1,0.6,0.4,0.2,0.8,0.4,0.0,0.8,0.0,2.2,0.0,0.0,0.2,0.7,1.1,4.0,0.4,0.4
10-09,0.4,4.0,0.1,1.1,0.1,0.6,0.4,0.4,0.8,0.4,0.0,1.9,0.0,2.2,0.0,0.0,0.2,0.7,1.7,4.0,0.4,0.4
10-10,0.4,4.2,0.1,1.1,0.2,0.6,0.4,0.4,2.0,0.4,0.0,2.3,0.0,2.2,0.0,0.0,0.3,0.8,2.2,4.2,0.4,0.4
10-11,0.4,4.4,0.1,1.2,0.2,0.6,0.4,0.4,2.5,0.4,0.6,2.3,0.0,2.2,0.0,0.1,0.4,0.8,2.5,4.4,0.4,0.4
10-12,0.6,4.7,0.1,1.2,0.2,0.6,0.5,0.4,2.5,0.4,1.0,2.9,0.0,2.8,0.0,0.1,0.4,1.0,2.8,4.7,0.5,0.6
10-13,0.7,4.7,0.1,1.6,0.2,0.6,0.5,0.4,2.6,0.4,1.0,3.4,0.0,2.9,0.0,0.1,0.4,1.2,3.2,4.7,0.6,0.6
10-14,0.8,4.7,0.2,2.0,0.2,0.6,0.6,0.5,2.6,0.4,1.0,3.4,0.0,3.0,0.0,0.2,0.5,1.4,3.3,4.7,0.6,0.6
10-15,0.8,4.7,0.2,2.0,0.2,0.6,0.8,0.6,2.6,0.4,1.1,3.4,0.0,3.0,0.0,0.2,0.5,1.5,3.3,4.7,0.6,0.8
10-16,0.8,4.8,0.2,2.0,0.2,0.6,0.9,0.6,2.6,0.5,1.1,3.5,0.0,,0.0,0.2,0.6,1.5,3.3,4.8,0.7,0.8
10-17,0.8,5.3,0.8,2.0,0.2,0.6,2.2,0.6,2.6,0.5,1.2,3.5,0.0,,0.0,0.3,0.6,2.1,3.3,5.3,0.8,0.8
10-18,0.8,5.3,0.8,2.0,0.2,1.0,2.6,0.6,2.7,0.5,1.2,3.5,0.0,,0.0,0.3,0.7,2.3,3.3,5.3,1.0,1.0
10-19,0.8,5.3,0.8,2.0,0.2,1.3,2.8,0.6,2.7,0.5,1.2,3.6,0.0,,0.0,0.3,0.7,2.3,3.4,5.3,1.1,1.2
10-20,0.8,5.3,0.8,2.0,0.2,1.3,2.8,0.6,2.7,1.2,1.2,3.6,0.0,,0.0,0.3,0.8,2.3,3.4,5.3,1.2,1.2
10-21,0.8,5.3,0.8,2.0,0.2,1.4,2.8,0.9,2.7,1.2,1.2,3.6,0.0,,0.0,0.3,0.9,2.3,3.4,5.3,1.3,1.2
10-22,0.8,5.3,0.8,2.0,0.2,1.4,2.8,0.9,2.7,1.4,1.2,3.6,0.0,,0.0,0.4,0.9,2.3,3.4,5.3,1.3,1.4
10-23,0.8,5.3,1.4,2.0,0.2,1.4,2.8,0.9,3.0,1.4,1.2,3.6,1.0,,0.2,0.8,1.1,2.4,3.4,5.3,1.4,1.4
10-24,1.0,5.3,1.6,2.0,0.2,1.4,2.8,0.9,3.3,1.4,1.2,3.8,1.2,,0.2,0.9,1.2,2.4,3.7,5.3,1.6,1.4
10-25,4.0,5.3,1.8,2.0,0.2,1.4,3.1,0.9,3.4,1.4,1.3,4.2,1.4,,0.2,1.0,1.4,3.2,4.2,5.3,1.9,1.8
10-26,4.2,5.3,1.8,2.0,0.3,1.4,3.1,0.9,3.4,1.4,1.4,5.2,1.6,,0.3,1.0,1.4,3.2,5.0,5.3,1.9,1.8
10-27,4.6,5.3,1.8,2.0,0.4,1.4,3.1,0.9,3.4,1.4,1.4,5.4,2.0,,0.4,1.0,1.4,3.2,5.2,5.4,2.0,2.0
10-28,4.6,5.4,1.9,2.1,0.4,1.4,3.1,0.9,3.4,1.4,1.4,5.4,2.0,,0.4,1.0,1.4,3.2,5.2,5.4,2.0,2.0
10-29,4.6,5.4,2.0,2.1,0.5,1.4,3.7,0.9,3.4,1.6,1.4,5.4,2.0,,0.5,1.0,1.6,3.5,5.2,5.4,2.0,2.0
10-30,4.6,5.4,2.0,2.2,0.5,1.6,3.8,0.9,3.4,1.8,1.4,5.4,2.0,,0.5,1.0,1.7,3.5,5.2,5.4,2.2,2.0
10-31,4.8,5.4,2.0,2.2,0.5,1.7,4.4,0.9,3.4,1.8,1.4,5.4,2.0,,0.5,1.0,1.8,3.7,5.3,5.4,2.2,2.0
11-01,4.8,5.4,2.0,2.3,0.5,1.7,4.4,1.0,3.5,1.8,1.4,5.5,2.1,,0.5,1.0,1.8,3.9,5.3,5.5,2.4,2.1
11-02,4.9,5.4,2.0,2.3,0.8,2.0,4.5,1.0,3.5,1.8,1.4,5.8,2.1,,0.8,1.0,1.9,3.9,5.3,5.8,2.4,2.1
11-03,5.0,5.4,2.0,2.4,1.2,2.4,4.5,1.0,3.6,1.8,1.4,5.8,2.2,,1.0,1.3,1.9,4.0,5.4,5.8,2.6,2.4
11-04,5.0,5.4,2.0,2.5,1.2,2.6,4.5,1.4,3.6,1.8,1.4,5.8,2.2,,1.2,1.4,1.9,4.0,5.4,5.8,2.7,2.5
11-05,5.0,5.6,2.0,2.6,1.4,2.7,4.5,1.6,3.6,1.8,1.4,5.8,2.9,,1.4,1.4,1.9,4.0,5.5,5.8,2.8,2.7
11-06,5.0,5.8,2.0,2.7,1.4,2.7,4.5,1.8,3.6,1.8,1.4,5.8,4.0,,1.4,1.5,1.9,4.2,5.6,5.8,2.9,2.7
11-07,5.0,5.8,2.0,2.8,1.4,2.7,4.5,2.0,3.6,1.8,1.4,5.9,4.1,,1.4,1.5,2.0,4.3,5.6,5.9,2.9,2.8
11-08,5.1,5.8,2.0,2.9,1.4,2.7,4.5,2.0,3.6,1.8,1.5,6.0,5.0,,1.4,1.5,2.0,4.7,5.7,6.0,3.0,2.9
11-09,5.7,5.8,2.2,3.0,1.4,2.8,4.5,2.0,3.6,1.8,1.6,6.0,6.0,,1.4,1.6,2.1,5.0,6.0,6.0,3.2,3.0
11-10,5.8,5.9,2.6,3.0,1.4,3.0,4.5,2.1,3.7,1.8,1.6,6.8,6.6,,1.4,1.7,2.4,5.0,6.5,6.8,3.2,3.0
11-11,6.0,5.9,2.6,3.0,1.4,3.0,4.5,2.2,3.7,1.8,1.8,6.8,6.7,,1.4,1.8,2.5,5.1,6.6,6.8,3.3,3.0
11-12,6.0,6.0,2.6,3.0,1.4,3.0,4.5,2.2,3.7,1.8,2.2,7.0,6.7,,1.4,1.9,2.5,5.1,6.6,7.0,3.3,3.0
11-13,6.0,6.3,2.8,3.0,1.4,3.0,4.5,2.2,3.7,1.8,2.2,7.0,6.7,,1.4,1.9,2.6,5.1,6.6,7.0,3.3,3.0
11-14,6.0,6.5,2.8,3.0,2.1,3.0,4.5,2.2,3.8,1.8,3.4,7.0,6.7,,1.8,2.1,2.9,5.1,6.7,7.0,3.4,3.4
11-15,6.6,6.5,2.8,3.0,3.4,3.0,4.5,2.4,3.8,1.8,3.6,7.0,6.8,,1.8,2.5,3.0,5.3,6.7,7.0,3.4,3.6
11-16,6.8,6.5,2.8,3.0,3.4,3.0,4.5,2.5,3.8,1.8,4.5,7.0,6.8,,1.8,2.6,3.0,5.3,6.8,7.0,3.4,3.8
11-17,6.9,6.6,2.8,3.8,3.5,3.1,4.6,3.4,3.8,1.8,4.5,7.0,6.8,,1.8,2.9,3.5,5.4,6.9,7.0,3.8,3.8
11-18,7.0,6.8,2.8,3.8,3.5,3.2,4.6,3.6,3.8,1.8,4.6,7.0,6.8,,1.8,2.9,3.6,5.5,6.9,7.0,3.8,3.8
11-19,7.0,7.5,3.6,3.8,3.6,3.3,4.6,3.8,3.8,1.8,4.6,7.3,6.8,,1.8,3.4,3.7,5.5,7.2,7.5,3.8,3.8
11-20,7.0,7.5,3.6,4.0,3.6,4.0,4.6,3.8,3.8,1.8,4.6,7.7,6.8,,1.8,3.6,3.8,5.5,7.4,7.7,4.0,4.0
11-21,7.4,7.5,3.7,4.1,3.6,4.2,4.6,4.0,3.8,2.0,4.6,7.7,6.8,,2.0,3.7,3.9,5.5,7.5,7.7,4.2,4.2
11-22,7.8,7.5,3.8,4.2,3.6,4.2,5.0,4.1,3.8,2.1,4.6,7.7,6.8,,2.1,3.7,4.0,5.7,7.7,7.8,4.2,4.2
