date,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR),Median Peak SWE
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
10-07,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.4
10-08,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,7.4
10-09,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,0.0,7.4
10-10,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.0,7.4
10-11,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.0,7.4
10-12,0.0,0.0,0.0,1.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.0,7.4
10-13,0.0,0.0,0.0,1.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.5,0.0,7.4
10-14,0.0,0.0,0.0,1.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.0,7.4
10-15,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,7.4
10-16,0.0,0.0,0.0,0.8,0.0,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.7,0.8,0.0,7.4
10-17,0.0,0.0,0.0,0.9,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.5,0.9,0.0,7.4
10-18,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6,1.8,0.0,7.4
10-19,0.0,0.0,0.0,2.2,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0,0.8,2.2,0.0,7.4
10-20,0.0,0.0,0.0,2.2,0.0,0.0,0.1,0.0,,0.0,0.0,0.0,0.0,0.7,2.2,0.0,7.4
10-21,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6,2.2,0.0,7.4
10-22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6,2.0,0.0,7.4
10-23,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,0.8,2.2,0.0,7.4
10-24,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.4
10-25,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0.9,1.8,0.0,7.4
10-26,0.0,0.0,0.0,1.6,0.0,0.2,0.0,0.6,,0.0,0.0,0.0,0.2,0.9,1.6,0.0,7.4
10-27,0.0,0.0,0.0,1.5,0.0,0.2,0.5,0.5,,0.0,0.0,0.0,0.5,0.8,1.5,0.1,7.4
10-28,0.0,0.0,0.0,1.3,0.0,0.2,0.4,0.4,,0.0,0.0,0.0,0.4,0.7,1.3,0.1,7.4
