date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,24.8
10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,24.8
10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,24.8
10-04,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,24.8
10-05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,24.8
10-06,0.0,1.5,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.3,0.8,1.5,0.0,0.0,24.8
10-07,0.0,1.8,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.3,0.8,1.8,0.0,0.0,24.8
10-08,0.0,2.4,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.7,2.4,0.0,0.0,24.8
10-09,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.2,0.8,2.4,0.0,0.0,24.8
10-10,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.2,0.9,2.3,0.0,0.0,24.8
10-11,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.4,1.2,2.4,0.0,0.0,24.8
10-12,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.2,1.0,0.0,0.6,0.0,0.0,0.0,0.4,1.1,2.1,0.0,0.0,24.8
10-13,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,1.2,0.8,0.0,1.6,0.0,0.6,0.0,0.0,0.0,0.6,1.6,2.0,0.0,0.0,24.8
10-14,0.0,1.8,0.0,0.8,0.0,0.0,0.0,0.0,1.2,0.8,0.0,1.7,0.0,0.5,0.0,0.0,0.0,0.8,1.6,1.8,0.0,0.0,24.8
10-15,0.0,1.6,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.7,0.0,0.4,0.0,0.0,0.0,0.8,1.5,1.7,0.0,0.0,24.8
10-16,0.0,1.4,0.0,0.8,0.0,0.0,0.0,0.1,1.2,0.8,0.0,1.7,0.0,,0.0,0.0,0.0,0.8,1.3,1.7,0.0,0.0,24.8
10-17,0.0,1.4,0.0,0.8,0.0,0.0,1.1,0.0,1.2,0.7,0.0,1.6,0.0,,0.0,0.0,0.0,0.9,1.3,1.6,0.4,0.0,24.8
10-18,0.0,1.4,0.0,0.8,0.0,0.0,1.0,0.0,1.2,0.7,0.0,1.4,0.0,,0.0,0.0,0.0,0.9,1.3,1.4,0.3,0.0,24.8
10-19,0.0,1.4,0.0,0.8,0.0,0.0,1.2,0.0,1.2,0.6,0.0,1.4,0.0,,0.0,0.0,0.0,0.9,1.3,1.4,0.3,0.0,24.8
10-20,0.0,1.4,0.0,0.8,0.0,0.0,1.1,0.0,1.2,1.0,0.0,1.4,0.0,,0.0,0.0,0.0,1.1,1.3,1.4,0.3,0.0,24.8
10-21,0.0,1.4,0.0,0.8,0.0,0.0,1.1,0.0,1.0,1.2,0.0,1.4,0.0,,0.0,0.0,0.0,1.0,1.3,1.4,0.3,0.0,24.8
10-22,0.0,1.4,0.0,0.8,0.0,0.0,1.1,0.0,0.6,1.4,0.0,1.4,0.0,,0.0,0.0,0.0,0.9,1.4,1.4,0.3,0.0,24.8
10-23,0.0,1.4,0.5,0.8,0.0,0.0,1.0,0.0,0.6,1.4,0.0,1.4,0.6,,0.0,0.0,0.0,0.8,1.4,1.4,0.5,0.6,24.8
10-24,0.1,1.3,0.6,0.8,0.0,0.0,0.8,0.0,0.6,1.2,0.0,1.6,0.8,,0.0,0.0,0.1,0.8,1.3,1.6,0.5,0.6,24.8
10-25,1.2,1.2,0.7,0.8,0.0,0.0,0.4,0.0,0.5,1.2,0.2,2.0,0.9,,0.0,0.0,0.3,1.0,1.2,2.0,0.5,0.7,24.8
10-26,1.3,1.2,0.8,0.8,0.0,0.0,0.3,0.0,0.6,1.2,0.2,3.0,1.0,,0.0,0.0,0.3,1.1,1.3,3.0,0.4,0.8,24.8
10-27,1.5,1.2,0.8,0.8,0.0,0.0,0.2,0.0,0.6,1.0,0.2,3.0,1.4,,0.0,0.0,0.2,1.1,1.5,3.0,0.6,0.8,24.8
10-28,1.5,1.2,0.9,0.8,0.0,0.0,0.0,0.0,0.6,1.0,0.2,3.0,1.4,,0.0,0.0,0.1,1.1,1.5,3.0,0.6,0.8,24.8
10-29,1.5,1.2,0.6,0.8,0.0,0.0,0.0,0.0,0.4,1.2,0.2,2.8,1.4,,0.0,0.0,0.1,1.2,1.5,2.8,0.5,0.6,24.8
10-30,1.5,1.2,0.6,0.8,0.0,0.0,0.0,0.0,0.4,1.3,0.2,2.7,1.4,,0.0,0.0,0.1,1.3,1.5,2.7,0.4,0.6,24.8
10-31,1.5,1.2,0.6,0.8,0.0,0.0,0.0,0.0,0.3,1.4,0.1,2.5,1.4,,0.0,0.0,0.1,1.3,1.5,2.5,0.4,0.6,24.8
11-01,1.6,1.2,0.5,0.9,0.0,0.0,0.0,0.0,0.4,1.5,0.1,2.4,1.4,,0.0,0.0,0.1,1.3,1.6,2.4,0.4,0.5,24.8
11-02,1.6,1.2,0.4,0.9,0.2,0.2,0.0,0.0,0.4,1.5,0.1,2.4,1.4,,0.0,0.0,0.2,1.3,1.6,2.4,0.4,0.4,24.8
11-03,1.7,1.3,0.4,1.0,0.6,0.3,0.0,0.0,0.4,1.6,0.1,2.6,1.4,,0.0,0.0,0.4,1.3,1.7,2.6,0.6,0.6,24.8
11-04,1.7,1.3,0.4,1.0,0.6,0.5,0.0,0.3,0.4,1.6,0.0,2.5,1.4,,0.0,0.1,0.4,1.3,1.7,2.5,0.6,0.6,24.8
11-05,1.6,1.6,0.4,1.0,0.6,0.6,0.0,0.4,0.4,1.7,0.0,2.5,2.2,,0.0,0.1,0.4,1.6,2.1,2.5,0.6,0.6,24.8
11-06,1.5,1.6,0.4,1.2,0.4,0.6,0.0,0.7,0.4,1.7,0.0,2.5,3.3,,0.0,0.1,0.4,1.6,2.3,3.3,0.8,0.7,24.8
11-07,1.5,1.6,0.4,1.4,0.4,0.6,0.0,0.6,0.4,1.6,0.0,2.6,3.3,,0.0,0.1,0.4,1.5,2.4,3.3,0.8,0.6,24.8
11-08,1.5,1.7,0.4,1.5,0.4,0.6,0.0,0.7,0.4,1.6,0.2,2.6,4.3,,0.0,0.2,0.4,1.6,2.4,4.3,0.8,0.7,24.8
11-09,2.0,1.7,0.6,1.5,0.4,0.7,0.0,0.9,0.4,1.6,0.3,2.6,5.3,,0.0,0.3,0.5,1.7,2.5,5.3,0.9,0.9,24.8
11-10,2.0,1.8,1.0,1.5,0.4,0.8,0.0,1.0,0.4,1.6,0.4,3.4,5.8,,0.0,0.4,0.7,1.7,3.2,5.8,1.2,1.0,24.8
11-11,2.2,1.8,1.0,1.5,0.4,0.8,0.0,1.1,0.4,1.6,0.6,3.6,5.8,,0.0,0.4,0.8,1.7,3.3,5.8,1.2,1.1,24.8
11-12,2.2,1.8,1.0,1.5,0.4,0.9,0.0,1.0,0.4,1.5,0.9,3.6,5.8,,0.0,0.4,0.9,1.6,3.4,5.8,1.2,1.0,24.8
11-13,2.2,2.2,1.2,1.5,0.4,0.9,0.0,1.2,0.4,1.6,0.9,3.6,5.8,,0.0,0.4,0.9,1.8,3.3,5.8,1.4,1.2,24.8
