date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,26.8,27.9,21.7,16.1,9.0,10.4,19.3,43.1,69.3,41.0,41.4,45.0,11.2,41.0,7.9,22.8,13.5,23.2,7.9,9.8,15.6,41.0,43.9,69.3,22.8
10-02,26.1,27.2,21.4,19.0,9.1,10.0,18.2,41.3,68.5,40.4,47.4,45.1,11.0,39.1,7.4,22.6,13.5,23.0,7.4,9.6,17.2,39.4,46.0,68.5,22.6
10-03,36.7,27.1,20.6,22.9,7.6,9.7,18.0,39.7,65.5,46.8,48.5,44.9,30.2,38.6,7.0,22.7,13.5,33.2,7.0,8.8,20.1,38.9,47.5,65.5,27.1
10-04,33.7,25.3,20.0,23.9,7.3,8.8,17.2,43.2,63.3,57.6,49.4,45.7,40.3,37.3,7.8,22.4,13.2,33.6,7.3,8.4,19.5,40.9,52.7,63.3,25.3
10-05,32.9,25.0,40.2,23.5,20.7,23.1,16.5,43.1,61.4,55.5,49.1,45.4,64.6,36.4,7.2,22.7,13.0,47.2,7.2,15.1,23.0,43.5,57.9,64.6,32.9
10-06,44.6,31.7,43.2,23.5,20.9,24.5,15.9,44.0,60.6,53.9,47.2,44.3,56.6,35.5,7.0,22.4,13.1,45.0,7.0,14.8,23.3,44.4,55.0,60.6,35.5
10-07,44.8,33.5,40.9,32.3,31.3,30.3,15.5,45.8,59.0,53.1,47.1,42.5,54.0,34.7,7.0,28.2,13.0,43.1,7.0,14.5,31.1,45.0,53.5,59.0,34.7
10-08,39.5,37.3,38.6,35.8,30.4,33.1,14.9,45.4,57.4,52.8,46.8,42.0,55.0,34.2,7.3,36.5,13.0,41.5,7.3,14.1,34.0,42.7,53.6,57.4,37.3
10-09,40.8,44.4,38.0,36.3,30.5,35.0,14.5,42.8,56.6,51.5,45.5,40.7,54.9,34.0,7.4,60.1,12.9,39.9,7.4,13.8,34.8,44.6,55.6,60.1,40.7
10-10,38.8,45.1,35.6,36.4,32.8,39.1,14.1,42.1,55.2,50.8,44.1,39.9,53.8,33.3,7.9,58.2,13.1,38.5,7.9,13.7,35.2,44.3,54.4,58.2,39.1
10-11,37.5,43.4,35.1,35.9,31.5,40.2,14.8,42.6,54.6,50.1,43.2,38.4,53.6,32.3,7.3,56.5,12.6,37.6,7.3,13.9,34.5,43.2,54.0,56.5,38.4
10-12,36.1,41.2,33.8,35.7,32.5,42.4,13.7,42.8,52.8,49.2,42.7,38.0,53.5,31.5,6.3,56.7,12.7,36.9,6.3,13.3,33.5,42.7,53.1,56.7,38.0
