date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,48.0,34.5,36.5,39.3,28.9,20.8,17.2,24.1,21.0,41.5,91.2,36.5,61.9,53.1,9.6,30.5,11.8,40.7,51.6,44.4,9.6,16.1,26.0,41.2,54.9,91.2,36.5
10-02,47.0,34.0,35.7,38.4,29.0,20.1,17.5,23.6,20.2,40.5,89.9,38.9,61.2,52.2,9.5,30.0,12.5,40.2,51.1,44.8,9.5,16.5,25.8,40.4,54.0,89.9,35.7
10-03,47.4,34.1,59.0,38.5,28.2,20.7,16.9,23.2,19.8,39.6,80.2,37.8,62.3,51.2,14.4,29.8,11.3,38.9,51.0,53.8,11.3,16.4,25.2,44.3,59.7,80.2,37.8
10-04,46.1,33.7,38.4,38.3,29.7,19.9,16.4,23.2,18.5,39.5,79.8,37.7,65.0,52.6,31.3,28.9,11.6,38.5,50.3,56.2,11.6,18.1,29.2,39.1,55.1,79.8,37.7
10-05,46.3,35.6,42.3,39.2,34.9,19.5,16.4,23.2,18.2,40.3,79.1,37.7,64.4,53.7,43.4,29.4,11.3,38.0,49.4,55.1,11.3,17.8,31.6,43.0,55.8,79.1,38.0
10-06,46.1,35.0,48.4,50.3,35.8,20.0,16.2,29.2,17.5,40.9,77.9,37.7,63.8,52.0,45.6,29.0,11.2,37.5,48.5,56.3,11.2,17.3,31.5,47.5,54.4,77.9,37.7
10-07,45.7,34.5,52.2,47.8,37.7,20.2,21.6,28.1,16.9,40.7,77.6,38.0,63.1,52.0,44.2,29.3,10.3,42.9,47.9,55.9,10.3,19.6,31.4,46.9,54.4,77.6,40.7
10-08,45.2,34.1,46.2,48.7,37.5,25.0,26.4,28.4,16.6,41.1,76.5,37.7,63.3,51.4,42.8,29.0,10.2,43.8,46.6,54.6,10.2,23.3,31.0,45.8,53.8,76.5,41.1
10-09,44.8,34.2,45.0,56.2,36.5,24.5,31.5,28.7,16.6,40.0,75.7,37.0,63.0,51.0,42.6,27.7,10.3,51.1,45.6,52.9,10.3,22.9,32.6,45.4,57.5,75.7,40.0
10-10,44.4,34.8,45.7,57.1,35.3,26.7,30.8,28.3,16.1,39.2,75.3,36.6,61.7,51.5,42.8,28.4,10.5,51.4,45.3,52.2,10.5,24.6,32.4,45.6,58.0,75.3,39.2
10-11,44.6,34.5,49.1,58.1,35.2,25.5,29.7,30.2,15.7,39.9,73.8,36.2,61.0,51.7,44.1,27.5,10.2,54.8,44.7,50.8,10.2,23.5,31.9,47.3,58.7,73.8,39.9
10-12,44.1,34.4,48.6,57.7,34.3,25.2,29.2,34.8,15.6,46.1,64.2,35.8,60.3,51.7,45.9,27.3,9.4,53.7,44.2,50.7,9.4,23.2,34.4,47.6,58.2,64.2,44.1
