date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,32.5,30.7,32.0,35.1,37.3,34.9,50.3,80.0,54.8,50.0,47.6,34.5,56.7,39.1,40.9,47.7,51.0,30.7,32.2,35.0,48.9,55.7,80.0,40.0
10-02,32.7,30.5,32.1,35.5,36.8,34.5,49.9,78.3,55.1,49.9,48.1,34.1,55.9,38.8,40.9,47.2,51.1,30.5,32.4,35.0,49.0,55.5,78.3,39.9
10-03,32.1,30.4,32.0,35.5,36.8,34.1,50.4,77.6,54.8,50.4,47.4,34.6,55.3,38.5,40.4,47.7,59.1,30.4,32.1,35.1,49.1,55.0,77.6,39.5
10-04,32.5,29.8,31.5,34.7,36.5,34.3,50.2,77.0,54.2,49.8,47.8,34.6,54.9,38.7,40.3,46.9,58.7,29.8,32.0,34.7,48.8,54.6,77.0,39.5
10-05,31.9,29.9,31.1,34.7,35.8,33.4,49.9,76.8,57.3,49.8,48.1,44.6,54.5,38.6,40.3,46.8,61.9,29.9,31.5,35.2,49.0,55.9,76.8,42.4
10-06,34.4,30.3,31.0,34.7,35.3,33.4,50.1,76.2,57.9,49.6,48.8,41.8,54.4,38.6,40.3,46.4,62.0,30.3,32.2,35.0,49.2,56.2,76.2,41.1
10-07,32.8,28.6,30.5,34.1,34.5,32.6,50.2,75.7,60.9,49.2,47.9,40.2,53.8,38.5,40.5,46.6,61.9,28.6,31.6,34.3,48.6,57.3,75.7,40.3
10-08,33.0,27.4,30.7,33.5,37.8,31.5,50.3,75.3,61.1,48.7,48.9,40.1,53.9,38.5,41.6,46.5,61.7,27.4,31.1,35.6,48.8,57.5,75.3,40.9
10-09,46.9,29.7,30.3,32.3,39.0,32.3,50.6,74.9,60.2,48.4,48.9,40.1,53.3,37.9,40.9,46.4,61.3,29.7,31.3,38.5,48.6,56.8,74.9,43.6
10-10,50.0,29.4,29.8,32.1,41.4,31.1,50.6,74.8,59.9,48.6,48.7,38.7,53.2,38.0,43.2,46.3,61.0,29.4,30.5,38.3,49.4,56.6,74.8,44.8
10-11,49.1,27.8,30.0,32.6,42.2,30.4,50.5,74.5,59.9,48.1,49.1,38.7,52.8,38.5,43.9,46.2,60.8,27.8,30.2,38.6,49.1,56.4,74.5,45.0
10-12,48.3,27.9,31.1,33.1,49.8,31.9,50.9,74.2,59.3,48.6,49.0,38.3,52.5,40.9,44.6,45.6,60.9,27.9,31.5,39.6,49.4,55.9,74.2,46.9
10-13,48.3,27.0,30.3,33.0,50.7,31.2,50.9,74.3,58.6,48.4,50.0,40.2,52.1,39.8,45.7,45.5,61.6,27.0,30.8,40.0,50.3,55.4,74.3,47.0
10-14,48.0,26.9,36.4,32.2,50.9,32.0,50.9,74.0,58.3,47.9,49.7,41.4,51.6,39.8,45.4,45.3,62.1,26.9,32.1,40.6,50.3,54.9,74.0,46.6
10-15,47.0,27.0,49.4,32.8,51.0,31.4,51.4,73.7,57.8,47.7,49.9,41.8,51.4,40.0,47.0,45.0,62.0,27.0,32.1,43.4,50.5,54.6,73.7,47.3
10-16,47.3,27.9,49.1,32.1,51.1,31.3,52.3,73.8,57.7,50.1,50.2,42.0,51.6,39.2,48.9,44.5,,27.9,31.7,43.3,50.6,55.0,73.8,49.0
10-17,47.0,28.1,48.4,32.6,51.5,30.6,52.2,73.5,57.6,60.0,49.9,42.9,51.2,38.7,50.3,44.5,,28.1,31.6,43.7,51.4,58.8,73.5,49.2
10-18,45.7,29.8,47.8,33.3,54.6,30.6,52.5,73.4,56.9,62.8,49.7,43.5,51.4,38.4,53.6,44.5,,29.8,32.0,44.0,53.1,59.8,73.4,48.8
10-19,46.2,29.7,48.2,33.3,54.7,30.9,52.6,73.2,57.4,65.8,50.4,44.4,50.5,38.8,56.3,44.6,,29.7,32.1,44.5,53.7,61.6,73.2,49.3
10-20,55.0,31.2,48.5,32.4,55.6,29.4,52.1,72.8,57.3,67.6,50.8,44.4,50.8,39.0,58.4,44.2,,29.4,31.8,44.3,55.3,63.0,72.8,50.8
10-21,58.1,37.9,49.6,31.8,56.2,31.0,52.5,72.8,57.1,72.7,50.4,44.6,50.6,38.7,59.4,43.8,,31.0,34.8,44.2,56.6,66.0,72.8,50.5
10-22,59.8,37.3,48.5,33.0,56.1,31.2,52.5,72.6,56.7,72.9,50.5,45.5,50.6,39.0,59.5,43.5,,31.2,35.2,44.5,56.4,66.2,72.9,50.6
10-23,58.4,37.0,47.8,33.0,56.8,30.5,52.4,72.1,56.5,74.1,50.8,49.1,50.1,39.0,60.4,44.0,,30.5,35.0,45.9,56.6,66.2,74.1,50.4
10-24,59.7,33.8,48.3,32.4,56.0,30.3,52.3,72.0,56.2,74.8,50.9,52.8,50.8,38.1,60.3,43.6,,30.3,33.1,45.9,56.1,66.2,74.8,51.6
10-25,61.2,34.5,49.2,53.2,55.8,30.9,52.5,71.9,55.9,76.0,50.9,55.9,51.3,37.9,61.9,43.4,,30.9,36.2,50.0,55.9,66.9,76.0,52.9
10-26,60.5,34.4,48.3,55.2,56.2,31.6,52.6,72.0,56.1,77.1,50.9,57.3,51.5,37.6,67.2,43.0,,31.6,36.0,49.6,56.8,69.6,77.1,53.9
10-27,59.4,34.2,47.2,55.1,55.3,33.8,52.7,72.2,55.7,76.3,51.1,57.6,51.6,37.0,69.6,42.9,,33.8,35.6,49.2,56.6,70.9,76.3,53.9
10-28,58.8,34.8,47.0,54.0,55.1,35.0,52.4,72.2,55.7,76.7,51.5,58.8,51.3,36.8,70.2,42.9,,34.8,35.9,49.2,57.2,71.2,76.7,53.2
10-29,57.8,33.5,46.8,55.0,54.6,38.7,52.3,71.6,55.1,79.4,51.2,59.5,51.5,36.4,71.1,42.7,,33.5,37.5,49.0,56.5,71.4,79.4,53.4
10-30,58.1,33.4,46.4,54.7,54.0,40.5,52.6,71.3,54.9,77.8,51.2,58.9,50.8,36.7,72.1,42.7,,33.4,38.6,48.6,56.5,71.7,77.8,53.3
10-31,57.5,34.5,46.1,55.1,53.8,41.3,52.2,71.2,54.7,78.5,51.0,58.5,51.0,36.6,72.3,42.4,,34.5,39.0,48.6,56.3,71.7,78.5,53.0
11-01,46.1,34.2,46.3,55.4,53.5,41.4,52.4,71.0,54.8,77.4,51.4,57.2,50.9,36.4,72.6,42.1,,34.2,38.9,46.2,55.1,71.8,77.4,51.9
11-02,55.9,33.9,46.5,54.3,53.5,41.8,52.2,71.4,55.1,76.3,51.2,56.1,51.3,36.5,73.5,42.3,,33.9,39.2,48.8,55.5,72.5,76.3,52.8
11-03,55.2,39.4,46.7,54.7,53.6,42.7,52.5,71.2,55.2,75.7,50.8,56.3,51.3,36.1,75.5,42.5,,36.1,41.0,48.8,55.2,73.4,75.7,53.0
11-04,53.5,38.2,46.5,55.1,52.8,42.7,52.1,71.1,55.7,74.8,52.7,56.6,50.9,36.4,75.4,42.3,,36.4,40.3,48.7,55.4,73.0,75.4,52.8
11-05,52.9,44.8,46.2,54.9,52.5,43.6,52.4,70.8,56.3,74.7,53.5,56.3,51.1,36.2,74.7,42.3,,36.2,42.9,48.6,55.6,72.8,74.7,52.7
11-06,53.0,46.5,46.8,55.6,52.4,43.8,52.4,70.8,55.5,74.2,56.0,55.6,51.1,36.2,74.4,41.8,,36.2,42.8,48.9,55.6,72.5,74.4,52.7
11-07,52.0,46.5,47.5,59.2,51.1,44.6,52.1,70.6,55.6,74.1,57.0,55.6,50.9,36.7,74.0,41.9,,36.7,43.2,49.2,56.3,72.3,74.1,52.0
11-08,52.0,46.5,47.2,60.2,50.7,45.8,52.3,70.4,55.7,73.7,58.0,55.4,50.5,36.3,74.2,42.4,,36.3,44.1,48.8,56.9,72.1,74.2,52.2
11-09,51.1,47.1,46.2,60.9,49.8,47.9,52.4,70.3,55.8,73.6,58.2,55.5,50.9,36.9,73.9,41.8,,36.9,44.0,48.8,57.0,71.9,73.9,51.7
11-10,51.3,47.1,46.3,61.0,48.6,49.6,52.2,70.2,54.7,73.3,58.1,54.7,50.4,36.0,73.8,38.1,,36.0,42.2,49.1,56.4,71.7,73.8,51.7
11-11,51.0,48.5,45.7,61.0,47.2,49.9,52.2,70.3,55.0,72.8,58.2,54.4,50.5,36.4,73.8,38.1,,36.4,41.9,49.2,56.6,71.5,73.8,51.6
11-12,50.9,49.9,45.0,60.4,45.0,49.9,52.2,70.0,55.0,72.7,58.0,54.0,50.5,35.9,73.5,42.3,,35.9,43.6,49.9,56.5,71.4,73.5,51.6
11-13,50.7,51.9,45.5,60.9,45.3,49.8,52.3,69.3,55.4,72.5,58.2,53.4,50.1,36.0,75.0,42.3,,36.0,43.8,50.0,56.8,70.9,75.0,52.1
11-14,50.1,54.2,45.5,60.7,45.1,49.9,52.3,68.0,55.1,72.3,58.5,53.5,50.2,35.9,75.4,42.1,,35.9,43.6,50.0,56.8,70.2,75.4,52.9
11-15,49.8,53.1,45.2,61.5,44.8,49.2,52.0,68.2,54.6,72.2,58.3,53.0,50.3,36.4,75.4,43.2,,36.4,44.0,49.5,56.5,70.2,75.4,52.5
11-16,50.5,52.0,45.4,60.6,45.6,44.0,52.2,67.9,55.1,71.9,58.5,53.0,50.7,36.0,75.0,43.5,,36.0,43.7,48.0,56.8,69.9,75.0,52.1
