date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,14.0,22.8,21.1,30.4,44.9,28.4,17.3,16.9,31.0,29.9,45.9,50.1,21.5,41.4,48.4,25.3,32.7,15.4,34.4,33.9,50.9,14.0,16.7,22.4,34.0,46.2,50.1,30.2
10-02,13.8,21.9,22.2,32.2,45.0,27.5,16.1,17.5,29.6,29.8,44.8,50.4,20.3,41.0,48.3,24.5,31.6,15.5,35.3,33.7,52.1,13.8,16.0,22.1,34.2,45.3,50.4,29.7
10-03,13.4,21.4,21.2,29.8,43.6,27.0,16.0,15.9,29.2,29.8,42.9,49.8,21.2,39.9,48.5,25.8,31.6,14.9,34.1,35.0,51.5,13.4,15.8,21.4,34.4,44.1,49.8,29.5
10-04,13.0,21.8,19.9,30.9,41.4,25.2,15.2,16.7,29.8,29.4,44.3,48.4,21.3,39.9,47.3,33.0,32.1,15.5,34.9,34.0,52.6,13.0,15.5,21.6,34.3,44.6,48.4,30.4
10-05,13.6,22.4,19.6,31.4,43.2,35.2,15.9,17.3,29.4,29.8,43.0,47.6,21.8,39.0,47.2,48.6,32.1,14.8,35.4,33.9,51.6,13.6,15.8,22.2,36.5,47.3,48.6,31.7
10-06,13.3,21.8,23.7,35.2,42.0,35.3,14.8,46.9,29.4,29.6,41.9,46.8,20.9,38.7,46.6,48.4,31.5,15.1,34.8,33.6,52.9,13.3,15.1,27.6,39.7,46.8,48.4,34.2
10-07,13.0,22.5,22.9,37.7,40.3,34.4,14.4,53.2,27.6,29.0,40.8,45.3,21.7,39.1,45.3,47.7,31.2,15.0,35.3,33.4,52.6,13.0,14.9,26.2,39.4,45.5,53.2,33.9
10-08,13.0,23.1,21.5,37.6,42.3,34.3,14.6,50.3,29.8,27.8,41.5,45.2,22.9,37.1,45.2,49.5,31.3,15.0,34.8,39.2,51.7,13.0,14.9,26.4,39.9,45.6,50.3,34.6
10-09,12.6,21.8,20.8,36.8,45.4,34.4,14.7,50.3,30.0,28.1,39.9,44.8,23.0,36.6,45.0,50.6,30.7,15.1,44.3,38.3,51.4,12.6,15.0,26.5,41.2,45.9,50.6,35.5
10-10,12.6,22.0,20.4,39.5,42.1,34.7,14.5,48.7,34.4,29.2,40.0,43.3,22.1,36.1,46.2,50.3,31.0,15.6,45.9,38.4,51.5,12.6,15.5,27.0,40.7,46.5,50.3,35.4
10-11,13.5,22.4,20.8,40.4,42.7,33.1,14.8,48.2,36.3,27.4,39.6,42.1,22.5,36.7,44.5,53.8,30.7,15.4,51.8,37.7,50.6,13.5,15.3,26.0,40.9,48.6,53.8,36.5
10-12,13.2,21.4,21.3,39.6,43.1,33.2,15.9,48.1,40.6,28.0,40.6,41.7,23.1,36.6,45.8,56.0,29.9,15.3,50.5,37.3,50.1,13.2,15.9,26.5,40.9,48.3,56.0,36.9
10-13,12.1,20.2,19.5,39.0,40.6,32.6,13.8,46.8,45.4,27.5,39.3,40.9,21.9,34.9,44.1,56.6,30.6,14.7,50.6,37.7,49.7,12.1,14.7,25.8,40.7,47.2,56.6,36.3
10-14,12.7,20.9,19.6,38.8,41.5,32.2,13.9,46.9,47.5,31.3,39.3,40.7,22.6,33.5,43.3,56.9,29.2,14.8,52.0,37.4,49.6,12.7,14.7,27.2,40.9,48.0,56.9,35.4
10-15,12.6,19.9,19.1,40.2,42.1,37.1,16.2,46.7,46.9,31.0,39.6,39.3,21.7,34.0,43.3,55.6,30.3,14.3,51.4,36.8,49.1,12.6,16.0,27.7,40.8,47.3,55.6,36.9
10-16,12.6,21.0,25.8,40.5,39.8,37.1,15.5,46.8,46.2,29.8,38.3,38.6,21.4,34.4,44.1,54.3,30.3,15.1,51.5,36.6,,12.6,15.5,28.6,40.0,47.3,54.3,36.9
10-17,12.4,19.9,27.9,40.1,39.7,36.2,14.0,45.4,44.8,30.6,38.9,38.0,21.6,33.1,44.0,54.7,30.4,14.2,51.9,36.3,,12.4,14.2,29.6,39.8,46.0,54.7,36.3
10-18,12.5,19.7,26.8,40.5,39.4,35.8,15.6,45.2,43.8,29.0,40.0,37.3,24.0,32.6,42.3,53.9,29.4,14.7,52.4,35.9,,12.5,15.5,28.3,40.2,45.9,53.9,35.9
10-19,12.1,20.9,34.5,41.1,38.8,35.4,16.5,51.2,44.9,28.8,38.8,36.3,25.0,32.6,43.4,53.4,30.0,15.1,51.8,35.5,,12.1,16.4,29.7,39.5,51.3,53.4,35.4
