date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,50.7,27.4,18.8,13.3,10.6,12.8,19.8,30.5,59.8,37.6,29.9,48.1,8.4,33.4,7.9,5.6,9.9,5.6,8.1,13.1,32.0,49.4,59.8,23.6
10-02,49.9,31.5,18.8,12.3,10.3,12.0,19.1,32.9,61.0,35.5,30.1,47.9,7.9,33.3,8.2,5.6,9.7,5.6,8.1,12.2,33.1,48.9,61.0,24.6
10-03,55.5,32.8,18.1,12.4,10.3,12.5,16.8,30.8,59.8,35.5,30.3,48.6,8.0,33.0,8.1,5.1,10.6,5.1,8.0,12.4,32.9,52.0,59.8,24.2
10-04,56.4,32.8,17.3,12.3,11.1,12.3,15.4,31.8,59.3,39.5,33.0,47.9,7.6,32.7,8.2,5.4,9.8,5.4,7.9,12.3,32.9,52.2,59.3,24.6
10-05,57.4,32.7,20.9,20.2,10.9,12.6,14.0,34.9,58.3,41.8,43.5,48.2,7.2,32.6,8.3,5.6,13.6,5.6,7.7,13.3,38.4,52.8,58.3,26.7
10-06,63.3,35.6,32.9,22.2,12.1,19.1,13.3,38.1,57.4,42.6,46.8,48.8,19.1,32.4,8.2,5.6,17.0,5.6,10.1,19.1,40.3,53.1,63.3,32.7
10-07,64.4,37.1,31.7,26.3,25.0,22.1,13.7,43.2,56.6,41.7,47.9,48.6,20.0,31.8,7.7,5.2,18.8,5.2,10.7,23.6,42.5,52.6,64.4,31.8
10-08,68.9,38.3,31.9,34.1,24.7,22.8,12.9,42.5,55.8,41.5,47.9,48.1,25.7,31.0,7.9,6.1,18.6,6.1,10.4,25.2,42.0,52.0,68.9,33.0
10-09,69.9,43.3,31.3,33.7,24.6,22.9,13.0,40.9,54.6,40.7,47.7,47.7,33.5,30.5,8.1,4.8,18.5,4.8,10.5,27.5,42.1,51.2,69.9,33.6
10-10,68.8,42.2,31.9,33.6,23.5,22.3,12.5,40.5,54.3,39.2,48.4,47.2,38.5,30.8,8.3,5.3,18.8,5.3,10.4,27.2,41.3,51.3,68.8,36.1
10-11,67.8,41.1,31.9,33.7,24.3,36.3,12.8,40.8,53.4,38.1,47.7,46.6,41.3,29.9,8.1,5.0,18.5,5.0,10.4,30.9,41.2,50.5,67.8,37.2
10-12,67.1,40.3,30.8,34.0,28.3,39.2,12.7,40.9,52.6,36.4,47.3,46.6,43.5,29.5,7.8,4.8,18.6,4.8,10.2,30.2,42.2,50.0,67.1,37.8
10-13,66.2,41.8,30.7,35.3,29.2,47.7,12.6,40.5,52.4,34.5,46.1,46.1,45.7,29.7,7.8,4.9,18.8,4.9,10.2,30.2,45.9,50.1,66.2,37.9
10-14,65.1,44.4,30.6,38.2,29.9,48.6,16.7,41.7,52.5,32.8,45.5,45.9,47.2,29.3,7.5,5.0,18.4,5.0,12.1,30.2,45.7,50.6,65.1,40.0
10-15,64.5,47.2,31.1,43.6,30.2,48.8,19.0,41.3,52.8,31.6,45.2,45.6,47.3,28.9,8.4,4.6,20.8,4.6,13.7,30.7,46.4,50.8,64.5,42.4
10-16,63.9,49.4,31.5,52.5,31.0,48.7,19.3,46.4,52.3,30.1,45.0,45.7,47.8,28.9,8.0,4.8,,4.8,13.6,30.5,48.2,52.4,63.9,45.3
10-17,66.8,49.4,33.3,53.3,30.5,48.8,20.1,49.4,52.0,29.4,44.4,45.3,49.0,28.1,7.0,4.4,,4.4,13.6,30.0,49.2,52.7,66.8,44.9
10-18,67.0,51.0,33.9,53.5,30.9,53.2,19.9,50.9,51.5,29.4,43.8,45.1,49.5,28.4,7.1,4.8,,4.8,13.5,30.1,51.0,53.3,67.0,44.5
10-19,66.7,52.3,33.2,52.9,30.6,53.2,19.0,51.1,51.2,29.1,43.9,45.2,50.1,28.2,7.9,4.5,,4.5,13.5,29.9,51.1,53.0,66.7,44.6
10-20,66.4,53.9,33.5,52.4,30.2,52.8,18.6,51.0,50.5,37.9,44.4,44.9,49.6,27.5,7.4,4.5,,4.5,13.0,31.9,50.7,53.4,66.4,44.6
10-21,67.4,56.4,33.4,51.7,30.1,52.3,18.3,50.8,50.2,38.3,44.9,45.1,49.9,27.3,7.9,4.4,,4.4,13.1,31.7,50.5,54.3,67.4,45.0
10-22,67.8,55.9,33.0,51.2,29.4,52.0,18.7,51.4,52.2,38.3,45.2,45.1,51.9,27.5,7.6,4.6,,4.6,13.2,31.2,51.6,54.0,67.8,45.1
10-23,67.8,55.7,32.3,50.5,29.4,51.8,23.3,51.3,51.7,37.7,46.0,44.7,55.1,27.2,7.4,4.3,,4.3,15.3,30.9,51.5,55.4,67.8,45.4
10-24,67.6,55.5,31.8,50.1,29.9,51.5,24.1,51.9,51.5,37.4,45.8,45.1,56.5,26.9,6.5,4.5,,4.5,15.3,30.9,51.5,56.0,67.6,45.4
10-25,67.6,56.4,31.3,50.6,45.3,50.9,23.9,52.2,51.2,36.9,47.4,44.9,56.2,27.1,6.9,3.9,,3.9,15.4,34.1,51.0,56.3,67.6,46.4
10-26,67.4,58.6,31.7,50.3,49.4,50.8,23.3,52.6,51.1,36.5,49.3,44.8,57.4,27.7,6.7,4.3,,4.3,15.0,34.1,51.0,58.0,67.4,49.3
10-27,67.3,61.8,30.4,50.5,49.4,50.4,23.3,52.8,51.9,35.6,49.4,45.0,57.6,29.2,7.4,4.1,,4.1,15.3,33.0,51.2,59.7,67.3,49.4
10-28,67.6,65.6,29.9,50.2,51.7,49.5,22.9,52.7,51.8,35.8,49.2,44.6,58.8,30.7,6.3,4.4,,4.4,14.6,33.2,51.8,62.2,67.6,49.3
10-29,68.0,66.6,29.8,50.2,51.9,50.0,23.8,53.1,51.5,35.3,49.9,44.6,58.5,29.9,6.7,4.6,,4.6,15.3,32.6,51.7,62.5,68.0,49.9
10-30,68.7,66.5,29.4,50.1,53.5,49.2,23.6,53.3,51.1,34.8,51.6,44.2,58.1,30.3,6.2,4.0,,4.0,14.9,32.5,52.4,62.3,68.7,49.6
10-31,69.0,66.1,29.4,49.9,55.6,48.9,26.7,53.4,50.8,34.9,52.3,44.4,57.2,30.1,6.6,5.0,,5.0,16.7,32.5,52.8,61.7,69.0,49.4
11-01,68.4,65.9,28.8,50.4,56.3,48.8,31.6,53.5,51.0,35.4,57.4,44.3,55.9,30.1,7.3,5.2,,5.2,18.0,33.5,54.7,61.6,68.4,49.6
11-02,67.4,64.9,28.1,50.9,56.6,48.5,32.8,54.4,51.1,35.3,56.8,43.8,55.6,30.0,6.3,5.0,,5.0,17.2,34.1,55.0,60.8,67.4,49.7
