date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,,2.2,58.7,13.9,2.4,2.5,2.7,3.1,2.1,22.6,5.5,4.0,33.0,49.4,2.8,5.0,4.9,4.3,5.9,16.8,2.1,2.3,2.8,5.9,37.9,58.7,4.6
10-02,,1.8,57.3,15.2,2.5,10.7,2.7,2.8,1.6,22.3,6.1,3.7,33.3,49.6,3.1,4.9,4.3,3.7,5.8,17.4,1.6,2.3,3.2,10.2,38.2,57.3,4.6
10-03,,1.8,57.2,14.8,2.5,17.8,3.1,2.5,2.1,21.6,7.4,3.7,33.0,48.9,2.8,4.3,4.6,4.0,5.8,17.4,1.8,2.4,3.2,14.1,37.8,57.2,4.4
10-04,,1.9,56.7,13.9,2.2,18.8,3.0,2.8,1.8,21.4,9.5,3.8,31.2,49.0,3.1,5.0,4.4,3.7,5.8,17.4,1.8,2.1,3.2,13.5,36.5,56.7,4.7
10-05,,2.1,56.0,14.1,2.2,20.7,2.8,3.0,1.8,20.9,10.9,3.4,30.4,48.0,2.8,5.2,4.1,3.7,5.9,17.2,1.8,2.2,3.0,13.7,35.7,56.0,4.7
10-06,,1.8,55.7,13.0,2.4,21.6,2.8,3.0,1.5,22.5,11.2,3.7,29.9,47.5,3.1,5.4,4.1,3.7,5.6,18.6,1.5,2.2,3.2,12.8,35.2,55.7,4.8
10-07,,5.9,62.6,12.9,2.5,21.4,2.8,2.7,1.2,37.0,11.5,3.8,29.6,47.1,3.1,4.6,4.3,3.8,5.9,20.4,1.2,2.6,3.8,12.7,40.0,62.6,5.3
10-08,,18.6,64.2,21.6,2.2,21.2,2.5,2.2,1.5,55.9,11.8,3.7,29.6,45.5,3.0,4.6,4.0,3.7,6.1,21.7,1.5,2.2,3.7,20.9,48.6,64.2,5.3
10-09,,18.6,63.1,28.7,3.6,21.2,2.2,1.9,1.0,55.4,11.4,3.7,29.1,45.1,3.0,5.0,4.1,3.8,5.3,21.5,1.0,2.1,3.7,20.9,48.2,63.1,5.2
10-10,,18.5,62.3,27.4,4.1,21.0,2.7,2.2,1.5,55.0,11.7,4.0,29.5,44.2,2.8,4.7,4.3,13.2,5.5,20.6,1.5,2.5,4.2,20.8,47.4,62.3,8.6
10-11,,18.0,61.0,28.4,4.9,20.9,2.7,16.6,1.8,67.2,11.2,3.6,28.8,43.7,2.7,4.4,4.0,21.0,5.5,21.0,1.8,2.7,4.5,21.0,48.9,67.2,13.9
10-12,,17.2,61.1,27.9,5.3,20.4,2.4,27.8,1.6,64.5,11.5,3.6,28.5,43.6,9.0,4.9,4.1,21.3,5.3,21.6,1.6,3.2,5.3,27.2,48.8,64.5,14.3
10-13,,16.7,59.5,27.2,6.2,19.8,2.1,26.3,1.8,63.5,11.2,3.3,27.3,42.3,24.0,4.7,4.0,21.0,5.3,21.1,1.8,2.9,5.4,26.1,47.5,63.5,18.3
10-14,,16.7,58.8,29.2,6.5,19.5,2.2,25.0,1.5,68.4,10.9,3.4,27.3,43.4,28.1,4.3,4.0,20.7,5.5,32.6,1.5,3.0,5.6,27.1,48.0,68.4,18.1
10-15,,16.0,59.0,28.8,6.7,19.7,2.4,23.8,1.3,71.7,11.2,3.3,26.9,43.1,27.7,4.3,3.8,20.7,5.5,40.2,1.3,3.0,5.6,26.6,47.9,71.7,17.8
10-16,,15.7,58.8,28.3,7.8,19.4,2.2,22.6,1.5,69.6,11.2,3.4,27.2,42.0,27.2,4.7,4.1,20.4,5.2,,1.5,3.0,5.4,26.7,47.1,69.6,17.5
10-17,,15.5,65.1,31.3,8.9,19.2,1.9,21.7,1.3,68.7,10.8,3.4,26.6,42.7,27.2,5.0,3.6,20.9,5.3,,1.3,3.0,5.7,26.2,49.4,68.7,17.4
10-18,,15.1,65.6,33.9,9.8,18.8,3.0,21.4,1.5,68.6,10.7,3.4,25.8,40.7,27.5,4.6,3.6,32.4,5.3,,1.5,3.3,5.8,27.3,48.2,68.6,16.9
10-19,,14.9,66.1,34.7,10.2,18.9,1.9,20.6,1.8,67.5,10.8,3.3,26.3,40.8,27.7,4.9,3.6,36.1,5.2,,1.8,2.9,5.7,27.5,48.4,67.5,16.9
10-20,,14.8,66.3,35.8,10.1,18.5,2.2,20.4,1.6,66.9,10.7,3.4,27.7,39.9,27.4,4.7,3.6,36.1,5.3,,1.6,3.0,5.8,27.7,47.8,66.9,16.6
10-21,63.4,14.5,64.8,35.3,10.8,21.9,2.1,19.7,1.5,67.8,10.2,2.8,26.6,41.2,27.4,4.9,3.7,38.0,5.2,,1.5,2.7,7.2,32.1,63.7,67.8,19.7
