date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,,83.1,61.8,75.0,80.1,65.3,74.4,77.1,53.0,70.2,44.6,66.4,69.3,73.9,44.6,53.9,65.6,74.8,79.8,83.1,69.7
10-02,,83.0,62.2,74.3,80.7,65.0,73.7,77.5,52.5,70.4,44.5,66.2,69.0,74.7,44.5,53.5,65.4,74.1,80.4,83.0,69.7
10-03,,83.0,61.9,74.4,81.1,65.1,73.5,77.0,52.4,69.4,43.5,65.7,69.2,74.5,43.5,53.4,65.3,74.2,80.7,83.0,69.3
10-04,,82.6,61.8,75.1,81.0,65.2,73.6,77.4,53.6,68.5,44.3,65.8,69.1,74.6,44.3,54.5,65.4,74.6,80.7,82.6,68.8
10-05,,83.1,62.0,75.1,81.3,65.4,74.0,77.2,62.1,68.6,43.8,65.5,69.3,74.9,43.8,62.0,65.4,74.7,80.9,83.1,69.0
10-06,,83.5,61.9,74.6,81.1,65.2,73.8,76.6,63.0,68.7,43.4,65.3,68.7,75.0,43.4,62.0,65.2,74.4,80.7,83.5,68.7
10-07,,83.7,61.4,75.2,81.1,65.0,73.4,76.9,62.5,68.7,44.0,71.5,68.9,74.8,44.0,61.5,66.1,74.6,80.6,83.7,70.2
10-08,,84.1,61.6,74.6,80.6,65.6,73.2,76.3,64.4,68.3,43.9,71.6,68.0,74.9,43.9,61.9,66.3,74.2,80.2,84.1,70.0
10-09,,84.5,61.6,74.3,80.6,65.6,74.3,76.1,64.3,68.7,43.4,71.6,67.7,74.3,43.4,61.9,66.2,74.3,80.2,84.5,70.2
10-10,,85.4,61.5,74.0,80.4,65.2,73.7,76.5,64.9,68.6,43.2,72.0,67.4,73.9,43.2,61.8,65.9,74.0,80.0,85.4,70.3
10-11,,85.7,61.6,73.9,79.8,65.7,73.6,76.5,66.5,68.6,43.7,71.7,67.1,74.2,43.7,62.0,66.7,73.8,79.5,85.7,70.2
10-12,,87.2,61.7,74.8,79.8,65.2,73.0,76.9,68.1,68.6,42.7,71.3,66.6,74.0,42.7,62.1,67.1,74.3,79.6,87.2,69.9
10-13,,87.1,61.6,75.9,80.4,65.2,73.6,76.3,71.3,67.7,43.8,71.2,66.6,74.0,43.8,62.0,66.9,75.2,80.0,87.1,71.3
10-14,,86.8,61.4,76.3,80.8,65.6,73.0,76.2,71.8,68.2,44.5,72.0,66.4,74.6,44.5,61.9,67.0,75.2,80.3,86.8,71.9
10-15,,86.6,61.6,75.8,80.6,65.0,72.8,76.7,71.0,68.0,45.2,71.7,66.2,75.0,45.2,61.9,66.7,74.9,80.2,86.6,71.4
10-16,,86.3,61.9,75.5,80.8,65.6,72.1,76.6,71.0,67.7,45.2,71.9,66.0,,45.2,62.3,66.5,74.5,80.4,86.3,71.4
10-17,,86.1,61.6,76.1,80.7,65.2,72.4,76.3,70.9,67.7,45.0,71.6,65.8,,45.0,62.0,66.4,75.0,80.2,86.1,71.2
10-18,,87.2,61.7,77.5,80.5,65.0,72.4,76.2,70.2,67.6,45.3,71.7,65.7,,45.3,62.1,66.3,75.1,80.2,87.2,70.9
10-19,,86.8,61.6,77.8,80.4,65.3,71.9,76.2,71.4,68.8,45.1,71.6,65.7,,45.1,61.9,66.6,74.9,80.2,86.8,71.5
10-20,,86.2,61.6,78.7,80.2,66.0,72.4,76.5,71.4,68.6,45.6,71.5,65.7,,45.6,62.1,66.8,75.3,80.1,86.2,71.4
