date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,13.5,21.7,10.5,53.5,25.7,19.7,14.3,18.7,24.0,17.3,33.2,78.6,49.0,61.9,60.0,21.6,50.1,25.0,35.9,30.2,43.6,10.5,14.3,21.0,39.8,60.2,78.6,25.4
10-02,12.7,21.6,12.5,51.7,24.4,17.9,13.8,19.0,24.6,16.8,35.1,77.9,50.8,60.8,58.9,22.2,50.3,25.1,36.7,31.1,44.2,12.5,13.7,20.8,40.8,59.1,77.9,24.8
10-03,13.5,21.8,11.1,51.2,24.8,16.7,15.9,19.4,24.2,14.6,34.5,76.9,49.0,62.4,58.6,20.1,49.1,26.3,36.0,31.7,46.6,11.1,14.5,19.9,39.9,59.0,76.9,25.5
10-04,13.5,21.6,11.6,50.4,24.9,16.8,15.0,18.4,23.1,18.5,35.6,76.0,51.0,61.6,58.8,20.6,47.9,25.0,36.5,30.9,50.2,11.6,14.9,20.0,39.9,59.1,76.0,25.0
10-05,12.9,21.9,15.0,51.4,21.8,15.4,16.1,17.5,23.9,16.5,36.5,75.4,50.1,62.6,58.3,33.1,47.4,26.2,34.7,30.5,53.0,12.9,15.4,20.5,39.8,58.8,75.4,28.4
10-06,14.2,22.3,16.4,51.3,25.9,22.6,16.3,19.9,22.5,17.4,36.5,74.2,51.3,62.3,59.0,38.9,47.9,26.3,36.9,31.8,52.9,14.2,16.4,22.4,41.6,59.4,74.2,29.1
10-07,13.9,21.7,15.9,55.3,25.7,22.0,15.9,18.1,22.6,16.4,36.6,74.4,52.2,60.7,57.9,38.2,46.8,24.8,36.4,31.0,52.6,13.9,15.9,21.9,40.8,58.2,74.4,28.4
10-08,12.9,21.3,15.3,60.2,27.9,21.0,16.9,18.1,27.6,17.5,37.3,73.4,53.5,61.1,57.6,39.3,46.6,25.1,37.6,32.4,52.3,12.9,16.7,21.3,41.5,60.3,73.4,30.2
10-09,13.3,21.0,13.3,58.3,30.9,22.9,17.0,18.0,31.8,16.9,38.4,72.5,54.2,60.3,58.9,37.7,45.9,24.7,39.7,31.6,51.9,13.3,16.5,22.3,41.6,59.1,72.5,31.7
10-10,13.5,21.3,14.5,57.4,35.1,22.3,15.6,18.8,31.2,15.1,41.3,72.9,54.2,60.1,58.6,37.7,45.9,25.9,39.7,30.4,52.1,13.5,15.1,22.0,42.7,58.8,72.9,33.1
10-11,12.7,21.5,12.7,57.8,35.6,20.8,15.8,21.1,32.5,15.7,41.6,72.5,54.0,59.7,58.2,37.7,46.2,24.9,40.0,32.8,50.6,12.7,15.4,21.4,43.0,58.4,72.5,34.2
10-12,12.8,20.8,12.5,56.4,36.3,21.2,16.9,21.8,36.9,18.0,42.0,71.5,53.3,59.5,57.5,39.0,44.1,29.0,45.0,33.0,51.2,12.5,16.5,21.7,44.4,57.7,71.5,36.6
10-13,11.3,21.3,16.3,54.8,33.9,19.2,15.9,22.4,37.2,16.1,42.8,71.2,53.0,59.3,55.8,42.3,45.7,27.0,46.2,33.2,49.9,11.3,16.1,22.1,45.8,56.1,71.2,35.5
10-14,12.4,20.4,12.9,55.5,33.6,21.6,25.3,21.6,37.2,17.6,44.5,71.0,52.4,58.5,56.5,43.7,44.6,27.1,45.7,30.7,51.5,12.4,17.1,24.2,44.9,56.7,71.0,35.4
10-15,11.9,19.7,16.7,54.0,35.7,19.3,26.3,22.3,37.3,19.6,47.2,71.0,53.3,58.6,55.4,42.9,44.3,28.0,45.7,32.2,55.2,11.9,19.1,25.1,46.2,55.8,71.0,36.5
10-16,11.7,22.3,15.0,53.2,34.4,20.9,27.3,22.1,37.4,15.9,48.8,70.8,53.4,60.7,55.3,43.3,42.8,27.1,46.8,31.9,,11.7,15.8,25.7,47.4,55.8,70.8,35.9
10-17,11.3,20.7,14.6,55.0,34.3,22.8,28.6,22.1,37.8,17.1,49.2,70.2,53.2,67.8,55.5,45.7,42.7,27.3,48.1,31.7,,11.3,16.8,26.0,48.4,56.7,70.2,36.0
10-18,12.6,19.0,15.2,54.9,33.3,26.4,30.6,22.2,40.5,18.6,49.1,71.1,52.7,71.6,55.1,46.3,43.1,27.7,52.7,31.5,,12.6,18.3,27.3,50.2,56.7,71.6,36.9
10-19,12.7,22.3,13.3,54.2,35.2,25.9,33.2,22.9,40.9,18.2,49.4,70.5,52.9,71.1,56.2,48.3,41.9,27.2,54.4,31.9,,12.7,17.7,26.8,50.5,57.6,71.1,38.0
10-20,13.0,22.3,14.9,53.0,40.7,24.0,34.4,21.2,41.8,17.4,49.2,69.9,52.9,71.1,56.0,51.5,43.8,27.0,54.5,32.4,,13.0,17.2,26.1,51.9,57.4,71.1,41.3
10-21,11.9,33.3,13.7,55.6,41.1,24.1,34.6,22.0,42.8,19.5,48.4,69.6,52.7,70.8,56.0,54.8,42.9,26.1,54.6,31.0,,11.9,18.9,29.6,53.2,57.4,70.8,42.0
10-22,10.5,34.3,13.5,55.9,42.3,24.8,36.5,22.5,41.7,18.6,49.2,69.3,52.1,71.1,55.2,56.7,43.3,27.3,56.1,30.8,,10.5,18.1,29.7,53.0,57.9,71.1,42.0
10-23,11.3,35.7,13.2,55.1,40.9,24.7,36.2,22.7,41.6,17.7,53.4,69.1,51.8,72.8,56.9,56.0,43.1,26.8,56.7,32.1,,11.3,17.3,30.5,53.9,58.1,72.8,41.3
10-24,10.4,40.5,14.4,53.6,42.6,21.9,39.2,21.9,42.4,18.7,53.3,68.4,52.2,73.9,56.3,57.3,43.1,27.2,55.2,31.3,,10.4,18.3,30.1,53.4,58.4,73.9,42.5
10-25,11.3,42.0,14.2,54.9,43.2,23.8,41.2,37.5,40.6,21.3,53.2,68.3,53.3,76.1,54.9,55.4,42.6,27.0,58.4,31.4,,11.3,20.6,35.7,53.8,59.4,76.1,42.3
10-26,10.2,42.3,14.2,54.9,44.0,22.9,40.2,35.0,41.8,21.3,52.6,68.6,52.4,76.8,54.9,56.8,42.1,25.6,72.9,30.9,,10.2,20.6,33.8,53.3,69.1,76.8,42.2
10-27,11.4,48.8,13.5,53.7,43.7,24.5,40.3,36.7,41.4,24.0,52.7,68.3,50.7,75.6,55.1,55.7,43.4,24.4,71.6,31.1,,11.4,22.9,35.0,53.0,68.6,75.6,43.5
10-28,11.1,45.0,15.5,53.9,42.6,23.9,41.0,39.6,38.9,23.4,51.9,68.6,52.8,73.9,54.3,53.8,43.4,24.9,70.9,31.8,,11.1,22.6,36.8,53.1,68.8,73.9,43.0
10-29,11.2,46.1,15.2,53.3,41.2,24.1,39.1,41.4,39.7,23.6,50.9,67.7,51.7,77.1,54.4,54.3,43.3,26.1,72.1,31.7,,11.2,22.7,36.9,52.2,68.2,77.1,42.4
