date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.2,33.9,38.8,76.5,50.5,41.0,42.9,32.1,43.7,41.7,60.2,75.2,46.0,58.5,77.6,27.5,48.8,28.9,43.3,39.5,41.3,27.5,31.7,39.3,49.3,75.4,77.6,43.1
10-02,37.4,33.8,37.5,78.0,55.8,41.9,43.0,32.4,43.5,41.3,59.6,75.3,45.2,55.8,77.0,26.8,47.0,29.1,43.1,39.9,41.0,26.8,32.1,39.2,49.6,75.4,78.0,43.1
10-03,37.1,33.6,37.1,82.0,53.9,41.6,43.2,31.8,43.6,41.5,58.6,74.8,45.3,58.3,76.5,41.7,46.1,28.3,43.2,39.4,45.6,28.3,33.4,40.9,48.4,74.9,82.0,43.2
10-04,36.8,33.7,36.6,79.8,57.1,41.5,44.3,31.9,43.4,40.6,60.0,72.1,44.3,55.9,75.9,50.1,46.0,28.9,42.9,39.2,48.6,28.9,33.5,40.2,51.9,72.5,79.8,43.8
10-05,36.6,33.6,36.8,80.7,57.9,41.5,49.6,32.2,43.4,40.6,59.3,73.6,45.1,60.0,76.7,61.4,45.5,28.6,43.0,39.5,55.0,28.6,33.5,40.2,58.3,73.9,80.7,44.2
10-06,36.7,33.5,36.0,81.3,59.6,49.2,49.2,31.7,43.2,40.3,58.8,71.7,46.6,59.0,76.5,60.2,44.6,29.0,43.0,39.2,54.5,29.0,33.3,40.0,58.9,72.1,81.3,45.6
10-07,36.7,33.6,36.7,81.8,60.2,49.9,50.7,36.8,44.4,40.2,60.8,72.9,48.1,57.8,76.2,58.7,43.9,27.9,42.9,39.2,54.4,27.9,36.4,39.9,58.1,73.2,81.8,46.2
10-08,36.5,33.6,44.4,81.2,60.8,48.4,50.3,42.5,44.4,40.0,60.7,70.3,48.8,60.5,76.0,59.3,43.7,28.0,45.1,39.1,54.0,28.0,36.3,43.3,59.7,70.8,81.2,46.7
10-09,36.4,33.8,45.2,80.1,64.7,49.4,48.9,46.3,44.7,39.5,60.4,70.2,50.0,59.8,75.4,58.8,43.0,28.5,57.9,38.7,53.8,28.5,36.2,44.2,59.1,70.7,80.1,49.1
10-10,36.3,33.9,45.2,79.2,75.5,49.2,48.6,48.1,44.7,39.8,59.5,71.1,48.2,61.3,75.0,57.8,43.3,28.0,58.5,38.7,53.6,28.0,36.1,44.3,58.8,75.1,79.2,48.4
10-11,36.0,33.7,44.2,79.8,79.3,48.7,49.3,46.8,45.1,39.6,60.2,72.1,48.5,61.6,74.9,57.2,42.8,28.0,58.7,38.8,53.4,28.0,35.8,43.7,59.1,75.3,79.8,48.6
10-12,35.6,33.8,43.9,78.7,77.4,49.5,50.8,47.0,54.9,39.6,64.2,69.8,48.0,62.9,74.9,57.4,42.2,41.1,57.5,38.2,53.4,33.8,37.9,43.4,59.1,75.1,78.7,50.2
10-13,35.9,34.1,42.9,78.7,76.4,48.7,52.9,46.2,56.3,39.4,67.4,70.1,48.1,62.7,74.8,57.6,41.7,39.4,57.0,38.5,53.2,34.1,38.2,42.5,59.1,74.9,78.7,50.8
10-14,35.5,34.0,42.8,77.8,74.6,49.2,55.4,44.5,71.0,39.8,69.2,70.6,47.8,62.4,74.4,57.6,42.1,38.9,56.5,38.1,54.0,34.0,37.8,42.6,64.5,74.5,77.8,52.3
10-15,35.2,34.1,42.5,76.6,75.2,50.8,67.9,43.8,71.7,40.4,70.3,70.2,48.7,63.0,74.4,57.6,42.0,38.0,56.3,37.9,55.3,34.1,37.6,42.4,68.6,74.5,76.6,53.5
10-16,35.2,34.2,42.2,77.0,74.0,50.1,67.6,43.7,71.6,41.0,70.5,70.9,48.1,63.2,75.8,56.9,41.9,37.4,55.9,38.1,,34.2,37.2,42.1,68.5,74.2,77.0,53.0
