date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,41.1,52.4,67.5,63.6,42.1,45.9,45.7,26.7,28.0,27.5,43.5,52.2,65.8,26.7,27.6,41.4,50.3,62.5,67.5,44.6
10-02,40.4,52.2,67.1,63.2,41.4,46.6,45.2,26.6,27.6,27.4,43.4,51.9,64.6,26.6,27.4,40.7,50.3,62.1,67.1,44.3
10-03,44.1,51.9,66.7,62.3,40.8,46.6,44.8,26.7,27.2,27.5,43.1,51.3,66.3,26.7,27.3,41.5,49.9,61.2,66.7,44.4
10-04,42.6,51.7,66.3,62.1,40.2,45.8,44.4,26.1,27.1,27.0,42.7,52.3,66.9,26.1,27.0,40.9,50.0,61.1,66.3,43.6
10-05,42.3,51.1,65.8,63.8,40.0,44.8,44.4,30.8,27.0,27.1,42.4,52.4,66.9,27.0,27.5,40.7,49.2,62.7,65.8,43.4
10-06,41.5,51.0,65.1,61.1,41.4,44.2,43.9,31.5,27.4,26.7,44.2,51.8,66.5,26.7,27.8,41.4,49.0,60.2,65.1,44.1
10-07,41.4,50.2,64.9,60.8,42.6,43.6,43.3,40.2,26.8,26.8,43.8,51.6,65.9,26.8,28.1,41.8,48.3,59.9,64.9,43.5
10-08,40.6,50.2,65.0,60.3,41.9,43.2,43.1,40.0,26.7,26.6,43.3,51.5,65.3,26.6,28.1,41.0,48.1,59.4,65.0,43.1
10-09,40.7,49.6,64.7,60.0,42.3,43.1,42.5,42.9,26.8,26.7,50.5,51.0,64.7,26.7,28.1,42.3,50.2,59.1,64.7,43.0
10-10,47.6,49.3,64.2,59.8,42.0,42.7,42.0,46.0,26.6,26.4,51.8,50.9,64.3,26.4,28.1,42.2,50.4,59.0,64.2,46.8
10-11,48.2,49.0,66.9,59.3,41.4,42.3,41.8,46.8,25.9,26.2,51.5,50.4,64.0,25.9,27.7,42.0,50.0,58.5,66.9,47.5
10-12,59.6,48.4,67.4,58.7,41.0,42.1,41.4,49.5,25.6,26.2,51.6,50.1,63.4,25.6,27.6,41.6,51.1,59.5,67.4,49.0
10-13,59.4,53.3,67.4,58.4,41.2,41.8,41.4,49.8,25.5,26.1,51.8,49.7,62.8,25.5,27.6,41.5,52.9,59.3,67.4,49.7
10-14,59.9,58.3,67.0,57.7,40.3,41.3,40.8,49.7,25.6,25.9,56.1,49.4,62.2,25.6,27.3,40.9,57.2,59.7,67.0,49.5
10-15,59.3,60.9,66.9,57.2,40.5,40.6,40.1,49.4,25.5,25.8,57.1,49.0,62.0,25.5,27.2,40.5,57.2,60.7,66.9,49.2
10-16,58.7,60.3,66.5,57.0,40.1,40.7,39.9,49.9,25.4,25.9,59.3,48.9,,25.4,27.3,40.2,58.2,60.2,66.5,49.4
10-17,59.4,59.7,66.2,56.5,39.7,40.2,40.4,49.9,25.8,25.7,60.5,48.6,,25.7,27.2,40.3,58.5,60.4,66.2,49.2
10-18,60.6,59.6,66.3,56.3,39.9,39.9,40.0,50.9,25.8,25.7,63.3,48.2,,25.7,27.2,40.0,58.6,63.0,66.3,49.6
10-19,60.5,59.9,65.9,56.0,57.5,39.4,39.5,51.3,25.2,25.5,63.0,47.8,,25.2,26.9,42.0,59.2,62.7,65.9,53.6
10-20,60.5,59.7,65.8,55.6,56.3,38.8,39.9,51.1,25.7,25.6,63.5,47.6,,25.6,27.0,42.2,58.7,63.2,65.8,53.4
10-21,60.9,59.2,65.5,56.0,57.2,38.3,39.7,51.8,25.3,25.5,63.1,47.3,,25.3,26.8,42.0,58.6,62.8,65.5,53.9
10-22,61.7,59.3,65.6,55.4,59.2,38.1,38.8,54.7,24.9,25.2,62.8,47.0,,24.9,26.5,41.2,59.3,62.7,65.6,55.1
10-23,62.7,59.0,65.3,55.4,58.1,37.7,38.8,60.0,25.1,25.1,62.2,48.1,,25.1,26.4,41.6,59.7,62.6,65.3,56.8
10-24,62.3,58.4,65.1,55.3,57.1,37.5,38.9,60.2,25.1,24.8,62.1,48.0,,24.8,26.4,41.6,59.7,62.3,65.1,56.2
10-25,62.2,57.5,65.2,54.8,55.8,38.8,38.4,59.9,24.7,24.9,61.9,47.9,,24.7,26.3,41.5,59.2,62.1,65.2,55.3
10-26,62.1,56.7,65.4,54.9,55.6,38.8,38.3,60.0,24.8,24.8,67.4,53.2,,24.8,26.1,43.2,59.0,65.1,67.4,55.3
10-27,63.5,56.4,65.2,54.4,55.4,39.1,38.0,60.0,24.9,23.6,68.2,55.8,,23.6,26.2,43.7,59.0,65.1,68.2,55.6
10-28,62.5,55.9,65.6,54.1,54.8,39.0,37.9,62.0,24.7,23.4,68.7,55.5,,23.4,26.0,43.5,60.1,65.3,68.7,55.1
