date,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.7,69.5,62.2,27.3,74.0,52.9,29.8,16.2,34.1,41.7,42.8,16.2,26.1,32.8,55.7,70.0,74.0,39.7
10-02,37.6,68.7,64.9,26.4,73.6,52.6,29.4,16.5,34.0,42.3,42.0,16.5,25.4,32.6,56.3,69.2,73.6,39.9
10-03,38.2,68.0,66.7,25.3,72.9,55.7,29.5,15.5,33.9,42.3,41.4,15.5,24.4,32.6,59.0,68.5,72.9,40.2
10-04,38.4,67.1,66.4,25.5,71.7,57.1,29.6,15.9,32.9,42.5,41.7,15.9,24.6,31.9,59.8,67.5,71.7,40.4
10-05,38.2,66.1,65.9,25.6,71.6,61.1,30.1,15.9,33.6,42.5,42.1,15.9,24.6,32.5,62.6,66.7,71.6,40.4
10-06,37.2,67.8,65.1,25.0,71.3,61.5,37.2,16.9,33.7,41.9,42.3,16.9,24.2,36.1,62.6,68.1,71.3,39.5
10-07,36.8,67.9,64.5,25.9,70.7,60.7,36.5,16.2,33.6,41.9,42.5,16.2,24.9,35.7,61.9,68.2,70.7,39.3
10-08,36.4,68.2,64.0,25.3,70.2,60.0,43.6,16.2,33.3,41.5,42.3,16.2,24.4,35.5,61.2,68.4,70.2,42.6
10-09,35.7,67.4,63.6,25.7,70.2,59.9,49.9,16.7,36.5,41.4,42.5,16.7,24.8,36.3,61.0,67.7,70.2,45.6
10-10,36.3,66.6,63.3,25.6,69.8,59.6,55.8,17.1,42.4,41.3,42.1,17.1,24.7,39.8,60.7,66.9,69.8,49.1
10-11,35.4,66.5,62.2,25.6,69.6,59.7,57.3,15.3,50.6,40.9,42.0,15.3,24.6,39.2,60.4,66.9,69.6,53.9
10-12,35.6,67.7,61.9,25.6,69.1,59.1,58.0,14.9,53.2,40.6,40.9,14.9,24.5,39.1,60.0,67.8,69.1,55.6
10-13,40.2,68.1,61.4,25.7,68.9,59.0,61.6,15.0,55.8,40.5,40.3,15.0,24.7,40.4,61.4,68.2,68.9,57.4
10-14,42.5,69.2,60.8,26.1,68.9,58.6,67.5,14.6,57.2,40.3,43.8,14.6,24.9,41.8,62.8,68.9,69.2,57.9
10-15,42.2,70.0,60.8,25.5,68.6,58.1,68.1,14.9,58.0,40.2,44.1,14.9,24.4,41.6,63.0,68.7,70.0,58.1
10-16,42.4,69.6,60.3,25.5,68.4,57.9,68.0,15.8,57.9,39.8,,15.8,24.5,41.7,62.6,68.5,69.6,57.9
10-17,42.6,70.0,60.1,25.0,68.5,57.8,67.7,15.5,59.6,39.8,,15.5,24.1,41.7,62.4,68.6,70.0,58.7
10-18,41.9,69.9,59.9,25.3,67.7,57.1,67.5,16.2,61.8,39.4,,16.2,24.4,41.2,63.5,67.9,69.9,58.5
10-19,41.4,69.0,60.3,26.9,67.5,57.0,67.9,15.4,64.3,39.3,,15.4,25.8,40.8,65.3,68.0,69.0,58.7
10-20,41.4,67.0,59.7,26.1,67.0,57.3,67.8,15.0,67.7,39.2,,15.0,25.0,40.8,67.0,67.7,67.8,58.5
10-21,41.1,66.8,59.3,29.6,66.7,57.0,68.2,15.1,68.3,39.1,,15.1,28.2,40.5,66.7,68.2,68.3,58.2
10-22,41.2,67.5,59.1,34.5,66.4,56.8,69.2,15.2,71.1,38.4,,15.2,32.5,40.3,66.7,69.4,71.1,58.0
10-23,42.0,68.3,58.7,34.4,66.6,56.2,72.2,14.3,71.9,38.2,,14.3,32.4,40.9,67.1,71.9,72.2,57.4
10-24,41.6,69.7,58.7,34.7,66.5,56.1,76.0,14.4,72.4,37.7,,14.4,32.7,40.4,67.4,72.7,76.0,57.4
10-25,39.8,70.2,58.5,34.1,68.3,56.2,76.5,14.5,73.1,37.5,,14.5,32.1,39.1,68.9,73.4,76.5,57.3
10-26,40.1,70.2,58.3,33.4,69.1,55.7,75.9,15.0,74.0,37.5,,15.0,31.6,39.3,69.5,74.2,75.9,57.0
10-27,39.1,68.9,58.1,34.1,69.5,56.1,75.8,14.8,74.3,37.2,,14.8,32.2,38.5,69.1,74.5,75.8,57.1
10-28,38.8,67.8,57.2,33.6,68.9,55.6,78.0,14.6,74.5,38.2,,14.6,31.7,38.6,68.2,74.8,78.0,56.4
10-29,39.1,66.7,56.7,34.6,69.4,55.6,77.8,14.8,75.2,38.3,,14.8,32.6,38.8,67.5,75.5,77.8,56.1
10-30,39.4,67.2,56.6,34.8,70.9,55.3,77.7,14.1,74.4,38.5,,14.1,32.7,39.1,68.3,74.8,77.7,56.0
10-31,39.6,66.7,56.5,34.6,70.7,52.0,76.0,13.6,74.2,38.8,,13.6,32.5,39.3,67.9,74.4,76.0,54.3
11-01,39.6,66.3,56.1,34.8,74.0,52.1,74.1,14.5,74.2,38.6,,14.5,32.8,39.3,68.6,74.1,74.2,54.1
11-02,39.0,66.5,56.2,35.6,74.3,51.9,73.5,14.5,74.4,38.9,,14.5,33.5,39.0,68.6,74.3,74.4,54.1
11-03,39.6,66.9,55.8,40.7,74.9,51.7,73.7,13.9,75.4,38.9,,13.9,36.4,40.4,68.9,74.9,75.4,53.8
11-04,39.2,66.4,55.8,41.1,74.4,51.6,73.8,15.2,74.9,39.2,,15.2,36.8,40.6,68.6,74.4,74.9,53.7
11-05,39.2,65.6,55.2,40.2,74.5,51.7,73.2,14.1,74.2,39.3,,14.1,36.7,39.9,67.9,74.2,74.5,53.5
11-06,39.3,65.3,57.5,40.3,74.8,50.8,72.7,14.5,74.2,39.5,,14.5,36.8,40.1,67.5,74.2,74.8,54.1
11-07,38.8,65.1,57.2,39.7,74.3,50.8,71.6,14.0,73.7,40.3,,14.0,36.3,40.1,67.1,73.7,74.3,54.0
