date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.4,83.8,46.4,78.1,42.6,45.0,51.5,51.9,51.2,49.5,51.7,88.4,79.4,78.6,84.2,37.1,83.0,36.3,47.5,69.5,81.6,36.3,42.1,48.9,78.3,83.8,88.4,51.6
10-02,50.8,84.8,45.0,80.7,43.6,44.5,52.5,52.5,57.5,51.0,52.0,87.0,79.4,80.6,83.5,36.2,82.2,36.5,47.6,69.0,81.5,36.2,42.9,49.8,79.8,83.6,87.0,52.5
10-03,50.8,83.5,46.0,80.7,43.5,44.8,53.0,52.2,56.5,51.0,52.0,86.5,78.8,80.2,83.9,42.4,81.6,36.5,47.0,68.6,83.9,36.5,43.4,49.6,79.2,83.5,86.5,52.6
10-04,50.5,83.2,44.9,80.7,43.4,44.5,52.2,53.0,56.8,51.2,52.5,86.0,78.6,81.2,83.1,49.2,81.4,36.2,46.9,68.5,85.4,36.2,44.4,50.1,79.3,83.1,86.0,52.8
10-05,50.4,83.1,43.8,90.2,43.5,37.9,52.2,53.0,56.8,51.0,51.7,85.6,78.8,80.9,83.2,65.8,82.0,36.5,47.0,68.4,84.8,36.5,42.9,50.8,79.4,83.5,90.2,54.9
10-06,50.1,83.2,42.5,93.0,44.0,38.5,51.0,52.8,56.5,51.0,52.5,85.1,79.2,80.6,82.2,63.2,83.2,36.4,47.0,68.2,84.1,36.4,42.1,50.7,79.7,83.4,93.0,54.6
10-07,50.4,82.4,43.0,92.5,43.3,37.0,51.2,52.2,56.0,32.9,60.0,85.0,79.4,80.4,81.8,62.4,82.8,36.2,46.6,67.6,83.6,32.9,36.9,49.2,79.7,83.0,92.5,58.0
10-08,50.1,82.2,62.6,92.3,43.9,36.6,51.2,52.0,55.8,32.5,65.3,85.0,79.9,80.6,81.5,62.5,82.1,36.1,46.0,68.0,83.5,32.5,36.6,50.9,80.1,82.5,92.3,62.6
10-09,50.1,82.4,62.0,92.0,69.5,37.1,51.0,51.7,54.8,31.4,68.2,84.8,79.5,80.2,80.4,63.0,81.6,36.4,63.8,67.5,83.2,31.4,37.0,53.8,79.7,82.6,92.0,65.6
10-10,50.1,82.1,67.1,90.5,80.0,38.0,51.5,51.5,54.2,32.1,69.2,84.9,79.4,80.2,80.1,62.9,82.0,36.4,63.4,67.5,83.0,32.1,37.8,53.4,80.0,82.4,90.5,67.3
10-11,50.0,81.8,68.6,89.8,78.9,37.4,68.0,51.5,87.2,33.8,,84.4,79.4,79.6,79.8,65.5,82.6,36.4,77.0,67.2,82.8,33.8,37.2,66.2,79.7,84.9,89.8,77.0
10-12,49.2,81.2,70.9,88.8,77.8,36.4,77.5,51.7,89.2,35.8,82.2,83.9,79.5,79.1,79.9,66.0,81.9,38.8,79.4,67.0,84.1,35.8,38.5,66.7,80.3,84.4,89.2,78.4
10-13,49.6,81.2,72.4,84.0,77.1,35.6,84.0,51.0,89.0,35.1,81.8,83.5,79.1,78.9,79.5,79.9,81.6,44.4,80.6,66.6,84.9,35.1,43.5,70.6,81.4,84.0,89.0,79.3
10-14,48.9,82.6,73.8,83.2,76.5,40.9,87.0,51.0,89.0,34.5,83.8,84.6,79.5,78.6,79.2,79.8,81.4,46.2,80.4,66.5,85.2,34.5,45.7,71.6,81.8,84.9,89.0,79.4
10-15,48.8,80.9,73.4,83.2,76.9,59.1,86.8,50.8,88.0,35.0,84.0,84.9,79.2,84.8,78.6,81.0,81.0,61.6,80.6,66.2,84.6,35.0,50.6,71.2,81.7,85.1,88.0,79.9
10-16,48.4,80.5,73.8,81.1,76.8,59.2,87.2,51.2,87.8,34.9,84.2,84.4,78.9,83.4,82.1,80.5,80.9,60.8,81.0,66.0,,34.9,51.0,71.4,81.4,84.7,87.8,80.5
10-17,48.5,80.5,72.6,87.2,76.6,59.6,85.2,50.8,87.2,33.4,84.2,84.0,78.9,85.0,81.4,80.0,80.6,60.0,81.0,65.9,,33.4,50.5,70.6,82.2,85.4,87.2,80.2
10-18,48.8,80.0,73.4,86.2,76.5,58.8,84.5,51.0,90.0,30.2,83.8,83.9,79.0,84.1,80.9,79.8,80.4,59.6,81.9,65.8,,30.2,50.8,71.1,82.4,84.7,90.0,79.9
10-19,48.8,79.0,73.2,84.5,77.9,58.1,84.0,51.5,90.0,30.9,83.8,84.0,78.9,83.6,80.6,79.4,79.9,59.8,81.5,65.5,,30.9,51.2,70.9,82.1,84.1,90.0,79.2
