date,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,87.8,71.7,76.8,25.3,12.3,14.8,13.2,17.0,17.3,37.0,12.3,13.0,15.7,53.1,79.0,87.8,17.3
10-02,87.5,74.7,75.1,26.1,11.5,15.5,13.6,16.9,18.3,36.5,11.5,13.2,16.1,55.3,77.6,87.5,18.3
10-03,87.2,76.6,73.4,25.9,12.3,16.7,12.2,16.1,17.6,47.1,12.2,12.2,16.3,54.4,78.7,87.2,17.6
10-04,86.6,77.7,74.3,24.7,11.8,16.4,12.9,16.5,17.4,56.9,11.8,12.7,16.4,54.5,79.5,86.6,17.4
10-05,86.4,78.0,74.0,27.4,12.3,15.8,12.6,16.9,16.9,67.7,12.3,12.5,16.2,55.3,79.7,86.4,16.9
10-06,86.5,78.1,73.9,27.0,11.4,16.7,13.3,16.8,17.3,69.3,11.4,12.9,16.7,55.2,79.8,86.5,17.3
10-07,86.8,78.5,73.9,26.9,12.8,16.8,12.5,16.0,16.8,69.3,12.5,12.8,16.3,55.1,80.1,86.8,16.8
10-08,86.4,78.2,75.3,26.9,29.2,16.8,12.2,16.8,16.5,69.0,12.2,15.7,16.8,56.9,79.8,86.4,26.9
10-09,86.4,78.2,74.8,26.4,38.0,17.7,13.3,16.4,17.1,68.6,13.3,15.8,17.3,60.1,79.8,86.4,26.4
10-10,86.4,77.8,65.0,26.5,68.5,17.5,11.6,14.1,16.8,68.1,11.6,13.6,17.1,67.1,79.5,86.4,26.5
10-11,86.6,77.8,64.0,26.5,74.2,16.0,12.8,16.3,17.9,67.2,12.8,15.4,16.9,70.1,79.6,86.6,26.5
10-12,88.3,77.4,62.7,26.7,75.4,17.7,12.0,14.5,17.2,67.7,12.0,14.0,17.4,70.3,79.6,88.3,26.7
10-13,89.6,77.3,62.4,26.5,76.1,17.1,11.6,15.1,16.0,67.3,11.6,14.4,16.4,70.6,79.8,89.6,26.5
10-14,89.6,77.4,60.6,27.2,76.9,16.8,11.8,14.8,16.8,67.3,11.8,14.2,16.8,70.4,79.9,89.6,27.2
10-15,90.8,76.8,60.3,26.7,75.9,17.1,11.6,14.6,16.4,66.6,11.6,14.0,16.7,69.6,79.6,90.8,26.7
10-16,90.8,76.8,58.7,27.3,74.2,17.2,12.5,13.9,16.5,,12.5,13.7,16.8,68.0,79.6,90.8,27.3
10-17,90.8,76.1,58.0,25.0,75.7,18.4,12.5,17.4,16.4,,12.5,15.6,17.8,68.6,79.0,90.8,25.0
10-18,91.4,76.1,58.0,25.8,76.8,16.4,11.8,33.5,16.9,,11.8,15.5,20.4,68.9,79.7,91.4,33.5
10-19,91.9,75.7,58.7,27.5,77.0,17.1,11.2,33.7,16.1,,11.2,15.2,21.3,68.9,80.0,91.9,33.7
10-20,91.7,75.7,,26.6,77.3,17.3,12.0,34.7,16.7,,12.0,15.3,18.2,71.6,81.6,91.7,30.7
10-21,91.3,75.5,,25.5,77.1,16.9,11.9,38.5,16.4,,11.9,15.0,17.8,71.8,81.4,91.3,32.0
10-22,91.3,75.2,,26.4,77.1,16.0,12.1,40.5,15.5,,12.1,14.5,17.1,71.7,81.4,91.3,33.4
10-23,90.8,74.7,,25.2,76.5,15.3,11.1,41.7,15.5,,11.1,14.0,16.5,71.4,80.8,90.8,33.5
10-24,90.4,74.7,,26.8,77.0,17.5,11.3,40.8,15.9,,11.3,14.5,18.4,71.3,81.0,90.4,33.8
10-25,90.5,74.2,,26.1,76.0,15.8,11.1,41.3,14.6,,11.1,13.6,16.8,70.9,80.3,90.5,33.7
10-26,90.0,73.9,,26.4,75.6,16.7,10.9,40.8,14.3,,10.9,13.3,17.7,70.6,79.9,90.0,33.6
10-27,90.0,73.9,,25.3,75.8,16.6,11.0,40.7,18.1,,11.0,14.9,18.8,70.6,80.1,90.0,33.0
10-28,90.1,73.5,,25.8,75.1,15.4,11.1,42.2,28.4,,11.1,14.1,26.0,70.4,79.6,90.1,35.3
10-29,89.9,72.7,,26.0,74.9,15.2,11.0,44.5,28.6,,11.0,13.9,26.2,69.9,79.4,89.9,36.6
10-30,89.5,72.7,,26.6,74.4,16.7,11.0,50.4,29.1,,11.0,15.0,26.9,70.5,78.9,89.5,39.7
