date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,20.6,39.6,33.3,61.0,56.6,37.4,54.6,48.5,29.6,31.0,28.2,41.5,40.7,38.4,20.6,28.5,32.3,44.3,56.2,61.0,39.6
10-02,20.5,39.3,33.0,61.1,58.9,36.7,54.5,48.4,29.4,30.8,28.1,41.4,40.4,38.0,20.5,28.4,32.1,44.2,58.0,61.1,39.3
10-03,20.2,39.3,33.0,60.5,58.7,36.2,54.5,48.3,29.7,30.6,27.8,40.9,40.5,37.7,20.2,28.2,32.0,43.8,57.8,60.5,39.3
10-04,20.4,38.4,32.1,60.3,58.2,35.4,54.7,48.6,30.5,30.5,28.0,41.0,40.7,37.7,20.4,28.5,31.5,44.0,57.5,60.3,38.4
10-05,22.6,38.3,31.8,59.6,57.8,35.3,54.8,48.3,35.0,30.4,28.0,41.0,40.3,37.6,22.6,28.5,33.7,43.9,57.2,59.6,38.3
10-06,49.0,37.9,31.6,59.4,57.5,39.2,54.6,48.1,37.5,30.4,27.9,42.2,40.1,37.6,27.9,30.6,37.7,48.5,56.9,59.4,40.1
10-07,56.4,40.1,31.1,59.8,57.1,39.5,54.4,47.8,39.1,29.8,27.8,43.4,40.0,37.5,27.8,30.1,39.4,50.4,56.9,59.8,40.1
10-08,55.3,40.5,30.2,59.4,56.6,39.4,54.2,47.7,42.0,30.2,27.9,43.4,39.7,37.8,27.9,30.2,39.6,50.3,56.3,59.4,42.0
10-09,55.0,42.8,30.1,59.3,56.3,39.3,54.3,47.4,45.1,29.8,27.7,48.6,39.6,37.7,27.7,29.9,39.5,50.9,56.1,59.3,45.1
10-10,54.1,44.8,30.1,59.0,56.3,39.7,54.3,47.0,47.6,29.8,27.7,50.1,39.4,37.8,27.7,29.8,39.6,51.7,55.9,59.0,47.0
10-11,53.0,50.4,29.9,58.8,55.5,39.5,54.1,46.7,48.2,29.1,27.7,49.7,39.2,37.7,27.7,29.3,39.4,51.4,55.2,58.8,48.2
10-12,52.9,53.7,29.4,59.6,55.0,39.1,54.0,46.8,48.5,28.9,27.3,49.4,38.9,37.3,27.3,29.0,39.1,53.2,54.8,59.6,48.5
10-13,51.7,52.6,29.1,59.8,54.4,38.7,51.8,46.6,50.4,28.8,27.1,49.5,38.9,36.9,27.1,28.8,38.8,51.7,54.0,59.8,49.5
10-14,50.7,51.9,37.7,59.5,54.3,38.6,53.6,46.4,50.8,28.7,27.3,49.7,38.7,38.4,27.3,30.5,38.6,51.2,54.1,59.5,49.7
10-15,50.4,51.5,37.2,59.8,53.9,38.7,53.8,46.1,50.1,29.0,27.3,50.1,38.4,38.5,27.3,30.6,38.5,50.8,53.9,59.8,50.1
10-16,49.3,50.5,36.8,59.8,53.3,38.8,53.3,45.7,49.3,28.9,27.0,50.6,38.1,,27.0,30.5,38.5,50.5,53.3,59.8,49.3
10-17,48.7,49.9,36.8,59.9,52.7,38.3,53.1,46.0,48.6,29.1,26.9,51.5,37.7,,26.9,30.7,38.1,50.6,53.0,59.9,48.6
10-18,47.8,49.8,36.1,59.6,52.0,38.9,53.0,45.8,48.4,29.3,27.1,53.6,37.6,,27.1,30.7,38.3,50.6,53.5,59.6,47.8
10-19,50.1,48.7,35.7,59.7,51.5,44.0,52.9,45.8,49.1,29.2,27.0,55.1,37.3,,27.0,30.5,41.4,50.7,54.6,59.7,48.7
10-20,50.8,48.4,35.3,59.9,51.1,46.6,52.3,46.1,49.2,29.1,26.8,56.1,37.2,,26.8,30.4,42.5,50.9,55.4,59.9,48.4
10-21,50.3,47.5,35.4,59.6,50.9,48.8,51.8,45.8,49.6,28.7,26.8,57.0,36.8,,26.8,30.0,42.2,50.5,56.0,59.6,48.8
10-22,51.3,47.1,35.1,59.1,50.4,57.0,51.5,45.5,50.7,28.3,26.6,58.3,36.6,,26.6,29.7,41.9,51.4,58.0,59.1,50.4
