date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,30.6,30.0,35.0,34.9,32.0,35.4,31.0,33.5,26.1,49.0,71.3,37.6,55.5,44.1,19.7,40.0,18.7,45.8,55.0,46.0,18.7,24.8,31.4,42.5,55.1,71.3,35.0
10-02,30.2,29.8,35.0,35.2,31.8,35.3,30.8,33.5,26.2,48.3,71.5,37.9,55.3,43.5,20.4,39.3,18.6,45.5,53.5,46.4,18.6,25.0,31.2,41.9,53.9,71.5,35.2
10-03,30.3,29.7,39.9,36.4,31.4,35.2,30.5,33.3,25.8,47.8,69.2,37.6,55.5,43.0,30.2,39.0,18.2,45.4,53.5,49.3,18.2,28.9,30.9,41.8,53.9,69.2,36.4
10-04,29.5,27.3,38.5,37.1,32.3,35.3,30.4,33.5,25.3,48.1,68.1,37.6,56.0,43.3,31.7,38.8,18.3,45.3,52.8,50.2,18.3,26.9,31.9,41.5,53.4,68.1,37.1
10-05,29.6,30.0,48.0,37.9,34.1,35.1,30.1,38.6,25.0,47.7,67.5,38.1,55.6,47.1,37.7,38.6,18.3,44.9,52.0,50.4,18.3,28.7,34.5,46.2,52.7,67.5,38.1
10-06,29.3,29.6,50.1,47.2,34.7,34.7,32.8,44.1,24.8,47.5,66.8,38.5,55.0,43.6,39.8,38.2,17.9,44.9,51.5,50.7,17.9,28.4,34.7,46.3,52.2,66.8,39.8
10-07,29.5,29.3,58.8,47.0,35.4,34.9,41.8,45.8,24.9,47.5,65.9,41.4,54.7,46.5,38.9,38.1,17.8,49.3,50.5,50.9,17.8,28.4,36.5,47.3,55.5,65.9,41.8
10-08,29.2,29.3,57.2,47.5,35.3,36.2,47.4,46.6,24.2,47.6,65.2,40.6,54.4,42.9,43.1,37.9,17.4,50.9,50.0,50.4,17.4,28.2,36.9,47.6,54.9,65.2,43.1
10-09,29.3,29.0,57.4,50.5,35.2,36.1,47.3,48.3,24.6,47.2,64.6,40.0,54.3,42.3,45.4,37.8,17.5,55.4,49.5,49.5,17.5,28.1,36.8,49.0,55.8,64.6,45.4
10-10,28.9,29.0,59.2,51.7,34.9,36.7,46.9,49.3,24.4,48.7,63.9,39.6,53.9,42.2,46.0,37.7,17.4,55.8,48.9,49.1,17.4,28.0,37.1,49.2,56.5,63.9,46.0
