date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,30.5,34.5,21.8,20.2,14.9,34.5,31.7,48.1,49.6,29.8,45.0,28.0,18.6,19.5,18.1,25.2,29.7,30.5,14.9,18.4,21.5,32.3,46.3,49.6,29.7
10-02,36.0,40.1,19.7,18.8,15.6,34.5,31.4,47.9,49.4,28.7,44.7,27.9,19.5,19.0,18.2,25.1,29.4,32.4,15.6,18.6,19.7,34.8,46.0,49.4,28.7
10-03,34.8,40.8,20.5,18.6,15.3,33.8,31.4,47.4,48.8,28.0,44.6,27.3,19.9,19.0,17.6,25.1,29.5,34.1,15.3,18.2,20.4,34.0,45.8,48.8,28.0
10-04,35.5,40.1,19.9,19.1,15.6,33.2,31.5,47.1,48.2,27.8,44.1,27.0,20.0,19.1,17.9,24.8,30.1,33.2,15.6,18.6,20.0,33.7,45.3,48.2,27.8
10-05,35.2,39.7,18.8,17.5,18.8,32.0,31.0,46.3,47.7,27.1,43.6,27.5,23.6,18.9,17.9,24.8,29.5,33.3,17.5,18.5,22.6,32.6,44.7,47.7,27.5
10-06,39.3,40.2,20.9,18.2,49.7,32.0,30.6,46.2,47.0,29.7,43.0,27.3,23.9,18.8,17.5,26.6,29.1,33.4,17.5,18.6,26.0,39.5,46.5,49.7,29.7
10-07,56.8,41.3,23.4,17.1,55.5,32.5,30.5,45.9,46.8,30.4,42.5,27.0,25.4,18.6,17.5,26.5,28.9,33.3,17.1,18.2,26.3,41.6,50.2,56.8,30.4
10-08,57.0,40.9,22.1,18.1,55.1,32.4,29.8,45.3,46.3,30.6,42.0,26.9,26.5,18.4,17.5,26.8,28.5,32.9,17.5,18.3,26.7,41.2,49.8,57.0,29.8
10-09,56.8,41.4,24.2,17.7,56.5,33.1,29.6,45.2,45.8,30.5,42.0,26.9,30.1,18.9,17.6,34.5,28.3,32.5,17.6,18.4,28.0,41.5,50.1,56.8,30.5
10-10,58.5,41.4,23.4,17.6,54.9,36.0,29.9,45.4,45.5,30.8,41.8,26.2,30.3,18.5,17.5,33.7,28.2,32.1,17.5,18.1,27.8,41.5,49.3,58.5,30.8
10-11,63.5,41.3,22.2,19.5,54.2,39.3,29.5,44.5,45.1,30.7,41.9,26.5,30.8,17.9,17.4,32.8,27.6,31.8,17.4,18.8,27.3,41.4,48.8,63.5,30.8
10-12,63.1,42.3,23.2,17.9,53.8,49.0,29.1,44.7,44.7,30.8,41.7,26.7,32.5,17.7,17.3,31.9,27.4,31.1,17.3,17.8,27.3,42.8,50.9,63.1,31.9
10-13,61.0,42.1,22.5,17.2,52.7,49.8,28.6,45.0,44.2,30.4,41.3,26.6,32.1,17.4,17.0,32.7,27.1,30.3,17.0,17.3,27.0,42.5,51.0,61.0,32.1
10-14,61.5,42.1,21.8,17.3,51.6,49.5,33.9,45.5,43.9,30.0,40.9,26.0,32.3,18.0,16.9,33.2,26.8,30.2,16.9,17.7,26.7,42.5,50.4,61.5,33.2
10-15,70.7,40.1,21.8,17.4,52.2,51.3,36.0,46.3,43.3,30.2,40.3,26.1,32.0,17.7,17.0,33.6,26.6,30.2,17.0,17.6,26.5,40.9,51.6,70.7,33.6
10-16,72.1,39.8,22.8,17.7,51.6,50.4,35.8,45.7,43.3,29.9,40.4,25.6,31.1,17.6,16.6,34.1,26.4,,16.6,17.7,26.2,41.0,50.9,72.1,34.1
10-17,71.8,41.3,21.3,17.7,49.9,50.1,36.0,45.8,42.8,29.8,40.1,26.2,31.4,17.8,16.9,35.0,26.1,,16.9,17.8,26.2,41.6,50.0,71.8,35.0
10-18,71.0,40.4,21.8,18.0,49.9,50.2,35.5,45.8,42.8,31.0,40.1,25.9,31.1,18.0,16.8,37.7,25.9,,16.8,18.0,25.9,40.9,50.0,71.0,35.5
10-19,70.5,40.3,23.5,17.4,53.7,48.4,35.6,45.8,42.2,42.8,39.9,26.0,31.6,17.8,16.7,38.1,25.7,,16.7,17.6,26.0,42.3,50.5,70.5,38.1
10-20,70.1,40.2,21.7,17.9,53.6,48.0,35.2,45.8,42.1,45.5,39.5,26.6,32.0,17.8,16.7,39.1,25.7,,16.7,17.8,26.4,42.8,50.2,70.1,39.1
10-21,70.4,39.9,24.3,16.9,52.4,47.8,35.6,45.3,42.0,51.4,38.6,25.6,32.7,17.5,16.6,39.2,25.6,,16.6,17.3,25.6,42.6,51.8,70.4,38.6
10-22,68.5,40.0,23.2,16.9,54.1,47.5,35.8,45.5,41.5,50.8,38.7,25.5,34.4,17.3,16.2,39.3,25.3,,16.2,17.1,25.5,42.3,52.2,68.5,38.7
10-23,67.7,40.4,23.8,17.1,56.3,46.7,35.4,45.5,41.3,50.0,38.1,25.7,38.9,17.4,16.4,38.8,25.3,,16.4,17.3,25.6,42.1,52.6,67.7,38.8
10-24,67.1,41.0,23.6,16.6,56.6,46.8,35.1,45.1,41.1,48.5,38.2,25.4,39.2,17.7,16.2,38.7,25.2,,16.2,17.2,25.4,41.9,51.7,67.1,38.7
10-25,68.3,39.1,22.9,17.0,57.3,46.6,34.6,44.9,40.2,48.1,39.2,25.7,39.6,17.0,15.9,38.5,24.6,,15.9,17.0,25.5,41.2,51.8,68.3,39.1
10-26,68.7,39.6,22.6,17.2,56.6,46.4,34.1,45.3,40.1,47.8,39.9,25.4,40.2,17.0,15.3,39.5,24.5,,15.3,17.1,25.2,41.2,51.3,68.7,39.6
10-27,67.3,40.6,23.5,16.7,55.5,45.0,34.4,45.2,39.7,47.3,40.0,25.6,40.1,17.3,14.7,40.7,24.8,,14.7,17.1,25.4,41.6,50.6,67.3,40.0
10-28,67.6,40.3,23.5,16.0,54.7,44.5,34.2,45.1,39.7,46.8,39.9,25.4,39.9,17.2,14.6,41.5,24.9,,14.6,16.7,25.3,42.1,49.9,67.6,39.9
10-29,69.0,38.8,23.2,15.7,54.1,44.4,34.2,45.0,39.0,46.4,39.6,24.9,39.7,16.6,14.9,42.7,24.6,,14.9,16.3,24.9,43.0,49.5,69.0,39.0
10-30,67.5,40.4,24.6,16.0,54.6,45.0,33.7,44.8,38.6,46.1,40.1,25.3,39.7,16.4,15.0,42.7,24.8,,15.0,16.3,25.2,43.1,49.5,67.5,39.7
10-31,66.0,39.0,23.4,16.0,54.8,44.9,34.0,44.9,39.0,46.6,39.6,25.1,38.8,15.7,15.0,42.2,24.8,,15.0,15.9,25.1,42.7,49.9,66.0,39.0
11-01,64.2,34.8,25.9,16.3,52.8,41.8,33.9,44.6,38.6,47.7,39.3,25.1,38.4,15.2,15.2,43.8,24.9,,15.2,15.9,25.8,42.2,49.7,64.2,38.4
11-02,63.4,40.1,25.1,14.7,55.1,44.7,34.0,45.1,38.3,47.5,38.4,25.1,38.5,15.7,15.2,44.5,28.2,,14.7,15.5,27.6,44.5,50.5,63.4,38.4
11-03,63.4,38.6,24.2,15.3,55.2,44.1,33.8,45.0,38.1,47.7,38.7,25.0,38.4,15.7,15.4,44.5,27.5,,15.3,15.6,27.0,44.2,50.7,63.4,38.4
11-04,62.4,39.3,24.9,14.5,55.5,44.0,33.6,45.5,38.0,47.1,38.1,24.7,38.3,15.5,14.8,44.0,27.8,,14.5,15.3,27.2,44.0,50.5,62.4,38.1
11-05,62.9,38.3,25.6,15.6,56.3,43.6,33.7,45.6,37.8,47.0,38.0,24.7,38.2,15.1,15.3,43.9,27.6,,15.1,15.5,27.2,43.7,50.7,62.9,38.0
11-06,61.7,39.3,24.9,18.7,55.5,42.5,33.5,46.1,37.9,46.2,38.1,24.5,37.9,15.6,15.4,43.4,27.8,,15.4,17.4,27.2,42.7,49.9,61.7,37.9
11-07,61.9,38.5,26.2,20.8,55.5,42.9,33.4,45.4,37.9,46.4,38.6,24.3,38.2,15.2,15.4,43.1,28.5,,15.2,18.6,28.0,43.0,50.0,61.9,38.2
11-08,63.1,37.6,27.0,23.1,55.0,42.1,33.4,46.2,37.4,45.9,38.2,23.9,37.8,15.6,14.9,43.2,29.1,,14.9,20.1,28.7,42.3,49.7,63.1,37.6
11-09,63.5,37.5,28.9,21.8,55.1,42.0,33.4,46.2,37.4,45.4,38.2,23.9,37.4,15.5,14.9,42.7,29.1,,14.9,19.3,29.1,42.1,49.8,63.5,37.4
11-10,61.7,38.7,30.4,23.4,54.9,42.0,33.0,46.6,37.6,45.1,37.8,23.6,37.0,15.4,14.8,42.2,29.2,,14.8,20.2,30.1,42.1,49.9,61.7,37.6
11-11,60.2,38.1,29.7,23.1,54.8,42.1,32.9,47.2,37.1,44.8,37.6,24.6,36.4,15.4,14.7,42.3,29.8,,14.7,20.0,29.8,42.2,50.2,60.2,37.1
11-12,60.0,37.4,29.1,21.7,53.7,42.1,32.6,48.1,37.0,44.3,37.8,23.7,35.9,15.9,14.5,42.0,30.5,,14.5,19.4,30.2,42.1,50.4,60.0,37.0
11-13,60.0,37.9,29.8,22.6,54.0,41.3,32.9,49.4,37.3,44.1,37.3,23.2,30.2,15.3,14.3,42.1,31.4,,14.3,19.7,30.1,41.4,51.2,60.0,37.3
11-14,59.3,37.1,30.2,23.2,53.0,41.2,32.5,49.7,36.5,43.7,37.3,23.9,28.0,15.8,14.2,42.1,31.9,,14.2,20.2,29.8,41.4,51.0,59.3,36.5
11-15,58.7,36.9,29.7,22.3,53.2,40.9,32.1,49.2,36.8,43.7,37.0,24.1,27.6,15.5,14.5,41.6,32.3,,14.5,19.6,29.2,41.0,50.8,58.7,36.8
11-16,58.8,37.8,29.7,21.6,53.3,41.4,32.5,48.9,36.9,43.3,37.0,23.8,26.7,15.5,14.2,41.8,32.7,,14.2,19.1,29.1,41.5,50.7,58.8,36.9
11-17,57.2,37.2,30.7,21.4,52.3,41.2,32.9,48.6,36.5,43.3,37.0,23.6,26.7,15.6,14.3,41.8,33.1,,14.3,19.1,29.9,41.3,50.1,57.2,36.5
11-18,55.8,37.8,30.3,22.9,50.2,40.7,32.8,48.8,36.9,42.8,36.4,23.6,26.0,15.6,14.3,41.3,33.6,,14.3,19.9,29.5,40.8,49.3,55.8,36.4
11-19,57.6,37.1,30.5,22.1,52.4,40.2,32.7,48.3,36.3,43.3,36.2,23.4,25.1,15.7,14.4,41.2,33.8,,14.4,19.6,29.4,40.4,49.9,57.6,36.2
11-20,53.0,37.1,30.2,22.1,52.1,40.5,33.3,47.4,36.2,42.8,35.9,23.0,24.1,15.6,14.4,41.0,33.4,,14.4,19.5,29.0,40.6,49.3,53.0,35.9
11-21,51.2,35.8,26.9,21.5,51.8,40.5,34.0,47.2,36.5,43.0,35.8,23.1,23.5,15.6,14.4,40.8,33.3,,14.4,19.2,26.2,40.6,48.8,51.8,35.8
11-22,50.8,36.2,30.3,21.1,51.6,40.4,34.4,46.9,36.4,43.1,35.8,23.0,23.3,16.1,13.8,40.4,33.2,,13.8,19.1,28.9,40.4,48.4,51.6,35.8
11-23,50.6,34.0,29.3,20.9,52.3,40.2,34.6,47.2,35.8,42.7,36.2,23.1,23.3,16.0,14.4,39.7,32.8,,14.4,19.0,28.1,39.8,48.5,52.3,34.6
11-24,51.3,32.8,29.4,20.0,52.0,39.9,34.4,47.4,35.7,43.3,35.6,23.0,23.9,15.4,14.1,38.9,32.1,,14.1,18.2,28.3,39.1,48.9,52.0,34.4
11-25,48.7,28.4,28.7,18.8,52.3,39.1,35.3,46.9,36.2,43.1,35.9,23.3,23.1,15.8,14.2,37.2,30.8,,14.2,17.6,27.4,37.6,47.6,52.3,35.3
11-26,47.7,27.5,28.7,18.8,52.2,39.0,35.3,47.0,36.1,43.6,35.9,23.1,22.6,15.2,13.6,33.9,30.3,,13.6,17.4,26.6,36.7,47.3,52.2,33.9
