date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,7.2,5.2,4.3,2.9,5.3,4.6,4.0,4.3,3.1,20.8,48.3,6.0,16.0,20.5,3.8,11.0,5.3,5.8,5.5,6.0,2.9,3.6,4.4,6.7,20.6,48.3,5.3
10-02,7.5,5.0,6.2,2.9,5.5,4.3,4.0,4.5,3.1,20.5,48.6,6.2,16.3,21.0,3.8,13.0,5.3,5.8,5.7,6.2,2.9,3.6,4.7,7.0,20.6,48.6,5.7
10-03,7.2,5.2,8.3,3.1,4.4,4.1,4.0,4.0,3.3,19.9,49.2,5.7,15.8,19.5,4.0,12.8,5.5,5.8,5.7,7.7,3.1,3.8,4.2,7.9,19.6,49.2,5.7
10-04,7.4,5.2,7.5,3.4,5.3,4.0,4.1,4.5,3.1,18.0,49.9,5.8,16.9,20.0,4.3,12.7,5.5,5.3,5.3,21.6,3.1,3.8,4.7,7.4,18.4,49.9,5.3
10-05,7.9,5.2,8.8,3.1,11.5,3.4,4.1,4.5,3.3,18.7,48.2,4.8,18.5,20.9,8.6,12.9,4.8,5.3,5.5,23.6,3.1,3.4,4.8,10.5,19.2,48.2,5.5
10-06,6.9,5.2,10.1,3.6,18.5,4.3,4.3,4.5,2.9,20.4,46.5,4.3,17.9,20.1,17.6,12.9,5.0,5.7,5.7,23.0,2.9,4.2,4.7,15.7,20.1,46.5,5.7
10-07,6.7,4.8,15.6,3.1,20.6,3.9,4.0,4.3,2.6,,48.5,4.9,18.0,19.2,15.6,12.2,5.0,5.7,5.5,22.4,2.6,3.7,4.8,15.2,19.6,48.5,5.6
10-08,6.8,4.6,15.9,3.4,19.5,4.6,3.8,3.8,2.7,25.3,48.1,5.6,17.9,19.9,17.1,13.1,5.0,5.5,5.7,21.7,2.7,3.7,4.8,16.6,21.0,48.1,5.7
10-09,6.5,5.5,20.4,2.1,18.7,3.8,5.5,4.0,2.9,24.6,47.5,6.4,19.9,18.4,16.1,13.4,5.0,5.3,5.3,21.6,2.1,3.6,5.3,17.5,21.2,47.5,6.4
10-10,7.0,4.8,24.1,2.4,17.4,3.6,4.7,4.0,2.4,24.6,45.7,7.4,22.3,18.4,16.2,11.3,4.8,5.3,5.5,21.0,2.4,3.4,4.8,16.9,24.2,45.7,7.0
10-11,7.8,5.0,25.4,4.8,17.8,3.6,5.7,3.8,2.7,24.5,44.4,6.0,21.7,17.9,17.8,11.4,5.0,5.3,5.8,20.4,2.7,3.7,5.1,17.8,24.7,44.4,6.0
10-12,7.0,5.0,25.5,4.5,16.4,3.4,5.4,4.3,2.6,24.4,45.5,6.7,21.1,17.9,17.5,10.3,4.8,5.2,5.5,20.6,2.6,4.1,5.0,17.0,24.6,45.5,6.7
10-13,6.9,5.2,26.6,5.2,16.7,4.4,4.5,4.1,2.9,25.3,44.1,6.4,21.4,18.3,17.6,10.8,4.3,5.0,5.5,20.4,2.9,4.3,5.1,17.2,25.5,44.1,6.4
10-14,7.6,4.5,28.1,5.7,16.4,10.2,4.3,4.1,2.6,23.4,42.7,5.8,20.9,17.4,17.7,11.0,4.8,5.9,5.5,21.3,2.6,4.3,5.6,17.0,24.4,42.7,7.6
10-15,6.2,4.6,26.3,2.7,18.0,14.2,4.7,3.6,3.2,26.1,44.2,7.8,20.9,18.1,18.4,11.7,5.0,6.3,5.7,23.4,2.7,3.5,5.3,18.1,26.1,44.2,7.8
10-16,6.3,4.5,28.7,3.2,17.7,16.6,3.7,4.0,2.9,25.3,41.8,7.2,21.0,17.1,18.3,10.9,4.8,6.9,5.5,,2.9,3.6,5.1,17.5,26.0,41.8,7.2
10-17,6.9,4.5,33.0,4.7,24.6,15.2,4.1,4.1,2.9,23.9,43.7,7.7,20.7,19.2,16.6,11.2,4.6,7.0,5.0,,2.9,4.1,4.8,18.1,26.2,43.7,7.7
10-18,6.9,5.1,32.7,4.5,23.3,17.2,4.0,8.5,3.1,24.5,42.7,6.9,21.7,20.6,18.7,10.7,4.6,8.2,5.7,,3.1,4.4,6.2,19.8,26.2,42.7,8.5
10-19,6.9,5.2,35.4,5.3,21.8,16.0,4.7,9.8,2.6,23.7,43.0,7.5,22.2,19.3,19.0,9.5,4.5,8.9,5.0,,2.6,4.7,5.9,19.2,26.0,43.0,9.5
10-20,6.5,5.0,37.8,4.9,22.2,18.3,4.1,8.5,3.2,22.9,41.5,13.6,20.9,18.7,18.3,9.1,4.8,10.3,5.7,,3.2,4.7,6.0,18.5,25.9,41.5,10.3
10-21,6.9,4.5,42.9,9.2,21.8,17.2,4.2,10.0,2.2,22.9,41.5,14.9,21.6,18.9,19.7,11.2,5.0,11.2,5.5,,2.2,4.4,7.8,19.4,26.6,42.9,11.2
10-22,7.1,4.5,41.6,8.4,21.5,17.2,4.1,10.1,2.7,23.0,40.3,14.9,23.3,18.0,19.1,10.2,5.0,12.7,5.2,,2.7,4.4,7.6,18.6,26.7,41.6,12.7
10-23,7.5,5.3,40.7,10.4,20.0,16.7,3.9,9.5,3.6,22.5,41.9,15.3,24.6,18.9,21.6,10.2,5.2,14.8,5.3,,3.6,4.9,8.3,19.6,27.8,41.9,14.8
10-24,7.7,5.2,41.0,8.6,18.7,18.0,6.4,10.2,3.6,22.2,42.6,16.0,25.1,19.6,24.3,9.3,5.3,16.1,5.2,,3.6,5.2,8.1,19.2,28.3,42.6,16.0
10-25,8.1,4.6,40.7,11.6,19.0,19.5,20.5,10.6,2.4,22.8,41.9,14.5,28.7,20.5,23.0,11.1,5.2,17.9,5.2,,2.4,5.1,10.8,20.5,31.1,41.9,17.9
10-26,8.6,4.6,43.0,13.5,19.3,19.1,17.5,11.6,3.2,22.5,42.1,14.1,27.1,20.9,24.3,10.7,4.5,22.0,5.2,,3.2,4.6,11.0,21.5,30.1,43.0,17.5
10-27,8.7,4.6,41.8,13.1,19.0,16.5,18.2,10.4,3.6,21.8,39.5,14.0,26.0,20.8,22.1,9.3,4.5,21.1,4.8,,3.6,4.6,9.7,21.0,28.7,41.8,16.5
10-28,9.9,5.3,42.7,12.7,18.0,19.1,19.9,9.4,4.0,21.6,39.0,14.9,26.6,20.1,23.9,9.0,4.5,21.1,4.8,,4.0,4.7,9.6,20.7,29.0,42.7,18.0
10-29,9.5,7.4,41.4,13.6,19.7,17.4,19.8,10.5,4.2,22.4,41.0,14.6,30.4,20.4,26.2,11.3,4.1,21.1,4.8,,4.1,4.7,10.8,20.8,32.5,41.4,17.4
10-30,9.8,6.8,39.3,15.3,17.8,19.1,17.7,9.2,6.0,22.3,39.8,14.9,30.4,21.3,27.5,9.3,4.1,21.7,5.2,,4.1,5.8,9.5,21.6,32.2,39.8,17.7
10-31,11.2,6.9,40.4,18.1,17.2,17.3,18.0,8.4,7.5,21.7,40.5,13.2,34.7,19.9,26.9,10.5,4.8,24.2,4.8,,4.8,6.5,10.7,21.0,35.9,40.5,17.3
11-01,11.7,7.8,40.7,21.1,18.3,17.1,18.9,8.3,8.9,22.4,38.7,16.2,38.8,20.6,27.6,10.5,4.3,30.5,4.6,,4.3,7.2,11.0,21.9,38.7,40.7,18.3
11-02,11.9,6.8,41.1,23.8,17.4,18.0,20.7,8.2,8.0,21.8,38.9,16.7,40.4,20.1,29.4,10.9,3.8,44.3,5.0,,3.8,6.4,11.3,23.0,40.5,44.3,18.0
11-03,11.7,7.1,40.4,25.3,19.6,18.3,19.0,8.3,8.6,21.4,38.1,15.8,41.5,19.2,30.5,10.3,4.1,55.1,5.0,,4.1,6.6,10.8,23.7,40.6,55.1,19.0
11-04,12.1,7.1,40.0,25.0,23.4,17.7,20.2,8.4,9.5,22.3,37.4,17.4,41.5,21.0,32.3,9.3,4.5,52.2,4.6,,4.5,6.6,10.5,24.4,40.3,52.2,20.2
11-05,12.9,6.5,38.2,24.8,23.1,19.0,20.1,9.3,9.4,22.0,36.9,19.1,42.8,21.3,33.2,9.4,4.6,50.7,4.8,,4.6,6.2,10.8,24.1,39.1,50.7,20.1
11-06,13.2,7.2,40.4,26.5,24.6,18.7,21.5,10.1,10.3,22.5,37.7,17.6,42.1,20.5,31.7,9.3,3.8,49.6,4.6,,3.8,6.7,11.5,25.7,40.7,49.6,20.5
11-07,12.9,8.1,37.8,25.8,23.4,19.0,19.9,8.2,11.9,21.8,39.4,18.4,42.2,20.3,31.4,8.4,4.6,48.6,4.8,,4.6,7.5,12.3,24.9,39.9,48.6,19.9
11-08,12.7,8.5,39.5,26.5,23.3,19.2,22.9,9.2,14.8,20.7,38.5,17.2,41.5,19.8,32.6,9.0,4.5,48.0,4.8,,4.5,7.7,13.5,25.3,39.9,48.0,19.8
11-09,15.4,7.7,42.3,27.9,24.1,20.4,21.1,8.2,14.7,22.0,39.1,16.4,43.0,20.5,33.3,10.9,5.0,47.4,4.5,,4.5,7.2,15.0,26.4,42.4,47.4,20.5
11-10,16.9,8.1,41.6,24.5,22.4,18.3,21.9,9.0,15.1,20.9,40.2,14.5,42.5,20.3,31.4,9.5,4.5,46.7,4.5,,4.5,7.4,14.8,23.6,41.8,46.7,20.3
11-11,18.2,10.1,42.3,24.1,22.4,17.8,21.2,9.1,15.9,20.9,37.5,15.1,42.6,19.7,31.8,8.5,4.6,47.3,4.5,,4.5,7.7,15.4,23.4,42.4,47.3,19.7
11-12,18.5,13.2,44.4,25.9,23.3,20.7,22.7,8.5,16.0,22.7,38.6,16.5,41.0,21.5,31.9,10.3,4.1,47.4,4.5,,4.1,7.7,16.2,24.9,41.7,47.4,21.5
11-13,19.1,11.1,43.5,26.3,22.6,19.7,20.4,9.9,16.1,23.2,37.7,16.1,42.5,20.7,31.0,8.6,4.5,47.7,4.6,,4.5,7.8,16.1,25.1,42.7,47.7,20.4
11-14,18.7,12.4,44.3,28.8,22.9,21.8,21.2,9.7,15.4,23.3,37.0,14.2,42.1,20.9,30.2,9.8,4.5,48.2,4.3,,4.3,8.6,14.7,26.6,42.5,48.2,21.2
11-15,18.3,13.6,42.0,29.3,23.6,21.7,22.0,9.6,15.5,21.2,37.1,16.3,40.8,21.3,30.7,10.3,4.6,48.3,4.5,,4.5,8.6,15.8,27.0,41.1,48.3,21.3
11-16,18.5,13.1,43.0,29.0,22.3,21.7,23.2,9.7,15.4,19.8,36.6,14.2,41.8,19.9,31.0,11.4,4.1,49.4,4.6,,4.1,8.7,14.7,26.7,42.1,49.4,19.9
11-17,19.7,11.0,42.5,27.2,23.7,22.0,23.7,9.6,16.0,23.7,37.2,16.3,41.4,20.5,29.8,8.6,4.3,51.5,4.6,,4.3,7.8,16.1,25.8,41.6,51.5,22.0
11-18,20.8,13.4,43.3,28.0,23.2,20.0,21.0,8.7,16.0,22.5,37.0,15.1,41.5,26.7,30.1,11.1,,50.3,4.6,,4.6,10.4,16.4,27.9,42.0,50.3,21.7
11-19,21.4,14.5,42.8,28.5,22.3,20.5,22.2,8.3,15.9,22.0,37.2,15.0,40.4,26.0,29.4,10.5,4.5,48.9,4.6,,4.5,7.6,15.4,27.5,40.9,48.9,22.0
11-20,22.0,14.6,43.5,30.0,20.8,21.5,23.0,9.1,16.8,21.7,35.6,13.3,39.2,27.3,29.5,9.9,4.1,47.8,4.5,,4.1,8.2,15.5,28.6,40.1,47.8,21.7
11-21,22.3,13.3,42.8,29.5,22.0,20.3,22.3,8.3,16.6,22.0,37.5,14.2,40.6,24.9,29.4,10.6,4.5,47.2,4.5,,4.5,7.5,15.2,27.6,41.1,47.2,22.0
11-22,22.7,14.4,41.8,29.6,21.5,20.6,23.7,9.5,16.8,22.7,35.5,13.6,43.1,28.7,28.9,9.0,4.5,46.5,4.5,,4.5,8.1,15.4,28.8,42.1,46.5,22.7
11-23,22.9,14.4,43.7,30.5,22.4,20.1,25.2,10.7,16.8,23.5,35.7,13.7,44.5,29.1,29.6,10.5,4.1,45.8,4.6,,4.1,9.3,15.4,29.4,43.9,45.8,22.9
11-24,24.7,15.8,41.4,29.4,19.6,20.3,25.7,10.5,16.6,22.1,35.3,15.3,44.1,31.0,29.2,9.1,4.1,44.9,4.6,,4.1,8.2,16.1,29.3,41.9,44.9,22.1
11-25,24.2,15.1,42.2,28.3,18.6,20.2,25.3,9.1,16.6,21.8,36.7,15.3,44.2,34.7,29.1,11.3,4.1,44.3,5.1,,4.1,8.3,15.8,28.8,42.6,44.3,21.8
11-26,25.0,16.1,43.4,28.1,20.9,20.3,24.2,9.2,15.9,22.0,36.4,14.4,44.1,33.0,29.7,9.1,4.1,43.8,4.9,,4.1,8.2,16.0,29.0,43.5,44.1,22.0
11-27,25.7,14.7,41.9,28.1,20.9,21.3,25.9,10.3,16.5,23.5,35.0,13.0,43.8,38.9,29.4,9.5,4.1,43.0,4.9,,4.1,8.6,15.4,28.9,42.2,43.8,23.5
11-28,27.6,15.3,40.9,27.4,19.8,21.4,27.2,10.4,16.3,23.2,35.2,13.6,46.1,45.2,28.8,9.4,4.3,42.3,5.1,,4.3,8.5,15.7,28.3,42.8,46.1,23.2
11-29,27.1,16.0,42.3,27.2,20.4,21.0,27.5,9.0,16.3,24.7,36.9,14.0,43.9,45.5,29.9,8.9,4.5,41.9,5.2,,4.5,8.2,16.1,28.9,42.6,45.5,24.7
11-30,26.7,17.2,40.4,26.7,19.2,20.1,26.7,9.7,16.1,23.4,35.4,15.0,46.0,46.3,29.9,9.5,4.3,41.4,5.2,,4.3,8.7,16.6,28.6,42.4,46.3,23.4
12-01,26.7,17.3,41.0,26.7,21.4,21.4,28.4,10.3,15.9,24.5,37.3,13.5,46.0,46.2,28.6,8.7,4.5,41.3,5.7,,4.5,8.1,16.5,28.6,42.2,46.2,24.5
12-02,27.2,17.8,40.4,27.1,20.9,21.2,28.2,9.5,16.7,25.0,37.6,14.2,46.3,43.4,30.0,8.7,4.6,40.6,5.8,,4.6,8.2,17.1,29.3,41.2,46.3,25.0
12-03,27.2,18.1,40.7,25.7,21.7,21.4,26.3,9.4,18.0,,35.4,12.8,45.2,43.6,30.2,9.3,4.6,40.2,5.8,,4.6,8.2,18.0,29.9,41.6,45.2,23.7
12-04,27.6,15.6,39.8,27.9,18.9,20.0,27.7,9.8,18.0,23.3,36.3,13.0,44.8,44.7,29.6,9.6,4.3,40.2,5.9,,4.3,8.9,16.6,28.9,41.1,44.8,23.3
