date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.3,72.5,57.2,28.2,75.9,59.4,32.1,30.2,26.6,32.4,32.6,48.9,26.6,28.2,32.1,57.2,72.5,75.9,32.6
10-02,45.7,71.8,60.8,27.7,75.3,59.4,31.8,30.3,26.7,32.4,32.8,49.5,26.7,27.7,31.8,59.4,71.8,75.3,32.8
10-03,46.0,71.0,64.0,27.0,74.3,60.4,32.5,29.6,26.3,32.0,32.3,52.9,26.3,27.0,32.0,60.4,71.0,74.3,32.5
10-04,46.5,70.0,63.9,27.1,73.2,61.9,32.3,30.0,26.4,31.5,32.3,52.5,26.4,27.1,31.5,61.9,70.0,73.2,32.3
10-05,45.5,69.1,63.3,27.0,72.9,67.7,42.1,30.0,26.5,31.9,32.4,52.4,26.5,27.0,31.9,63.3,69.1,72.9,42.1
10-06,45.3,71.6,62.7,26.6,72.9,68.3,52.4,30.1,26.4,31.8,31.6,52.4,26.4,26.6,31.6,62.7,71.6,72.9,45.3
10-07,44.2,71.6,62.0,26.6,72.4,67.8,51.7,29.8,26.2,34.8,31.8,52.4,26.2,26.6,31.8,62.0,71.6,72.4,44.2
10-08,45.0,71.1,62.0,26.4,72.2,67.3,52.6,29.8,25.9,33.9,31.6,52.0,25.9,26.4,31.6,62.0,71.1,72.2,45.0
10-09,43.9,70.6,61.7,26.8,71.7,66.9,56.0,29.8,25.9,39.3,31.4,51.7,25.9,26.8,31.4,61.7,70.6,71.7,43.9
10-10,44.2,69.7,61.1,26.6,71.7,66.8,60.3,30.4,26.0,42.6,31.3,51.2,26.0,26.6,31.3,61.1,69.7,71.7,44.2
10-11,43.9,69.8,60.4,26.9,71.4,66.6,62.3,29.2,26.0,51.5,31.3,50.9,26.0,26.9,31.3,62.3,69.8,71.4,51.5
10-12,43.7,72.0,60.3,26.8,71.0,66.5,63.1,28.6,25.6,53.7,31.0,49.8,25.6,26.8,31.0,63.1,71.0,72.0,53.7
10-13,47.3,72.6,59.6,26.9,70.6,66.2,63.9,28.4,25.4,56.7,30.7,48.7,25.4,26.9,30.7,63.9,70.6,72.6,56.7
10-14,49.6,74.6,58.8,27.0,70.3,65.5,64.3,28.9,25.5,57.8,30.3,53.5,25.5,27.0,30.3,64.3,70.3,74.6,57.8
10-15,49.1,75.1,58.8,26.6,70.0,65.3,64.1,28.8,25.7,58.6,30.4,53.8,25.7,26.6,30.4,64.1,70.0,75.1,58.6
10-16,49.1,75.3,58.4,27.0,69.8,65.1,64.0,29.1,25.0,59.0,30.2,,25.0,27.0,30.2,64.0,69.8,75.3,58.4
10-17,49.5,76.8,58.1,26.7,69.4,64.6,63.8,28.9,25.2,60.1,29.9,,25.2,26.7,29.9,63.8,69.4,76.8,58.1
10-18,49.1,76.7,58.1,27.0,68.4,64.3,63.4,29.3,24.9,62.1,29.8,,24.9,27.0,29.8,63.4,68.4,76.7,58.1
10-19,48.5,75.9,58.0,29.1,68.0,64.4,63.5,28.6,25.1,64.3,29.8,,25.1,28.6,29.8,64.3,68.0,75.9,58.0
10-20,48.7,73.7,57.0,28.2,67.7,64.4,63.5,28.7,25.3,66.3,29.5,,25.3,28.2,29.5,64.4,67.7,73.7,57.0
10-21,48.3,73.5,56.9,31.7,67.4,63.8,63.7,28.2,24.9,67.3,29.2,,24.9,28.2,31.7,63.8,67.4,73.5,56.9
10-22,48.4,73.5,56.6,34.0,67.5,63.4,65.5,28.4,25.1,68.8,29.0,,25.1,28.4,34.0,65.5,68.8,73.5,56.6
10-23,47.8,74.8,56.3,37.2,67.2,62.9,68.2,28.1,25.0,71.8,28.7,,25.0,28.1,37.2,67.2,71.8,74.8,56.3
10-24,48.2,76.2,55.8,36.7,67.3,63.1,73.3,28.2,24.5,72.4,27.6,,24.5,27.6,36.7,67.3,73.3,76.2,55.8
10-25,47.0,77.1,55.8,36.3,71.0,62.7,73.9,28.2,24.4,73.3,27.6,,24.4,27.6,36.3,71.0,73.9,77.1,55.8
10-26,47.3,77.2,55.5,35.5,71.8,62.7,73.4,28.2,24.0,74.5,27.2,,24.0,27.2,35.5,71.8,74.5,77.2,55.5
10-27,46.2,74.9,54.8,36.6,71.7,62.5,73.7,28.5,23.7,75.1,27.0,,23.7,27.0,36.6,71.7,74.9,75.1,54.8
10-28,46.3,73.5,53.8,36.1,71.6,62.2,76.7,28.0,23.8,75.3,27.2,,23.8,27.2,36.1,71.6,75.3,76.7,53.8
10-29,46.2,72.7,53.6,36.1,72.2,62.4,77.0,27.8,23.4,76.5,27.1,,23.4,27.1,36.1,72.2,76.5,77.0,53.6
10-30,46.4,72.5,53.8,36.5,73.9,62.0,76.2,27.5,22.9,76.2,27.2,,22.9,27.2,36.5,72.5,76.2,76.2,53.8
