date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,29.4,27.2,26.0,34.1,36.2,18.4,17.7,18.2,38.4,28.7,49.0,53.3,42.2,54.2,26.3,19.2,18.0,16.8,29.8,36.7,35.0,16.8,17.9,24.0,36.3,49.4,54.2,29.1
10-02,29.5,27.6,25.4,33.9,38.1,16.3,16.5,18.1,37.9,28.2,48.7,54.3,40.5,54.1,25.5,18.8,16.9,17.0,29.5,36.5,37.8,16.3,16.9,23.4,36.9,49.2,54.3,28.8
10-03,38.8,35.5,25.6,33.1,38.1,16.2,16.6,18.0,37.3,28.4,48.0,54.0,39.8,53.7,25.5,19.2,17.1,16.2,29.2,37.2,40.3,16.2,16.6,23.6,37.5,48.5,54.0,31.1
10-04,70.8,39.2,24.5,32.8,38.2,15.7,16.8,18.1,36.4,27.8,47.1,53.4,39.4,52.9,25.5,20.9,17.3,16.6,29.1,38.2,39.3,15.7,16.8,23.4,38.5,53.0,70.8,30.9
10-05,63.5,38.9,24.2,32.8,37.2,15.1,15.6,28.4,36.3,27.6,46.4,52.4,38.5,52.6,26.0,29.2,17.1,16.6,29.0,37.7,38.7,15.1,16.5,27.1,37.9,52.4,63.5,31.0
10-06,60.5,39.2,24.0,40.9,40.6,15.9,15.5,71.8,36.3,27.0,46.3,51.9,43.1,51.9,25.7,28.3,17.1,16.1,33.9,37.1,37.9,15.5,16.1,26.6,41.5,52.8,71.8,36.7
10-07,57.2,38.4,23.5,54.2,40.3,15.9,15.2,69.1,36.6,26.4,46.3,51.1,44.9,51.3,25.3,30.1,16.7,16.4,34.1,36.7,37.6,15.2,16.4,26.1,45.3,54.5,69.1,36.7
10-08,55.1,37.0,23.5,53.7,39.4,15.3,15.8,66.1,37.6,26.2,45.8,50.5,45.2,50.6,25.2,31.5,16.6,16.0,34.3,36.1,37.2,15.3,16.0,25.9,45.4,53.9,66.1,36.6
10-09,54.5,35.9,23.0,53.6,40.3,16.0,15.7,62.8,41.3,25.4,46.5,50.1,45.3,50.5,25.3,33.2,17.2,16.4,46.5,35.7,36.6,15.7,16.4,25.4,46.5,53.7,62.8,38.1
10-10,52.9,35.3,23.7,55.0,40.4,15.4,15.5,61.0,45.3,25.7,46.3,49.8,45.7,50.4,24.7,33.6,16.8,16.1,45.5,35.6,36.6,15.4,16.1,25.4,45.9,53.1,61.0,38.0
