date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,29.4,27.2,26.0,33.4,37.1,16.3,16.0,14.6,38.6,21.1,44.5,47.2,36.5,49.6,24.2,14.9,15.0,13.6,27.0,37.5,32.7,13.6,14.8,19.7,36.7,44.8,49.6,27.1
10-02,29.5,27.6,25.4,33.1,39.3,13.3,14.6,14.8,38.1,21.0,44.6,48.9,35.1,49.3,23.5,14.4,14.1,13.9,26.8,37.1,36.5,13.3,14.1,19.1,35.7,45.1,49.3,27.2
10-03,38.8,35.5,25.6,32.6,39.4,13.4,14.9,14.5,37.5,21.5,43.8,48.3,34.3,49.3,23.7,15.1,14.4,13.0,26.4,38.2,39.9,13.0,14.3,19.6,37.7,44.2,49.3,29.5
10-04,70.8,39.2,24.5,32.0,39.7,12.7,14.6,14.5,36.5,20.8,42.8,47.6,33.7,48.2,23.8,16.9,14.2,13.4,26.4,39.5,38.9,12.7,14.1,19.6,39.3,47.7,70.8,29.2
10-05,63.5,38.9,24.2,32.4,38.4,12.4,13.7,28.9,36.6,21.0,42.2,46.7,32.9,47.7,23.9,28.1,14.1,13.6,26.3,38.9,38.2,12.4,13.7,24.1,38.6,46.8,63.5,30.6
10-06,60.5,39.2,24.0,43.0,43.1,13.1,13.5,66.8,37.1,20.2,42.1,46.5,37.4,46.9,23.6,26.7,14.1,13.0,32.6,38.2,37.3,13.0,13.4,23.9,42.4,48.3,66.8,37.3
10-07,57.2,38.4,23.5,61.7,43.0,13.2,13.3,63.7,37.0,19.7,42.3,45.6,39.0,46.6,23.4,28.9,13.8,13.4,33.0,37.7,36.8,13.2,13.4,23.5,42.5,57.7,63.7,37.3
10-08,55.1,37.0,23.5,59.6,41.5,12.7,14.0,61.0,37.3,19.6,42.1,44.8,39.9,45.5,23.5,31.2,13.5,13.1,33.2,36.9,36.2,12.7,13.5,23.5,41.7,55.5,61.0,37.0
10-09,54.5,35.9,23.0,58.6,42.5,13.3,13.9,57.2,39.2,18.6,42.8,44.4,40.1,45.9,23.3,33.6,14.1,13.6,48.7,36.5,35.8,13.3,13.8,23.2,43.3,54.8,58.6,37.9
10-10,52.9,35.3,23.7,59.9,42.6,12.4,13.6,55.1,41.8,19.4,42.6,44.2,40.8,45.7,23.0,34.0,13.6,13.0,47.3,36.4,35.8,12.4,13.5,23.5,43.1,53.1,59.9,38.6
10-11,51.6,35.1,23.1,64.4,41.0,12.5,14.3,53.4,48.8,18.9,41.8,43.6,40.2,45.7,22.8,34.3,13.0,13.0,45.5,35.5,34.9,12.5,13.0,23.0,44.2,51.8,64.4,37.9
10-12,50.4,38.9,23.0,62.9,41.6,12.8,13.7,53.6,53.8,18.2,41.8,42.7,39.9,45.1,23.3,34.7,13.1,13.1,44.5,35.4,34.3,12.8,13.1,23.2,43.3,53.6,62.9,39.4
10-13,49.2,38.9,22.5,59.8,40.7,12.6,13.7,52.0,53.7,18.8,43.0,42.3,39.1,45.1,22.9,33.7,13.0,12.8,45.5,34.5,33.5,12.6,13.0,22.8,43.6,52.2,59.8,39.0
10-14,47.1,38.1,22.3,59.7,41.2,11.7,13.0,51.1,52.2,29.0,43.6,41.9,38.2,44.8,22.4,33.6,13.2,12.6,46.9,34.2,33.7,11.7,13.0,27.0,43.9,51.3,59.7,38.2
10-15,47.1,37.2,22.8,64.8,39.4,11.9,13.5,50.7,52.4,33.1,44.9,41.4,38.9,44.0,22.5,32.6,13.1,12.9,46.8,33.6,33.7,11.9,13.1,29.7,44.3,50.9,64.8,38.0
10-16,46.1,36.7,22.9,66.4,39.4,12.2,13.4,50.4,50.8,33.1,45.7,41.2,37.9,43.3,22.0,31.7,12.9,12.6,47.1,33.2,,12.2,12.9,29.0,44.0,50.4,66.4,37.3
10-17,31.5,35.6,22.1,64.6,39.3,12.0,13.7,49.8,50.9,33.8,45.7,40.5,37.9,43.1,22.3,32.2,13.2,12.7,48.0,32.9,,12.0,13.1,28.8,41.3,49.9,64.6,34.7
10-18,30.9,34.9,21.9,62.7,40.0,12.3,13.3,49.4,50.2,33.6,45.4,40.4,40.5,43.0,21.7,32.4,13.2,13.0,48.5,32.5,,12.3,13.2,28.2,41.2,49.5,62.7,34.3
10-19,30.6,35.1,26.2,61.2,38.6,12.4,12.7,52.3,49.1,33.9,45.1,40.0,54.3,42.6,21.9,33.5,13.2,12.4,48.4,32.0,,12.4,12.6,29.3,43.4,52.5,61.2,34.5
10-20,30.0,41.3,45.0,62.0,38.3,12.4,13.2,53.4,48.8,33.4,45.1,39.7,53.8,42.3,22.5,33.6,13.4,12.6,49.3,31.7,,12.4,13.2,31.2,45.0,53.4,62.0,39.0
10-21,29.3,46.9,48.2,62.9,38.8,13.2,12.6,52.8,47.5,33.7,45.0,39.6,55.0,41.4,21.9,35.2,13.0,12.6,49.3,31.5,,12.6,12.9,30.8,47.1,53.1,62.9,39.2
10-22,28.9,49.3,46.9,61.9,38.0,12.5,12.3,55.2,47.3,34.2,44.9,39.4,53.8,41.3,22.0,38.5,13.1,12.0,49.2,30.8,,12.0,12.5,30.2,47.0,53.9,61.9,39.0
10-23,28.0,49.5,46.3,60.8,38.4,13.2,12.9,55.4,46.4,33.9,45.1,39.1,53.4,41.2,22.0,41.3,13.5,12.1,48.7,30.5,,12.1,13.1,29.7,46.3,53.6,60.8,40.2
10-24,27.7,52.0,45.4,60.4,39.2,12.4,12.8,55.9,46.7,32.9,50.2,38.2,52.9,40.4,21.9,41.3,13.0,12.1,48.3,32.9,,12.1,12.7,31.3,47.2,53.2,60.4,39.8
10-25,27.3,52.9,44.6,60.9,39.3,12.4,13.7,56.7,45.9,32.1,50.5,38.7,53.2,43.0,21.8,41.1,13.1,11.7,48.1,32.3,,11.7,13.0,30.6,46.5,53.5,60.9,40.2
10-26,26.5,53.5,44.2,60.1,38.5,12.1,13.0,55.3,45.6,32.1,50.6,37.9,52.9,43.6,21.5,41.2,12.7,11.3,48.0,32.4,,11.3,12.6,30.4,46.3,53.7,60.1,39.9
10-27,26.2,52.7,44.2,58.7,38.9,12.6,12.4,54.0,44.5,32.6,50.6,37.6,53.7,43.8,21.9,41.4,13.1,10.8,49.0,32.8,,10.8,12.6,30.7,45.8,53.8,58.7,40.1
10-28,26.0,52.5,44.2,60.0,38.7,12.6,12.4,52.8,44.1,32.5,50.4,37.5,52.7,43.7,22.1,42.0,12.8,10.8,50.3,33.1,,10.8,12.6,30.5,46.0,52.8,60.0,40.3
10-29,25.9,52.9,44.1,61.5,37.5,12.6,11.9,52.6,43.8,31.9,49.8,37.4,53.3,43.4,20.8,42.5,12.4,10.8,51.3,31.8,,10.8,12.3,30.0,45.8,52.9,61.5,40.0
10-30,25.7,52.1,47.1,60.2,38.6,12.8,11.7,53.1,44.6,30.9,49.8,37.0,52.8,43.8,21.5,42.5,12.2,11.2,50.8,30.8,,11.2,12.2,29.2,47.9,52.8,60.2,40.6
10-31,24.9,52.3,48.9,59.3,38.7,13.1,12.7,53.9,44.1,31.7,49.7,36.8,53.8,43.3,21.1,42.0,11.5,10.9,50.4,30.3,,10.9,12.5,28.7,49.1,53.8,59.3,40.3
11-01,24.3,51.9,49.0,58.0,37.3,17.4,12.2,53.9,43.4,32.1,49.4,36.5,54.7,42.7,21.3,41.3,11.2,11.2,50.1,30.3,,11.2,12.1,28.5,49.1,53.9,58.0,39.3
11-02,24.2,51.6,49.1,56.7,37.7,13.9,11.1,53.0,43.7,31.8,49.6,36.3,55.4,41.6,21.4,41.8,12.0,11.1,49.5,34.5,,11.1,11.9,29.5,49.2,53.3,56.7,39.6
11-03,24.0,51.3,49.6,56.3,36.6,12.7,12.1,53.2,43.7,31.4,49.7,36.5,55.1,41.9,21.4,41.9,12.0,11.4,49.1,33.7,,11.4,12.1,29.2,49.3,53.4,56.3,39.2
11-04,23.7,51.9,49.3,55.4,37.7,12.3,11.7,53.3,42.6,31.1,50.4,36.0,54.6,41.1,21.2,41.8,11.7,11.0,48.8,34.1,,11.0,11.7,28.9,48.9,53.4,55.4,39.4
11-05,23.9,51.6,48.2,56.5,37.8,12.4,13.5,53.0,42.1,31.1,49.3,35.3,54.6,41.3,21.1,41.5,11.6,11.3,48.4,33.8,,11.3,12.3,28.9,48.2,53.2,56.5,39.5
11-06,23.5,51.9,47.2,55.5,37.5,12.1,13.3,52.0,42.3,30.8,49.0,33.0,54.3,40.8,21.1,41.5,11.4,11.6,47.7,34.2,,11.4,12.1,28.6,47.4,52.2,55.5,39.1
11-07,23.4,52.5,45.9,54.8,36.6,12.5,13.2,52.0,42.2,30.7,47.6,31.9,53.8,41.2,20.6,41.8,11.3,11.5,47.3,35.4,,11.3,12.4,28.6,46.4,52.6,54.8,38.9
11-08,23.8,53.8,46.0,56.5,36.3,12.6,12.9,51.2,42.0,30.9,48.0,31.9,53.2,41.3,19.9,41.5,11.9,11.1,47.2,36.4,,11.1,12.5,28.7,46.4,53.2,56.5,38.9
11-09,23.1,57.9,46.3,56.1,35.8,12.4,13.6,51.7,41.9,30.7,47.9,31.5,52.6,40.8,20.2,41.4,11.7,11.1,46.7,36.2,,11.1,12.3,28.4,46.4,52.9,57.9,38.5
11-10,23.0,59.4,46.1,55.8,36.8,13.0,14.0,49.9,41.5,30.5,48.1,31.5,52.6,40.6,20.1,40.6,11.5,11.2,46.3,35.9,,11.2,12.9,28.3,46.1,52.9,59.4,38.7
