date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,24.6,28.4,63.2,31.7,20.9,19.6,20.0,37.3,17.4,27.8,68.2,58.9,71.1,45.9,18.5,53.9,19.7,27.6,27.3,42.5,17.4,19.4,22.4,42.5,64.2,71.1,27.8
10-02,57.4,28.4,62.9,31.3,20.0,19.8,20.3,37.2,17.7,27.6,68.4,57.6,70.2,46.7,18.6,53.8,19.9,27.3,26.9,47.5,17.7,19.5,22.9,51.0,64.0,70.2,28.4
10-03,56.7,27.7,65.3,30.9,20.3,21.9,20.0,36.1,17.8,27.1,68.8,57.6,69.1,46.5,30.3,53.3,19.7,27.4,26.5,63.2,17.8,19.9,26.7,50.6,66.0,69.1,30.3
10-04,56.5,27.4,66.1,31.1,20.0,28.2,20.4,36.0,17.1,27.5,68.1,61.8,68.8,45.9,31.7,52.7,19.3,27.2,26.0,64.3,17.1,19.9,27.2,49.9,66.5,68.8,31.1
10-05,56.8,36.9,67.6,30.8,27.6,30.0,20.6,35.2,17.2,26.7,67.5,61.7,72.7,45.8,44.6,52.3,19.7,27.0,25.8,70.9,17.2,20.4,27.2,49.7,67.5,72.7,35.2
10-06,56.7,37.3,68.0,32.6,36.6,31.1,20.1,45.6,17.1,30.7,67.0,61.7,74.5,45.1,62.8,51.7,19.5,27.1,25.6,70.1,17.1,20.0,30.9,54.7,67.2,74.5,37.3
10-07,56.1,40.6,78.1,36.0,36.0,32.4,19.7,47.6,17.2,25.7,66.4,62.3,74.5,45.1,62.0,51.1,19.3,32.0,25.4,69.7,17.2,19.6,32.1,54.1,68.0,78.1,40.6
10-08,56.4,40.7,77.9,36.3,36.3,31.4,19.7,47.5,17.0,30.8,67.5,62.1,74.0,44.7,62.7,50.6,19.4,30.7,25.3,69.2,17.0,19.7,31.0,54.1,68.8,77.9,40.7
10-09,56.4,42.0,75.8,40.4,35.0,31.3,21.2,49.0,16.5,30.4,64.8,61.5,73.8,44.2,62.3,50.5,19.3,45.6,25.0,68.6,16.5,20.8,32.8,54.1,66.6,75.8,44.2
10-10,56.3,41.4,74.6,51.6,35.2,33.0,24.5,53.8,16.8,29.8,63.8,61.1,73.3,44.2,63.1,49.8,19.5,52.9,24.9,68.0,16.8,23.5,33.9,55.3,65.7,74.6,49.8
10-11,56.5,40.7,73.8,52.7,34.1,33.9,25.3,63.3,16.6,29.7,63.1,60.3,72.3,43.2,64.7,49.6,19.5,54.7,24.5,67.5,16.6,23.5,34.0,58.8,66.2,73.8,49.6
10-12,56.4,39.8,73.0,50.7,34.4,36.6,24.8,67.8,16.6,30.6,62.0,59.4,71.9,43.0,69.7,49.3,22.6,55.4,24.5,69.1,16.6,24.1,35.3,58.2,70.1,73.0,49.3
10-13,56.2,39.9,72.7,50.6,34.8,39.8,25.5,67.0,24.5,30.5,61.7,58.4,71.1,43.0,71.5,49.1,22.3,59.7,24.0,70.1,22.3,24.4,36.8,59.2,71.2,72.7,49.1
10-14,56.1,39.5,71.8,49.8,33.9,54.3,24.5,68.7,22.0,31.0,60.8,57.4,69.9,42.6,72.3,48.8,22.7,61.9,24.0,71.3,22.0,23.8,36.1,59.4,70.3,72.3,49.8
10-15,56.5,39.1,71.7,49.8,34.8,57.7,24.3,70.6,21.3,31.4,59.7,56.8,69.4,42.9,71.7,49.1,22.4,62.2,23.8,71.2,21.3,23.5,36.5,58.9,70.8,71.7,49.8
10-16,56.2,39.3,71.2,50.3,34.3,57.0,24.5,70.1,21.4,33.3,59.0,56.3,68.5,42.8,70.6,48.6,22.4,62.3,23.7,,21.4,23.5,36.3,58.2,70.2,71.2,50.3
10-17,56.3,38.8,76.8,56.5,35.1,56.9,24.0,70.1,21.7,33.1,59.0,55.1,68.1,42.3,71.0,48.1,21.9,65.2,23.5,,21.7,23.2,36.6,58.2,70.3,76.8,55.1
10-18,56.5,39.0,75.5,56.7,37.4,56.4,24.3,73.1,21.3,33.7,57.8,54.9,80.0,41.9,73.5,48.2,22.0,72.2,23.3,,21.3,23.1,38.0,57.3,73.9,80.0,54.9
10-19,58.4,38.9,75.0,56.4,40.0,56.4,24.4,73.0,20.1,34.1,57.3,56.7,73.4,41.9,73.9,50.1,21.6,73.2,23.4,,20.1,23.1,39.3,58.0,73.5,75.0,56.4
10-20,60.3,38.8,75.3,60.9,42.3,58.1,24.1,72.2,20.8,33.9,56.7,58.5,72.4,41.9,73.7,50.0,22.1,72.6,23.1,,20.8,22.9,40.1,60.7,72.8,75.3,56.7
10-21,55.3,38.4,77.2,59.5,58.2,61.0,24.4,72.1,20.1,34.2,55.7,58.7,71.8,41.7,73.8,49.6,21.7,73.1,23.2,,20.1,22.9,39.7,60.4,73.2,77.2,55.7
10-22,55.1,38.1,75.7,59.4,48.7,61.5,24.3,71.3,20.2,33.9,55.2,59.0,71.2,41.0,73.8,49.1,21.7,74.1,22.8,,20.2,22.6,39.3,60.7,73.9,75.7,55.1
10-23,55.1,37.8,74.5,60.3,49.0,61.3,23.5,70.4,31.5,34.7,54.7,59.1,70.2,41.7,74.6,50.2,21.9,74.4,22.8,,21.9,23.4,39.4,60.9,74.4,74.6,54.7
10-24,56.3,37.3,73.7,60.4,50.6,61.6,26.6,70.1,40.8,34.9,54.3,59.6,69.3,42.2,74.2,50.5,21.1,77.0,22.5,,21.1,25.8,41.4,61.1,73.8,77.0,54.3
10-25,55.8,37.7,74.2,60.9,50.0,61.3,34.9,69.6,41.3,34.3,53.7,59.9,70.5,42.3,73.2,50.5,21.2,79.3,22.5,,21.2,31.9,41.7,61.1,73.4,79.3,53.7
10-26,56.3,37.3,74.0,63.6,50.1,60.7,36.4,69.3,41.3,34.0,53.4,60.0,70.7,42.3,72.7,50.8,21.1,79.5,22.3,,21.1,31.6,41.7,62.4,73.0,79.5,53.4
10-27,57.9,37.8,73.5,63.4,50.6,59.6,38.2,68.8,41.7,34.2,52.8,59.6,70.1,41.4,71.9,50.5,20.7,76.8,22.5,,20.7,31.9,41.5,61.9,72.2,76.8,52.8
