date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.3,87.5,85.4,53.4,83.5,79.8,51.2,53.0,44.9,64.5,60.3,56.2,43.3,44.9,53.0,79.8,85.4,87.5,60.3
10-02,43.4,87.1,87.2,53.1,83.0,79.4,50.3,52.4,45.1,64.4,59.8,55.6,43.4,45.1,52.4,79.4,87.1,87.2,59.8
10-03,43.2,86.9,87.7,52.0,82.5,79.0,50.8,52.3,44.3,64.2,60.1,55.0,43.2,44.3,52.0,79.0,86.9,87.7,60.1
10-04,42.4,86.7,87.3,51.2,82.0,80.1,50.8,52.3,44.7,63.9,60.4,55.0,42.4,44.7,51.2,80.1,86.7,87.3,60.4
10-05,42.0,86.0,86.5,51.3,81.4,80.0,53.2,52.1,44.8,64.0,60.1,55.0,42.0,44.8,52.1,80.0,86.0,86.5,60.1
10-06,41.4,85.9,85.8,53.5,80.8,79.5,61.1,52.0,44.7,63.5,60.0,55.2,41.4,44.7,53.5,79.5,85.8,85.9,61.1
10-07,40.7,86.5,85.6,53.0,80.6,79.0,66.3,51.5,44.2,67.1,59.8,55.2,40.7,44.2,53.0,79.0,85.6,86.5,66.3
10-08,39.3,86.6,85.0,52.2,80.1,78.4,72.1,51.7,44.5,67.4,59.8,55.3,39.3,44.5,52.2,78.4,85.0,86.6,67.4
10-09,39.5,86.4,85.0,52.2,80.0,78.2,73.3,51.4,44.0,81.1,59.7,55.1,39.5,44.0,52.2,80.0,85.0,86.4,73.3
10-10,39.6,86.2,84.6,52.4,80.2,77.8,73.8,51.2,44.3,82.5,59.4,55.0,39.6,44.3,52.4,80.2,84.6,86.2,73.8
10-11,39.2,85.9,83.8,51.9,79.9,77.6,74.1,50.6,44.3,81.8,59.2,55.1,39.2,44.3,51.9,79.9,83.8,85.9,74.1
10-12,38.3,86.3,83.3,51.8,80.1,77.4,74.1,49.8,43.6,81.5,58.9,54.4,38.3,43.6,51.8,80.1,83.3,86.3,74.1
10-13,38.0,86.5,82.6,51.3,79.4,77.0,74.1,49.7,43.1,81.9,59.1,53.8,38.0,43.1,51.3,79.4,82.6,86.5,74.1
10-14,49.6,86.8,82.5,50.9,79.5,76.7,74.2,49.8,43.4,82.7,58.8,60.2,43.4,49.6,50.9,79.5,82.7,86.8,74.2
10-15,49.6,87.3,82.6,51.7,79.7,76.5,73.7,49.7,43.8,83.1,58.5,61.1,43.8,49.6,51.7,79.7,83.1,87.3,73.7
10-16,49.3,87.3,82.3,51.6,79.7,76.0,72.8,49.8,43.2,83.3,58.1,,43.2,49.3,51.6,79.7,83.3,87.3,72.8
10-17,49.0,87.5,82.1,50.9,79.5,76.2,71.6,50.2,43.1,84.1,57.7,,43.1,49.0,50.9,79.5,84.1,87.5,71.6
10-18,48.2,87.6,81.6,50.9,79.2,76.0,71.7,50.4,43.5,84.2,57.7,,43.5,48.2,50.9,79.2,84.2,87.6,71.7
10-19,47.6,87.4,81.6,57.1,78.6,75.8,72.2,50.1,42.9,84.1,57.5,,42.9,47.6,57.1,78.6,84.1,87.4,72.2
10-20,47.3,87.3,81.3,59.2,78.1,76.1,72.8,49.6,42.6,84.1,57.6,,42.6,47.3,57.6,78.1,84.1,87.3,72.8
10-21,47.6,87.2,81.0,64.3,77.8,75.3,73.5,49.5,43.0,84.0,56.8,,43.0,47.6,56.8,77.8,84.0,87.2,73.5
10-22,46.5,87.0,81.0,70.0,77.7,74.8,73.9,48.7,43.0,84.6,57.1,,43.0,46.5,57.1,77.7,84.6,87.0,73.9
10-23,46.9,87.5,80.3,71.7,77.8,74.8,74.2,49.2,42.3,84.8,56.8,,42.3,46.9,56.8,77.8,84.8,87.5,74.2
10-24,46.6,87.5,80.3,71.5,77.7,74.9,80.1,48.9,42.3,84.2,56.4,,42.3,46.6,56.4,80.1,84.2,87.5,74.9
10-25,46.3,87.6,79.9,70.4,79.0,74.8,82.9,48.6,42.1,85.1,56.1,,42.1,46.3,56.1,79.9,85.1,87.6,74.8
10-26,45.0,87.7,79.8,69.8,79.2,75.0,82.6,48.6,41.6,85.8,56.2,,41.6,45.0,56.2,79.8,85.8,87.7,75.0
10-27,45.3,87.9,79.6,72.7,79.0,74.4,83.3,48.7,40.8,84.9,55.9,,40.8,45.3,55.9,79.6,84.9,87.9,74.4
10-28,45.1,88.0,78.8,71.8,78.8,74.4,85.3,48.5,40.6,84.3,55.7,,40.6,45.1,55.7,78.8,85.3,88.0,74.4
10-29,44.0,87.4,78.6,70.4,79.1,74.0,87.5,48.3,41.0,84.7,55.5,,41.0,44.0,55.5,79.1,87.4,87.5,74.0
10-30,45.7,87.2,78.4,70.8,79.6,74.0,87.2,47.5,40.7,85.1,55.6,,40.7,45.7,55.6,79.6,87.2,87.2,74.0
10-31,45.5,87.0,78.3,70.5,79.8,73.9,86.4,47.8,40.7,86.0,55.7,,40.7,45.5,55.7,79.8,86.4,87.0,73.9
11-01,45.1,86.9,78.5,71.6,81.7,73.7,85.7,47.3,40.1,86.5,55.4,,40.1,45.1,55.4,81.7,86.5,86.9,73.7
11-02,44.5,87.0,78.0,72.4,81.4,73.6,85.3,47.4,40.0,86.9,56.9,,40.0,44.5,56.9,81.4,86.9,87.0,73.6
11-03,44.7,87.0,78.2,72.2,82.1,73.4,85.3,47.0,40.2,87.2,58.0,,40.2,44.7,58.0,82.1,87.0,87.2,73.4
11-04,45.0,87.1,78.1,71.9,81.2,73.4,85.0,47.4,41.1,86.7,59.1,,41.1,45.0,59.1,81.2,86.7,87.1,73.4
11-05,45.4,86.8,78.0,71.3,80.6,72.9,84.7,46.7,40.6,86.6,59.0,,40.6,45.4,59.0,80.6,86.6,86.8,72.9
11-06,44.4,86.8,77.9,71.3,80.6,72.8,84.4,47.1,40.6,86.3,59.7,,40.6,44.4,59.7,80.6,86.3,86.8,72.8
