date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,9.3,30.3,22.6,35.5,38.2,27.5,38.7,30.5,15.4,16.4,16.3,27.9,28.1,29.5,9.3,15.6,20.1,30.4,37.7,38.7,27.9
10-02,9.3,30.1,21.9,36.2,41.1,26.4,39.1,30.7,15.6,16.5,16.0,27.7,27.8,29.2,9.3,15.7,19.7,30.3,38.5,41.1,27.7
10-03,9.0,30.2,22.0,35.5,40.3,26.1,39.5,30.6,15.8,16.2,16.1,27.1,27.9,29.1,9.0,15.9,19.7,30.3,38.7,40.3,27.1
10-04,9.2,29.2,20.8,35.0,39.4,25.4,40.3,30.8,17.3,15.9,16.0,27.4,28.0,29.2,9.2,16.0,19.4,29.8,38.5,40.3,27.4
10-05,13.4,29.1,20.7,34.3,39.2,25.0,40.9,30.0,23.8,16.1,15.9,27.4,27.4,29.0,13.4,15.9,22.6,29.4,38.2,40.9,27.4
10-06,50.4,28.7,20.7,34.1,38.9,30.7,41.1,30.2,23.4,16.1,16.0,29.7,27.1,28.9,16.0,17.0,25.6,32.1,40.7,50.4,29.7
10-07,57.6,29.1,20.1,34.6,38.4,31.8,40.8,30.1,23.4,15.5,16.0,29.9,26.9,28.8,15.5,16.9,25.5,32.9,40.3,57.6,29.9
10-08,53.9,29.3,19.5,33.7,37.9,32.0,40.9,30.0,25.2,15.9,16.1,29.7,26.6,29.1,15.9,16.8,26.0,32.7,40.3,53.9,29.7
10-09,48.7,32.7,19.2,34.0,37.3,31.9,41.3,29.8,30.1,15.5,16.1,31.1,26.4,29.1,15.5,16.7,28.4,33.3,40.5,48.7,31.1
10-10,46.8,36.1,19.1,33.5,37.6,32.3,41.2,29.4,29.7,15.5,15.8,32.7,26.1,29.3,15.5,16.5,28.1,34.5,40.4,46.8,32.3
10-11,44.9,39.1,19.1,33.5,36.7,32.3,40.9,29.0,30.4,14.8,15.9,32.4,26.0,29.1,14.8,16.5,27.8,34.8,40.5,44.9,32.3
10-12,45.1,42.8,18.7,35.0,36.2,31.6,40.6,29.2,30.5,14.9,15.6,32.0,25.7,28.9,14.9,16.2,27.8,35.5,42.4,45.1,31.6
10-13,43.2,41.6,18.3,35.4,35.5,31.2,33.6,29.0,33.7,14.9,15.6,31.6,25.5,28.5,14.9,16.1,27.6,34.4,40.3,43.2,31.6
10-14,42.4,40.8,26.9,34.4,35.5,31.2,40.4,29.0,34.5,14.6,15.9,31.8,25.3,28.4,14.6,17.8,28.2,34.9,40.8,42.4,31.8
10-15,42.3,41.0,25.8,34.6,34.8,30.8,40.8,28.7,33.7,15.2,15.4,32.2,25.0,28.2,15.2,17.3,27.5,34.7,40.9,42.3,32.2
