date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,28.8,38.6,46.5,39.3,47.2,46.9,47.4,45.3,70.1,73.9,47.9,63.6,53.3,18.6,44.1,14.6,49.7,54.8,51.4,14.6,25.7,44.2,49.5,65.6,73.9,47.1
10-02,28.4,38.3,49.3,38.6,47.1,47.0,47.7,44.9,69.4,73.5,48.1,62.3,53.4,18.9,44.2,14.5,49.6,52.3,53.1,14.5,25.6,44.3,49.6,64.5,73.5,47.4
10-03,28.6,40.3,52.3,38.6,46.3,46.0,46.7,44.5,68.3,72.0,47.7,62.4,53.0,32.7,43.8,14.1,49.5,51.9,57.1,14.1,31.5,43.9,51.6,64.2,72.0,46.5
10-04,7.3,45.5,52.1,38.3,46.6,46.5,47.1,44.4,69.5,72.2,47.3,62.1,52.6,38.5,43.5,14.0,49.5,50.9,57.9,7.3,31.0,44.5,50.8,64.3,72.2,46.8
10-05,28.7,68.5,51.8,39.7,46.7,45.8,53.8,43.6,69.3,71.6,48.7,63.9,53.0,44.9,43.3,14.5,49.1,50.5,58.3,14.5,36.4,45.0,52.9,68.7,71.6,48.9
10-06,28.3,66.3,72.1,41.5,45.9,47.5,73.4,43.5,68.5,71.5,49.3,62.9,53.0,43.6,42.9,14.0,49.5,50.2,57.6,14.0,37.6,43.9,61.9,71.7,73.4,49.4
10-07,28.2,76.2,69.4,43.6,46.5,71.6,73.9,43.1,68.7,70.8,49.2,62.6,53.3,44.1,42.4,13.9,58.2,49.4,57.5,13.9,38.2,44.3,68.1,72.3,76.2,51.4
10-08,28.1,72.5,68.9,42.8,46.9,75.9,74.2,43.1,68.9,70.8,49.1,62.9,53.8,44.0,42.1,13.7,61.6,48.6,57.0,13.7,37.9,44.3,68.3,73.0,75.9,51.4
10-09,27.9,71.2,69.1,42.2,46.3,72.7,74.7,42.7,68.4,70.9,48.3,62.9,53.2,54.1,42.8,14.1,71.1,48.6,55.9,14.1,37.9,46.5,69.0,71.6,74.7,53.6
10-10,28.0,76.7,68.5,42.3,46.7,72.7,74.6,43.1,68.4,70.8,48.8,62.6,53.0,57.2,42.5,13.9,69.9,47.3,55.7,13.9,38.0,46.8,68.5,73.3,76.7,55.1
10-11,28.0,74.0,67.9,42.2,46.3,71.1,74.4,42.7,69.8,70.5,48.7,62.4,52.9,57.8,41.6,13.8,69.4,47.0,55.0,13.8,37.5,46.4,69.2,72.0,74.4,55.4
