date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,48.1,41.3,34.7,56.6,41.7,44.6,44.4,41.1,44.6,39.2,53.7,71.4,41.5,45.0,62.8,22.4,45.4,19.3,47.7,48.7,48.6,19.3,33.5,41.4,47.8,57.2,71.4,44.6
10-02,47.8,41.4,34.4,55.9,42.9,44.3,44.0,40.9,45.0,38.8,53.7,70.2,41.6,42.2,62.5,22.3,45.3,19.3,47.6,47.3,49.4,19.3,33.2,41.5,47.4,56.6,70.2,44.2
10-03,47.4,41.3,34.7,57.7,43.5,44.4,44.7,40.2,44.3,38.9,53.5,69.3,41.4,42.4,62.6,30.8,45.1,19.2,47.7,47.0,51.8,19.2,34.3,41.3,47.1,58.2,69.3,44.4
10-04,46.9,41.2,29.2,60.2,43.5,44.2,45.6,40.8,44.2,38.6,54.4,68.5,41.4,42.7,62.6,34.4,45.1,19.3,47.5,46.5,51.4,19.3,33.9,41.3,46.6,60.4,68.5,44.2
10-05,46.6,40.9,34.4,61.7,44.0,44.3,47.6,50.1,46.5,38.0,54.3,67.8,41.9,43.4,62.3,45.6,45.1,19.2,47.4,46.3,63.4,19.2,37.7,43.8,47.4,61.8,67.8,45.9
10-06,46.3,40.6,34.0,65.5,45.3,46.1,49.6,41.1,46.5,37.5,55.7,67.1,43.0,43.8,62.4,46.2,44.7,19.5,47.4,46.1,64.6,19.5,37.2,43.5,46.8,62.7,67.1,46.1
10-07,46.2,40.5,33.9,67.7,46.0,46.8,50.1,42.8,48.1,37.4,56.1,66.4,43.4,43.7,62.4,46.7,44.4,18.9,49.1,45.8,64.7,18.9,37.1,43.6,48.4,62.8,67.7,46.1
10-08,45.9,40.4,35.0,66.7,47.5,46.1,50.7,44.9,47.9,37.3,56.3,65.9,43.7,44.0,62.2,47.3,44.1,19.0,50.3,45.7,64.3,19.0,37.1,44.1,48.6,62.5,66.7,46.0
10-09,45.5,40.2,35.2,66.5,48.9,46.7,50.3,50.1,48.5,36.6,55.7,65.3,43.5,44.5,61.8,47.4,43.8,19.0,58.4,45.4,63.3,19.0,36.4,44.3,50.2,62.2,66.5,47.0
10-10,45.3,40.1,35.2,66.1,50.8,46.7,50.4,52.3,50.7,36.7,56.1,64.8,43.6,45.4,61.5,47.5,43.9,19.0,62.4,45.0,62.1,19.0,36.5,44.6,51.3,62.6,66.1,47.1
10-11,44.9,39.8,35.2,66.7,52.1,46.7,50.5,52.3,54.0,36.9,57.3,64.4,43.4,45.6,61.6,47.5,43.5,18.9,62.2,44.8,61.4,18.9,36.7,44.4,52.8,62.4,66.7,47.1
10-12,44.4,39.9,34.9,66.8,51.9,46.7,50.7,52.6,61.1,36.8,57.9,63.8,43.3,46.5,61.6,48.2,42.8,18.5,61.7,44.5,62.2,18.5,36.6,44.0,54.2,61.9,66.8,47.5
10-13,44.3,42.4,34.8,71.1,51.7,46.8,50.9,52.0,61.2,36.5,58.6,63.3,42.9,46.3,61.3,48.9,42.5,18.6,62.1,44.3,61.9,18.6,36.4,43.9,54.0,62.2,71.1,47.9
10-14,44.0,41.7,35.1,66.9,51.8,46.8,51.3,51.5,62.5,36.1,58.7,63.1,43.0,46.4,60.8,49.4,42.4,19.1,62.5,44.1,63.8,19.1,36.0,43.7,53.8,62.5,66.9,48.1
10-15,43.6,41.3,34.9,66.7,52.4,47.3,52.1,50.8,64.0,36.8,59.4,62.8,42.9,46.6,60.6,49.3,42.3,19.2,62.6,43.8,65.1,19.2,36.6,43.4,54.5,62.9,66.7,48.3
10-16,43.5,41.0,34.8,66.6,53.3,48.1,52.9,50.5,64.6,37.0,59.4,62.9,42.7,46.5,60.7,49.1,42.4,19.1,62.7,43.4,,19.1,36.8,43.2,55.1,63.0,66.6,48.6
10-17,43.1,40.7,35.0,67.7,53.4,48.5,53.6,50.0,64.3,37.4,59.6,62.4,42.1,46.8,60.6,49.3,42.3,19.0,64.1,43.4,,19.0,37.1,42.9,55.4,64.1,67.7,48.9
10-18,42.9,40.4,34.7,68.1,53.6,48.6,54.0,50.2,63.6,37.3,59.4,62.0,42.3,47.3,60.6,49.6,42.4,19.0,68.2,43.4,,19.0,37.1,42.8,55.6,64.1,68.2,49.1
10-19,42.7,40.2,34.7,68.2,54.4,48.9,55.4,50.2,62.7,37.4,59.6,61.6,42.5,47.3,60.7,50.6,42.4,19.2,68.5,43.0,,19.2,37.1,42.6,56.6,63.3,68.5,49.5
10-20,42.4,40.4,43.2,68.3,55.3,48.8,56.1,49.5,62.4,37.2,59.3,61.1,43.6,47.4,60.6,51.5,42.3,19.2,68.6,42.9,,19.2,40.1,43.1,57.1,63.0,68.6,49.2
10-21,42.2,51.3,34.9,68.8,62.1,48.6,56.3,49.0,61.7,37.1,59.3,60.6,43.5,47.7,60.4,52.5,42.1,19.3,68.7,43.1,,19.3,36.9,43.3,59.6,62.7,68.8,50.2
10-22,42.0,58.9,34.8,72.3,62.3,48.5,56.2,49.1,61.5,37.4,59.3,60.6,43.3,48.4,60.4,53.0,42.3,19.5,69.1,42.8,,19.5,37.1,43.1,59.6,63.0,72.3,51.0
10-23,41.6,59.9,34.5,68.7,62.3,48.5,56.2,48.9,61.3,37.5,51.5,60.0,43.5,49.4,60.4,57.8,43.0,19.2,69.9,42.6,,19.2,37.2,43.3,59.9,62.9,69.9,50.5
10-24,41.3,60.3,34.8,68.3,62.8,47.2,55.9,48.6,60.7,37.2,59.0,59.9,43.2,49.6,60.5,60.0,43.6,18.9,69.4,42.4,,18.9,37.0,43.5,60.1,63.3,69.4,52.7
10-25,40.9,60.7,34.4,68.2,63.5,47.6,56.1,56.0,60.5,38.2,59.1,59.4,43.0,51.0,60.5,60.0,43.9,19.0,70.2,42.4,,19.0,37.8,43.6,60.2,64.0,70.2,56.1
10-26,40.5,61.1,34.4,68.1,65.0,47.4,56.1,60.5,60.1,39.4,59.1,59.1,43.0,51.0,60.0,60.0,44.3,18.9,73.9,42.4,,18.9,38.9,43.9,60.0,65.3,73.9,57.6
10-27,40.1,61.4,34.3,67.9,64.4,47.8,56.3,59.9,60.1,39.3,59.0,59.0,42.5,50.9,60.2,61.2,45.5,18.8,74.3,42.6,,18.8,38.8,44.6,60.1,64.7,74.3,57.7
10-28,40.0,63.7,34.2,68.1,64.1,47.6,56.2,59.7,60.0,48.2,58.9,58.6,42.6,51.3,59.9,61.5,45.4,18.5,73.4,42.8,,18.5,39.4,47.0,59.9,64.5,73.4,57.4
10-29,40.0,64.4,34.1,68.1,63.7,47.4,55.9,59.7,59.2,40.2,58.8,58.0,42.6,51.9,59.8,63.6,45.5,18.2,73.7,43.8,,18.2,39.4,45.0,59.7,64.7,73.7,57.0
10-30,39.7,64.2,34.1,68.1,63.5,47.4,55.5,61.6,58.8,41.7,58.8,57.8,42.2,51.9,59.7,63.4,45.4,18.9,73.9,45.0,,18.9,39.2,45.3,60.3,64.6,73.9,56.6
10-31,39.4,64.2,34.0,68.0,63.2,47.1,55.7,64.4,58.6,44.3,58.9,57.8,42.3,52.2,59.6,62.8,45.0,18.6,74.9,46.1,,18.6,38.9,45.8,60.5,64.7,74.9,56.8
11-01,39.3,64.3,42.5,67.7,63.4,47.0,55.5,67.4,58.2,46.5,58.7,57.4,42.1,55.6,59.4,62.4,44.8,18.7,76.5,46.8,,18.7,41.8,46.7,60.3,67.4,76.5,56.5
11-02,39.2,64.3,34.2,67.5,63.1,47.1,55.6,67.6,58.1,45.8,58.8,57.3,43.0,61.7,58.9,62.2,44.9,18.9,75.9,47.6,,18.9,38.7,46.7,61.8,67.5,75.9,57.7
11-03,38.9,64.4,34.5,66.8,62.8,47.6,55.8,68.1,58.1,45.3,58.9,57.0,42.7,61.8,58.7,62.5,44.5,19.2,76.9,48.4,,19.2,38.5,46.9,62.0,66.9,76.9,57.5
11-04,39.1,64.5,34.7,66.9,62.7,49.0,55.8,69.3,57.9,44.5,59.1,57.1,42.7,61.4,59.1,62.6,44.2,19.4,75.5,49.1,,19.4,38.6,47.7,61.8,67.2,75.5,57.5
11-05,39.0,64.6,35.2,66.8,62.6,50.1,55.8,70.8,57.7,44.2,58.9,56.2,42.7,61.4,58.5,62.4,44.4,19.2,74.8,49.4,,19.2,38.6,47.9,61.7,67.2,74.8,57.0
11-06,39.0,64.8,35.4,66.9,62.1,51.3,55.6,73.1,57.3,44.4,58.9,56.2,43.1,61.5,58.6,62.3,44.0,19.2,74.1,49.9,,19.2,38.6,48.2,61.7,67.5,74.1,56.7
11-07,39.0,65.0,35.6,67.0,61.8,51.7,55.9,73.0,57.8,43.9,59.0,56.2,43.2,61.3,58.7,62.3,43.6,19.5,73.7,50.5,,19.5,38.6,48.5,61.4,67.6,73.7,57.0
11-08,38.8,65.3,36.2,67.1,61.9,52.1,55.8,72.3,57.7,43.8,59.0,55.9,43.0,61.1,58.2,62.1,43.6,19.6,73.2,51.2,,19.6,38.6,49.0,61.3,67.7,73.2,56.8
11-09,39.0,66.4,38.8,67.0,61.6,52.3,55.9,72.7,57.6,43.2,58.8,56.0,42.6,61.1,58.0,61.5,43.8,19.2,72.8,52.1,,19.2,39.0,49.6,61.2,67.5,72.8,56.8
11-10,39.0,67.7,39.4,67.1,61.6,52.3,60.3,72.3,57.4,43.5,58.9,55.5,42.3,60.8,57.7,61.2,43.5,19.3,72.5,52.3,,19.3,39.4,49.7,60.9,68.2,72.5,57.6
11-11,39.0,67.8,41.6,67.2,61.5,52.4,55.7,71.8,57.5,43.9,58.9,56.2,42.4,60.6,58.2,60.5,43.6,19.3,72.6,52.6,,19.3,41.3,49.9,60.5,68.2,72.6,56.9
11-12,39.0,68.2,42.8,66.9,61.5,52.6,55.6,71.4,57.1,43.5,59.0,56.1,42.7,60.4,59.3,59.8,43.4,19.5,72.5,52.6,,19.5,42.4,49.9,60.0,68.5,72.5,56.6
11-13,39.0,68.1,43.3,66.9,61.3,52.7,55.7,71.8,64.7,43.8,58.8,56.1,43.1,60.4,59.5,59.6,43.2,19.4,73.0,52.9,,19.4,42.7,50.0,60.7,68.4,73.0,57.4
11-14,39.1,67.9,43.5,67.0,61.4,53.2,55.6,71.1,56.6,44.2,58.7,55.5,42.8,60.3,59.4,58.9,43.1,19.1,73.4,53.1,,19.1,42.5,50.4,59.7,68.3,73.4,56.1
11-15,39.7,67.6,43.3,66.7,61.2,53.3,55.4,71.0,56.9,44.5,58.9,55.5,43.2,60.3,59.4,58.1,43.3,19.6,73.7,53.2,,19.6,42.8,50.6,59.7,67.9,73.7,56.2
11-16,40.7,67.5,43.7,66.8,61.4,54.2,55.6,70.9,56.6,44.5,58.8,55.3,43.2,60.0,59.5,57.6,43.1,19.5,73.6,53.2,,19.5,42.9,50.6,59.6,67.8,73.6,56.1
11-17,41.4,67.1,43.4,67.1,61.0,56.2,55.4,70.6,56.9,44.6,58.8,55.2,42.5,60.0,59.4,57.0,43.1,20.1,73.6,53.2,,20.1,42.4,50.6,59.6,67.5,73.6,56.6
11-18,41.8,66.9,43.5,67.0,61.2,56.6,55.4,71.1,56.7,44.7,58.7,55.2,42.5,59.4,62.7,56.9,43.0,20.5,72.9,53.2,,20.5,42.4,50.6,60.0,67.4,72.9,56.6
11-19,42.3,66.6,43.6,71.8,61.1,57.1,55.3,70.6,56.6,44.8,58.7,55.1,42.8,59.5,62.8,56.2,42.9,26.5,72.3,53.5,,26.5,42.7,50.9,60.0,70.8,72.3,56.4
11-20,42.9,66.5,43.5,66.8,61.1,57.5,55.4,70.2,56.5,45.1,58.6,55.0,42.9,59.3,62.9,53.3,43.0,26.6,72.0,53.3,,26.6,42.9,50.8,59.9,67.2,72.0,55.9
11-21,43.6,66.0,43.4,71.5,60.4,57.8,55.0,70.3,56.5,45.6,58.8,54.9,43.3,59.3,62.7,52.1,43.2,26.6,71.8,53.3,,26.6,43.3,50.2,59.7,70.5,71.8,55.8
11-22,44.3,65.6,43.4,67.0,60.3,58.0,60.2,70.4,56.3,45.5,59.0,54.8,43.3,59.8,64.0,50.8,43.7,27.2,71.5,53.5,,27.2,43.4,49.2,60.2,67.4,71.5,57.2
11-23,45.2,65.4,43.2,67.1,60.0,57.9,54.9,70.5,56.5,45.9,59.0,54.3,44.1,60.0,65.5,51.6,43.7,27.6,71.2,53.4,,27.6,43.7,49.9,60.0,67.4,71.2,55.7
11-24,45.9,65.2,43.3,67.1,59.3,57.4,54.8,70.4,56.2,46.6,59.1,54.5,44.0,60.1,67.1,52.3,43.6,28.1,71.0,53.6,,28.1,43.5,50.6,59.5,67.5,71.0,55.5
11-25,46.3,64.9,43.2,67.1,57.4,57.4,53.9,70.3,56.4,46.9,58.8,54.7,43.9,59.9,67.2,53.4,43.6,27.7,70.7,53.3,,27.7,43.5,51.4,59.1,67.5,70.7,55.5
11-26,46.7,64.7,43.2,66.9,51.4,57.2,53.3,70.6,56.4,47.2,58.9,54.7,43.8,59.9,66.5,53.5,43.1,27.9,70.3,53.8,,27.9,43.2,50.1,59.2,67.2,70.6,54.3
11-27,47.0,64.6,43.1,66.8,48.7,56.8,53.6,70.4,56.1,47.7,58.9,54.3,43.2,59.9,67.1,53.7,43.2,28.3,69.9,54.1,,28.3,43.2,48.4,59.2,67.4,70.4,54.2
11-28,47.2,64.6,43.1,66.6,48.2,56.8,53.5,70.0,56.5,47.6,58.8,54.4,43.2,59.9,66.7,53.8,42.8,28.2,69.7,54.1,,28.2,43.1,48.0,59.1,67.0,70.0,54.3
11-29,47.5,64.7,43.1,66.4,47.8,56.5,52.9,70.9,56.1,47.4,58.9,54.7,43.4,60.0,66.0,54.1,43.1,27.8,69.4,54.2,,27.8,43.1,47.7,59.2,66.7,70.9,54.4
11-30,47.7,56.0,42.8,66.5,47.9,56.4,52.6,71.1,55.9,47.9,58.8,54.8,43.2,60.3,65.7,53.9,42.9,28.1,69.2,54.2,,28.1,42.9,47.9,57.2,66.8,71.1,54.5
12-01,48.0,64.7,43.0,66.1,47.5,56.3,52.5,71.3,56.0,48.1,58.8,54.8,43.9,60.2,65.3,53.9,43.0,27.6,69.1,54.4,,27.6,43.0,48.1,59.2,66.4,71.3,54.6
12-02,48.4,64.7,42.9,65.9,48.1,56.5,52.6,71.2,55.7,47.7,58.8,55.0,43.8,60.1,65.0,54.3,42.9,26.9,68.9,54.4,,26.9,42.9,48.3,59.2,66.2,71.2,54.7
12-03,48.7,64.6,42.8,66.1,48.1,56.5,52.6,70.7,55.2,47.8,58.7,54.9,43.9,60.3,65.1,54.1,42.9,26.5,68.7,54.6,,26.5,42.9,48.6,59.2,66.3,70.7,54.8
12-04,49.0,64.6,43.0,65.9,48.0,56.3,51.8,70.9,55.3,48.7,58.7,55.2,43.4,60.0,64.8,54.4,42.9,26.5,68.8,54.5,,26.5,43.0,48.9,59.1,66.2,70.9,54.9
12-05,49.0,64.6,43.1,65.7,48.4,55.9,51.4,70.5,54.7,48.8,58.9,55.3,43.3,60.0,64.8,54.3,43.1,26.5,68.6,54.9,,26.5,43.1,49.0,59.2,66.0,70.5,54.8
12-06,49.1,64.6,43.3,65.7,49.1,56.4,51.6,70.6,54.0,49.8,58.6,55.3,43.4,60.0,64.4,54.3,43.4,26.5,68.4,55.1,,26.5,43.4,49.6,59.0,66.0,70.6,54.7
12-07,49.2,64.5,43.6,65.4,49.5,56.0,51.0,70.5,53.8,51.4,58.2,55.5,43.9,60.1,64.4,54.4,43.6,26.2,68.1,55.3,,26.2,43.6,50.5,58.8,65.7,70.5,54.9
12-08,49.3,64.4,43.6,65.3,49.5,55.8,50.6,71.1,54.1,53.4,58.3,55.6,44.2,59.8,64.1,54.3,43.7,25.6,67.7,55.4,,25.6,43.7,50.3,58.7,65.6,71.1,54.9
12-09,49.6,64.4,43.6,65.2,49.5,55.8,50.7,70.7,53.7,54.2,58.2,55.8,44.2,59.3,63.8,54.5,43.5,25.8,67.4,56.0,,25.8,43.6,50.4,58.5,65.4,70.7,55.2
12-10,49.7,64.3,43.8,65.1,49.8,55.6,50.8,70.8,53.9,54.2,58.1,55.9,44.7,59.3,63.5,57.1,43.8,25.5,67.0,56.3,,25.5,43.8,50.5,58.5,65.3,70.8,55.7
12-11,50.0,64.3,43.8,64.8,50.3,55.8,50.0,72.4,53.4,54.8,57.6,55.7,44.5,59.5,62.9,54.4,43.7,25.6,67.0,56.7,,25.6,43.8,50.2,58.1,65.1,72.4,55.3
12-12,50.1,64.5,51.2,65.0,50.5,55.4,50.1,70.2,53.1,54.9,57.9,55.7,44.8,59.3,62.4,54.6,43.8,25.5,66.7,57.3,,25.5,44.7,51.0,58.3,65.2,70.2,55.2
12-13,50.3,64.6,43.9,64.8,50.9,55.2,50.0,72.1,53.9,54.7,57.8,55.8,44.9,59.5,62.2,54.7,43.9,25.5,66.8,57.6,,25.5,43.9,50.7,58.3,65.0,72.1,54.9
12-14,50.3,64.7,43.9,64.6,51.1,55.4,50.1,70.7,53.8,55.1,57.7,55.9,44.9,59.5,61.6,54.6,44.2,25.4,66.6,58.0,,25.4,44.1,50.9,58.4,64.9,70.7,55.2
12-15,50.5,65.1,43.9,65.0,51.4,55.4,54.2,70.9,65.8,55.1,57.5,55.8,44.9,59.4,60.4,54.6,44.3,25.3,66.6,58.5,,25.3,44.3,53.3,59.7,65.9,70.9,55.6
12-16,50.5,65.6,43.8,64.9,51.5,55.4,49.7,70.9,53.8,55.5,57.7,56.0,44.9,59.6,59.8,54.4,44.3,25.6,66.0,58.9,,25.6,44.2,51.2,59.1,65.7,70.9,55.4
12-17,50.6,65.9,44.1,64.8,52.0,55.0,49.5,71.1,54.1,55.6,57.4,56.3,45.2,60.2,59.5,54.5,44.2,25.4,65.9,59.4,,25.4,44.2,51.6,59.4,65.9,71.1,55.3
12-18,50.7,72.6,44.0,64.8,52.4,54.1,49.5,71.0,53.5,55.4,57.5,56.2,45.3,60.3,59.1,54.6,44.6,25.9,65.9,59.6,,25.9,44.5,51.9,59.3,66.4,72.6,55.0
12-19,50.7,73.2,43.9,64.9,52.8,53.2,49.6,70.2,53.7,55.6,57.6,56.3,45.6,60.3,58.9,54.6,44.6,25.7,65.5,59.8,,25.7,44.6,52.2,59.2,65.9,73.2,55.1
12-20,50.8,73.2,43.9,70.1,53.5,53.0,49.9,70.7,53.8,55.4,57.8,56.2,45.5,60.4,59.0,54.3,44.7,25.6,65.4,60.0,,25.6,44.6,52.4,59.3,70.2,73.2,54.9
12-21,50.9,73.2,43.8,64.8,54.1,52.5,50.1,72.5,53.9,55.9,57.7,56.0,45.5,60.4,58.8,54.6,44.8,26.3,65.5,60.1,,26.3,44.7,52.0,59.2,66.2,73.2,55.2
12-22,50.9,73.2,43.6,64.8,54.3,52.7,50.0,72.9,52.9,55.7,57.8,55.8,46.0,60.3,58.8,54.6,44.9,26.4,65.3,60.2,,26.4,44.7,52.2,59.2,66.0,73.2,55.2
12-23,51.2,73.1,43.9,64.6,54.4,52.4,49.8,72.2,53.1,55.8,57.4,55.7,46.1,60.3,58.6,54.4,45.0,26.5,65.2,60.3,,26.5,44.8,52.0,59.1,65.9,73.1,55.1
12-24,51.2,73.1,51.6,64.5,54.2,52.4,50.2,72.3,53.4,55.8,57.6,56.1,46.1,60.3,58.4,54.5,45.0,27.4,65.2,60.5,,27.4,46.0,52.2,59.0,65.9,73.1,55.2
12-25,51.2,73.0,44.4,64.3,54.3,57.3,49.8,72.3,53.2,55.6,57.4,55.8,46.5,60.3,58.3,54.7,45.0,27.7,65.3,60.5,,27.7,44.9,52.6,58.9,66.0,73.0,55.7
