date,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,17.9,59.2,27.0,14.0,14.6,14.5,20.5,19.9,17.2,14.0,14.3,15.0,20.5,36.7,59.2,18.9
10-02,16.7,59.1,27.3,15.1,15.1,14.6,20.3,22.5,16.8,14.6,14.9,15.2,22.3,36.8,59.1,18.5
10-03,16.7,58.5,26.5,14.7,14.4,13.7,19.5,23.8,16.4,13.7,14.2,14.9,23.4,36.1,58.5,18.1
10-04,17.0,61.6,26.7,14.3,14.9,14.3,19.7,24.4,16.4,14.3,14.3,15.1,24.0,37.2,61.6,18.4
10-05,15.5,63.2,26.1,13.9,13.8,14.6,19.8,23.9,16.3,13.8,13.8,14.7,23.5,37.2,63.2,17.6
10-06,56.9,63.9,26.4,14.0,14.3,14.2,19.6,23.4,16.5,14.0,14.2,14.8,26.1,59.0,63.9,21.5
10-07,56.4,63.5,25.7,13.1,14.2,14.3,22.3,23.0,16.5,13.1,13.9,15.1,25.5,58.5,63.5,22.7
10-08,53.7,63.0,25.8,12.4,13.6,14.6,22.5,22.5,16.7,12.4,13.2,15.3,25.4,56.5,63.0,22.5
10-09,52.3,61.9,25.2,12.8,13.8,15.0,24.6,21.9,16.6,12.8,13.5,15.7,25.1,55.2,61.9,23.3
10-10,50.7,61.6,23.6,14.5,13.3,14.2,25.2,21.6,16.6,13.3,13.9,15.2,25.0,54.0,61.6,22.6
10-11,49.5,60.7,23.7,16.8,13.2,14.0,24.9,21.0,16.6,13.2,13.7,17.2,24.8,52.8,60.7,22.3
10-12,48.1,60.1,23.5,21.4,13.2,14.4,24.5,20.6,16.8,13.2,14.1,20.7,24.4,51.7,60.1,22.5
10-13,47.1,50.7,23.5,32.3,13.1,14.4,24.0,20.4,16.3,13.1,14.0,20.7,31.5,48.2,50.7,23.8
10-14,46.0,58.4,23.4,37.9,13.1,14.1,24.6,20.0,16.0,13.1,13.8,20.4,36.5,49.7,58.4,24.0
10-15,45.0,57.7,22.6,37.3,12.9,14.1,24.6,19.7,15.9,12.9,13.7,20.0,36.0,48.8,57.7,23.6
10-16,44.0,56.3,22.3,36.0,13.2,13.5,25.0,19.4,,13.2,13.4,19.7,34.9,47.7,56.3,23.6
10-17,43.4,55.9,22.6,34.3,13.2,13.0,26.5,18.9,,13.0,13.1,19.3,33.5,47.1,55.9,24.6
10-18,42.9,55.1,21.6,34.3,13.0,13.0,29.2,18.9,,13.0,13.0,19.1,33.7,46.6,55.1,25.4
10-19,65.7,54.6,21.9,34.6,12.8,14.4,33.2,18.5,,12.8,13.9,18.9,34.5,57.9,65.7,27.6
10-20,73.7,53.8,22.1,35.1,13.6,13.5,34.2,18.0,,13.5,13.5,18.4,35.0,59.8,73.7,28.1
10-21,72.8,53.0,21.6,36.4,12.9,13.4,35.5,17.8,,12.9,13.3,18.2,36.3,58.9,72.8,28.5
10-22,82.6,52.3,21.1,42.1,12.3,13.3,36.4,18.0,,12.3,13.0,18.3,41.6,61.4,82.6,28.8
10-23,81.9,51.5,20.5,61.2,12.8,13.1,36.4,17.7,,12.8,13.0,18.0,50.0,67.4,81.9,28.4
10-24,79.4,51.2,21.1,60.9,12.8,13.5,35.7,17.3,,12.8,13.3,17.7,49.7,66.4,79.4,28.4
10-25,77.6,55.3,20.3,67.8,12.4,13.0,35.6,17.1,,12.4,12.8,17.4,53.4,70.7,77.6,28.0
10-26,76.6,58.0,20.3,70.1,12.9,12.8,35.3,16.8,,12.8,12.8,17.2,55.8,72.1,76.6,27.8
10-27,79.9,58.6,20.2,70.2,12.6,12.1,37.4,16.5,,12.1,12.5,16.9,56.4,73.1,79.9,28.8
10-28,77.8,58.0,19.9,70.7,11.9,11.9,37.8,16.6,,11.9,11.9,17.0,56.0,72.9,77.8,28.9
10-29,76.8,58.0,19.7,71.6,12.0,11.8,39.1,16.6,,11.8,12.0,16.9,56.1,73.2,76.8,29.4
10-30,76.3,58.0,19.7,71.1,12.1,11.8,39.6,16.2,,11.8,12.0,16.6,56.2,72.7,76.3,29.6
10-31,76.6,57.6,19.5,70.2,11.5,11.7,41.2,16.1,,11.5,11.6,16.5,56.0,72.1,76.6,30.4
11-01,77.5,57.5,19.4,68.7,11.8,12.0,40.6,16.3,,11.8,11.9,16.6,55.8,71.3,77.5,30.0
11-02,77.0,56.9,18.8,67.8,11.4,12.2,40.8,16.1,,11.4,12.0,16.4,55.3,70.6,77.0,29.8
11-03,75.9,56.3,18.5,68.2,11.7,12.0,40.3,16.5,,11.7,11.9,16.7,54.7,70.5,75.9,29.4
11-04,75.9,55.8,19.5,67.0,11.7,11.9,39.8,16.2,,11.7,11.9,16.5,54.2,69.7,75.9,29.6
11-05,75.2,55.9,17.8,66.5,12.6,11.5,39.0,16.2,,11.5,12.2,16.4,54.2,69.1,75.2,28.4
11-06,75.3,55.8,17.9,66.0,11.6,11.7,38.8,16.4,,11.6,11.7,16.6,54.1,68.8,75.3,28.3
11-07,74.5,55.6,17.8,65.0,12.0,12.2,38.1,16.4,,12.0,12.2,16.6,53.9,67.9,74.5,28.0
11-08,74.3,55.4,17.6,63.8,11.8,11.9,37.8,16.3,,11.8,11.9,16.5,53.6,67.0,74.3,27.7
11-09,74.0,55.4,17.9,63.0,11.7,12.1,37.6,16.3,,11.7,12.0,16.5,53.6,66.3,74.0,27.7
11-10,73.1,54.7,18.2,60.7,11.9,11.9,37.3,16.5,,11.9,11.9,16.7,53.0,64.4,73.1,27.8
11-11,73.0,54.7,17.7,59.3,12.2,11.5,37.3,16.6,,11.5,12.0,16.7,52.9,63.4,73.0,27.5
11-12,72.7,53.8,17.8,58.6,11.6,11.5,37.0,16.6,,11.5,11.6,16.7,52.1,62.8,72.7,27.4
11-13,72.8,53.9,17.6,55.2,11.2,11.1,37.3,16.3,,11.1,11.2,16.5,52.2,60.4,72.8,27.4
11-14,72.1,53.7,17.9,50.6,11.8,11.3,37.0,16.5,,11.3,11.6,16.6,49.2,59.2,72.1,27.4
11-15,72.3,53.2,17.7,50.0,12.0,10.8,36.7,16.5,,10.8,11.6,16.6,48.7,58.9,72.3,27.2
11-16,72.3,52.8,17.1,49.7,12.2,11.3,36.7,16.6,,11.3,11.9,16.7,48.4,58.6,72.3,26.9
11-17,71.7,51.4,17.1,49.7,12.2,11.9,36.8,16.6,,11.9,12.1,16.6,48.4,57.5,71.7,27.0
11-18,72.2,51.7,17.0,49.1,12.0,10.8,36.7,16.5,,10.8,11.6,16.5,47.9,57.9,72.2,26.9
11-19,72.2,51.5,16.2,47.8,12.1,11.1,36.1,16.9,,11.1,11.8,16.3,46.7,57.7,72.2,26.5
11-20,71.7,50.7,16.5,44.5,11.7,10.8,35.9,16.5,,10.8,11.4,16.5,43.7,57.0,71.7,26.2
11-21,71.6,50.7,16.9,40.6,11.6,10.5,36.0,16.9,,10.5,11.3,16.9,40.1,56.9,71.6,26.5
11-22,71.1,51.1,16.6,40.5,11.4,10.7,36.0,16.6,,10.7,11.2,16.6,40.1,57.1,71.1,26.3
11-23,71.5,51.2,16.5,40.7,11.0,11.6,35.5,16.7,,11.0,11.4,16.5,40.2,57.3,71.5,26.1
11-24,70.4,50.7,16.6,40.6,12.1,10.8,36.1,16.7,,10.8,11.7,16.7,40.2,56.6,70.4,26.4
11-25,70.6,50.4,17.0,39.9,10.9,11.3,35.4,17.0,,10.9,11.2,17.0,39.5,56.5,70.6,26.2
11-26,69.7,50.5,17.1,38.9,11.4,11.2,33.5,17.0,,11.2,11.3,17.0,38.3,56.3,69.7,25.3
11-27,70.1,50.6,16.3,38.0,11.3,10.9,32.2,16.7,,10.9,11.2,16.3,37.4,56.5,70.1,24.5
11-28,69.0,50.2,16.3,38.2,11.2,10.5,31.7,16.7,,10.5,11.0,16.4,37.6,55.8,69.0,24.2
11-29,68.8,50.2,16.3,38.5,11.5,10.7,33.0,16.8,,10.7,11.3,16.4,37.9,55.8,68.8,24.9
11-30,68.0,50.7,16.6,38.8,11.8,10.3,33.5,17.0,,10.3,11.3,16.7,38.3,55.9,68.0,25.2
12-01,68.0,49.9,16.3,38.2,10.7,10.0,34.2,16.1,,10.0,10.5,16.1,37.8,55.3,68.0,25.3
12-02,67.5,50.2,16.4,38.2,11.7,9.6,33.9,16.2,,9.6,11.1,16.2,37.8,55.4,67.5,25.2
12-03,67.3,50.0,16.1,37.4,11.4,10.0,34.8,16.2,,10.0,11.0,16.1,37.1,55.2,67.3,25.5
12-04,66.4,48.4,16.3,38.0,12.0,9.2,33.9,16.2,,9.2,11.2,16.2,37.6,53.8,66.4,25.1
12-05,66.2,48.0,16.4,37.4,11.1,9.7,34.6,16.2,,9.7,10.7,16.2,37.2,53.4,66.2,25.5
12-06,65.8,48.6,14.7,37.1,11.7,9.5,33.6,16.7,,9.5,11.1,14.9,36.7,53.8,65.8,25.1
12-07,65.9,48.1,14.0,37.7,12.0,9.4,33.7,16.8,,9.4,11.2,14.3,37.3,53.5,65.9,25.2
12-08,65.7,46.0,13.4,37.3,12.2,9.7,34.1,16.8,,9.7,11.5,13.7,37.0,51.9,65.7,25.4
12-09,64.6,43.9,14.0,37.1,11.5,9.8,33.7,16.5,,9.8,11.0,14.2,36.8,50.1,64.6,25.1
12-10,65.2,43.9,13.9,36.9,12.5,10.0,33.8,16.6,,10.0,11.8,14.2,36.6,50.3,65.2,25.2
12-11,65.3,43.7,13.0,36.8,12.3,10.1,33.6,16.4,,10.1,11.6,13.4,36.5,50.2,65.3,25.0
12-12,64.8,43.8,13.8,36.6,12.3,9.7,33.6,16.4,,9.7,11.5,14.0,36.3,50.1,64.8,25.0
12-13,64.3,44.0,13.7,36.6,12.4,9.8,33.8,16.4,,9.8,11.7,14.0,36.3,50.1,64.3,25.1
12-14,64.0,43.0,13.7,35.9,11.9,9.7,34.0,16.5,,9.7,11.3,14.0,35.7,49.3,64.0,25.2
12-15,63.7,43.2,13.5,36.0,11.9,9.9,33.6,16.6,,9.9,11.3,13.8,35.8,49.4,63.7,25.1
12-16,64.0,42.7,13.4,35.9,12.2,10.0,33.6,16.6,,10.0,11.5,13.7,35.7,49.1,64.0,25.1
12-17,63.0,43.9,14.0,34.9,12.9,9.4,34.1,16.5,,9.4,11.9,14.2,34.8,49.7,63.0,25.3
12-18,63.1,44.0,13.4,35.2,12.6,9.3,33.8,16.3,,9.3,11.6,13.7,35.0,49.8,63.1,25.0
12-19,62.4,43.1,12.9,35.0,12.8,9.4,33.4,16.2,,9.4,11.8,13.2,34.8,48.9,62.4,24.8
