date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,38.1,74.3,86.3,44.7,52.7,61.2,23.4,56.5,29.2,68.8,57.4,50.9,23.4,29.2,44.7,61.2,74.3,86.3,56.5
10-02,37.9,73.0,84.5,44.5,51.5,60.0,23.1,54.4,28.5,68.6,57.0,51.0,23.1,28.5,44.5,60.0,73.0,84.5,54.4
10-03,37.7,63.3,77.2,44.9,53.6,60.1,34.1,53.8,28.4,68.3,55.0,58.0,28.4,34.1,44.9,60.1,68.3,77.2,53.8
10-04,38.1,62.4,66.9,46.9,63.2,59.0,31.4,53.5,28.3,68.0,53.1,59.9,28.3,31.4,46.9,62.4,66.9,68.0,53.5
10-05,37.5,62.2,64.4,47.7,63.0,59.2,31.8,52.7,27.8,67.6,52.2,59.9,27.8,31.8,47.7,62.2,64.4,67.6,52.7
10-06,36.7,62.9,63.0,47.1,56.1,59.0,31.2,52.9,27.6,67.4,51.3,59.2,27.6,31.2,47.1,59.0,63.0,67.4,52.9
10-07,36.5,63.5,61.9,47.6,62.0,58.9,30.7,52.8,27.6,71.6,50.8,58.8,27.6,30.7,47.6,61.9,63.5,71.6,52.8
10-08,36.2,63.0,60.9,47.8,61.6,58.6,30.3,51.8,27.4,71.4,50.5,58.5,27.4,30.3,47.8,60.9,63.0,71.4,51.8
10-09,36.2,62.4,61.0,47.4,53.6,58.3,30.5,51.6,26.9,71.6,50.1,15.8,26.9,30.5,47.4,58.3,62.4,71.6,51.6
10-10,36.8,61.5,60.5,47.4,52.8,58.0,31.8,52.1,27.0,71.5,43.2,57.0,27.0,31.8,43.2,58.0,61.5,71.5,52.1
10-11,36.4,61.6,59.7,46.6,52.5,58.8,33.3,51.9,27.1,71.5,39.5,56.4,27.1,33.3,39.5,58.8,61.6,71.5,51.9
10-12,37.3,61.9,59.4,47.0,51.2,58.8,34.6,52.6,26.8,71.6,37.6,56.4,26.8,34.6,37.6,58.8,61.9,71.6,51.2
10-13,37.3,61.8,58.7,46.7,51.7,58.7,35.9,52.1,29.4,71.5,36.4,56.7,29.4,35.9,37.3,58.7,61.8,71.5,51.7
10-14,39.4,62.6,58.7,46.1,51.8,59.2,37.5,52.0,29.9,71.6,35.9,56.9,29.9,35.9,39.4,58.7,62.6,71.6,51.8
10-15,39.3,61.4,60.1,46.3,50.7,59.2,37.1,51.7,29.8,71.7,35.5,57.6,29.8,35.5,39.3,59.2,61.4,71.7,50.7
