date,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,38.6,79.4,71.1,42.9,79.5,72.0,41.2,46.7,76.2,47.9,38.6,40.7,44.4,74.5,79.4,79.5,71.1
10-02,39.0,79.3,72.0,42.6,79.0,71.3,41.1,47.0,75.5,46.8,39.0,40.7,44.3,74.1,79.1,79.3,71.3
10-03,38.4,79.3,71.5,41.1,78.6,76.6,41.1,47.3,75.2,46.3,38.4,40.5,43.6,76.0,78.7,79.3,71.5
10-04,38.3,77.6,71.1,40.9,77.7,76.6,41.4,45.8,74.9,46.2,38.3,40.4,43.2,75.9,77.6,77.7,71.1
10-05,39.8,76.7,70.6,41.1,77.7,76.3,51.8,46.6,74.6,46.3,39.8,40.9,48.7,75.7,76.9,77.7,70.6
10-06,37.9,76.3,70.4,41.1,77.4,75.5,52.7,45.8,74.0,46.8,37.9,40.4,48.6,74.9,76.5,77.4,70.4
10-07,38.0,77.4,70.2,40.9,77.3,75.3,51.7,45.7,73.7,46.9,38.0,40.3,48.1,74.6,77.3,77.4,70.2
10-08,37.2,77.8,69.7,41.1,76.9,74.8,51.9,46.0,73.2,47.2,37.2,40.3,48.4,74.2,77.1,77.8,69.7
10-09,36.6,77.9,69.9,40.9,76.7,74.8,58.0,50.0,72.8,47.4,36.6,40.0,53.2,74.0,77.0,77.9,69.9
10-10,37.1,77.0,69.7,41.0,76.4,74.2,62.3,55.0,72.4,47.2,37.1,40.3,57.9,73.5,76.5,77.0,69.7
10-11,37.2,76.1,69.4,41.0,76.1,74.1,62.6,54.5,72.0,47.5,37.2,40.3,57.7,73.3,76.1,76.1,69.4
10-12,38.0,76.7,69.4,41.5,76.1,73.5,62.9,57.3,71.2,46.2,38.0,40.8,59.5,72.6,76.2,76.7,69.4
10-13,38.7,80.1,68.8,41.1,75.6,73.3,63.6,67.5,71.2,45.7,38.7,40.6,65.2,72.5,76.5,80.1,68.8
10-14,40.1,79.7,68.1,41.2,75.8,73.3,69.2,72.4,70.7,45.5,40.1,41.0,68.6,72.9,76.6,79.7,70.7
10-15,40.0,81.0,68.2,41.4,75.3,72.9,73.7,72.8,70.4,45.7,40.0,41.1,69.1,73.4,76.5,81.0,72.8
10-16,41.3,80.6,68.2,40.9,75.3,72.9,75.7,72.6,69.9,,40.9,41.2,68.9,74.3,76.7,80.6,72.6
10-17,40.6,81.5,67.7,40.6,75.3,72.2,76.2,73.8,69.6,,40.6,40.6,68.4,74.7,77.3,81.5,72.2
10-18,40.2,81.5,67.0,39.9,74.8,72.3,77.0,75.1,69.4,,39.9,40.2,68.0,75.0,77.9,81.5,72.3
10-19,41.0,80.1,65.2,40.6,74.4,72.3,77.7,75.6,69.1,,40.6,40.9,66.8,75.1,78.1,80.1,72.3
10-20,41.6,80.2,65.7,40.3,74.1,72.4,78.6,77.9,68.8,,40.3,41.3,66.9,76.4,78.9,80.2,72.4
10-21,41.0,80.3,65.0,40.0,74.1,72.4,80.3,77.6,68.4,,40.0,40.8,66.4,76.2,80.3,80.3,72.4
10-22,41.0,81.3,64.9,40.3,74.0,72.1,80.8,81.6,68.0,,40.3,40.8,66.1,78.0,81.3,81.6,72.1
10-23,44.6,82.7,64.6,39.9,73.8,71.9,81.4,83.8,67.5,,39.9,43.6,65.7,78.4,82.9,83.8,71.9
10-24,41.7,82.1,64.5,41.0,74.1,71.8,81.1,83.3,66.8,,41.0,41.5,65.4,78.3,82.3,83.3,71.8
10-25,40.1,81.6,64.5,40.8,73.6,71.8,80.5,83.6,66.6,,40.1,40.7,65.3,77.7,82.0,83.6,71.8
