date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,39.7,37.5,31.2,33.5,31.1,32.7,36.1,39.5,36.5,53.6,67.5,49.4,60.9,34.8,23.9,26.3,25.7,24.5,32.3,32.3,23.9,25.5,31.6,38.7,55.1,67.5,34.8
10-02,42.1,37.4,32.1,33.0,30.8,31.6,36.6,39.3,36.3,53.2,65.4,48.4,59.4,34.3,24.6,25.6,24.9,24.6,31.1,32.3,24.6,24.9,31.3,38.5,54.4,65.4,34.3
10-03,42.0,37.4,31.3,32.0,31.2,31.5,36.4,38.6,36.4,51.9,63.8,46.4,58.5,32.4,23.6,25.3,25.5,24.2,29.9,30.6,23.6,25.1,31.2,38.1,53.2,63.8,32.4
10-04,41.1,37.3,31.3,32.8,31.2,32.2,36.2,38.0,36.6,50.5,63.0,45.3,55.5,33.5,22.9,25.0,25.7,23.8,28.5,30.7,22.9,24.7,31.2,37.7,51.5,63.0,33.5
10-05,41.2,36.3,31.0,33.1,29.9,31.2,34.4,37.8,36.2,48.9,62.1,44.1,55.8,32.6,40.1,24.9,24.7,24.9,28.5,31.1,24.7,24.9,31.1,39.2,50.3,62.1,34.4
10-06,42.4,36.1,31.2,31.4,31.6,31.3,76.2,54.6,36.3,48.4,61.3,43.0,54.6,33.1,39.5,25.0,24.3,23.2,29.2,31.8,23.2,24.8,31.3,42.8,56.0,76.2,36.1
10-07,41.3,35.9,30.8,29.7,32.1,31.2,74.9,63.5,35.4,48.2,60.0,45.3,54.4,32.2,53.2,24.8,24.4,23.7,29.3,31.4,23.7,24.8,31.0,47.0,60.7,74.9,35.4
10-08,41.0,35.8,30.4,30.2,32.8,30.5,70.3,64.8,35.0,47.6,59.5,46.7,54.2,32.2,50.0,24.4,23.9,24.2,27.5,32.1,23.9,24.3,30.5,47.2,60.6,70.3,35.0
10-09,41.4,35.1,30.3,30.4,32.9,30.0,68.1,64.0,34.9,47.3,59.0,47.3,52.9,33.1,44.7,25.3,24.3,48.5,28.2,33.0,24.3,27.6,31.4,47.3,60.0,68.1,35.1
10-10,40.7,35.7,29.8,31.4,32.6,30.7,66.3,62.7,34.9,46.1,58.1,47.8,53.3,30.9,43.5,24.8,23.9,43.8,28.9,32.0,23.9,28.1,31.1,45.2,59.0,66.3,35.7
10-11,38.7,34.7,30.0,30.7,31.6,30.2,64.8,62.3,34.9,44.6,57.7,47.9,53.1,31.1,43.6,23.5,24.1,42.3,26.6,31.8,23.5,26.1,30.9,44.2,58.6,64.8,34.9
10-12,38.4,34.8,29.7,30.9,30.6,31.0,63.5,61.9,33.7,44.8,56.3,47.1,52.5,31.9,50.5,22.4,24.0,40.7,27.8,31.6,22.4,27.1,30.9,46.1,57.4,63.5,34.8
10-13,38.4,35.3,30.0,30.3,28.7,30.6,62.6,60.9,33.4,44.4,55.3,46.9,50.6,31.4,51.6,22.8,24.0,45.0,26.5,30.0,22.8,26.0,30.4,46.1,56.4,62.6,35.3
10-14,37.5,34.6,30.8,29.7,28.3,30.5,61.8,60.2,32.3,43.1,53.9,46.0,50.8,30.4,50.4,22.1,23.5,42.4,27.0,30.1,22.1,26.3,30.5,44.9,55.2,61.8,34.6
10-15,37.7,34.4,43.6,30.4,28.7,30.2,61.0,59.5,33.0,43.1,53.8,45.6,50.3,30.5,49.5,23.1,24.4,41.4,27.4,30.1,23.1,26.8,30.5,44.8,54.9,61.0,37.7
10-16,37.5,34.9,44.9,30.3,28.9,30.6,59.9,59.0,33.5,43.0,52.8,44.9,50.6,30.5,48.0,23.8,23.6,39.8,26.4,,23.6,25.9,30.5,44.9,54.0,59.9,37.5
10-17,36.2,34.1,45.0,29.6,30.1,29.9,59.6,58.4,34.1,42.5,52.7,44.3,49.8,29.5,46.2,23.6,22.6,39.5,27.1,,22.6,26.4,30.0,44.7,53.9,59.6,36.2
10-18,35.3,34.7,45.7,29.4,30.1,30.0,58.9,56.9,33.6,42.7,52.7,43.0,48.1,31.5,46.2,24.0,22.6,39.5,26.1,,22.6,25.7,30.7,44.6,53.5,58.9,35.3
10-19,34.9,33.5,44.4,29.3,30.3,31.4,61.3,56.2,34.1,42.5,51.5,61.4,47.0,32.2,46.0,23.6,23.8,38.4,26.2,,23.6,25.7,31.7,45.4,57.2,61.4,34.9
10-20,52.9,37.3,44.0,29.7,30.0,31.2,61.2,55.3,33.8,42.4,51.7,64.7,45.3,32.6,44.8,22.8,22.9,37.6,25.9,,22.8,25.3,31.8,45.1,56.5,64.7,37.6
10-21,81.9,38.9,44.1,28.7,30.4,29.5,61.7,54.1,33.4,43.3,50.7,68.6,44.8,31.1,45.2,22.4,22.1,36.8,25.2,,22.1,24.6,30.7,45.1,63.1,81.9,38.9
10-22,79.9,38.8,43.1,27.7,30.2,29.4,61.4,53.1,34.1,42.8,50.4,68.6,43.5,29.5,52.1,22.6,23.2,36.6,24.4,,22.6,24.2,29.8,47.6,62.9,79.9,38.8
10-23,77.3,39.4,42.9,28.0,29.6,29.1,61.6,52.3,33.3,42.6,49.3,67.3,43.2,29.7,67.8,22.6,22.3,36.5,23.9,,22.3,23.6,29.6,46.9,67.4,77.3,39.4
10-24,76.4,39.3,42.9,28.3,28.6,29.3,61.7,51.4,33.5,43.2,48.5,64.8,42.4,30.2,62.7,22.4,22.9,35.4,45.5,,22.4,27.3,31.5,47.3,63.1,76.4,42.4
10-25,73.2,38.4,42.7,28.6,28.8,29.5,62.0,50.7,31.7,43.1,48.1,63.1,42.8,31.0,59.7,21.0,22.2,35.7,43.2,,21.0,27.3,31.3,46.1,62.2,73.2,42.7
10-26,71.4,36.4,42.5,29.1,28.8,28.8,61.1,49.0,31.6,42.6,47.0,62.6,41.1,30.2,56.8,22.7,20.7,35.0,43.8,,20.7,27.6,30.8,45.7,61.4,71.4,41.1
10-27,69.4,36.9,42.2,28.4,29.2,28.2,59.4,47.2,31.2,43.1,46.9,61.9,41.0,31.2,54.4,21.4,18.7,37.9,42.7,,18.7,26.8,31.2,45.4,59.9,69.4,41.0
10-28,70.2,36.1,42.9,28.6,29.1,27.8,59.1,46.1,31.2,41.8,45.5,60.4,42.6,29.4,54.7,20.2,18.2,37.1,40.0,,18.2,26.3,30.1,44.5,59.4,70.2,40.0
10-29,72.4,36.5,43.1,28.6,29.3,27.0,58.2,45.4,31.1,40.2,45.2,59.6,41.4,30.7,52.3,20.7,18.0,37.2,38.9,,18.0,25.7,30.9,44.3,58.5,72.4,38.9
10-30,72.6,38.3,42.5,28.9,29.6,26.2,58.2,45.3,31.4,39.5,44.1,59.6,41.6,29.2,51.3,19.7,19.7,36.9,38.3,,19.7,24.9,30.3,43.5,58.5,72.6,38.3
10-31,73.4,37.9,42.1,28.1,29.6,26.7,57.3,46.3,31.9,43.8,43.0,58.5,41.0,30.2,49.6,18.9,19.3,37.0,37.6,,18.9,25.2,30.9,43.4,57.6,73.4,37.9
11-01,72.6,37.6,40.9,28.1,28.9,27.6,56.8,45.4,31.6,47.7,43.7,58.2,39.9,30.6,48.5,18.5,19.3,36.5,37.7,,18.5,26.0,31.0,44.7,57.1,72.6,37.7
11-02,70.4,38.2,41.6,27.8,28.5,27.3,56.8,45.6,31.3,49.2,42.9,58.3,38.3,28.8,48.0,19.1,19.0,35.1,36.8,,19.0,25.7,29.8,44.5,57.1,70.4,38.2
11-03,69.1,37.6,41.0,26.6,29.0,27.9,57.3,44.1,30.7,49.3,41.3,57.6,37.9,30.5,47.5,20.1,21.0,34.2,36.9,,20.1,25.5,30.6,43.0,57.4,69.1,37.6
11-04,69.3,37.6,41.1,27.0,27.3,27.6,56.7,43.4,31.1,48.6,39.2,57.2,38.4,29.4,47.1,20.2,20.0,33.8,37.3,,20.0,25.7,30.1,42.5,56.8,69.3,37.6
11-05,69.2,36.8,41.0,27.3,27.4,27.1,56.5,43.1,30.9,51.1,39.2,55.3,38.7,29.9,45.7,20.7,20.1,32.3,40.9,,20.1,25.8,30.3,42.3,55.6,69.2,38.7
11-06,71.3,36.5,41.0,27.4,26.3,27.6,56.3,43.0,31.1,52.4,39.2,57.5,38.5,29.1,44.9,20.7,20.2,32.2,41.1,,20.2,25.2,29.9,42.2,56.5,71.3,38.5
11-07,71.1,35.7,40.8,27.0,25.5,27.6,55.1,42.0,30.8,52.5,39.6,56.9,38.8,29.6,44.7,20.5,20.4,31.0,41.0,,20.4,24.5,30.1,41.6,55.5,71.1,38.8
11-08,76.1,36.4,40.2,27.1,25.6,27.7,55.6,41.6,30.9,53.2,39.2,56.7,38.4,28.1,43.8,20.4,19.3,29.7,41.7,,19.3,24.6,28.7,41.6,55.8,76.1,38.4
11-09,78.8,35.7,40.7,27.8,26.3,27.3,54.2,41.8,30.7,53.6,39.8,56.0,37.0,27.7,42.2,20.5,18.3,29.5,43.0,,18.3,25.2,28.4,42.1,54.6,78.8,37.0
11-10,76.0,34.8,39.6,27.2,26.2,28.0,53.8,41.3,29.4,53.6,39.1,56.2,37.7,26.6,41.6,20.3,16.6,29.5,64.5,,16.6,25.0,28.6,41.5,57.9,76.0,37.7
11-11,74.8,36.1,38.5,27.3,25.8,27.4,53.0,40.8,29.0,53.7,38.7,55.8,37.7,26.8,41.5,19.9,16.5,28.1,62.1,,16.5,24.6,27.7,41.2,57.1,74.8,37.7
11-12,74.4,34.4,37.8,27.4,25.5,27.9,52.8,41.0,29.0,53.7,38.0,55.5,36.1,26.7,41.6,20.5,16.3,28.5,60.3,,16.3,24.5,28.1,41.4,56.4,74.4,36.1
11-13,72.6,35.1,37.1,27.0,25.4,27.1,51.7,40.5,29.4,53.5,38.4,55.9,36.6,27.5,40.4,20.5,16.0,27.5,59.5,,16.0,24.4,27.5,40.5,56.6,72.6,36.6
11-14,72.6,34.7,37.3,26.7,27.5,26.9,52.4,42.0,29.0,53.4,37.2,55.7,35.6,26.9,40.0,20.6,16.7,27.1,57.4,,16.7,25.5,27.2,41.2,56.1,72.6,35.6
