date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.2,48.4,55.8,50.2,44.7,49.5,58.1,49.6,58.8,39.2,72.0,86.7,65.6,71.5,61.1,28.5,62.6,28.7,67.7,75.5,69.3,28.5,38.1,49.2,63.5,72.4,86.7,57.0
10-02,42.9,48.0,55.9,50.2,44.7,48.7,58.1,48.6,58.8,40.2,71.2,86.2,64.5,72.0,60.1,29.0,62.3,28.5,67.0,74.1,69.6,28.5,39.0,48.4,63.0,72.2,86.2,57.0
10-03,42.6,47.8,55.1,51.9,45.2,47.6,58.3,48.1,58.5,40.0,71.0,85.4,65.1,72.8,59.2,65.1,62.2,27.5,67.2,75.5,70.9,27.5,42.4,48.0,65.1,73.1,85.4,58.4
10-04,42.8,47.4,54.9,55.7,47.0,50.6,58.4,47.8,59.6,38.5,71.1,82.7,65.4,72.8,58.9,53.0,62.4,27.4,67.4,75.0,71.4,27.4,42.4,49.8,63.3,73.0,82.7,57.0
10-05,43.5,47.4,54.6,68.6,47.8,52.4,58.6,47.9,74.3,37.1,71.0,82.1,66.2,71.8,73.9,53.4,62.1,27.0,66.7,73.8,73.0,27.0,42.9,51.0,69.3,74.0,82.1,60.4
10-06,43.6,47.7,54.5,66.7,69.6,54.2,57.8,56.8,73.9,37.9,70.8,80.2,67.2,71.7,58.8,52.6,61.8,26.4,67.6,73.8,74.1,26.4,43.0,54.4,68.2,73.8,80.2,60.3
10-07,43.1,47.6,54.2,70.4,55.8,55.2,57.7,62.8,73.1,39.0,70.6,78.5,68.0,71.5,73.7,51.5,61.4,25.9,71.8,72.4,74.1,25.9,42.7,54.9,70.9,73.1,78.5,62.1
10-08,43.2,47.5,54.1,72.5,55.6,56.1,58.2,67.5,73.0,36.7,70.6,77.0,67.5,71.1,56.6,53.4,61.7,25.0,75.6,72.6,74.2,25.0,42.6,55.1,70.8,73.2,77.0,59.9
10-09,43.4,47.4,54.2,72.5,57.6,56.4,58.1,67.6,73.7,38.5,70.9,75.4,67.2,71.3,55.9,53.9,61.5,24.6,77.3,72.0,73.5,24.6,42.9,55.4,71.0,73.9,77.3,59.8
10-10,43.3,47.4,53.3,72.2,59.9,56.1,58.8,67.5,73.5,36.6,93.4,74.4,66.9,70.9,55.3,54.3,61.2,24.4,76.3,71.7,73.2,24.4,42.6,55.0,71.2,74.6,93.4,60.6
10-11,42.7,47.3,53.5,72.4,63.6,55.5,59.1,68.2,73.4,35.7,70.7,73.7,66.6,70.8,55.1,53.9,61.0,23.9,74.9,71.3,72.6,23.9,42.0,54.7,70.7,73.4,74.9,62.3
10-12,42.6,47.2,53.9,71.9,64.2,54.3,59.3,67.8,73.9,38.4,70.8,73.3,66.2,70.3,55.0,53.7,61.0,23.9,75.0,71.3,73.2,23.9,42.2,54.1,70.5,73.4,75.0,62.6
10-13,42.4,47.2,53.1,71.9,63.9,53.5,59.4,66.6,74.0,38.4,70.9,72.5,65.6,70.4,69.7,54.0,61.0,24.0,74.0,70.6,73.6,24.0,42.0,53.9,70.4,72.6,74.0,64.8
10-14,42.3,47.1,53.6,72.0,63.1,53.0,59.4,65.9,75.1,37.2,71.9,72.6,64.9,69.8,54.1,54.8,60.8,25.2,73.9,69.5,73.2,25.2,41.8,53.9,69.6,72.7,75.1,61.9
