date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,10.7,23.9,16.1,65.2,36.2,26.7,15.3,18.2,19.6,16.2,24.2,73.6,44.7,74.5,67.7,13.8,44.7,17.2,25.8,26.6,30.1,10.7,15.2,17.9,38.8,68.3,74.5,25.0
10-02,10.7,24.0,16.1,63.8,35.1,25.5,15.1,18.3,19.5,15.7,24.6,71.7,44.8,73.8,66.7,14.8,44.9,16.2,25.8,26.9,30.0,10.7,15.0,17.7,38.0,67.2,73.8,25.1
10-03,10.0,24.0,15.8,63.8,36.4,25.4,14.8,17.8,19.1,15.7,28.8,70.3,44.6,72.9,66.1,15.4,44.2,17.7,26.0,26.5,34.4,10.0,15.4,17.8,38.7,66.5,72.9,25.7
10-04,9.7,23.8,14.4,62.8,35.6,24.5,17.9,17.9,19.1,15.8,28.5,69.1,45.0,72.5,65.6,18.3,43.6,17.1,25.6,26.4,42.6,9.7,15.7,18.2,38.0,66.0,72.5,25.0
10-05,9.7,24.0,14.3,63.4,34.2,32.0,21.3,18.4,35.7,15.2,30.4,68.4,45.7,73.1,65.5,24.2,43.3,17.4,26.0,26.6,46.8,9.7,15.1,23.2,38.0,65.8,73.1,28.5
10-06,9.7,23.7,14.4,65.1,34.8,44.8,27.4,18.1,42.7,14.8,30.5,67.8,46.7,72.4,65.9,36.6,42.9,17.4,25.8,26.7,48.0,9.7,14.8,25.1,43.5,66.1,72.4,32.6
10-07,9.6,23.4,12.9,73.8,35.4,44.2,28.0,18.1,42.9,15.3,30.9,67.0,46.7,71.3,65.6,38.5,41.7,16.5,25.9,26.4,47.7,9.6,15.1,25.2,43.3,67.4,73.8,33.1
10-08,13.3,23.2,13.6,72.5,40.1,41.8,28.9,17.8,42.8,14.3,31.9,66.8,47.4,72.0,65.3,38.7,41.7,17.4,28.1,26.5,47.4,13.3,14.2,25.5,42.1,67.3,72.5,35.3
10-09,13.3,23.2,14.6,71.3,45.9,39.2,29.3,21.8,44.8,14.8,33.6,66.0,47.4,71.1,64.6,37.8,40.8,17.2,39.0,26.1,47.3,13.3,14.7,25.2,45.2,66.5,71.3,38.4
10-10,13.5,23.3,16.8,69.5,50.7,37.6,28.5,24.9,48.0,14.8,34.8,65.2,47.4,70.5,64.0,38.8,40.9,17.6,46.0,26.1,46.9,13.5,16.6,25.8,47.6,65.7,70.5,38.2
10-11,13.0,23.0,17.4,70.0,49.1,36.2,28.6,28.5,49.4,14.7,37.9,65.4,47.2,70.2,63.5,43.9,40.0,16.8,48.2,26.2,46.4,13.0,16.6,27.8,48.5,65.8,70.2,39.0
10-12,12.4,22.6,19.1,68.8,47.2,35.0,29.3,29.8,52.6,14.8,38.1,64.9,47.2,69.9,63.1,44.9,39.7,16.9,51.5,26.1,46.4,12.4,16.7,28.3,48.5,65.3,69.9,38.9
10-13,12.8,22.7,19.8,67.3,46.0,35.3,34.9,29.5,52.2,14.9,38.7,64.1,46.8,69.1,62.6,47.5,40.1,15.9,53.5,25.8,48.5,12.8,15.8,28.4,49.0,64.4,69.1,39.4
10-14,12.3,22.4,19.4,66.5,46.2,36.4,45.4,29.3,51.7,14.8,43.6,63.6,46.9,68.0,62.1,49.0,39.5,16.3,53.9,25.6,50.3,12.3,16.2,28.2,49.8,63.9,68.0,44.5
10-15,12.1,22.4,19.4,65.6,45.7,42.5,56.4,28.6,51.5,16.1,45.6,63.3,46.4,67.8,61.4,49.1,39.0,16.7,54.1,25.1,53.9,12.1,16.7,27.5,52.3,63.5,67.8,45.7
10-16,12.0,22.3,19.2,65.1,44.7,43.6,56.3,28.7,51.3,16.0,45.9,63.5,46.2,67.9,61.3,49.7,38.5,16.1,57.6,25.1,,12.0,16.1,27.6,52.8,63.7,67.9,45.3
10-17,12.0,22.7,19.3,68.1,44.6,45.1,57.5,28.5,51.8,22.8,45.1,62.6,46.0,76.3,60.8,49.8,38.2,16.2,60.4,25.0,,12.0,19.0,27.4,53.5,63.1,76.3,45.1
10-18,12.1,21.2,19.1,67.9,47.3,45.0,59.1,28.3,56.0,21.3,44.9,62.3,45.9,79.4,60.9,50.1,38.8,16.9,61.2,25.2,,12.1,18.9,27.4,57.0,62.8,79.4,45.4
10-19,12.3,21.3,18.6,67.2,47.6,43.5,59.9,27.9,57.9,21.3,44.3,62.1,45.6,79.4,60.7,51.0,38.4,16.7,62.8,25.3,,12.3,18.4,27.1,58.5,63.2,79.4,45.0
10-20,12.3,35.2,19.2,67.0,53.9,42.5,61.4,27.3,58.4,21.0,44.1,61.7,45.4,79.7,60.6,53.5,38.6,16.7,63.1,25.0,,12.3,18.9,32.8,59.1,63.5,79.7,44.8
10-21,12.2,59.8,19.2,71.0,60.0,41.8,66.9,27.1,58.1,21.4,44.1,61.4,45.5,78.9,60.0,56.2,39.3,16.5,63.1,25.0,,12.2,18.9,35.6,60.0,67.3,78.9,50.9
10-22,12.3,57.7,18.9,70.0,59.7,40.9,67.1,27.0,57.6,21.2,44.5,61.4,45.6,81.5,59.6,57.5,42.2,17.1,63.0,24.6,,12.3,18.7,36.7,59.6,67.4,81.5,51.6
10-23,12.1,57.8,18.3,69.3,59.3,39.6,69.4,26.7,57.2,34.4,46.1,60.3,45.5,82.7,60.2,58.7,42.4,16.9,68.7,24.7,,12.1,18.1,38.0,59.5,69.3,82.7,51.7
10-24,12.0,60.8,18.4,69.0,65.1,39.0,70.8,26.5,56.5,35.1,47.6,60.6,44.9,81.6,60.2,59.1,41.5,16.5,69.6,24.2,,12.0,18.2,37.8,60.6,69.7,81.6,52.1
10-25,11.5,60.2,18.0,69.8,65.0,38.9,71.6,57.8,56.3,37.9,46.7,60.3,45.1,82.2,59.7,58.3,41.7,16.6,73.2,23.9,,11.5,17.8,40.8,60.3,71.8,82.2,57.0
10-26,10.9,60.9,18.5,69.2,64.5,39.0,70.7,53.9,55.6,40.3,46.3,60.5,45.0,81.2,59.5,58.3,41.3,15.4,76.4,24.2,,10.9,18.2,41.0,60.6,71.3,81.2,54.7
10-27,11.2,77.3,17.6,69.7,63.9,38.8,69.9,59.7,55.3,42.2,45.6,59.7,44.9,80.4,59.7,57.8,42.5,15.9,73.5,23.8,,11.2,17.4,42.4,61.0,73.9,80.4,56.6
10-28,11.0,64.6,17.9,70.4,62.9,38.7,69.5,63.4,54.5,43.6,44.6,59.2,44.4,79.7,58.9,57.6,43.6,15.9,72.4,24.4,,11.0,17.7,43.6,63.0,70.6,79.7,56.0
10-29,11.2,62.6,30.9,70.9,61.7,38.6,69.5,64.6,53.6,46.9,45.3,59.0,44.0,82.1,59.0,57.4,43.2,15.7,72.3,24.7,,11.2,23.8,43.8,62.0,71.1,82.1,55.5
10-30,11.2,62.4,31.3,70.3,61.3,38.6,69.6,72.9,53.1,62.1,44.1,58.8,44.0,81.8,59.0,56.5,43.3,15.6,72.4,25.2,,11.2,24.2,43.8,62.2,72.4,81.8,57.7
10-31,11.1,62.4,30.4,68.7,60.7,38.2,70.1,73.6,52.8,62.8,46.2,58.7,43.3,82.8,58.1,55.6,43.6,16.0,71.6,26.1,,11.1,25.1,43.5,62.5,71.8,82.8,56.9
11-01,10.7,62.5,29.1,66.6,59.6,38.5,70.7,74.0,52.5,63.5,46.3,59.0,44.5,83.3,57.8,55.6,43.1,16.2,71.6,27.9,,10.7,26.7,44.1,62.8,71.8,83.3,56.7
11-02,10.7,62.5,32.2,65.0,58.8,38.3,70.7,73.9,53.5,62.9,46.2,58.5,45.2,81.9,57.6,54.8,42.8,16.4,72.6,28.4,,10.7,27.2,44.5,62.6,72.7,81.9,56.2
11-03,10.5,61.4,30.4,63.8,57.9,51.2,71.0,74.2,53.4,62.2,46.2,58.5,47.2,81.0,57.1,55.3,42.7,16.2,73.6,28.7,,10.5,27.4,46.9,61.6,73.7,81.0,56.2
11-04,10.5,61.7,30.6,64.3,57.1,52.0,71.6,74.4,53.1,61.7,46.2,58.8,49.5,80.2,56.7,55.4,42.8,16.6,71.9,29.1,,10.5,27.8,48.5,61.7,72.1,80.2,56.1
11-05,10.5,62.0,31.2,64.5,56.6,57.3,72.3,74.6,52.9,62.2,46.0,58.6,49.6,79.7,62.6,55.5,42.6,16.5,70.9,29.5,,10.5,28.2,48.5,62.3,72.5,79.7,56.9
11-06,10.3,62.2,32.1,64.4,56.1,57.0,72.2,74.3,53.0,62.5,45.4,58.5,50.2,79.4,63.3,55.3,42.3,16.8,69.8,30.8,,10.3,29.4,48.7,62.7,72.4,79.4,56.6
11-07,10.5,62.3,33.0,64.6,55.7,56.4,71.8,74.7,53.2,62.9,45.5,58.2,50.2,79.2,62.9,55.4,42.6,17.5,69.4,31.4,,10.5,30.0,48.8,62.9,72.1,79.2,56.1
11-08,10.4,62.6,35.5,64.7,55.0,57.4,71.4,73.8,53.4,63.4,46.5,58.2,50.7,78.3,61.8,54.8,43.1,17.1,69.3,38.4,,10.4,33.6,49.5,62.8,71.6,78.3,56.2
11-09,10.5,63.8,37.0,65.8,55.0,59.2,70.6,75.1,53.1,63.7,46.2,58.0,51.1,77.8,61.9,53.9,45.5,16.4,69.2,40.7,,10.5,35.0,49.6,63.8,71.0,77.8,56.5
11-10,10.7,64.4,37.5,71.0,54.8,60.1,69.3,74.8,53.2,64.1,47.0,58.1,50.9,77.5,62.1,54.3,46.1,16.4,70.7,39.7,,10.7,35.4,49.8,64.2,71.4,77.5,56.4
11-11,10.9,65.7,36.7,70.1,54.7,61.5,69.1,74.1,53.0,64.6,48.7,58.3,51.1,77.0,63.0,52.7,46.0,17.2,69.6,40.5,,10.9,34.7,50.4,65.0,70.5,77.0,56.5
11-12,16.1,67.9,35.9,70.2,54.4,62.0,68.8,73.6,52.9,65.0,49.2,57.9,52.3,76.3,62.8,52.4,46.5,17.0,69.4,40.4,,16.1,34.0,51.4,65.9,70.5,76.3,56.1
11-13,22.1,68.3,36.0,70.3,55.7,67.1,68.7,73.6,52.7,65.3,49.4,57.6,53.0,76.1,62.8,52.1,46.1,17.0,69.7,41.6,,17.0,34.6,51.3,67.4,70.6,76.1,56.6
11-14,26.5,68.5,34.7,70.0,55.9,70.9,68.0,73.3,52.5,65.4,50.7,57.4,52.2,75.6,62.6,51.3,46.0,17.1,70.2,42.0,,17.1,33.9,51.2,68.2,71.2,75.6,56.7
11-15,34.1,68.3,36.2,70.9,55.5,71.6,67.4,72.6,53.0,65.8,50.6,56.9,52.7,74.9,63.1,50.9,45.8,16.9,70.5,42.0,,16.9,36.0,50.8,67.7,71.7,74.9,56.2
11-16,40.8,67.8,35.5,70.3,54.5,70.9,66.9,73.0,53.6,65.9,49.8,56.7,53.3,74.4,62.5,50.3,45.9,16.7,70.0,42.6,,16.7,40.3,50.2,67.2,71.1,74.4,55.6
11-17,43.5,67.5,34.9,70.5,55.3,71.4,66.7,73.5,53.7,66.5,49.8,56.4,52.6,74.4,67.4,49.7,45.7,17.0,69.8,42.7,,17.0,41.9,49.8,67.5,71.6,74.4,55.8
11-18,45.7,67.3,34.4,70.7,56.4,72.1,66.3,73.2,54.0,68.1,49.6,56.2,53.2,73.9,68.9,49.2,45.7,17.4,68.5,43.1,,17.4,42.2,49.5,68.2,72.2,73.9,56.3
11-19,47.1,66.7,33.5,70.3,56.8,72.9,66.1,72.8,54.4,68.5,50.2,56.1,52.9,73.3,69.2,48.8,45.6,26.1,67.6,43.1,,26.1,42.1,49.8,67.9,72.8,73.3,56.4
11-20,48.2,66.5,33.5,69.6,56.3,73.2,65.7,72.5,54.5,68.8,52.3,56.6,53.1,72.9,68.7,48.4,45.6,26.0,66.7,43.4,,26.0,42.4,51.1,67.3,72.6,73.2,56.5
11-21,49.2,66.2,32.9,70.2,55.7,71.7,65.1,72.5,54.7,68.7,54.0,56.1,56.4,75.5,69.3,47.4,45.8,25.3,66.5,43.5,,25.3,42.4,52.5,67.2,71.8,75.5,56.2
11-22,49.5,65.6,32.6,70.9,55.2,70.8,64.7,72.9,54.9,69.0,54.4,55.7,55.4,78.0,71.8,45.2,45.6,24.7,66.3,43.3,,24.7,42.3,52.9,67.1,71.9,78.0,55.6
11-23,49.6,65.1,32.3,71.0,54.2,69.5,64.2,73.4,54.5,69.1,53.8,56.1,55.8,77.5,73.3,45.5,45.3,24.5,65.6,43.6,,24.5,42.4,52.6,66.7,73.3,77.5,55.9
11-24,49.4,64.6,32.2,70.4,53.0,68.8,63.9,73.4,54.9,69.1,53.4,56.0,56.1,77.3,74.0,46.3,45.5,24.3,65.1,43.7,,24.3,42.6,51.9,66.2,73.5,77.3,56.0
11-25,49.5,64.0,31.9,68.4,50.0,68.0,63.6,73.4,55.4,68.8,53.4,56.2,55.7,77.3,74.4,49.3,45.1,24.3,64.4,44.0,,24.3,42.8,49.8,65.5,73.5,77.3,55.9
11-26,49.4,63.5,31.5,67.3,47.9,67.2,63.4,73.8,55.6,68.6,53.1,55.9,56.1,76.7,73.3,49.5,44.9,24.1,63.6,43.4,,24.1,42.2,49.5,64.7,73.4,76.7,56.0
11-27,49.3,64.0,31.4,65.7,47.1,66.7,62.9,73.5,55.4,68.4,52.9,56.0,55.9,76.5,74.0,48.6,44.7,24.2,63.2,43.7,,24.2,42.5,49.1,64.5,73.6,76.5,56.0
11-28,48.8,63.7,31.4,65.1,46.4,66.1,62.8,73.6,55.2,68.2,52.6,55.9,55.9,76.1,74.1,48.5,44.8,24.3,62.5,43.4,,24.3,42.2,48.7,64.1,73.6,76.1,55.9
11-29,48.5,63.8,31.8,64.4,45.8,65.8,62.5,73.6,55.3,68.0,52.3,56.8,55.6,76.6,73.7,48.4,44.7,24.4,62.2,44.2,,24.4,42.9,48.5,64.0,73.6,76.6,56.2
11-30,48.7,63.7,31.9,64.5,45.3,65.6,62.1,73.6,55.0,67.9,51.5,59.2,56.5,76.9,73.1,48.4,44.4,24.4,62.0,44.1,,24.4,42.9,48.6,64.0,73.1,76.9,57.9
12-01,49.8,63.9,32.0,63.8,45.0,65.3,61.6,73.6,55.2,70.7,51.1,59.8,55.8,76.8,72.6,48.3,44.3,24.0,61.5,44.0,,24.0,42.8,49.4,63.9,72.7,76.8,57.8
12-02,49.2,64.2,32.0,63.5,45.1,65.1,61.2,73.6,55.7,69.9,51.2,60.2,56.4,76.9,72.3,48.6,44.7,24.2,61.3,44.9,,24.2,43.4,49.0,63.7,72.4,76.9,58.3
12-03,48.5,64.0,32.4,63.4,45.9,64.9,60.6,73.9,55.7,71.6,52.1,63.8,56.1,76.9,71.8,48.4,44.5,24.2,61.2,44.9,,24.2,43.3,48.5,63.9,72.0,76.9,58.3
12-04,48.1,64.0,32.8,63.0,46.5,64.8,59.7,74.7,55.4,71.3,52.5,64.5,56.2,77.1,72.2,48.3,45.0,24.4,60.7,45.8,,24.4,43.8,48.3,64.1,72.4,77.1,58.0
12-05,47.5,63.5,33.7,62.6,47.8,64.1,59.3,76.7,55.2,72.0,52.7,65.2,55.5,76.6,72.1,48.4,45.5,24.9,60.8,46.4,,24.9,44.3,48.2,63.7,72.5,76.7,57.4
12-06,47.5,63.8,34.1,62.3,47.1,64.1,58.4,75.0,55.1,72.1,52.6,65.7,56.0,77.0,71.9,49.1,45.8,23.7,60.4,46.2,,23.7,44.6,48.7,63.9,72.4,77.0,57.2
12-07,48.8,63.6,34.6,61.6,48.1,64.6,57.5,74.8,55.3,71.5,52.3,66.3,55.8,76.5,71.6,48.9,46.3,22.3,60.2,46.5,,22.3,45.1,48.8,63.9,71.9,76.5,56.6
12-08,48.7,63.8,35.0,61.4,47.5,64.0,56.6,75.4,55.2,71.3,52.3,66.2,56.7,76.0,71.3,49.1,46.6,21.5,59.8,47.3,,21.5,45.4,49.0,63.8,71.7,76.0,56.7
12-09,48.2,63.8,35.0,60.9,47.4,63.6,56.3,75.3,54.8,71.0,51.9,66.2,57.3,76.3,71.2,49.4,51.5,21.8,59.5,47.3,,21.8,46.1,50.9,63.7,71.6,76.3,56.8
12-10,48.0,64.2,35.0,60.6,47.4,63.3,55.7,75.2,54.6,70.7,51.9,66.4,59.5,75.7,70.4,49.1,51.9,21.6,58.9,47.3,,21.6,46.1,51.0,63.6,71.2,75.7,57.3
12-11,47.4,65.7,35.1,60.9,47.6,63.0,55.4,77.1,54.7,70.5,51.4,65.9,62.1,75.8,70.3,49.9,51.8,21.3,59.1,47.6,,21.3,46.2,51.0,63.8,71.0,77.1,57.2
12-12,47.2,66.3,35.2,61.3,47.3,62.8,54.6,76.5,54.7,70.2,51.6,66.5,65.6,75.8,69.9,49.9,52.3,21.8,58.8,47.2,,21.8,46.0,51.0,65.8,70.8,76.5,56.7
12-13,46.9,66.8,35.4,61.2,47.9,62.4,54.2,77.5,67.3,70.1,51.4,67.6,65.8,76.7,69.7,50.2,52.1,21.9,58.6,47.8,,21.9,45.8,51.0,66.9,70.7,77.5,59.9
12-14,46.9,66.9,35.3,62.1,47.4,62.2,54.7,77.8,54.5,70.1,51.0,67.7,65.8,76.7,69.5,49.9,52.4,21.7,58.8,47.6,,21.7,45.8,50.7,66.1,70.8,77.8,56.7
