date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,31.1,30.3,31.7,30.4,29.5,28.7,42.5,74.8,47.9,55.7,52.1,26.6,58.0,26.9,28.4,36.9,50.1,26.6,27.7,29.9,45.2,56.8,74.8,31.4
10-02,30.4,30.0,31.4,30.4,31.2,29.4,43.2,73.4,48.7,55.3,53.1,26.4,56.9,27.3,29.1,36.5,50.2,26.4,28.2,30.2,46.0,56.1,73.4,31.3
10-03,30.7,28.7,31.3,30.4,30.6,30.1,42.6,72.5,47.9,56.1,53.2,27.0,56.1,27.2,28.2,36.5,55.8,27.0,27.7,30.2,45.2,56.1,72.5,31.0
10-04,31.5,29.5,31.4,30.4,30.1,28.9,42.6,71.7,49.3,56.0,53.9,28.4,55.8,27.0,28.7,35.8,57.7,27.0,28.5,29.8,46.0,55.9,71.7,31.4
10-05,30.7,26.2,31.8,30.1,30.6,27.7,42.8,71.2,50.5,56.1,54.5,34.6,55.5,27.3,28.1,35.2,60.1,26.2,27.5,30.3,46.7,55.8,71.2,33.2
10-06,31.3,28.5,30.8,30.3,30.3,27.7,42.7,70.3,51.0,56.0,54.4,35.6,55.9,27.3,29.1,35.5,59.6,27.3,28.1,30.3,46.8,56.0,70.3,33.4
10-07,31.0,28.7,31.0,30.4,31.4,24.3,43.5,70.1,54.5,55.4,53.7,34.9,55.3,27.1,28.7,35.0,59.1,24.3,27.9,30.7,48.6,55.3,70.1,33.2
10-08,32.7,25.3,31.4,30.0,30.6,24.7,44.2,69.5,55.5,55.2,53.8,36.3,54.8,26.6,28.6,35.5,58.7,24.7,25.9,30.3,49.0,55.4,69.5,34.1
10-09,51.3,29.6,33.0,29.6,31.5,24.2,44.0,69.1,55.1,55.1,54.1,36.6,54.4,26.7,35.0,34.9,58.2,24.2,28.1,32.3,52.7,55.1,69.1,35.8
10-10,54.8,30.0,33.8,30.8,34.4,24.1,44.9,69.1,54.8,54.6,54.0,36.0,54.7,27.0,37.8,34.0,57.8,24.1,28.5,33.9,54.3,54.8,69.1,36.9
10-11,54.4,30.3,36.4,30.6,44.9,24.9,40.5,68.8,54.6,54.3,53.6,36.6,54.6,26.2,41.4,34.9,57.1,24.9,28.3,35.6,54.0,54.6,68.8,41.0
10-12,54.2,29.3,37.6,31.0,50.7,25.4,47.3,68.1,54.0,54.1,53.4,37.8,53.2,30.1,42.9,34.3,58.1,25.4,29.7,35.9,53.3,54.2,68.1,45.1
10-13,52.3,27.9,38.6,30.8,52.0,25.3,47.6,68.1,53.6,54.0,52.6,42.4,53.2,31.6,45.4,34.4,58.2,25.3,29.3,36.5,52.4,53.8,68.1,46.5
10-14,51.9,31.0,40.8,30.1,52.7,24.8,48.3,68.0,53.3,53.6,52.4,43.6,52.4,33.1,46.5,33.4,58.9,24.8,30.6,37.1,52.4,53.4,68.0,47.4
10-15,53.2,33.7,50.3,30.5,53.4,25.5,49.1,68.2,53.2,55.8,52.1,44.1,52.4,39.0,47.0,34.0,58.9,25.5,32.1,41.5,52.8,54.6,68.2,49.7
10-16,52.0,33.6,51.4,30.4,53.6,24.2,49.0,67.9,52.8,59.8,52.8,44.5,51.8,37.8,48.5,33.7,,24.2,32.0,41.1,52.4,56.7,67.9,50.2
10-17,51.7,34.6,50.6,30.5,54.5,28.6,48.3,67.5,52.8,70.7,52.7,46.2,51.8,37.5,49.7,33.3,,28.6,31.9,41.8,52.3,61.0,70.7,50.2
10-18,50.9,35.8,50.3,30.4,56.5,28.1,47.9,67.9,52.6,73.2,52.5,45.4,52.2,37.3,52.1,33.2,,28.1,31.8,41.4,52.3,62.2,73.2,50.6
10-19,52.6,35.7,50.5,30.8,56.5,27.9,48.2,67.6,53.0,74.4,53.0,46.5,51.4,37.0,54.6,33.2,,27.9,32.0,41.8,53.0,62.0,74.4,51.0
10-20,59.6,33.7,51.3,30.2,56.7,27.5,47.5,67.3,53.5,74.8,53.1,46.2,52.7,36.9,59.8,33.5,,27.5,31.9,41.5,55.1,63.6,74.8,52.0
10-21,58.3,39.3,50.7,30.3,57.3,28.6,47.7,67.0,53.1,74.4,52.7,46.8,52.7,36.3,60.0,32.7,,28.6,31.5,43.0,55.2,63.5,74.4,51.7
10-22,57.4,40.2,50.8,30.2,57.2,28.7,47.7,66.8,52.6,74.1,53.1,47.6,53.2,36.6,60.2,32.5,,28.7,31.3,43.9,55.2,63.5,74.1,51.7
10-23,56.6,39.1,50.0,30.2,57.0,33.1,48.4,66.5,52.5,74.8,53.7,49.6,54.4,36.3,60.4,32.6,,30.2,32.9,43.8,55.5,63.4,74.8,51.2
10-24,57.5,38.2,51.7,30.0,57.0,35.4,48.2,66.2,52.6,75.1,53.7,53.2,55.4,35.7,60.1,32.6,,30.0,34.0,43.2,56.2,63.2,75.1,52.9
10-25,58.9,38.4,53.8,57.2,56.8,36.1,48.3,66.0,52.8,77.8,52.7,54.6,55.0,35.2,63.3,32.5,,32.5,35.6,50.5,57.0,64.7,77.8,54.2
10-26,59.6,37.5,53.1,57.4,56.9,37.6,48.3,66.4,52.9,77.6,52.5,55.7,55.0,35.0,70.2,31.8,,31.8,36.2,50.4,57.1,68.3,77.6,54.1
10-27,59.4,38.2,53.3,58.1,56.7,38.9,48.5,67.6,51.6,76.3,52.8,55.6,55.3,33.9,70.4,31.8,,31.8,36.1,50.0,57.4,69.0,76.3,54.3
10-28,58.7,37.2,53.3,58.1,55.3,40.2,47.8,67.6,52.8,76.2,52.5,55.5,54.9,33.8,70.9,32.5,,32.5,35.5,50.2,56.8,69.3,76.2,54.1
10-29,59.5,37.8,52.7,58.4,55.7,40.9,47.9,67.0,52.1,79.6,52.5,56.1,54.6,34.3,71.5,33.3,,33.3,36.1,50.0,57.2,69.3,79.6,53.6
10-30,61.6,37.1,52.8,59.9,55.7,43.2,48.1,66.5,52.1,77.9,52.0,55.1,54.4,34.3,71.3,33.7,,33.7,35.7,50.1,57.8,68.9,77.9,53.6
10-31,62.8,37.1,52.8,60.2,55.2,44.7,47.8,66.6,52.1,79.3,51.8,55.0,54.4,34.3,71.0,33.7,,33.7,35.7,49.8,57.7,68.8,79.3,53.6
11-01,57.5,37.7,52.4,62.4,54.3,45.0,47.6,66.8,52.6,78.5,51.8,54.7,53.9,33.7,71.6,34.0,,33.7,35.8,49.7,56.1,69.2,78.5,53.2
11-02,61.3,37.8,53.2,63.0,55.1,46.6,48.5,66.7,52.6,76.6,51.9,54.2,54.0,33.3,72.2,33.4,,33.3,35.6,50.2,58.2,69.4,76.6,53.6
11-03,60.9,45.2,53.2,62.9,55.1,47.0,48.7,66.4,54.1,75.9,52.6,55.6,54.0,33.7,72.6,34.5,,33.7,39.8,50.6,58.3,69.5,75.9,54.1
11-04,61.3,45.4,52.7,62.7,54.6,47.1,48.9,66.6,55.5,74.6,56.6,55.5,53.7,33.9,71.4,34.7,,33.9,40.0,50.8,59.0,69.0,74.6,55.0
11-05,58.6,44.7,52.7,63.1,54.2,47.4,48.5,66.2,56.9,74.1,59.0,55.0,53.5,33.5,71.3,35.5,,33.5,40.1,50.6,58.8,68.7,74.1,54.6
11-06,58.0,44.7,53.2,63.0,54.4,47.1,49.6,66.0,56.3,74.0,58.3,55.3,53.8,33.7,70.4,37.9,,33.7,41.3,51.4,58.2,68.2,74.0,54.8
11-07,58.4,44.3,53.1,63.8,54.0,48.4,49.0,66.2,56.4,73.4,58.8,55.6,53.3,34.2,70.3,38.5,,34.2,41.4,51.0,58.6,68.2,73.4,54.8
