date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.1,33.4,25.1,30.5,54.5,31.6,48.1,41.5,15.9,34.2,20.7,26.6,29.7,37.3,15.9,21.6,28.5,35.4,46.8,54.5,31.6
10-02,37.0,33.0,25.3,30.8,54.0,31.5,47.7,42.3,15.9,34.9,21.1,26.2,29.5,38.6,15.9,22.0,28.2,35.7,46.6,54.0,31.5
10-03,36.7,32.5,25.9,30.3,54.9,31.9,47.9,42.1,21.3,36.1,21.0,27.1,29.6,41.8,21.0,22.2,28.6,36.3,46.7,54.9,31.9
10-04,37.2,33.5,26.1,31.2,54.4,32.1,50.4,41.3,21.4,36.8,20.9,26.5,29.1,48.1,20.9,22.4,28.1,37.0,48.6,54.4,32.1
10-05,36.7,32.4,26.0,30.8,54.2,33.0,50.1,41.2,30.0,36.9,21.0,26.6,29.4,49.0,21.0,26.1,29.8,36.8,48.3,54.2,32.4
10-06,37.3,36.1,26.6,31.2,53.8,33.7,50.2,41.0,32.1,37.0,20.7,26.8,29.4,48.9,20.7,26.7,30.5,37.1,48.4,53.8,33.7
10-07,36.9,36.4,26.6,31.1,53.5,34.3,49.6,40.6,32.8,37.3,20.8,27.0,29.3,48.7,20.8,26.7,30.4,37.1,47.8,53.5,34.3
10-08,37.4,37.3,26.7,30.9,53.6,34.5,49.5,40.4,33.8,37.1,20.5,27.3,29.1,48.2,20.5,26.8,30.2,37.3,47.7,53.6,34.5
10-09,40.4,40.1,26.8,31.2,53.0,34.3,49.1,39.7,34.3,37.4,20.8,35.0,29.2,47.8,20.8,27.3,33.0,39.9,47.3,53.0,35.0
10-10,40.1,44.7,26.8,30.9,52.5,34.4,48.8,39.5,37.3,37.0,21.2,38.0,29.0,47.4,21.2,27.3,33.0,39.8,48.0,52.5,37.3
10-11,41.4,45.9,27.3,30.2,52.4,34.2,48.7,39.2,36.9,37.3,21.1,39.2,28.8,46.9,21.1,27.6,32.6,40.1,48.1,52.4,37.3
10-12,42.3,46.6,27.6,31.7,52.1,34.2,48.6,39.5,36.9,37.1,21.1,42.0,28.7,46.5,21.1,27.8,33.2,42.1,48.2,52.1,37.1
10-13,42.2,46.0,28.3,32.4,52.3,34.1,48.3,39.3,37.9,37.2,21.1,41.9,28.6,47.6,21.1,28.3,33.4,42.1,47.8,52.3,37.9
10-14,43.6,46.2,28.5,32.7,52.1,33.6,48.2,38.8,38.9,37.3,21.3,44.4,28.5,48.3,21.3,28.5,33.2,43.9,47.8,52.1,38.8
10-15,43.2,45.8,29.1,33.1,52.3,33.2,47.8,38.8,38.2,37.3,21.2,49.5,28.5,48.2,21.2,28.6,33.2,44.2,49.1,52.3,38.2
10-16,43.2,45.5,30.1,32.4,51.9,33.7,48.3,39.0,37.3,38.4,21.3,49.4,28.0,,21.3,28.4,33.2,44.1,49.2,51.9,38.4
10-17,41.9,46.0,30.9,32.7,51.7,33.4,53.9,39.1,36.8,38.5,21.0,53.4,28.0,,21.0,28.6,33.1,43.5,53.1,53.9,38.5
10-18,42.5,47.7,31.5,32.1,51.6,33.3,55.9,38.6,37.3,38.7,21.8,52.8,28.0,,21.8,28.7,32.9,44.6,52.6,55.9,38.6
10-19,42.0,47.3,32.7,32.1,51.0,33.5,56.2,38.4,37.4,39.0,22.0,53.5,28.1,,22.0,28.9,33.1,44.1,53.0,56.2,38.4
10-20,41.5,47.2,33.0,32.2,51.3,33.8,56.0,38.5,37.9,39.1,22.3,56.5,28.3,,22.3,29.1,33.5,43.8,55.1,56.5,38.5
10-21,41.7,47.0,33.3,31.9,50.9,33.5,56.5,38.9,38.5,39.2,22.5,59.9,28.1,,22.5,28.9,33.4,43.8,55.3,59.9,38.9
10-22,41.4,46.8,34.1,32.0,50.9,33.3,59.0,38.9,39.1,39.4,22.9,61.4,27.8,,22.9,28.6,33.8,43.6,57.4,61.4,39.1
10-23,41.6,46.0,34.4,31.8,50.8,33.8,64.0,39.7,43.0,41.0,23.3,60.9,28.0,,23.3,28.8,34.1,44.2,58.9,64.0,41.0
10-24,41.8,46.5,40.1,31.3,50.8,33.3,64.8,39.6,46.0,41.6,23.8,62.6,27.9,,23.8,28.6,37.1,46.2,60.2,64.8,41.6
10-25,58.5,46.5,41.8,32.0,50.4,33.1,65.1,39.7,45.9,42.3,23.8,65.3,28.0,,23.8,28.8,37.1,48.0,63.8,65.3,42.3
10-26,57.1,46.2,42.8,32.0,50.5,34.1,65.0,39.7,46.1,42.7,24.1,72.4,28.4,,24.1,29.1,37.5,47.9,63.4,72.4,42.8
10-27,57.0,46.0,43.9,31.9,50.2,33.4,64.8,39.9,46.0,46.4,24.7,73.3,28.3,,24.7,29.0,37.3,47.9,63.2,73.3,46.0
10-28,56.5,46.0,44.2,32.2,50.3,33.3,64.9,39.8,46.3,46.6,24.6,73.1,28.7,,24.6,29.4,37.2,48.1,63.2,73.1,46.0
10-29,56.2,44.9,44.5,31.8,50.6,33.5,66.5,39.7,46.5,45.9,25.1,74.1,28.8,,25.1,29.4,37.2,48.1,64.4,74.1,44.9
10-30,56.4,44.8,45.7,31.9,50.7,33.8,67.0,39.6,46.4,45.9,25.2,73.6,29.0,,25.2,29.6,37.2,48.1,64.9,73.6,45.7
10-31,57.0,44.8,45.7,32.9,51.1,33.7,67.3,39.9,46.3,45.2,25.6,73.8,29.0,,25.6,29.8,37.4,48.2,65.3,73.8,45.2
11-01,58.3,44.1,45.9,33.8,50.6,33.8,71.1,39.5,46.4,45.6,26.3,74.0,29.1,,26.3,30.1,37.2,48.1,68.6,74.0,45.6
11-02,57.8,44.4,45.9,34.5,50.5,33.9,71.6,39.5,46.9,45.5,26.2,74.4,29.7,,26.2,30.5,37.5,48.4,68.8,74.4,45.5
11-03,58.0,44.9,46.6,35.4,50.9,34.2,71.1,40.3,48.7,45.0,26.6,76.4,30.9,,26.6,31.6,38.4,49.6,68.5,76.4,45.0
11-04,57.6,44.4,46.3,35.7,51.2,35.6,70.4,40.0,48.9,45.0,27.0,74.5,32.4,,27.0,33.0,38.3,49.8,67.8,74.5,45.0
11-05,62.4,44.3,46.7,35.6,50.9,36.6,69.7,40.6,49.0,44.7,27.0,73.2,33.0,,27.0,33.5,39.0,49.8,68.3,73.2,44.7
11-06,63.7,44.3,47.7,35.4,51.1,36.4,69.5,41.0,49.7,44.2,26.8,72.3,37.6,,26.8,35.6,39.6,50.3,68.3,72.3,44.3
11-07,63.4,44.5,47.5,35.2,51.2,36.9,68.6,41.4,49.9,44.3,27.5,71.7,38.0,,27.5,35.6,40.0,50.4,67.6,71.7,44.5
11-08,63.4,44.6,48.2,35.2,51.1,36.6,68.6,41.9,49.9,44.4,27.6,71.4,39.4,,27.6,35.4,40.9,50.4,67.6,71.4,44.6
11-09,65.8,44.0,47.8,35.9,50.8,37.1,67.9,42.4,49.4,45.5,27.9,70.9,41.1,,27.9,36.2,41.9,50.0,67.5,70.9,45.5
