date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,6.0,14.8,17.1,34.2,43.4,11.8,30.2,53.4,18.4,23.1,14.0,22.4,31.8,35.9,6.0,12.2,16.2,30.9,41.6,53.4,22.4
10-02,6.5,14.4,16.9,34.0,45.9,11.5,29.8,52.4,18.1,22.8,14.3,21.8,31.8,31.7,6.5,12.1,15.9,30.6,43.5,52.4,21.8
10-03,7.2,13.6,17.0,33.1,45.3,11.0,29.3,54.4,18.2,22.9,14.0,21.9,30.9,33.0,7.2,11.5,15.8,29.9,42.9,54.4,21.9
10-04,6.2,13.8,16.4,32.5,44.6,13.1,29.5,54.5,23.2,22.1,14.2,21.6,30.5,35.1,6.2,13.2,15.5,29.9,42.2,54.5,22.1
10-05,6.0,13.3,16.1,31.7,43.5,15.1,28.7,54.3,30.0,22.1,14.0,21.6,30.7,36.5,6.0,13.5,15.7,30.3,41.1,54.3,22.1
10-06,5.7,13.2,15.9,31.2,43.2,17.1,35.4,53.4,35.1,21.7,14.2,21.7,30.3,37.2,5.7,13.4,16.6,32.8,41.6,53.4,21.7
10-07,17.7,17.6,15.4,30.7,42.4,16.7,35.0,52.4,36.8,21.6,13.7,21.6,30.1,37.3,13.7,15.7,17.7,32.4,41.3,52.4,21.6
10-08,16.7,25.2,15.3,30.4,42.0,16.1,34.6,51.7,46.2,21.5,14.3,21.8,29.9,37.5,14.3,15.4,19.5,32.1,45.4,51.7,25.2
10-09,16.3,30.9,15.2,30.4,41.3,16.8,34.1,51.1,58.9,22.1,14.4,21.2,29.7,37.8,14.4,15.4,19.4,32.2,49.2,58.9,29.7
10-10,16.6,33.3,15.6,29.6,41.0,16.2,34.1,50.5,61.1,21.6,14.6,21.0,29.8,37.1,14.6,15.7,19.2,33.6,48.6,61.1,29.6
10-11,16.0,35.6,15.7,29.1,40.3,15.3,33.3,49.9,67.0,20.8,14.5,21.2,29.5,36.9,14.5,15.4,18.9,34.2,48.0,67.0,29.1
10-12,16.2,36.9,16.6,32.7,39.9,15.0,33.2,49.3,69.8,20.1,13.6,21.1,28.8,36.2,13.6,15.2,18.7,34.7,47.5,69.8,28.8
10-13,14.9,37.5,14.9,34.6,39.0,15.3,32.9,49.2,70.5,20.3,13.5,23.2,28.7,37.4,13.5,14.9,18.3,35.7,47.1,70.5,28.7
10-14,14.5,40.3,20.7,34.9,38.2,14.9,32.6,48.6,70.4,20.3,13.5,24.9,28.9,39.9,13.5,14.6,20.5,36.2,47.0,70.4,28.9
10-15,13.9,40.8,21.9,38.6,38.1,15.1,31.9,48.0,69.2,21.1,13.8,25.2,28.6,40.6,13.8,14.2,21.6,38.3,46.6,69.2,28.6
10-16,14.6,41.1,22.4,39.5,37.1,14.5,31.7,47.2,68.0,20.7,13.4,24.8,28.5,,13.4,14.5,21.7,38.1,46.0,68.0,28.5
10-17,13.7,40.1,22.4,39.8,37.1,14.9,31.6,47.0,66.8,20.8,13.4,24.8,27.8,,13.4,13.9,21.8,38.2,45.6,66.8,27.8
10-18,13.5,45.6,22.1,39.6,36.7,14.2,31.4,46.6,66.5,20.8,13.4,32.6,27.6,,13.4,13.6,21.6,37.8,46.4,66.5,31.4
10-19,15.9,39.4,21.9,39.7,36.2,14.6,30.9,46.4,67.6,20.6,13.5,34.6,27.9,,13.5,14.9,21.4,37.5,45.1,67.6,30.9
10-20,16.8,37.7,21.7,39.4,35.7,14.8,30.0,46.3,67.0,20.2,13.4,38.1,27.3,,13.4,15.2,21.1,37.9,44.9,67.0,30.0
10-21,15.8,37.8,21.4,39.6,35.3,16.7,29.7,46.1,68.1,20.0,13.2,41.2,27.5,,13.2,16.0,20.8,38.5,45.2,68.1,29.7
10-22,16.5,36.9,21.5,40.7,34.6,18.2,29.6,45.3,68.2,20.0,13.7,41.9,27.1,,13.7,16.9,20.9,38.4,44.6,68.2,29.6
10-23,18.5,36.3,21.3,40.9,33.9,23.6,28.9,44.9,67.9,19.8,13.3,41.9,26.8,,13.3,18.7,22.6,38.2,44.3,67.9,28.9
10-24,22.6,36.1,20.9,40.6,33.3,23.7,29.1,44.9,67.3,19.9,13.8,42.7,26.5,,13.8,20.1,23.3,37.9,44.5,67.3,29.1
10-25,25.2,35.5,20.7,40.2,33.3,23.8,30.1,44.7,66.5,20.6,13.9,48.2,26.3,,13.9,20.6,24.6,37.4,47.5,66.5,30.1
10-26,27.7,35.1,20.4,40.1,32.7,23.3,30.1,44.3,66.5,20.2,13.6,49.8,26.1,,13.6,20.3,25.0,37.1,48.7,66.5,30.1
10-27,29.6,34.6,20.0,39.8,32.5,23.4,29.2,43.9,65.2,19.6,14.7,50.9,28.8,,14.7,19.7,26.6,36.7,49.5,65.2,29.6
10-28,31.3,35.8,20.0,39.8,31.9,22.2,29.3,43.4,64.4,19.5,13.8,51.7,30.6,,13.8,19.6,26.5,37.4,50.0,64.4,31.3
10-29,31.7,36.1,20.2,39.6,31.1,21.8,30.2,43.2,63.9,19.2,14.4,53.7,31.1,,14.4,19.4,26.9,37.5,51.6,63.9,31.1
10-30,35.6,36.5,19.9,40.1,30.6,22.5,30.6,43.1,63.3,19.0,14.2,54.6,31.7,,14.2,19.2,27.4,38.0,52.3,63.3,31.7
10-31,37.7,36.2,19.9,40.4,30.2,22.8,30.3,42.9,62.6,19.2,14.5,54.8,32.9,,14.5,19.3,27.2,38.8,52.4,62.6,32.9
11-01,36.8,35.8,19.5,40.5,30.4,24.5,35.5,42.7,61.2,18.8,14.6,54.8,34.2,,14.6,18.9,28.0,38.3,52.4,61.2,35.5
