date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,32.2,40.5,34.5,52.0,53.9,29.2,31.5,25.7,52.2,42.9,66.4,66.0,38.9,57.4,71.0,32.8,35.8,28.2,34.5,37.5,45.2,25.7,29.1,34.0,52.0,66.0,71.0,38.2
10-02,33.1,36.0,32.2,51.7,58.6,27.3,30.4,24.7,49.7,42.8,66.0,68.4,38.7,57.5,70.4,33.5,35.6,27.9,34.5,37.3,42.1,24.7,27.8,33.4,50.3,66.2,70.4,36.6
10-03,32.7,35.7,31.8,51.0,58.4,28.0,29.6,24.7,49.1,42.8,65.1,67.3,37.9,57.3,71.3,33.7,35.2,27.8,34.6,37.1,41.5,24.7,28.0,33.4,49.7,65.4,71.3,36.4
10-04,40.2,35.7,31.9,51.4,57.0,27.3,30.0,24.4,49.4,42.7,64.8,66.2,37.6,56.6,71.2,38.5,34.8,27.9,34.2,36.8,42.4,24.4,27.9,34.6,50.0,64.9,71.2,38.1
10-05,40.2,35.9,30.8,52.0,56.0,31.8,29.5,23.9,48.5,42.3,64.0,65.4,36.1,55.5,71.2,48.1,34.9,27.6,34.3,36.7,43.0,23.9,29.3,34.7,49.6,64.2,71.2,38.4
10-06,39.7,35.9,35.5,54.1,56.4,32.1,29.9,43.1,48.5,41.9,63.9,64.8,37.8,56.6,70.5,51.8,34.5,27.9,34.4,36.6,43.7,27.9,31.8,35.8,52.5,64.0,70.5,40.8
10-07,39.7,35.9,35.5,62.6,57.1,32.5,29.4,54.7,49.6,41.7,63.8,64.5,38.4,55.9,69.9,53.5,34.8,27.6,34.3,36.5,43.7,27.6,32.2,35.8,55.1,63.9,69.9,40.7
10-08,31.4,35.5,36.3,63.6,59.1,31.4,29.6,54.8,51.4,41.2,63.6,63.1,39.1,55.4,69.4,56.8,34.2,27.6,34.4,36.2,43.6,27.6,31.2,35.1,55.8,63.6,69.4,40.2
10-09,31.1,35.9,37.0,62.6,59.6,32.4,28.9,55.1,52.4,40.9,63.1,62.8,38.9,55.2,69.0,58.5,34.5,27.8,37.0,35.9,43.5,27.8,30.9,35.9,56.2,62.8,69.0,39.9
10-10,31.1,35.2,36.5,63.4,59.5,32.1,29.2,54.7,54.8,41.0,62.6,62.2,39.5,55.1,68.5,61.0,34.5,27.8,37.0,36.0,43.4,27.8,30.9,35.8,56.4,62.7,68.5,40.3
10-11,39.2,35.0,35.8,66.4,59.3,31.0,29.1,54.5,56.8,40.8,62.6,61.8,39.7,54.6,68.1,62.7,33.8,27.7,38.8,35.7,43.3,27.7,30.8,35.8,57.5,63.1,68.1,40.2
10-12,38.5,35.2,35.9,65.6,59.2,31.3,29.0,54.6,63.7,45.1,64.1,61.5,39.9,54.4,67.8,63.8,33.5,27.2,38.3,35.6,42.6,27.2,31.1,35.8,59.9,64.3,67.8,42.5
10-13,30.1,34.7,35.3,65.0,58.7,31.6,28.8,53.9,65.0,41.8,65.3,60.6,39.9,54.0,67.4,65.4,32.9,27.0,37.8,35.4,42.9,27.0,30.0,35.1,59.3,65.3,67.4,40.9
10-14,29.7,34.3,35.4,64.3,58.4,31.7,29.5,52.9,66.1,48.3,65.3,59.7,39.8,53.7,67.0,65.5,33.2,27.2,38.2,35.2,44.0,27.2,29.6,35.0,58.8,65.6,67.0,44.1
10-15,29.4,34.5,35.1,68.7,57.3,36.2,29.7,53.5,66.6,48.5,67.0,58.7,40.1,53.2,66.7,64.7,33.0,27.0,38.7,35.0,44.3,27.0,29.7,35.1,57.7,66.7,68.7,44.3
10-16,37.3,34.3,37.7,67.2,56.7,36.9,29.4,53.2,66.2,48.2,67.7,58.3,39.7,53.0,66.1,63.7,33.3,26.6,40.1,35.0,,26.6,32.9,37.1,57.1,66.3,67.7,44.1
10-17,29.7,34.8,38.7,68.4,57.1,35.6,29.9,52.0,65.9,48.2,67.6,58.0,40.0,52.6,65.7,63.7,33.6,26.8,42.4,34.8,,26.8,29.9,35.3,57.4,66.1,68.4,45.3
10-18,29.3,34.1,38.4,68.2,56.4,36.3,29.7,52.2,66.2,47.9,67.5,57.4,40.0,51.3,65.7,63.4,33.5,26.6,49.1,34.5,,26.6,29.7,35.8,56.7,66.4,68.2,48.5
10-19,29.2,34.6,40.0,68.5,57.4,37.2,30.3,56.3,65.0,47.2,67.1,57.1,40.9,51.7,65.7,64.2,33.4,26.6,51.2,34.4,,26.6,30.2,36.4,57.2,65.9,68.5,49.2
10-20,36.8,36.8,39.7,68.8,57.7,35.9,29.9,56.0,64.6,47.3,67.3,56.9,43.1,51.3,65.9,64.1,32.8,26.3,53.0,34.3,,26.3,32.5,36.8,57.1,66.0,68.8,49.3
10-21,36.3,43.6,39.0,68.8,56.9,39.9,29.3,55.5,64.6,47.3,66.7,55.7,45.9,50.5,65.5,66.6,32.8,26.4,55.1,34.3,,26.4,32.5,39.6,56.1,66.6,68.8,48.9
10-22,36.5,48.9,43.5,67.9,57.7,39.7,31.9,55.4,64.5,47.2,66.7,56.2,46.7,50.3,64.9,68.2,32.4,26.3,56.1,33.9,,26.3,32.3,42.3,56.6,66.8,68.2,49.6
10-23,36.0,50.6,38.3,67.4,58.2,39.1,31.6,61.8,63.6,47.3,66.5,55.7,48.5,49.9,64.7,68.7,32.6,26.5,56.3,33.8,,26.5,32.5,38.8,59.3,66.6,68.7,50.2
10-24,28.2,52.4,38.6,67.0,60.8,39.0,31.0,64.4,63.4,46.9,66.1,55.4,48.3,49.9,64.5,68.2,32.5,26.1,56.4,33.4,,26.1,30.7,38.9,61.6,66.2,68.2,51.2
10-25,27.6,53.7,38.1,68.5,59.5,38.0,30.9,64.6,63.2,47.1,65.8,54.9,48.0,52.0,64.2,67.7,32.2,25.9,57.1,33.0,,25.9,30.6,38.1,60.6,66.0,68.5,52.8
10-26,34.9,54.4,38.0,64.1,59.1,37.9,30.8,65.4,62.9,46.7,65.5,54.1,48.2,52.1,64.0,66.9,32.3,25.5,59.1,32.9,,25.5,32.2,38.0,60.3,65.4,66.9,53.1
10-27,34.8,54.9,37.8,67.2,59.3,38.2,30.5,66.3,62.7,46.7,65.3,54.0,48.2,51.4,63.8,66.7,32.6,25.3,60.1,34.2,,25.3,32.3,38.1,60.9,66.3,67.2,52.7
