date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.9,15.1,18.4,24.2,15.1,15.8,17.1,31.8,45.2,51.9,18.4
10-02,51.4,15.5,18.4,24.1,15.5,16.1,17.3,31.6,44.8,51.4,18.4
10-03,51.2,15.1,18.2,28.8,15.1,15.7,17.0,31.4,44.6,51.2,18.2
10-04,50.4,15.2,18.5,28.8,15.2,15.9,17.2,31.3,44.0,50.4,18.5
10-05,50.0,15.1,18.1,28.7,15.1,15.7,16.9,30.8,43.6,50.0,18.1
10-06,49.3,15.1,18.2,29.1,15.1,15.7,17.0,30.7,43.1,49.3,18.2
10-07,48.9,14.7,18.2,28.9,14.7,15.4,16.8,30.5,42.7,48.9,18.2
10-08,48.3,14.9,18.2,28.6,14.9,15.6,16.9,30.3,42.3,48.3,18.2
10-09,48.2,15.0,17.8,28.3,15.0,15.5,16.6,29.9,42.1,48.2,17.8
10-10,47.6,15.3,17.9,28.9,15.3,15.8,16.9,29.8,41.6,47.6,17.9
10-11,47.1,14.9,17.6,28.7,14.9,15.4,16.5,29.4,41.2,47.1,17.6
10-12,46.7,14.7,17.6,28.9,14.7,15.3,16.4,29.3,40.9,46.7,17.6
10-13,46.3,14.8,17.4,29.6,14.8,15.3,16.3,28.9,40.5,46.3,17.4
10-14,46.2,14.7,17.4,30.3,14.7,15.3,16.4,28.9,40.4,46.2,17.4
10-15,46.0,14.9,17.4,31.3,14.9,15.4,16.4,28.8,40.3,46.0,17.4
10-16,45.8,14.6,17.2,,14.6,15.1,16.2,28.7,40.1,45.8,17.2
10-17,45.4,14.7,16.9,,14.7,15.1,16.0,28.3,39.7,45.4,16.9
10-18,45.4,15.1,16.6,,15.1,15.4,16.0,28.1,39.6,45.4,16.6
10-19,45.3,15.1,16.9,,15.1,15.5,16.2,28.3,39.6,45.3,16.9
10-20,45.0,15.4,16.5,,15.4,15.7,16.1,27.9,39.3,45.0,16.5
