date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,44.7,57.9,66.2,21.3,17.8,25.9,8.8,9.6,8.5,53.9,48.1,46.8,8.5,8.8,17.8,48.1,57.9,66.2,25.9
10-02,24.3,56.9,69.0,20.8,19.7,25.6,8.1,9.5,8.3,55.0,48.3,46.3,8.1,8.3,19.7,48.3,56.9,69.0,24.3
10-03,23.9,55.8,67.5,19.5,20.1,25.7,8.0,8.8,8.6,55.9,48.5,46.4,8.0,8.6,19.5,48.5,55.9,67.5,23.9
10-04,23.3,55.3,65.5,18.6,20.0,25.7,13.5,8.8,8.4,56.1,49.1,45.8,8.4,8.8,18.6,49.1,56.1,65.5,23.3
10-05,23.7,55.6,63.0,18.0,19.3,25.7,19.1,9.1,8.2,55.8,49.2,45.2,8.2,9.1,19.1,49.2,55.8,63.0,23.7
10-06,23.0,56.7,61.6,42.9,19.2,25.6,27.6,8.6,8.6,55.5,49.0,45.5,8.6,8.6,23.0,49.0,56.7,61.6,27.6
10-07,22.4,56.7,61.0,38.6,19.5,25.5,45.1,8.5,8.9,57.9,49.3,45.3,8.5,8.9,22.4,49.3,57.9,61.0,38.6
10-08,21.8,56.2,59.9,36.9,19.2,25.0,58.6,8.4,8.6,58.8,49.0,44.8,8.4,8.6,21.8,56.2,58.8,59.9,36.9
10-09,21.8,56.0,58.4,36.1,19.3,24.3,62.1,8.4,8.7,61.1,49.2,44.6,8.4,8.7,21.8,56.0,61.1,62.1,36.1
10-10,21.7,55.2,59.9,35.6,19.6,24.3,62.4,8.1,8.3,62.1,49.3,44.5,8.1,8.3,21.7,55.2,62.1,62.4,35.6
10-11,21.0,56.2,59.1,34.7,19.5,23.9,63.4,8.0,8.0,61.9,49.6,44.3,8.0,8.0,21.0,56.2,61.9,63.4,34.7
10-12,21.3,59.0,59.1,34.2,19.9,23.9,64.5,8.2,7.9,61.4,49.3,44.1,7.9,8.2,21.3,59.0,61.4,64.5,34.2
10-13,21.4,63.8,58.3,33.6,19.6,24.0,64.7,6.9,7.8,61.1,49.5,43.7,6.9,7.8,21.4,58.3,63.8,64.7,33.6
10-14,21.0,64.9,57.4,32.9,19.7,23.6,65.4,7.4,7.9,61.8,49.3,43.7,7.4,7.9,21.0,57.4,64.9,65.4,32.9
10-15,21.2,65.6,57.2,32.6,19.1,22.7,64.5,7.7,7.9,62.7,49.1,43.3,7.7,7.9,21.2,57.2,64.5,65.6,32.6
10-16,21.0,65.3,56.5,32.3,19.4,22.7,63.4,7.7,7.1,63.1,49.1,,7.1,7.7,21.0,56.5,63.4,65.3,32.3
10-17,20.6,65.3,55.7,31.6,19.5,22.4,62.8,7.4,7.7,65.2,49.1,,7.4,7.7,20.6,55.7,65.2,65.3,31.6
10-18,20.9,64.5,55.3,31.6,11.5,22.6,64.1,7.1,7.5,71.1,48.8,,7.1,7.5,20.9,55.3,64.5,71.1,31.6
10-19,20.4,64.3,54.7,31.4,18.7,22.4,64.5,7.4,7.2,78.4,49.1,,7.2,7.4,20.4,54.7,64.5,78.4,31.4
10-20,20.6,64.5,54.1,31.7,18.0,22.1,65.7,7.5,7.6,78.4,48.8,,7.5,7.6,20.6,54.1,65.7,78.4,31.7
10-21,20.3,64.4,53.9,32.7,17.7,21.8,68.2,7.2,7.1,79.4,48.7,,7.1,7.2,20.3,53.9,68.2,79.4,32.7
10-22,20.8,64.7,53.5,34.4,17.7,21.4,68.0,7.1,7.6,81.2,48.8,,7.1,7.6,20.8,53.5,68.0,81.2,34.4
10-23,21.0,62.2,52.6,59.9,17.8,21.0,70.8,6.9,7.0,80.9,48.5,,6.9,7.0,21.0,59.9,70.8,80.9,48.5
10-24,21.1,63.3,52.3,57.3,18.3,21.2,69.8,7.2,7.3,79.1,48.6,,7.2,7.3,21.1,57.3,69.8,79.1,48.6
10-25,20.4,63.0,51.9,67.1,17.3,20.3,69.0,7.1,7.0,78.1,48.1,,7.0,7.1,20.3,63.0,69.0,78.1,48.1
