date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,25.6,31.7,42.4,34.4,26.0,40.5,27.1,48.5,40.8,73.4,70.7,43.1,62.9,66.6,40.3,42.5,37.3,55.3,51.1,49.7,25.6,26.9,38.5,50.1,67.4,73.4,42.4
10-02,25.3,31.4,41.6,37.3,25.0,39.4,27.1,48.1,40.5,73.0,72.7,42.8,62.6,66.2,39.8,41.9,37.3,55.2,50.5,49.3,25.0,26.8,38.2,49.6,67.5,73.0,41.6
10-03,25.9,31.3,41.4,38.3,24.8,40.1,26.6,47.9,40.4,72.6,72.7,42.1,62.4,66.4,40.3,41.8,36.9,54.8,50.7,49.3,24.8,26.5,39.0,49.5,67.7,72.7,41.4
10-04,24.8,31.5,41.9,37.6,24.1,39.5,26.2,47.2,39.4,72.6,72.3,41.0,62.0,66.9,40.3,41.7,37.0,54.7,51.0,49.4,24.1,25.9,38.3,49.5,68.0,72.6,41.0
10-05,25.5,30.4,41.8,37.2,24.2,38.7,26.5,46.8,39.1,71.9,71.8,41.4,61.3,66.5,44.2,41.7,37.2,54.8,50.6,49.3,24.2,26.3,37.8,49.1,67.5,71.9,41.7
10-06,25.4,30.0,42.4,37.7,26.3,38.5,55.0,46.2,38.9,71.7,71.1,42.7,60.9,66.1,49.3,41.6,36.9,54.5,50.6,49.2,25.4,29.2,38.7,52.9,67.1,71.7,42.7
10-07,25.3,29.8,75.2,38.4,26.2,38.4,61.8,49.7,38.4,71.6,70.6,42.2,60.2,65.7,52.3,40.9,36.8,56.4,50.3,49.2,25.3,29.1,38.4,58.7,70.8,75.2,49.7
10-08,25.6,29.7,72.7,41.0,25.4,38.0,62.3,50.4,37.1,71.8,70.0,41.9,60.6,65.3,57.6,41.3,37.0,56.5,50.2,49.3,25.4,28.9,39.2,59.4,70.3,72.7,50.2
10-09,25.7,29.6,71.2,43.1,25.7,38.0,65.3,54.2,37.2,71.4,69.8,41.8,60.4,65.1,59.4,41.0,36.5,65.2,50.1,48.9,25.7,28.9,39.2,63.2,70.1,71.4,50.1
10-10,26.0,29.4,73.3,44.7,25.1,38.4,65.2,56.0,37.1,71.2,69.5,42.2,60.6,64.5,64.2,41.0,36.8,67.9,49.7,48.8,25.1,28.7,39.4,64.4,69.8,73.3,49.7
10-11,25.1,29.3,75.4,44.9,24.9,38.0,64.3,62.9,36.7,71.1,68.6,41.9,60.1,64.3,65.2,40.1,36.7,67.5,49.5,48.7,24.9,28.5,38.9,64.3,69.1,75.4,49.5
10-12,26.2,29.6,75.0,44.8,24.4,38.0,63.5,67.7,36.2,72.1,68.0,41.7,60.3,64.3,65.5,39.8,36.0,66.9,49.3,48.0,24.4,28.9,38.7,65.0,68.9,75.0,49.3
10-13,25.8,29.2,73.3,44.1,23.7,38.0,62.6,66.9,35.6,72.2,67.2,41.1,59.5,64.1,65.2,39.6,35.8,67.3,49.4,47.7,23.7,28.5,38.6,64.8,68.3,73.3,49.4
10-14,25.7,29.0,72.0,43.9,23.1,37.8,61.3,66.4,48.3,71.9,67.0,41.4,59.8,63.7,65.1,39.5,36.1,67.7,49.2,50.8,23.1,28.4,40.2,64.5,68.5,72.0,49.2
10-15,26.0,29.0,77.8,43.4,23.6,40.4,60.6,65.3,47.1,72.3,66.8,41.6,60.5,63.7,64.0,39.7,36.2,68.1,48.8,51.1,23.6,28.4,40.9,63.9,68.9,77.8,48.8
10-16,26.2,29.0,76.3,43.2,23.2,39.7,59.6,64.4,46.4,72.1,66.4,41.8,60.2,63.0,63.0,39.7,35.7,68.6,48.5,,23.2,28.5,40.6,63.0,69.3,76.3,48.5
10-17,26.4,29.1,75.4,43.3,23.2,39.6,59.1,63.2,46.0,72.3,66.2,41.3,60.0,63.5,62.2,40.1,35.8,69.5,48.2,,23.2,28.6,40.5,62.8,70.0,75.4,48.2
10-18,26.2,29.3,76.3,42.8,23.6,39.3,58.2,62.8,45.4,72.2,65.6,41.0,59.9,63.3,61.9,40.2,36.0,69.9,48.0,,23.6,28.7,40.5,62.5,70.4,76.3,48.0
10-19,25.4,29.0,76.1,42.7,23.5,38.7,59.9,61.8,44.5,72.1,65.5,45.0,59.6,63.2,63.1,40.0,35.7,70.1,47.7,,23.5,28.3,41.1,62.6,70.5,76.1,47.7
10-20,24.5,28.9,76.4,47.4,23.6,38.5,59.3,61.0,43.8,72.1,65.2,46.0,59.1,63.3,63.0,39.8,35.5,70.7,47.8,,23.6,28.0,41.4,62.2,71.0,76.4,47.8
10-21,32.2,29.0,76.2,49.5,23.1,38.0,59.4,60.3,44.1,71.9,64.8,49.4,58.8,62.8,63.3,39.4,35.7,71.4,47.3,,23.1,31.6,41.3,61.8,71.5,76.2,49.5
10-22,41.4,28.9,75.3,49.8,23.2,37.8,61.0,59.7,43.6,71.6,64.6,59.9,58.6,62.3,63.9,38.9,35.5,72.8,47.3,,23.2,34.2,42.3,61.8,71.9,75.3,58.6
10-23,43.1,28.5,74.1,50.5,23.2,38.1,64.6,59.0,44.1,72.0,64.2,61.0,58.6,62.3,65.1,39.0,35.1,75.4,47.1,,23.2,33.8,43.5,63.4,72.5,75.4,58.6
10-24,46.4,29.0,73.7,53.4,23.1,37.9,65.6,58.4,43.4,71.6,64.1,60.3,59.0,62.5,69.0,38.9,35.0,76.6,46.7,,23.1,33.8,44.6,63.5,72.0,76.6,58.4
10-25,48.1,28.7,75.0,53.9,22.7,37.9,74.8,57.8,43.0,72.0,63.7,59.2,59.4,62.3,70.3,38.7,35.0,78.8,46.3,,22.7,33.7,44.3,63.1,74.8,78.8,57.8
10-26,49.3,28.9,75.9,54.1,23.6,37.0,74.3,57.7,41.7,71.5,63.4,58.9,59.9,62.4,70.4,39.0,34.5,79.6,46.3,,23.6,33.4,43.5,63.0,74.6,79.6,57.7
10-27,49.6,28.4,75.5,53.3,23.1,37.2,74.1,57.3,41.9,72.3,63.3,60.4,59.3,62.3,70.4,39.0,34.1,79.2,46.2,,23.1,33.0,43.6,62.9,74.3,79.2,57.3
10-28,49.3,28.8,75.4,52.9,23.7,36.6,72.3,57.3,41.5,72.0,62.5,59.1,59.7,61.9,71.8,38.8,33.6,79.4,45.9,,23.7,32.7,43.2,62.3,72.9,79.4,57.3
10-29,50.0,38.2,75.7,52.3,23.3,36.4,72.1,56.9,39.9,71.6,62.1,57.9,59.8,61.6,73.2,38.7,33.8,80.4,45.8,,23.3,35.9,42.3,61.9,73.7,80.4,56.9
10-30,49.9,38.5,75.0,51.4,23.3,36.7,72.7,56.5,41.8,71.6,62.0,57.9,60.1,61.8,73.0,38.3,33.7,80.5,45.7,,23.3,36.1,43.4,61.9,73.4,80.5,56.5
10-31,53.8,38.5,74.5,51.4,23.1,36.7,72.8,56.8,41.3,71.3,61.9,58.4,60.2,61.5,72.2,38.3,33.6,81.0,45.8,,23.1,36.0,43.1,61.7,73.1,81.0,56.8
11-01,56.2,38.0,73.3,51.0,23.1,36.6,72.8,56.3,42.4,71.0,62.0,59.6,61.1,61.4,71.7,37.7,33.5,81.2,45.7,,23.1,36.0,43.7,61.7,72.9,81.2,56.3
11-02,57.4,38.1,71.7,50.4,23.6,36.8,72.0,56.8,40.7,71.3,61.3,59.8,61.1,61.4,71.2,38.1,33.4,81.0,50.9,,23.6,36.1,44.6,61.4,71.8,81.0,57.4
11-03,57.8,37.9,71.1,49.9,22.5,37.9,72.7,56.4,40.8,70.9,61.4,59.6,61.4,61.0,71.3,37.7,33.3,81.3,51.0,,22.5,36.8,44.4,61.4,71.6,81.3,57.8
11-04,57.0,37.7,70.7,49.4,22.8,37.9,73.2,56.4,40.5,71.2,61.6,59.0,64.6,61.2,70.9,37.9,34.0,80.8,51.4,,22.8,37.0,44.1,63.4,71.6,80.8,57.0
11-05,57.0,37.8,70.2,48.8,22.1,38.1,74.1,55.9,41.0,71.0,61.1,58.5,64.2,60.9,70.6,37.5,34.0,80.6,51.2,,22.1,36.8,44.1,62.9,71.6,80.6,57.0
