date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,37.3,49.1,42.9,38.1,36.7,35.3,48.0,41.0,66.8,84.4,45.8,66.3,64.1,28.0,52.1,29.9,54.7,56.1,56.0,28.0,33.7,38.4,54.4,66.4,84.4,46.9
10-02,37.3,48.2,42.9,37.8,36.2,35.8,47.7,40.8,65.9,83.4,46.2,65.7,63.6,27.9,51.2,29.7,54.4,55.4,57.9,27.9,34.0,38.1,54.1,65.7,83.4,46.9
10-03,37.1,56.7,43.4,37.4,35.8,34.7,47.3,40.5,64.1,80.0,45.9,66.2,63.2,32.4,50.3,29.2,53.6,55.5,61.2,29.2,34.0,37.7,55.3,64.7,80.0,46.6
10-04,36.9,49.2,43.6,37.5,35.7,34.7,46.8,40.0,64.1,78.0,48.6,68.2,63.7,37.7,49.7,29.0,53.5,54.4,61.8,29.0,35.4,37.9,53.1,65.3,78.0,47.7
10-05,36.9,51.0,43.8,39.7,36.2,34.5,47.1,39.7,64.2,77.3,48.6,67.8,64.0,42.5,49.7,28.8,53.0,53.8,61.8,28.8,35.7,40.0,52.8,65.3,77.3,47.8
10-06,37.6,54.3,55.1,39.7,36.3,34.5,48.8,39.5,64.9,76.6,48.4,66.1,63.3,43.5,49.2,28.5,53.0,53.1,62.0,28.5,35.8,40.1,54.2,65.3,76.6,49.0
10-07,38.3,57.6,54.7,40.1,36.2,37.7,48.3,38.8,65.4,76.2,48.7,66.7,63.1,43.3,49.1,28.1,56.7,52.7,61.8,28.1,37.3,40.4,56.5,65.8,76.2,48.9
10-08,38.8,55.2,55.2,40.3,37.4,36.9,49.1,38.6,65.2,75.6,48.7,66.4,62.7,43.5,48.7,27.9,56.9,52.2,61.6,27.9,37.3,40.6,55.2,65.5,75.6,48.9
10-09,38.9,54.5,59.1,40.2,38.2,42.3,49.7,38.6,64.5,75.2,48.3,65.5,62.3,43.6,48.3,27.7,59.7,51.7,57.4,27.7,38.5,42.5,58.6,64.8,75.2,49.0
10-10,38.7,54.1,60.4,33.1,38.5,42.2,50.5,38.6,64.0,74.9,48.0,64.6,62.4,44.0,48.4,27.5,60.2,50.4,60.3,27.5,36.9,42.4,59.6,64.2,74.9,49.4
10-11,38.3,58.0,60.7,39.2,37.4,42.4,51.9,38.3,64.0,74.2,47.7,64.3,62.9,46.0,47.9,27.7,61.0,49.6,60.0,27.7,38.0,42.8,60.4,64.1,74.2,48.8
10-12,38.5,63.6,60.2,38.6,37.6,42.2,55.2,38.5,65.4,71.6,47.4,63.7,63.6,47.7,47.8,27.0,60.6,48.9,59.8,27.0,38.2,42.7,60.5,64.3,71.6,48.3
10-13,38.7,57.9,59.6,37.6,40.8,41.7,59.6,39.4,64.7,71.7,47.0,63.9,62.8,49.9,47.5,27.5,60.3,48.5,60.1,27.5,38.4,42.2,59.6,64.2,71.7,49.2
10-14,38.1,56.9,59.2,38.5,41.2,41.0,62.3,41.2,66.3,71.7,46.8,63.2,62.7,50.8,47.3,27.7,60.3,48.4,60.9,27.7,38.4,41.8,60.2,64.1,71.7,49.6
10-15,38.0,56.5,59.7,38.0,43.5,40.8,68.0,41.2,65.7,71.4,46.4,62.8,62.4,49.7,47.2,27.6,59.9,47.9,60.8,27.6,38.0,43.8,59.9,66.4,71.4,48.8
10-16,37.8,56.0,59.1,38.9,43.0,40.6,70.1,40.7,65.7,71.3,46.0,62.7,62.0,49.6,47.2,27.7,60.1,47.6,,27.7,38.6,43.3,60.0,67.0,71.3,48.6
10-17,37.8,56.2,59.2,39.4,42.3,40.8,70.9,41.8,65.2,70.4,45.7,62.5,61.8,49.9,46.9,27.4,61.5,47.3,,27.4,39.0,42.7,61.3,66.8,70.9,48.6
10-18,37.7,54.3,58.6,40.5,41.7,40.5,71.5,41.2,65.4,70.2,45.6,62.3,61.6,49.9,47.0,27.4,61.9,47.3,,27.4,39.7,42.1,61.3,66.8,71.5,48.6
10-19,37.8,56.3,58.7,40.8,41.7,41.0,71.2,43.7,65.3,69.8,46.5,61.7,61.2,50.2,46.9,27.3,61.8,47.6,,27.3,39.9,44.0,61.0,66.6,71.2,48.9
10-20,37.9,56.2,59.1,41.1,41.5,41.4,70.8,43.4,65.4,69.5,48.7,61.6,61.1,50.7,46.8,27.3,62.0,47.7,,27.3,40.2,43.7,60.9,66.6,70.8,49.7
10-21,38.1,59.1,59.2,41.0,41.9,41.4,70.7,39.4,65.4,69.2,49.5,63.0,61.1,50.6,46.6,27.3,62.8,47.4,,27.3,39.0,42.3,60.9,66.5,70.7,50.0
10-22,37.6,59.0,58.6,40.4,41.1,44.7,70.4,43.8,65.2,69.0,49.7,63.4,60.8,52.5,46.6,27.1,64.0,47.3,,27.1,39.6,44.9,60.6,66.3,70.4,51.1
10-23,37.4,58.8,59.3,40.8,41.5,41.3,70.0,46.9,64.7,68.8,49.8,63.7,60.7,53.4,46.9,26.8,64.4,47.1,,26.8,39.8,46.9,60.6,65.9,70.0,51.6
10-24,37.4,58.4,59.5,40.7,41.4,41.1,69.8,45.3,64.8,68.4,49.7,63.8,60.5,53.9,46.5,26.7,64.2,47.1,,26.7,39.7,45.4,60.4,65.8,69.8,51.8
10-25,37.3,59.1,59.6,39.7,41.4,46.4,69.4,45.4,64.4,68.3,49.4,64.5,60.3,53.0,46.8,26.6,64.6,47.1,,26.6,39.0,46.4,60.2,65.7,69.4,51.2
10-26,37.2,58.9,58.4,40.2,40.8,43.3,69.1,45.0,63.8,67.9,49.2,64.3,60.4,52.6,46.7,26.4,68.2,47.4,,26.4,39.3,45.2,60.2,68.0,69.1,50.9
