date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,36.1,33.2,24.6,23.0,28.8,37.9,51.5,62.3,77.7,64.8,72.4,34.6,36.6,29.7,29.9,41.0,33.3,44.3,23.0,27.1,32.5,43.1,67.8,77.7,36.1
10-02,36.2,34.4,25.1,22.1,28.2,37.4,50.0,60.8,75.9,61.9,73.0,33.3,36.2,28.2,29.4,40.3,33.8,43.0,22.1,26.9,32.5,42.3,66.3,75.9,36.2
10-03,34.7,34.1,24.7,21.8,28.8,36.6,49.1,60.5,77.2,61.5,71.3,32.5,35.5,28.0,28.9,40.3,33.1,41.9,21.8,26.7,31.8,42.1,65.4,77.2,34.7
10-04,35.0,33.7,24.5,23.2,28.9,36.0,49.0,59.8,76.4,61.9,71.9,32.6,36.7,29.7,29.2,39.7,32.8,40.8,23.2,27.1,32.0,41.6,65.9,76.4,35.0
10-05,34.1,33.5,23.1,21.4,26.9,35.5,47.5,59.1,75.4,60.7,71.9,34.3,33.5,29.3,28.6,39.7,33.1,40.8,21.4,25.4,32.3,41.3,65.2,75.4,34.1
10-06,34.4,32.8,24.2,21.7,86.9,34.2,47.3,59.1,73.9,65.8,71.7,33.9,34.8,29.0,28.5,38.9,32.7,40.3,21.7,26.8,32.8,49.7,72.6,86.9,34.4
10-07,32.0,32.3,24.0,20.9,85.3,35.6,46.4,58.3,73.0,68.5,70.0,32.8,34.7,28.4,28.4,38.8,33.0,40.7,20.9,26.6,32.3,48.8,71.2,85.3,34.7
10-08,36.2,33.2,23.0,21.1,81.5,38.3,45.8,56.8,73.4,66.3,70.9,32.1,32.7,29.0,27.7,38.7,33.1,41.0,21.1,25.8,32.6,48.0,71.9,81.5,36.2
10-09,38.8,33.7,24.1,21.3,79.7,47.3,45.9,57.6,73.1,66.0,69.2,33.2,31.3,29.5,28.0,37.9,32.4,40.0,21.3,26.4,32.2,49.4,70.8,79.7,37.9
10-10,40.4,34.0,24.5,21.2,78.7,55.5,44.4,57.3,72.0,65.4,69.5,31.3,31.7,29.3,28.7,38.2,32.2,39.9,21.2,27.0,31.6,55.9,70.5,78.7,38.2
10-11,47.5,34.4,23.6,21.2,76.8,66.3,44.3,55.8,72.0,65.5,69.3,33.1,31.0,29.0,27.4,37.8,31.7,40.3,21.2,25.9,31.6,57.8,70.4,76.8,37.8
10-12,47.4,35.2,22.3,20.9,75.9,65.7,42.9,54.3,71.0,65.9,69.7,32.3,32.4,28.3,27.7,37.8,32.2,39.0,20.9,25.6,32.3,56.6,70.2,75.9,37.8
10-13,47.2,33.6,22.7,20.0,74.5,64.8,41.6,56.1,69.7,64.9,67.7,33.2,32.9,27.8,27.6,36.7,32.1,37.6,20.0,25.6,32.7,57.8,68.5,74.5,36.7
10-14,47.5,33.9,21.2,21.4,74.3,63.8,44.0,55.8,69.5,65.0,67.4,30.7,35.5,29.0,27.3,36.2,31.9,36.7,21.2,25.0,31.7,57.4,68.3,74.3,36.2
10-15,74.1,34.9,22.6,20.2,72.9,63.0,44.9,56.3,68.2,63.8,65.9,32.1,36.7,27.9,27.0,36.7,31.8,35.5,20.2,25.2,32.1,63.2,70.1,74.1,36.7
10-16,79.7,34.0,22.8,21.6,72.4,61.5,45.0,53.8,69.5,65.0,68.5,30.3,34.9,29.2,27.1,37.2,31.7,,21.6,25.4,31.4,62.2,70.6,79.7,37.2
10-17,77.4,33.0,22.7,20.9,71.4,61.4,44.7,54.8,69.6,63.1,66.3,30.8,32.5,29.2,28.0,38.1,31.2,,20.9,25.9,31.1,61.7,70.3,77.4,38.1
10-18,78.9,33.9,22.2,20.9,71.0,60.2,44.2,53.8,68.1,70.0,65.7,31.6,33.7,28.7,27.4,39.5,31.3,,20.9,25.3,31.5,61.3,70.4,78.9,39.5
10-19,78.6,32.3,23.3,20.6,72.3,59.2,44.3,54.6,66.8,77.0,67.5,30.6,32.2,28.3,27.2,39.8,31.4,,20.6,25.7,31.3,60.7,74.2,78.6,39.8
10-20,77.5,33.5,22.6,21.4,72.9,58.5,43.2,54.3,67.5,80.7,66.2,32.2,34.7,28.8,27.3,41.1,31.2,,21.4,25.4,32.0,60.0,74.7,80.7,41.1
10-21,76.2,33.6,23.0,21.2,71.8,58.0,44.3,53.3,68.0,81.1,65.2,29.4,37.4,28.0,26.3,41.9,31.0,,21.2,25.0,30.7,59.4,73.5,81.1,41.9
10-22,75.5,33.5,22.1,19.8,72.1,57.5,43.4,53.6,68.3,79.0,65.1,30.3,36.1,28.0,26.6,42.7,30.8,,19.8,24.8,30.7,59.0,73.5,79.0,42.7
10-23,73.8,32.7,23.3,20.0,71.9,57.0,43.4,52.4,66.7,76.9,64.2,30.2,52.4,27.6,26.2,42.9,30.7,,20.0,25.1,30.6,58.4,72.7,76.9,43.4
10-24,72.6,33.7,22.6,19.8,71.6,56.7,42.7,52.6,66.4,75.2,65.3,29.8,53.4,28.6,26.1,43.6,29.5,,19.8,24.7,29.7,58.4,72.0,75.2,43.6
10-25,72.5,33.0,22.2,20.1,71.0,56.1,43.3,52.9,64.9,75.4,63.9,31.8,55.1,27.6,26.9,44.0,29.0,,20.1,25.0,31.3,57.6,71.6,75.4,44.0
10-26,73.2,33.5,22.6,20.5,71.8,55.3,41.3,53.8,67.0,75.5,62.6,30.7,59.8,27.1,25.8,44.5,28.9,,20.5,24.5,30.3,60.3,72.3,75.5,44.5
10-27,73.2,33.1,23.0,20.2,71.3,53.8,42.2,52.4,65.3,75.4,63.8,31.6,60.3,26.8,24.7,44.1,28.9,,20.2,24.0,31.1,61.0,72.0,75.4,44.1
10-28,72.5,32.8,23.9,19.2,70.5,53.4,41.7,52.6,66.0,74.8,63.5,29.0,60.3,27.8,23.3,44.5,28.4,,19.2,23.6,28.9,60.9,71.3,74.8,44.5
10-29,71.8,33.2,23.3,19.4,69.7,53.2,41.4,53.3,62.8,73.1,63.0,30.9,60.5,26.1,24.2,45.3,28.3,,19.4,23.9,30.4,61.0,70.6,73.1,45.3
10-30,71.3,33.3,23.2,18.4,69.5,52.5,42.0,53.1,63.9,72.1,64.8,30.2,60.9,26.6,23.2,45.7,28.3,,18.4,23.2,29.8,61.5,70.2,72.1,45.7
10-31,70.9,32.5,23.4,19.2,69.6,52.2,41.9,52.1,64.6,74.5,63.8,30.3,60.4,26.0,24.6,46.0,28.9,,19.2,24.1,30.0,61.1,70.1,74.5,46.0
11-01,70.3,32.8,23.0,18.8,69.7,52.5,41.8,51.4,65.4,74.0,63.6,30.3,59.8,25.5,24.2,46.3,29.2,,18.8,23.7,30.1,60.5,70.0,74.0,46.3
11-02,69.8,32.3,22.8,18.8,68.7,51.5,42.2,51.9,63.3,71.7,62.4,30.5,59.0,26.1,24.6,46.7,29.3,,18.8,23.9,30.2,59.7,69.2,71.7,46.7
11-03,69.4,31.4,23.2,19.3,69.1,51.3,41.6,51.9,61.3,73.8,62.9,29.8,58.6,26.6,25.5,46.9,28.9,,19.3,24.6,29.6,59.1,69.2,73.8,46.9
11-04,68.8,31.6,22.8,19.1,69.0,51.1,41.6,52.9,63.6,73.1,62.2,28.7,58.6,26.1,23.8,46.9,28.4,,19.1,23.4,28.6,59.3,68.9,73.1,46.9
11-05,68.6,31.4,21.8,20.0,68.6,51.3,42.0,54.3,62.4,74.8,60.9,28.2,60.0,25.4,25.2,47.3,28.7,,20.0,23.8,28.6,60.2,68.6,74.8,47.3
11-06,68.4,31.4,21.2,21.0,68.6,50.5,41.9,56.6,62.7,75.0,62.8,28.2,60.2,26.4,24.3,47.2,28.4,,21.0,23.1,28.3,60.7,68.5,75.0,47.2
11-07,68.3,30.7,21.2,21.3,68.4,49.8,41.0,55.1,63.5,76.2,63.1,29.4,59.6,26.1,24.6,47.4,28.7,,21.2,23.3,29.3,60.3,68.3,76.2,47.4
11-08,67.7,31.2,20.4,21.3,68.1,49.5,41.5,57.1,61.2,74.8,60.4,29.4,59.5,26.8,23.3,47.7,28.7,,20.4,22.5,29.3,59.7,67.9,74.8,47.7
11-09,68.2,32.3,20.9,21.1,66.7,49.6,41.1,57.6,61.2,73.6,62.2,27.9,58.9,25.6,24.3,47.7,29.2,,20.9,23.0,28.9,59.3,67.3,73.6,47.7
11-10,67.4,31.6,21.7,19.7,66.5,49.6,40.1,60.0,62.6,74.8,62.1,27.8,58.9,26.1,22.9,47.9,29.4,,19.7,22.4,29.1,60.5,66.9,74.8,47.9
11-11,66.3,31.5,20.6,19.8,65.8,50.3,39.4,64.0,61.0,74.0,61.1,29.5,58.2,25.6,23.3,48.0,31.1,,19.8,22.2,30.8,61.1,66.0,74.0,48.0
11-12,65.8,31.6,21.9,19.8,66.1,50.3,39.1,66.5,61.4,73.0,61.9,27.7,58.4,26.5,22.2,47.8,34.2,,19.8,22.1,30.8,61.5,66.3,73.0,47.8
11-13,66.6,31.6,21.4,20.4,65.7,49.7,40.0,67.2,61.9,72.7,60.9,28.3,58.8,25.7,23.2,47.8,38.0,,20.4,22.5,30.9,61.1,66.8,72.7,47.8
11-14,65.8,31.5,22.1,19.2,65.8,50.4,39.4,67.7,59.9,73.0,59.9,28.7,56.7,26.5,22.0,47.6,40.6,,19.2,22.1,31.0,59.9,66.6,73.0,47.6
11-15,66.3,30.9,21.6,19.3,65.6,49.9,39.2,67.2,61.6,71.4,60.5,29.0,57.0,25.2,22.5,47.9,42.5,,19.3,22.2,30.5,60.7,66.7,71.4,47.9
11-16,65.4,30.4,20.6,19.1,66.3,49.9,40.7,67.7,60.3,72.9,60.1,28.5,56.5,25.6,22.0,48.3,46.0,,19.1,21.4,30.0,60.2,66.9,72.9,48.3
11-17,65.9,30.8,21.5,18.7,65.4,49.3,40.6,67.5,60.0,73.0,61.5,27.5,56.3,26.2,22.4,48.4,51.1,,18.7,22.0,30.1,60.3,66.6,73.0,49.3
11-18,66.1,30.3,21.3,18.3,,49.8,41.3,68.0,61.3,72.4,59.8,28.5,57.0,26.4,21.7,48.0,54.4,,18.3,21.5,29.4,58.4,67.0,72.4,48.9
11-19,65.7,30.5,20.8,18.4,65.7,51.3,42.7,67.0,59.3,74.0,59.0,27.9,56.8,26.1,22.9,47.9,56.3,,18.4,22.1,30.0,59.0,66.2,74.0,51.3
11-20,65.1,30.3,21.4,18.2,65.5,51.2,47.5,65.3,60.0,72.7,59.2,26.3,56.6,25.2,21.5,48.0,57.1,,18.2,21.5,29.5,59.4,65.3,72.7,51.2
11-21,65.1,30.2,20.4,17.8,64.8,51.3,51.1,67.2,59.9,74.3,60.2,26.8,56.5,25.6,22.5,47.9,57.9,,17.8,21.7,29.5,60.0,65.9,74.3,51.3
11-22,65.2,28.9,20.6,17.7,65.2,52.1,52.7,67.5,59.7,73.6,60.4,28.3,55.3,25.9,22.7,47.5,57.8,,17.7,21.8,28.8,59.8,66.1,73.6,52.7
11-23,64.8,29.0,19.9,17.9,65.0,51.5,53.5,68.7,60.4,72.8,59.9,27.7,55.3,25.6,22.4,47.2,58.2,,17.9,21.4,28.7,60.0,66.5,72.8,53.5
11-24,65.3,28.9,21.3,17.9,65.2,52.5,56.6,69.2,59.2,72.2,57.8,27.5,55.8,24.6,22.4,47.5,58.6,,17.9,22.0,28.6,58.7,66.9,72.2,55.8
11-25,64.2,27.9,21.1,17.4,65.0,52.1,60.2,67.2,60.2,74.1,59.2,28.2,55.3,24.5,22.0,47.2,58.4,,17.4,21.7,28.1,60.2,65.9,74.1,55.3
11-26,64.9,27.9,20.4,17.4,65.2,52.9,60.8,68.7,59.0,74.1,59.3,27.4,54.8,23.7,21.4,47.0,58.5,,17.4,21.0,27.8,59.6,66.6,74.1,54.8
11-27,64.0,28.5,20.4,17.4,65.2,52.2,61.4,68.5,59.8,73.1,59.8,27.8,54.2,23.7,20.6,46.9,59.1,,17.4,20.6,28.4,60.1,66.5,73.1,54.2
11-28,63.9,28.2,20.9,17.2,65.7,52.3,61.0,71.5,60.2,71.3,57.2,28.0,54.2,24.9,20.7,46.6,58.9,,17.2,20.8,28.2,60.4,68.0,71.5,54.2
11-29,63.2,28.1,20.5,17.7,65.0,51.2,60.4,71.2,59.3,73.9,57.7,27.5,53.8,25.0,20.7,47.0,58.9,,17.7,20.6,28.0,59.5,67.5,73.9,53.8
11-30,63.9,28.0,20.8,17.7,65.4,52.0,60.6,71.0,59.0,73.0,58.7,26.5,55.7,24.7,20.7,47.2,58.9,,17.7,20.8,27.7,59.3,67.6,73.0,55.7
12-01,63.7,27.7,20.8,17.4,66.4,53.1,61.1,71.5,59.4,72.6,58.5,26.9,55.3,25.3,20.7,47.2,58.9,,17.4,20.8,27.6,59.8,68.4,72.6,55.3
12-02,63.5,28.1,20.8,17.4,65.6,51.9,61.0,72.0,59.2,71.4,59.3,27.0,54.2,26.0,20.5,47.0,59.0,,17.4,20.7,27.9,59.6,67.9,72.0,54.2
