date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,29.7,25.2,37.8,26.5,34.1,20.2,23.8,29.9,31.0,49.0,69.5,39.8,45.2,54.3,27.5,53.3,22.5,30.3,30.3,39.7,20.2,23.5,28.4,39.0,53.5,69.5,30.3
10-02,29.9,25.2,38.7,26.3,34.1,19.6,23.5,30.2,30.4,48.7,70.1,39.9,45.2,54.6,27.3,53.3,22.6,30.1,30.2,39.5,19.6,23.3,28.4,39.4,53.6,70.1,30.2
10-03,29.7,25.5,41.4,26.1,33.4,21.0,23.3,29.7,30.5,48.2,69.9,40.8,45.3,53.7,28.2,53.0,22.4,30.2,30.0,49.3,21.0,23.1,28.8,41.2,53.2,69.9,30.2
10-04,30.1,25.3,41.3,26.6,33.7,21.2,23.4,29.8,30.4,46.7,69.8,40.8,46.4,53.7,29.8,52.5,22.4,29.6,30.1,54.7,21.2,23.2,29.6,41.1,52.7,69.8,30.1
10-05,30.1,24.9,41.6,26.8,36.6,21.2,23.2,29.9,30.4,47.3,68.8,40.0,47.0,54.1,32.6,52.3,22.1,29.5,29.8,55.3,21.2,23.0,29.6,41.0,52.6,68.8,30.4
10-06,29.8,24.4,43.9,26.8,40.0,21.5,23.4,29.2,30.3,49.6,67.6,39.5,49.5,53.5,38.9,52.0,22.1,29.6,30.0,54.7,21.5,23.2,29.3,42.4,52.3,67.6,30.3
10-07,29.6,24.4,50.2,30.8,41.5,27.5,22.6,28.1,29.6,79.0,68.1,39.5,50.1,52.8,37.6,51.5,22.0,29.3,29.9,53.9,22.0,24.1,29.4,46.7,55.9,79.0,30.8
10-08,29.8,24.6,49.9,34.7,41.2,28.2,22.0,27.8,29.9,52.1,67.9,39.7,50.0,53.2,38.3,51.5,22.2,29.2,30.0,53.1,22.0,24.1,29.4,46.4,52.3,67.9,34.7
10-09,29.5,24.8,51.9,34.2,40.8,27.6,23.2,27.5,29.6,51.3,67.3,40.0,51.1,52.0,37.7,51.5,22.1,40.8,29.5,52.8,22.1,24.5,29.5,47.0,51.9,67.3,37.7
10-10,29.9,24.4,53.5,34.1,40.0,27.5,21.8,27.6,29.5,51.3,66.3,40.4,52.1,51.9,37.3,50.4,22.0,40.7,29.7,52.6,21.8,23.9,29.6,46.5,52.4,66.3,37.3
10-11,30.0,24.8,53.6,35.2,39.9,27.3,22.7,27.6,29.7,51.2,65.5,39.7,51.9,51.6,39.2,50.1,21.8,43.2,29.5,52.0,21.8,24.4,29.6,47.3,52.2,65.5,39.2
10-12,29.5,25.1,53.6,34.8,39.0,27.1,22.3,28.0,29.6,51.3,65.9,40.0,51.5,51.6,39.5,49.4,21.2,47.0,29.4,52.6,21.2,24.5,29.5,48.4,52.0,65.9,39.0
10-13,29.2,24.7,53.9,34.8,38.8,27.5,22.1,27.9,33.9,51.7,64.9,39.6,51.5,51.7,39.3,49.3,20.9,47.7,29.2,54.4,20.9,24.2,29.2,48.7,52.1,64.9,38.8
10-14,29.7,24.3,54.3,35.0,38.6,30.9,21.7,27.8,32.1,51.8,64.0,39.5,51.1,51.0,39.6,49.3,21.3,48.4,29.2,55.1,21.3,23.8,30.2,49.0,52.3,64.0,38.6
10-15,28.8,24.2,53.5,33.6,39.9,40.5,22.0,27.8,32.4,54.7,64.5,40.2,51.0,51.3,39.7,49.4,21.3,48.3,29.1,55.6,21.3,23.8,30.4,49.0,53.7,64.5,39.9
10-16,28.8,24.1,54.5,33.7,40.6,42.2,21.3,28.1,31.7,53.9,63.2,39.8,51.2,51.6,39.4,49.1,21.0,48.5,29.0,,21.0,23.5,30.1,48.9,54.0,63.2,39.8
10-17,29.3,24.5,59.1,35.4,44.0,41.4,22.0,28.2,31.8,52.6,64.1,40.1,51.0,52.4,38.6,49.1,20.8,48.6,28.5,,20.8,24.0,30.3,48.9,53.9,64.1,40.1
10-18,28.7,24.6,59.1,36.3,43.4,42.4,21.7,30.1,31.7,52.7,63.6,39.7,52.3,53.2,40.4,48.9,21.3,49.0,28.5,,21.3,24.1,30.7,48.9,54.4,63.6,40.4
10-19,29.0,24.7,60.2,36.8,42.6,41.7,22.4,30.7,31.1,52.0,63.6,41.1,52.4,52.3,41.1,48.3,21.2,49.4,28.5,,21.2,24.3,30.9,49.0,54.0,63.6,41.1
10-20,30.3,25.2,61.4,39.7,42.8,42.9,21.9,30.1,31.4,51.2,62.9,44.6,51.9,52.1,40.5,48.1,21.5,49.8,28.5,,21.5,24.6,30.7,49.1,54.0,62.9,42.8
10-21,38.0,24.4,64.1,44.0,42.6,42.2,22.1,30.9,31.0,51.3,62.8,44.4,52.0,52.0,41.7,49.0,21.4,50.1,28.4,,21.4,24.0,33.8,49.7,54.2,64.1,42.6
10-22,43.2,24.6,63.2,44.6,42.2,41.9,21.4,31.0,31.3,51.1,62.0,44.0,52.7,51.4,41.7,49.1,21.7,50.5,28.3,,21.4,24.0,35.5,50.0,54.5,63.2,43.2
10-23,44.2,24.9,62.2,46.0,41.0,41.8,21.8,30.5,31.7,50.8,62.6,44.2,53.4,51.8,44.1,49.3,21.4,50.9,29.3,,21.4,24.3,35.4,50.2,55.2,62.6,44.2
10-24,46.1,24.8,62.2,46.0,40.0,42.0,22.5,31.2,30.9,50.5,62.9,44.2,53.4,52.2,45.6,49.2,21.0,52.8,30.2,,21.0,24.3,34.7,50.0,55.2,62.9,45.6
10-25,46.5,24.5,62.1,47.3,40.3,42.9,29.4,31.2,29.8,50.7,62.6,43.5,55.3,52.5,44.6,50.1,21.1,53.6,31.7,,21.1,28.4,35.1,50.4,56.7,62.6,44.6
10-26,47.1,24.6,62.9,48.1,40.3,42.4,27.2,31.8,30.4,50.5,62.6,43.2,54.5,52.6,45.5,50.1,20.9,56.4,32.4,,20.9,26.7,35.5,50.4,57.7,62.9,45.5
10-27,47.2,23.9,63.0,47.6,40.2,40.8,27.4,30.9,30.2,50.0,61.1,43.0,53.9,52.6,44.5,49.8,20.6,55.6,32.2,,20.6,26.7,35.4,49.9,56.7,63.0,44.5
10-28,48.3,24.7,63.8,47.1,39.6,42.1,28.2,30.2,32.7,49.8,60.7,43.0,54.2,52.1,45.7,50.1,20.5,55.7,32.2,,20.5,27.5,35.5,50.0,56.7,63.8,45.7
10-29,48.2,25.3,63.3,47.2,40.6,41.0,28.4,30.8,38.3,50.1,61.6,42.9,56.4,52.3,46.8,51.0,20.4,55.7,32.4,,20.4,27.8,39.2,50.6,57.5,63.3,46.8
