date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,45.9,34.0,39.1,29.8,38.2,37.6,70.1,69.5,40.5,72.7,60.1,37.0,35.3,34.5,47.8,50.5,43.6,29.8,34.3,37.3,49.1,69.8,72.7,39.8
10-02,46.2,33.9,38.4,29.8,37.6,37.9,69.7,71.6,40.1,72.5,59.8,37.3,35.1,34.4,47.7,51.2,43.2,29.8,34.2,37.5,49.5,70.7,72.5,39.2
10-03,43.6,33.8,39.5,29.7,37.7,37.8,69.3,71.8,39.2,72.3,60.7,40.6,34.7,34.3,47.6,51.4,44.7,29.7,34.0,37.7,49.5,70.6,72.3,40.0
10-04,48.3,33.8,40.6,29.8,37.3,37.5,70.2,71.5,39.0,71.7,61.2,41.8,34.8,34.4,47.2,51.3,45.0,29.8,34.1,37.4,49.8,70.9,71.7,41.2
10-05,49.1,35.1,40.4,29.2,38.5,37.6,67.9,71.4,39.0,71.4,62.5,46.7,34.7,34.4,47.3,51.2,45.0,29.2,34.6,38.1,50.1,69.6,71.4,43.5
10-06,51.1,36.9,40.6,32.6,43.4,37.0,68.5,71.1,39.2,71.1,62.3,52.4,34.8,34.3,46.9,51.0,45.4,32.6,34.6,38.1,51.7,69.8,71.1,45.2
10-07,51.9,36.7,41.1,37.3,49.0,36.6,68.8,70.9,39.2,70.8,61.7,53.5,34.5,34.1,47.7,51.3,45.6,34.1,35.6,38.2,52.7,69.8,70.9,48.3
10-08,53.0,36.7,41.0,38.7,51.4,35.9,68.7,70.5,38.9,70.5,61.4,57.9,34.5,34.0,48.1,51.5,45.7,34.0,35.2,38.8,55.4,69.6,70.5,49.7
10-09,55.2,36.6,40.5,41.3,53.3,35.8,69.1,70.4,39.0,70.5,61.3,59.8,34.6,34.0,59.3,51.5,45.7,34.0,35.2,39.7,59.5,69.8,70.5,52.4
10-10,56.4,36.6,40.1,41.8,55.3,35.9,68.2,70.2,39.1,70.4,60.8,61.6,34.6,34.1,61.3,51.3,45.6,34.1,35.2,39.6,61.1,69.2,70.4,53.3
10-11,56.1,36.2,41.2,41.8,57.4,35.8,67.8,69.6,39.0,70.2,60.9,62.7,33.7,34.1,63.7,51.2,45.5,33.7,34.9,40.1,61.8,68.7,70.2,53.7
10-12,56.2,35.9,42.7,42.1,61.3,35.4,68.8,69.2,38.9,70.1,60.6,63.3,33.0,33.4,64.9,51.1,45.0,33.0,34.4,40.5,62.3,69.0,70.1,53.7
10-13,55.8,35.6,42.8,42.1,60.7,36.4,70.1,68.6,38.9,69.8,60.4,65.2,33.0,33.0,67.4,50.8,44.5,33.0,34.3,40.5,62.9,69.2,70.1,53.3
10-14,55.7,35.2,42.6,42.3,64.4,39.8,70.6,68.2,38.9,69.8,60.0,68.7,33.0,33.2,69.2,50.8,46.5,33.0,34.2,41.1,66.3,69.5,70.6,53.3
10-15,55.6,35.2,51.2,41.9,63.5,39.9,71.2,68.2,38.8,69.7,59.7,69.4,33.2,33.5,69.4,50.4,46.7,33.2,34.3,40.9,65.8,69.6,71.2,53.4
10-16,55.5,35.2,51.3,42.5,63.0,39.8,71.1,68.0,38.8,69.7,59.4,69.4,33.3,33.0,69.5,49.9,,33.0,34.2,41.2,65.5,69.6,71.1,53.4
10-17,55.3,35.7,50.6,42.4,62.2,41.8,71.3,67.7,38.4,69.6,59.3,69.1,33.4,32.9,70.5,49.8,,32.9,34.6,42.1,65.0,70.0,71.3,53.0
10-18,54.9,35.9,50.0,42.5,63.4,39.2,71.3,67.4,38.4,69.1,59.2,69.1,33.7,32.9,71.5,49.8,,32.9,34.8,40.9,65.4,70.2,71.5,52.4
10-19,55.3,36.2,49.8,42.1,63.5,39.0,72.0,67.2,40.8,68.6,59.1,69.7,33.3,32.8,73.6,49.6,,32.8,34.7,41.5,65.4,70.8,73.6,52.5
10-20,61.5,36.3,49.1,42.2,63.1,39.1,70.2,66.9,42.7,68.3,59.2,70.6,32.9,32.7,75.5,49.6,,32.7,34.6,42.4,65.0,70.4,75.5,54.4
10-21,62.0,36.3,48.8,42.2,62.6,39.0,70.1,66.7,45.1,68.1,58.9,71.3,32.8,32.8,76.7,49.0,,32.8,34.6,43.6,64.6,70.7,76.7,53.9
10-22,61.9,36.4,48.1,42.1,62.4,38.6,70.3,66.5,49.5,67.8,58.6,71.5,32.4,32.7,78.2,48.9,,32.4,34.5,45.1,64.4,70.9,78.2,54.1
10-23,61.8,37.8,48.0,42.1,62.1,38.8,70.8,66.1,49.8,68.0,58.2,72.6,32.4,32.5,78.6,48.7,,32.4,35.2,45.0,64.1,71.7,78.6,54.0
10-24,63.9,35.7,47.3,42.7,61.8,38.7,71.1,66.0,49.9,67.9,58.3,74.8,32.3,32.2,78.3,48.0,,32.2,34.0,45.0,64.9,72.9,78.3,54.1
10-25,65.2,35.8,47.2,60.5,61.5,38.0,71.0,65.8,49.4,68.7,58.3,75.3,32.1,32.2,78.6,47.6,,32.1,34.0,47.4,65.5,73.1,78.6,59.4
10-26,66.5,36.0,47.6,63.8,61.5,37.5,71.1,65.8,49.2,69.4,58.1,74.7,32.3,31.5,79.2,47.6,,31.5,34.1,47.6,66.1,72.9,79.2,59.8
10-27,66.9,35.8,47.0,65.0,61.1,37.2,70.6,65.5,50.2,69.5,58.0,74.6,32.3,30.8,79.1,47.3,,30.8,34.1,47.1,66.2,72.6,79.1,59.6
10-28,66.5,36.2,46.6,65.2,60.5,36.7,70.1,64.9,49.7,69.3,57.7,75.7,32.0,30.7,78.6,48.3,,30.7,34.1,47.5,65.8,72.9,78.6,59.1
10-29,66.7,36.3,46.9,64.8,60.2,36.3,69.6,64.5,49.5,69.7,57.6,76.0,31.9,30.7,79.2,48.3,,30.7,34.1,47.6,65.8,72.9,79.2,58.9
10-30,66.2,36.2,46.5,64.6,59.7,37.5,69.7,64.3,49.7,71.2,57.5,75.8,31.5,30.7,78.8,48.4,,30.7,33.9,47.5,65.4,73.5,78.8,58.6
10-31,66.0,36.3,46.7,65.5,60.1,37.6,69.4,64.2,49.7,71.4,56.4,74.9,31.5,30.8,79.0,48.3,,30.8,33.9,47.5,65.7,73.1,79.0,58.2
11-01,65.7,36.1,47.7,65.9,60.3,37.5,69.5,64.1,50.0,73.9,56.3,74.3,31.3,30.6,78.9,48.3,,30.6,33.7,48.0,65.8,74.1,78.9,58.3
11-02,65.3,36.5,49.0,67.9,60.4,37.1,70.0,63.9,50.6,73.8,56.2,73.9,31.4,30.5,78.9,48.6,,30.5,33.9,48.8,66.6,73.8,78.9,58.3
11-03,64.6,36.9,49.3,70.8,59.8,37.5,70.2,63.7,51.9,74.0,56.2,74.0,31.0,30.8,79.3,48.8,,30.8,33.9,49.1,67.4,74.0,79.3,58.0
11-04,63.8,37.0,49.2,72.9,59.4,37.1,70.1,63.5,51.9,73.5,56.0,73.9,31.4,31.2,78.9,49.0,,31.2,34.2,49.1,67.0,73.7,78.9,57.7
11-05,63.3,36.8,49.0,74.7,59.6,37.6,69.7,63.2,51.6,73.5,55.9,73.6,31.2,31.1,78.6,48.8,,31.1,34.0,48.9,66.5,74.1,78.6,57.7
11-06,63.0,37.0,48.8,74.5,59.4,37.4,69.5,63.7,51.6,73.5,55.4,73.5,31.2,31.1,78.3,49.0,,31.1,34.1,48.9,66.6,74.0,78.3,57.4
11-07,62.6,37.4,48.7,74.1,59.2,37.1,69.4,63.7,51.1,73.4,55.4,73.0,31.3,31.1,77.9,49.5,,31.1,34.2,49.1,66.6,73.8,77.9,57.3
11-08,62.4,37.3,48.6,73.5,58.9,37.1,68.9,64.0,50.9,73.3,55.3,72.6,31.3,31.1,77.9,49.9,,31.1,34.2,49.3,66.5,73.4,77.9,57.1
11-09,62.2,37.9,48.5,73.3,59.2,37.1,68.9,63.9,50.7,73.0,54.8,72.0,31.1,30.7,77.6,49.9,,30.7,34.1,49.2,66.4,73.2,77.6,57.0
11-10,61.8,37.5,47.8,73.0,59.1,36.9,70.8,63.9,49.7,72.5,54.5,69.7,31.2,30.5,77.0,50.3,,30.5,34.1,48.8,66.8,72.8,77.0,56.8
11-11,61.9,37.7,48.0,72.7,59.0,36.4,69.3,63.6,49.6,72.2,54.5,67.8,31.4,30.5,77.2,50.4,,30.5,33.9,48.8,65.7,72.5,77.2,56.7
11-12,61.5,37.9,47.5,72.6,58.8,36.4,68.4,63.1,49.6,72.3,54.4,65.8,31.4,30.3,76.9,50.3,,30.3,33.9,48.5,64.4,72.4,76.9,56.6
11-13,61.4,37.9,47.8,72.1,58.6,35.9,69.8,62.7,49.4,71.8,54.3,64.8,31.1,30.3,77.8,50.0,,30.3,33.5,48.6,63.7,72.0,77.8,56.4
11-14,60.6,38.4,47.7,71.8,58.5,36.3,69.9,62.4,49.3,71.7,54.1,63.8,31.3,30.1,77.9,49.9,,30.1,33.8,48.5,63.1,71.7,77.9,56.3
11-15,60.4,38.3,47.2,71.1,58.4,36.1,69.7,62.3,48.9,71.4,54.6,63.1,31.3,30.0,77.9,49.9,,30.0,33.7,48.1,62.7,71.2,77.9,56.5
11-16,59.8,38.0,47.1,71.2,58.5,36.1,69.6,62.3,48.9,71.0,54.6,62.6,31.2,30.2,78.2,49.9,,30.2,33.6,48.0,62.5,71.1,78.2,56.5
11-17,59.8,38.7,47.0,71.1,58.3,36.0,69.3,62.0,49.0,70.8,54.4,62.5,31.4,30.2,78.2,49.9,,30.2,33.7,48.0,62.2,70.9,78.2,56.4
11-18,59.9,39.5,46.8,71.1,58.3,36.5,69.3,61.9,49.0,70.4,54.5,61.8,31.3,30.1,77.8,49.9,,30.1,33.9,47.9,61.8,70.7,77.8,56.4
11-19,59.6,40.4,46.4,70.6,58.2,37.2,69.0,61.8,49.1,69.6,54.4,60.7,31.6,30.0,77.3,49.8,,30.0,34.4,47.7,61.3,70.1,77.3,56.3
11-20,59.5,41.4,46.4,70.6,57.9,37.7,69.0,61.5,48.9,69.4,54.1,58.7,31.4,30.2,76.7,49.8,,30.2,34.6,47.6,60.5,70.0,76.7,56.0
11-21,59.3,41.1,45.8,70.7,58.0,37.8,69.1,61.5,49.0,69.1,54.0,57.9,31.7,30.0,76.4,49.7,,30.0,34.7,47.4,60.4,69.9,76.4,56.0
11-22,59.0,41.2,45.2,70.7,57.9,38.4,69.0,61.0,49.0,69.0,54.0,57.2,31.5,29.8,76.1,49.7,,29.8,35.0,47.1,60.0,69.9,76.1,55.6
11-23,58.1,40.7,44.6,70.8,58.0,38.9,68.9,60.4,48.9,69.1,55.3,57.2,31.6,29.7,75.7,49.6,,29.7,35.3,46.8,59.3,70.0,75.7,56.2
11-24,57.6,40.6,44.3,71.0,57.8,38.9,68.8,60.5,48.8,69.0,56.8,57.4,31.6,29.8,75.2,49.5,,29.8,35.3,46.6,59.1,70.0,75.2,57.1
11-25,55.8,39.3,43.8,71.0,58.1,38.9,68.7,60.5,48.7,69.1,58.2,57.7,31.5,29.6,74.8,49.2,,29.6,35.2,46.3,59.4,70.0,74.8,56.7
11-26,53.4,38.7,43.7,70.9,58.1,38.9,68.8,60.3,50.0,68.9,58.4,57.8,31.5,29.7,72.5,49.2,,29.7,35.1,46.4,59.4,69.9,72.5,55.6
11-27,52.6,38.3,43.5,70.6,58.1,38.5,68.9,60.5,48.7,68.9,56.7,57.8,31.6,29.5,71.0,49.0,,29.5,34.9,46.1,59.3,69.7,71.0,54.6
11-28,51.2,39.3,43.1,70.5,57.9,37.7,68.9,60.2,48.6,68.7,58.4,57.7,31.4,29.3,69.6,48.9,,29.3,34.5,45.8,59.3,69.2,70.5,54.5
11-29,50.6,39.4,43.2,70.2,57.9,37.3,68.7,60.4,48.7,68.5,58.4,57.9,31.5,29.1,68.6,48.9,,29.1,34.4,45.9,59.4,68.6,70.2,54.2
11-30,50.0,39.4,42.6,70.0,57.6,37.5,68.7,60.0,48.7,68.4,58.3,57.9,31.5,29.1,68.6,48.7,,29.1,34.5,45.6,59.2,68.7,70.0,53.8
12-01,49.6,39.3,42.1,70.1,57.5,37.2,68.5,60.1,48.6,68.4,58.4,58.3,31.4,29.0,67.8,48.8,,29.0,34.3,45.4,59.3,68.5,70.1,53.6
12-02,49.9,39.6,41.3,70.0,57.6,37.3,68.2,60.3,48.5,68.6,58.0,58.6,31.6,28.8,67.1,48.6,,28.8,34.5,44.9,59.4,68.4,70.0,53.8
