date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,27.8,32.8,32.3,47.6,35.2,35.8,28.6,36.2,34.8,63.0,66.9,42.5,67.4,55.8,35.0,36.0,35.4,46.4,51.3,40.5,27.8,31.6,35.1,47.1,63.8,67.4,36.0
10-02,27.8,32.8,32.5,47.4,35.2,35.2,29.0,36.3,35.3,62.8,68.7,42.3,67.4,55.5,36.2,35.7,35.1,46.4,52.7,40.4,27.8,31.8,35.2,47.0,63.8,68.7,36.2
10-03,27.8,34.6,32.6,46.3,35.1,35.0,28.4,36.2,34.8,62.5,68.0,41.7,67.6,55.8,42.5,35.5,35.3,46.4,52.8,43.7,27.8,31.7,35.0,46.4,63.5,68.0,36.2
10-04,27.6,34.0,33.8,46.1,35.0,35.1,28.9,35.6,34.5,64.1,67.7,41.5,67.3,55.5,44.9,35.4,35.2,46.1,52.4,44.0,27.6,32.8,35.1,46.1,64.7,67.7,35.6
10-05,27.6,34.2,34.9,45.6,38.1,34.4,27.8,37.3,35.1,61.2,68.1,41.3,67.0,55.8,53.3,35.3,35.2,46.0,52.4,43.9,27.6,32.9,35.1,49.9,62.3,68.1,38.1
10-06,27.8,31.4,35.7,48.0,41.0,34.4,27.4,42.3,34.7,61.4,68.2,41.1,66.9,55.4,57.3,35.1,35.2,45.5,52.4,44.3,27.4,30.7,35.1,50.6,62.5,68.2,41.1
10-07,28.0,31.5,42.9,47.8,40.5,35.0,31.8,48.4,34.4,61.7,68.2,40.9,66.7,54.9,57.7,35.1,35.0,45.4,53.1,44.6,28.0,31.8,35.0,51.3,62.7,68.2,42.9
10-08,27.9,32.6,45.3,48.4,40.4,35.2,33.1,50.2,33.9,61.4,68.0,41.1,66.5,54.9,60.0,34.9,34.8,46.2,53.6,44.9,27.9,33.0,35.0,52.3,62.4,68.0,45.3
10-09,28.1,32.3,47.3,49.2,40.2,34.8,34.0,51.8,34.1,61.6,68.0,41.0,66.5,54.8,59.7,35.1,34.9,59.7,53.8,44.9,28.1,33.7,35.0,54.4,62.6,68.0,47.3
10-10,28.1,32.3,48.9,49.2,39.9,34.2,34.8,54.9,33.9,61.3,67.9,41.1,66.6,54.2,59.6,34.9,35.0,60.3,53.5,44.9,28.1,33.6,34.9,54.6,62.4,67.9,48.9
10-11,28.3,32.0,49.9,49.0,39.7,34.9,34.9,56.7,34.4,60.8,67.7,41.1,66.4,54.5,60.9,34.2,35.0,61.6,53.8,44.7,28.3,33.8,34.9,55.8,62.5,67.7,49.0
10-12,27.8,32.2,50.1,48.9,39.4,34.6,34.8,60.9,33.8,62.0,67.4,41.0,66.4,54.2,61.8,33.6,34.3,62.8,53.7,44.6,27.8,33.3,34.7,58.2,63.5,67.4,48.9
10-13,27.9,32.4,50.0,48.8,38.9,34.8,35.2,59.7,33.0,64.1,66.8,41.0,66.1,54.0,63.4,33.6,33.9,66.2,53.2,44.3,27.9,32.9,34.9,57.4,66.1,66.8,48.8
10-14,28.0,32.3,49.4,49.0,38.5,34.7,35.3,59.2,33.2,64.4,66.3,41.0,66.1,53.6,67.1,33.6,34.0,68.5,53.4,44.1,28.0,33.0,35.0,57.0,66.5,68.5,49.0
10-15,27.6,32.3,49.5,48.9,38.5,38.0,34.8,58.7,33.6,64.9,66.2,40.9,66.1,53.4,68.4,33.9,34.1,68.5,52.7,44.0,27.6,33.3,36.1,56.6,66.6,68.5,48.9
10-16,27.9,33.2,49.7,48.7,38.5,38.9,35.8,58.5,33.3,65.1,66.2,40.8,66.1,53.3,68.8,33.8,33.8,68.6,52.2,,27.9,33.3,36.9,56.4,66.7,68.8,48.7
10-17,28.3,33.1,51.8,48.8,38.6,38.6,35.8,58.0,36.8,65.1,65.9,40.8,65.9,52.8,68.8,33.9,33.6,69.3,52.1,,28.3,33.5,37.5,55.9,66.5,69.3,48.8
