date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,19.0,17.3,40.0,25.7,20.6,18.6,16.8,20.5,23.0,40.9,58.5,29.9,39.2,47.5,16.3,32.7,15.4,27.6,26.7,28.1,15.4,16.7,19.6,31.6,42.2,58.5,25.7
10-02,18.8,16.8,39.6,27.1,20.6,19.0,16.6,20.3,22.7,40.6,59.8,29.5,39.8,47.7,16.1,32.2,15.4,27.2,26.2,28.1,15.4,16.5,19.5,31.1,42.0,59.8,26.2
10-03,18.9,16.0,42.4,27.9,20.3,20.9,16.6,20.0,22.5,40.1,59.3,30.9,39.8,47.3,21.2,31.8,15.6,27.4,25.8,31.1,15.6,16.5,20.6,31.4,43.4,59.3,25.8
10-04,20.3,13.4,43.8,27.9,20.0,22.0,16.6,20.0,22.1,40.1,58.8,32.0,40.6,47.2,24.1,31.6,15.5,27.1,25.4,34.2,13.4,16.4,21.0,31.8,44.5,58.8,25.4
10-05,20.1,15.6,44.1,28.0,23.2,23.3,17.7,21.9,21.8,40.4,58.4,32.0,41.8,47.0,31.3,31.1,15.3,27.2,25.6,37.9,15.3,17.3,22.4,31.7,44.7,58.4,27.2
10-06,19.8,15.7,47.9,30.6,28.8,24.4,18.1,25.4,21.3,41.9,58.1,31.8,42.1,46.6,37.9,30.8,15.2,26.9,25.2,38.1,15.2,17.6,24.7,35.5,46.9,58.1,28.8
10-07,19.8,17.8,55.0,32.8,29.0,26.4,21.1,27.7,21.1,45.4,57.7,31.6,42.3,45.9,37.3,30.3,14.9,28.8,25.0,38.7,14.9,19.4,25.6,35.5,47.7,57.7,29.0
10-08,19.9,20.5,54.9,35.1,28.7,28.0,21.9,28.6,20.8,46.2,57.3,31.3,42.3,45.5,42.3,30.1,14.9,30.6,24.9,38.3,14.9,20.3,26.1,39.4,48.0,57.3,30.1
10-09,19.9,22.1,56.4,37.8,28.5,27.7,22.1,29.7,20.7,45.2,56.9,31.2,42.2,44.7,44.6,29.9,15.2,39.2,24.5,38.4,15.2,20.5,25.8,41.0,47.4,56.9,29.9
10-10,19.8,22.0,56.8,38.7,28.1,27.5,22.4,31.9,20.6,45.8,56.2,31.0,42.2,44.5,44.8,29.8,15.2,41.8,24.4,37.9,15.2,20.4,25.6,42.0,47.9,56.8,31.0
10-11,19.6,21.9,57.1,38.5,27.9,28.0,22.6,38.3,20.6,46.6,55.9,30.7,41.8,44.2,45.7,29.2,14.8,44.8,24.1,38.2,14.8,20.4,25.6,43.2,48.5,57.1,30.7
