date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,22.1,21.2,33.6,24.4,23.8,24.3,22.6,28.9,24.2,37.7,68.0,32.4,39.7,45.3,16.4,32.3,13.4,35.1,35.5,37.7,13.4,20.3,23.9,34.5,40.9,68.0,28.9
10-02,21.8,18.9,33.2,26.9,23.7,24.3,22.1,28.7,23.8,37.2,67.8,32.3,39.7,45.1,15.9,31.6,13.5,34.4,34.3,38.1,13.5,18.3,23.7,33.9,40.8,67.8,28.7
10-03,22.3,18.7,36.6,29.6,23.4,24.9,22.4,28.2,24.0,36.5,66.9,32.2,39.5,44.3,22.7,31.8,13.9,34.7,34.0,41.7,13.9,21.6,23.6,34.4,40.5,66.9,29.6
10-04,21.4,10.5,40.4,29.8,23.0,26.7,22.3,28.3,23.5,35.8,66.2,33.0,40.4,44.3,24.0,31.8,14.0,34.5,33.5,47.2,10.5,19.9,23.7,34.1,41.2,66.2,29.8
10-05,21.7,18.8,40.4,30.0,26.1,26.8,22.0,29.6,23.2,36.7,65.2,33.9,41.0,43.9,33.5,31.0,13.7,34.7,33.4,53.2,13.7,21.1,26.4,34.4,41.6,65.2,31.0
10-06,21.2,17.7,45.0,33.1,29.1,27.2,22.7,29.3,22.5,37.7,64.8,33.9,41.3,44.0,36.5,30.6,13.3,34.3,33.3,53.3,13.3,20.5,28.0,35.6,44.2,64.8,33.1
10-07,22.0,18.4,52.9,34.9,30.5,29.2,24.9,31.5,22.5,38.0,64.1,33.8,41.5,43.3,36.1,30.2,13.2,36.3,33.0,52.8,13.2,21.3,29.6,36.2,45.2,64.1,33.0
10-08,21.9,18.1,51.0,35.6,30.5,29.8,28.2,33.0,22.2,38.6,63.5,33.8,41.5,43.1,38.3,30.2,13.4,41.7,32.6,52.5,13.4,21.1,30.0,38.5,44.7,63.5,33.0
10-09,21.9,22.9,53.5,37.1,30.0,28.7,28.5,34.8,22.0,38.3,63.0,33.8,41.5,42.3,39.1,30.0,13.9,50.3,32.4,51.1,13.9,22.0,29.2,38.8,50.9,63.0,33.8
10-10,21.7,23.2,54.2,37.1,29.7,28.5,30.2,38.5,22.2,38.5,62.3,33.7,41.4,42.3,38.5,30.1,13.8,51.1,32.2,49.9,13.8,22.1,29.8,38.5,51.7,62.3,33.7
10-11,21.3,23.0,54.0,36.6,29.4,28.4,30.6,39.6,22.2,38.7,61.9,33.6,41.4,41.8,39.4,29.6,13.2,50.9,32.1,49.0,13.2,22.0,29.5,39.5,51.5,61.9,33.6
10-12,21.3,23.4,53.6,37.7,29.0,28.1,31.0,43.9,22.3,40.0,61.2,33.6,41.2,41.5,40.5,29.5,13.3,50.8,31.7,48.9,13.3,22.1,29.2,40.9,51.4,61.2,33.6
10-13,23.3,23.1,53.1,37.9,28.6,28.2,30.8,46.1,22.1,40.8,61.1,32.6,41.3,41.6,41.5,28.9,12.6,52.6,31.6,49.0,12.6,22.9,28.7,41.4,52.7,61.1,32.6
10-14,23.3,23.1,52.6,38.2,28.5,31.4,30.5,47.0,21.4,42.7,60.6,32.6,40.4,40.9,44.3,28.5,12.9,54.2,31.4,50.7,12.9,22.8,29.3,42.0,53.0,60.6,32.6
10-15,22.4,23.5,52.9,38.2,28.8,36.0,30.5,46.8,21.5,43.8,60.2,32.8,40.2,40.7,44.2,29.1,13.1,55.2,31.3,51.1,13.1,22.2,29.7,42.5,53.4,60.2,36.0
10-16,21.8,23.3,52.4,38.1,28.7,36.3,30.1,46.6,22.2,44.5,60.1,32.5,40.1,40.7,43.9,29.4,12.5,56.1,30.9,,12.5,22.1,29.7,42.6,53.2,60.1,36.3
10-17,21.9,22.6,54.6,38.6,29.2,35.5,29.8,46.6,22.3,45.7,60.2,32.7,40.1,40.2,44.0,29.2,12.5,57.6,31.1,,12.5,22.2,29.4,42.4,55.2,60.2,35.5
10-18,21.7,21.9,54.9,39.1,28.9,35.6,29.7,46.3,21.6,45.4,59.9,32.7,40.0,40.2,44.2,29.3,13.3,61.2,30.6,,13.3,21.7,29.5,42.6,55.9,61.2,35.6
10-19,21.7,21.9,54.9,40.0,29.2,35.5,30.1,45.5,22.0,45.1,59.6,32.7,39.9,39.9,45.4,29.0,13.0,61.4,30.8,,13.0,21.8,29.6,43.1,55.8,61.4,35.5
10-20,26.5,22.4,55.3,43.1,29.2,35.8,29.5,45.2,21.5,44.3,59.2,34.4,39.8,40.5,45.7,29.1,12.9,61.6,30.5,,12.9,22.3,29.3,43.8,56.1,61.6,35.8
10-21,50.0,22.2,57.0,46.9,29.1,35.8,29.2,44.8,22.0,44.5,58.8,34.6,39.6,39.7,45.8,28.8,13.0,62.6,30.2,,13.0,22.1,29.6,45.4,57.4,62.6,39.6
10-22,54.1,22.1,56.2,47.0,29.3,35.8,29.1,44.4,22.0,44.3,58.7,34.0,40.1,40.0,47.1,28.9,13.4,62.7,30.4,,13.4,22.1,29.7,45.9,56.7,62.7,40.0
10-23,53.5,22.5,55.5,46.7,28.8,35.3,28.8,44.4,22.0,43.9,58.4,34.3,40.0,39.7,53.5,30.4,12.9,66.4,35.3,,12.9,22.4,32.0,45.8,56.1,66.4,39.7
10-24,53.6,22.5,55.3,48.2,28.6,35.3,28.7,44.1,23.5,43.5,58.3,33.7,39.7,39.7,55.0,30.7,12.2,67.6,35.3,,12.2,23.3,31.9,46.6,55.9,67.6,39.7
10-25,54.4,22.5,55.1,50.3,28.3,35.5,47.5,43.6,22.3,43.7,58.1,33.8,44.2,39.4,54.9,30.5,12.4,69.3,35.1,,12.4,22.5,34.3,49.2,55.7,69.3,43.6
10-26,54.9,21.9,55.4,52.0,28.3,35.5,55.4,43.5,22.7,43.2,57.9,33.5,43.7,39.0,55.0,30.4,12.7,74.1,36.0,,12.7,22.5,34.3,53.8,55.9,74.1,43.2
10-27,56.9,22.0,55.1,51.9,28.7,35.5,55.2,43.3,22.6,43.4,57.8,33.2,43.0,38.8,55.7,30.3,12.2,73.2,36.0,,12.2,22.5,34.1,53.8,57.1,73.2,43.0
10-28,61.1,24.3,54.8,51.3,28.3,35.6,56.1,42.7,22.9,43.2,56.9,33.1,43.4,38.8,55.4,30.2,12.1,73.4,35.8,,12.1,24.0,34.1,53.4,57.8,73.4,42.7
10-29,62.0,28.7,55.3,51.2,28.3,35.2,56.3,42.3,23.1,43.2,56.3,33.6,45.9,38.3,56.9,29.9,12.4,74.1,37.1,,12.4,27.2,34.2,53.7,57.9,74.1,42.3
10-30,61.0,30.2,55.0,50.4,28.3,35.5,57.0,42.3,24.3,43.4,56.1,33.3,45.2,38.6,56.8,30.1,13.0,74.6,37.3,,13.0,27.5,34.2,53.2,57.8,74.6,42.3
