date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,31.1,46.7,30.5,38.1,70.5,29.8,53.6,44.4,21.4,24.4,24.0,22.8,24.5,44.7,21.4,23.1,24.5,40.6,52.2,70.5,30.5
10-02,30.8,46.3,29.6,38.5,70.5,28.8,52.6,44.4,21.1,24.1,23.7,23.1,24.0,49.1,21.1,23.2,24.1,40.9,51.3,70.5,29.6
10-03,30.4,45.8,30.0,38.2,70.3,29.1,52.2,44.3,21.1,26.4,23.9,22.6,24.4,50.0,21.1,22.9,25.6,40.7,50.9,70.3,30.0
10-04,30.2,45.6,29.0,38.1,69.3,28.0,52.7,44.1,20.6,38.9,23.8,22.7,23.9,50.5,20.6,22.9,26.4,41.0,51.3,69.3,30.2
10-05,29.5,45.1,28.4,38.1,69.1,28.5,52.7,44.5,20.1,43.0,23.7,23.3,23.9,51.1,20.1,23.4,26.6,43.6,51.2,69.1,29.5
10-06,29.2,70.0,27.8,38.0,68.2,28.3,52.7,45.2,20.5,43.7,23.4,23.2,24.0,51.0,20.5,23.2,26.3,44.3,65.1,70.0,29.2
10-07,28.8,68.6,27.9,38.0,67.5,28.8,53.1,46.8,20.0,44.2,23.4,23.1,23.9,51.6,20.0,23.1,26.3,45.2,64.6,68.6,28.8
10-08,28.9,68.4,28.2,38.1,67.2,28.8,52.7,48.5,19.9,45.6,24.0,22.7,24.2,51.9,19.9,23.0,26.6,46.7,64.3,68.4,28.9
10-09,28.6,68.2,27.2,38.7,66.0,29.0,52.3,48.7,19.8,47.7,23.8,37.3,23.6,52.2,19.8,23.6,28.0,48.1,63.3,68.2,37.3
10-10,28.8,68.5,27.9,39.0,65.3,28.7,51.6,49.2,19.7,48.0,23.6,34.7,23.9,71.4,19.7,23.6,28.4,48.5,62.5,68.5,34.7
10-11,28.4,68.6,27.9,38.7,64.9,28.6,50.4,49.4,19.5,47.6,22.9,34.1,23.7,71.3,19.5,23.1,28.2,48.3,62.0,68.6,34.1
10-12,28.4,71.2,28.1,38.7,64.0,28.7,49.9,49.5,19.1,47.0,22.7,33.5,23.4,71.2,19.1,22.9,28.3,48.0,61.2,71.2,33.5
10-13,28.8,69.8,28.1,38.7,64.0,28.0,49.3,50.1,19.3,47.0,22.3,32.7,23.8,71.2,19.3,22.6,28.0,47.9,61.3,69.8,32.7
10-14,29.1,70.2,27.7,39.1,63.6,28.3,48.6,50.1,19.2,47.0,22.8,34.4,23.6,71.0,19.2,23.0,28.1,47.6,60.9,70.2,34.4
10-15,28.8,70.1,27.2,39.1,62.8,28.3,48.1,50.1,19.1,47.3,22.1,36.9,23.2,71.8,19.1,22.3,27.9,47.6,60.3,70.1,36.9
10-16,28.8,71.4,27.3,39.5,62.5,28.1,48.2,50.3,19.5,47.9,21.7,39.1,23.2,,19.5,22.0,27.8,48.0,60.0,71.4,39.1
10-17,29.2,73.0,28.0,39.6,62.0,28.0,48.4,50.3,19.4,48.3,22.0,40.1,22.9,,19.4,22.2,28.0,48.3,59.6,73.0,39.6
10-18,28.8,70.8,27.4,39.8,61.6,28.3,50.9,49.8,19.5,49.5,22.3,41.5,23.1,,19.5,22.5,28.0,49.6,59.5,70.8,39.8
10-19,28.8,70.5,27.4,39.8,61.2,28.0,52.1,49.9,19.8,49.6,22.0,41.8,22.9,,19.8,22.2,27.8,49.7,59.4,70.5,39.8
10-20,28.7,70.6,28.2,,61.0,28.3,52.9,49.2,19.5,49.4,21.5,43.0,22.8,,19.5,21.6,28.2,49.3,60.2,70.6,35.8
10-21,28.2,70.6,28.1,40.6,60.6,27.7,52.9,49.7,19.5,49.6,21.8,44.0,22.7,,19.5,22.0,27.9,49.6,59.1,70.6,40.6
10-22,28.3,70.8,28.2,40.7,60.3,28.3,53.9,49.8,19.3,49.5,22.0,44.2,22.6,,19.3,22.1,28.3,49.6,59.0,70.8,40.7
10-23,28.3,70.6,28.4,40.7,60.5,29.0,54.6,50.1,42.5,49.7,21.5,45.2,22.5,,21.5,23.6,28.7,49.9,59.3,70.6,42.5
10-24,28.1,70.7,28.3,40.7,59.8,28.4,54.9,52.3,48.1,49.6,21.2,45.7,22.3,,21.2,23.5,28.3,50.7,58.8,70.7,45.7
10-25,46.7,72.7,28.7,40.8,59.8,28.7,63.5,52.6,59.6,49.6,20.6,45.9,22.2,,20.6,23.5,36.0,55.4,62.7,72.7,46.7
10-26,48.9,70.5,28.3,40.7,59.6,29.2,71.5,52.4,59.8,49.1,21.2,46.5,22.1,,21.2,23.3,36.1,55.3,68.3,71.5,48.9
10-27,48.2,68.4,29.3,41.2,59.3,29.8,71.2,52.7,60.4,48.8,20.1,47.0,22.1,,20.1,23.5,36.6,55.3,66.8,71.2,48.2
10-28,47.1,67.4,29.1,40.9,58.7,29.7,70.5,52.7,60.3,48.6,20.0,47.4,22.0,,20.0,23.4,36.4,55.1,66.0,70.5,47.4
10-29,47.0,66.1,29.5,41.4,58.8,29.7,74.5,52.9,59.4,48.3,20.1,48.1,21.7,,20.1,23.3,36.7,55.3,64.7,74.5,48.1
10-30,46.9,65.5,31.0,41.4,58.8,30.3,72.5,53.1,59.3,48.0,20.4,47.6,22.1,,20.4,23.7,37.2,55.4,64.2,72.5,47.6
10-31,45.9,65.0,35.5,41.4,58.7,30.1,74.8,52.8,58.8,47.8,20.9,47.9,21.8,,20.9,23.5,39.0,55.2,63.7,74.8,47.8
11-01,45.5,65.6,40.5,41.1,58.8,30.2,72.8,52.6,58.2,47.1,21.4,48.3,21.9,,21.4,23.5,40.8,54.8,64.2,72.8,47.1
