date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,11.6,10.8,46.4,18.3,7.4,5.8,6.5,6.7,8.1,22.4,36.2,16.0,30.9,37.3,7.8,16.3,14.1,12.7,22.7,25.8,5.8,6.7,9.2,20.7,36.4,46.4,14.1
10-02,11.6,10.9,45.0,19.2,6.7,7.8,6.7,6.2,7.8,22.0,36.7,15.4,30.6,36.3,7.6,16.2,14.0,12.3,22.4,28.2,6.2,6.7,9.1,20.9,36.4,45.0,14.0
10-03,11.7,10.2,44.7,19.0,6.6,13.1,7.0,6.4,7.9,21.6,35.8,16.1,30.0,35.4,13.3,16.0,14.0,12.4,21.7,30.8,6.4,6.9,12.0,20.6,35.4,44.7,14.0
10-04,18.6,10.1,43.9,18.4,6.7,15.2,6.8,6.3,7.6,21.4,36.0,18.1,29.1,35.2,12.8,15.6,13.6,12.3,21.5,31.9,6.3,6.8,12.5,20.3,35.3,43.9,15.6
10-05,17.8,9.8,44.9,18.6,17.1,16.1,6.6,6.4,7.7,21.1,35.9,18.3,28.6,35.5,14.4,15.7,13.6,12.3,21.2,32.2,6.4,7.5,13.9,20.1,35.6,44.9,17.1
10-06,17.3,9.2,45.1,18.0,23.1,15.9,6.4,15.3,7.7,21.4,36.0,18.5,28.1,34.6,18.3,15.8,13.1,12.3,20.9,34.5,6.4,8.9,15.5,21.2,34.9,45.1,18.0
10-07,16.8,18.5,62.4,17.7,22.9,16.1,6.4,23.2,7.5,26.5,35.1,18.7,27.9,34.0,18.5,15.6,13.1,13.9,20.8,35.4,6.4,12.0,16.4,23.1,34.2,62.4,18.5
10-08,16.7,29.6,59.4,20.1,22.4,16.7,6.0,24.9,7.4,41.7,34.0,18.7,27.8,33.6,20.9,15.4,12.8,14.1,20.5,35.4,6.0,11.8,16.7,26.6,35.5,59.4,20.5
10-09,16.7,28.8,56.7,22.6,22.2,16.8,6.5,26.1,7.4,34.2,33.6,18.6,27.5,32.6,28.3,15.6,12.8,19.7,20.1,35.3,6.5,11.7,17.5,28.0,33.7,56.7,22.2
10-10,16.4,27.5,55.3,29.0,20.9,16.8,7.2,29.0,7.3,34.3,33.6,18.4,27.7,32.1,28.5,15.4,12.7,25.5,20.0,34.7,7.2,11.6,17.4,28.8,33.8,55.3,25.5
10-11,16.1,27.8,54.0,29.2,21.7,17.0,8.4,37.1,7.4,40.9,32.4,18.2,27.4,32.6,29.9,15.3,12.4,27.7,19.8,34.7,7.4,11.6,17.4,29.6,37.8,54.0,27.4
10-12,16.0,27.1,53.0,28.5,21.5,16.6,8.7,40.6,7.5,40.0,33.0,18.0,27.1,32.5,31.8,15.1,16.4,27.3,19.8,34.7,7.5,13.9,17.2,30.5,40.1,53.0,27.1
10-13,15.9,26.4,52.6,28.3,21.4,16.6,9.2,45.5,7.8,42.1,32.2,17.9,26.7,32.2,37.2,14.8,15.5,26.8,19.8,34.5,7.8,13.7,17.1,30.6,42.7,52.6,26.4
10-14,15.6,25.9,51.9,29.3,21.0,16.7,9.2,45.6,9.5,45.0,30.9,17.6,26.6,32.5,38.9,14.8,15.4,26.5,19.7,37.0,9.2,13.8,17.1,30.2,45.1,51.9,25.9
10-15,15.5,25.1,51.7,30.9,25.2,28.8,9.3,45.1,9.4,45.0,31.9,17.6,26.4,31.8,38.2,14.7,14.9,27.7,19.6,40.2,9.3,13.7,18.4,31.4,45.0,51.7,26.4
10-16,15.4,25.3,51.0,30.9,30.2,27.6,9.7,45.2,9.2,45.1,31.6,17.4,26.3,31.0,36.9,15.0,15.0,29.8,19.1,,9.2,13.9,18.1,31.0,45.1,51.0,27.6
10-17,15.4,24.0,54.2,31.0,29.8,27.1,9.8,44.4,9.4,45.0,30.6,17.3,26.1,30.9,37.3,15.0,14.7,31.8,15.4,,9.4,13.7,16.2,30.9,44.5,54.2,27.1
