date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,43.7,73.8,70.4,43.7,76.7,70.9,43.7,45.6,40.2,50.1,59.8,54.9,40.2,43.7,43.7,70.4,73.8,76.7,50.1
10-02,43.9,73.4,72.5,43.5,76.2,70.7,43.3,45.5,40.3,50.0,59.2,54.6,40.3,43.3,43.9,70.7,73.4,76.2,50.0
10-03,43.8,73.0,73.3,42.6,75.5,71.8,45.3,45.4,39.9,50.1,59.0,54.6,39.9,42.6,45.3,71.8,73.3,75.5,50.1
10-04,43.6,72.2,72.9,43.2,75.2,72.6,45.2,45.4,40.1,49.3,58.9,54.4,40.1,43.2,45.2,72.2,72.9,75.2,49.3
10-05,43.6,71.5,72.3,43.2,74.8,74.0,50.9,45.2,40.2,49.7,58.7,54.4,40.2,43.2,45.2,71.5,74.0,74.8,50.9
10-06,42.9,72.2,71.9,44.8,74.4,73.8,57.2,45.0,40.0,49.1,58.1,54.6,40.0,42.9,45.0,71.9,73.8,74.4,57.2
10-07,42.5,72.4,71.4,44.3,74.0,73.5,59.9,44.9,39.8,50.7,57.9,54.7,39.8,42.5,44.9,71.4,73.5,74.0,57.9
10-08,42.1,72.2,71.0,44.1,73.7,73.3,64.5,44.9,39.9,50.3,57.8,54.8,39.9,42.1,44.9,71.0,73.3,73.7,57.8
10-09,41.8,72.2,71.0,44.1,73.4,72.9,66.2,45.0,39.8,56.1,57.6,54.9,39.8,41.8,45.0,71.0,72.9,73.4,57.6
10-10,41.9,71.5,70.6,43.9,73.4,72.6,68.6,45.2,40.3,57.9,57.3,54.6,40.3,41.9,45.2,70.6,72.6,73.4,57.9
10-11,41.9,71.4,70.2,43.9,73.2,72.3,72.4,43.9,40.0,59.8,57.3,54.3,40.0,41.9,43.9,71.4,72.4,73.2,59.8
10-12,41.8,73.9,69.7,43.8,72.9,72.0,73.7,43.2,38.9,60.6,56.5,53.5,38.9,41.8,43.8,72.0,73.7,73.9,60.6
10-13,42.1,74.6,69.0,43.4,72.5,72.0,74.0,43.2,38.7,64.5,56.3,52.7,38.7,42.1,43.4,72.0,74.0,74.6,64.5
10-14,47.1,75.1,68.5,43.4,72.5,71.6,74.9,43.4,39.1,70.0,56.2,55.2,39.1,43.4,47.1,71.6,74.9,75.1,68.5
10-15,47.3,76.3,68.5,43.6,72.2,71.3,76.0,43.7,39.1,70.9,55.7,55.5,39.1,43.6,47.3,71.3,76.0,76.3,68.5
10-16,47.3,76.3,68.2,43.4,72.1,71.0,76.2,43.8,38.7,72.0,55.4,,38.7,43.4,47.3,72.0,76.2,76.3,68.2
10-17,47.4,76.9,68.0,43.3,71.9,70.8,75.7,43.9,38.7,74.8,54.8,,38.7,43.3,47.4,71.9,75.7,76.9,68.0
10-18,46.7,76.8,67.7,43.0,72.9,70.6,75.6,44.0,38.7,75.7,54.9,,38.7,43.0,46.7,72.9,75.7,76.8,67.7
10-19,46.7,76.2,67.3,45.3,71.2,70.7,76.0,43.7,38.5,76.1,54.9,,38.5,43.7,46.7,71.2,76.1,76.2,67.3
10-20,46.7,75.5,67.0,45.3,70.8,70.8,76.3,43.1,38.7,77.3,54.7,,38.7,43.1,46.7,70.8,76.3,77.3,67.0
10-21,46.5,75.7,66.8,48.2,70.4,70.6,76.6,42.9,38.5,77.8,54.0,,38.5,42.9,48.2,70.6,76.6,77.8,66.8
10-22,46.4,76.1,66.4,50.1,70.5,69.9,77.3,42.6,38.6,78.9,53.7,,38.6,42.6,50.1,70.5,77.3,78.9,66.4
10-23,47.2,76.9,66.2,51.4,70.3,69.6,78.3,42.6,38.4,80.5,53.5,,38.4,42.6,51.4,70.3,78.3,80.5,66.2
10-24,46.1,77.2,66.0,51.4,70.2,69.8,79.4,42.7,38.4,80.8,52.6,,38.4,42.7,51.4,70.2,79.4,80.8,66.0
10-25,45.7,77.3,65.9,50.9,71.8,69.8,79.3,42.8,38.4,83.8,52.3,,38.4,42.8,50.9,71.8,79.3,83.8,65.9
10-26,45.1,77.3,65.6,50.3,72.3,69.5,78.8,42.9,37.7,84.3,52.9,,37.7,42.9,50.3,72.3,78.8,84.3,65.6
10-27,44.9,76.7,65.4,51.3,71.8,69.5,78.9,42.7,37.8,84.5,53.8,,37.8,42.7,51.3,71.8,78.9,84.5,65.4
10-28,44.3,76.1,64.7,50.4,71.7,68.9,79.9,42.2,37.2,84.6,55.4,,37.2,42.2,50.4,71.7,79.9,84.6,64.7
10-29,45.0,75.8,64.2,50.0,72.4,69.1,80.6,41.9,37.4,85.4,55.5,,37.4,41.9,50.0,72.4,80.6,85.4,64.2
10-30,45.2,75.8,64.1,50.2,73.5,69.0,80.1,41.7,37.5,85.4,55.6,,37.5,41.7,50.2,73.5,80.1,85.4,64.1
10-31,45.2,75.7,63.9,50.6,73.6,67.9,79.3,41.6,37.3,85.7,55.7,,37.3,41.6,50.6,73.6,79.3,85.7,63.9
11-01,45.1,75.9,64.0,50.8,78.2,67.7,78.4,41.9,37.5,85.6,55.9,,37.5,41.9,50.8,75.9,78.4,85.6,64.0
11-02,44.9,76.6,63.7,51.2,78.2,67.5,77.9,42.0,37.6,85.4,56.5,,37.6,42.0,51.2,76.6,78.2,85.4,63.7
11-03,45.0,76.8,63.9,53.2,78.8,67.4,78.0,41.7,37.8,85.6,57.2,,37.8,41.7,53.2,76.8,78.8,85.6,63.9
11-04,45.0,76.5,63.6,53.2,78.2,67.2,78.3,41.8,38.2,85.2,57.8,,38.2,41.8,53.2,76.5,78.3,85.2,63.6
11-05,45.1,75.9,63.7,52.6,78.1,66.7,77.6,41.7,38.3,84.9,57.5,,38.3,41.7,52.6,75.9,78.1,84.9,63.7
11-06,45.1,75.8,64.0,52.4,78.0,68.8,77.5,41.9,38.0,84.4,58.6,,38.0,41.9,52.4,75.8,78.0,84.4,64.0
11-07,44.6,75.7,64.4,51.7,77.6,68.5,77.1,42.2,38.5,84.2,60.4,,38.5,42.2,51.7,75.7,77.6,84.2,64.4
11-08,44.5,75.3,64.3,51.8,77.5,68.1,76.6,42.1,38.2,84.1,61.5,,38.2,42.1,51.8,75.3,77.5,84.1,64.3
11-09,44.4,75.4,64.0,51.3,77.1,67.6,75.9,41.9,37.8,83.7,62.1,,37.8,41.9,51.3,75.4,77.1,83.7,64.0
11-10,44.7,75.6,63.8,51.1,76.6,67.5,73.3,41.9,37.7,83.7,62.7,,37.7,41.9,51.1,73.3,76.6,83.7,63.8
11-11,44.2,75.7,63.6,51.0,76.4,67.3,70.2,41.9,37.2,83.8,62.8,,37.2,41.9,51.0,70.2,76.4,83.8,63.6
11-12,44.1,75.7,62.5,51.0,76.0,67.2,67.8,42.0,37.4,83.4,62.7,,37.4,42.0,51.0,67.8,76.0,83.4,62.7
11-13,44.5,75.9,62.1,51.1,75.9,67.0,67.1,41.5,37.3,84.6,62.5,,37.3,41.5,51.1,67.1,75.9,84.6,62.5
11-14,44.7,75.9,61.9,50.7,75.6,66.7,65.9,41.9,36.9,84.8,62.3,,36.9,41.9,50.7,66.7,75.9,84.8,62.3
11-15,44.5,75.7,62.0,50.8,75.3,67.5,65.7,41.8,36.9,84.5,62.3,,36.9,41.8,50.8,67.5,75.7,84.5,62.3
11-16,44.3,75.5,61.9,50.8,75.0,67.6,65.6,41.8,37.2,84.6,62.4,,37.2,41.8,50.8,67.6,75.5,84.6,62.4
11-17,44.4,75.1,61.8,50.4,74.7,67.5,65.7,42.0,37.1,84.6,62.4,,37.1,42.0,50.4,67.5,75.1,84.6,62.4
11-18,46.1,75.1,61.6,50.8,74.5,67.2,65.4,42.0,36.7,84.0,62.4,,36.7,42.0,50.8,67.2,75.1,84.0,62.4
11-19,47.4,74.7,61.6,50.4,74.0,67.0,64.3,41.8,36.6,83.6,62.3,,36.6,41.8,50.4,67.0,74.7,83.6,62.3
11-20,47.7,74.5,61.6,50.7,74.1,67.3,63.0,42.0,39.0,83.1,62.1,,39.0,42.0,50.7,67.3,74.5,83.1,62.1
11-21,47.8,74.6,62.3,51.2,73.7,67.5,62.4,42.0,38.4,82.9,62.1,,38.4,42.0,51.2,67.5,74.6,82.9,62.3
11-22,48.3,74.8,62.1,50.9,74.2,67.4,62.1,42.1,38.0,82.5,61.9,,38.0,42.1,50.9,67.4,74.8,82.5,62.1
11-23,48.6,74.9,62.0,51.3,74.6,68.6,61.8,42.3,37.7,82.1,61.8,,37.7,42.3,51.3,68.6,74.9,82.1,61.8
11-24,48.8,74.9,62.1,51.4,74.3,69.6,61.7,42.3,37.7,81.6,61.6,,37.7,42.3,51.4,69.6,74.9,81.6,61.7
11-25,48.6,75.0,62.0,51.2,74.4,70.5,62.0,42.3,37.8,81.1,61.3,,37.8,42.3,51.2,70.5,75.0,81.1,62.0
11-26,48.3,75.1,62.0,53.3,74.2,70.3,61.9,42.2,37.6,78.0,60.8,,37.6,42.2,53.3,70.3,75.1,78.0,61.9
11-27,47.8,75.5,62.1,52.1,74.1,69.0,61.9,42.3,37.0,76.3,60.5,,37.0,42.3,52.1,69.0,75.5,76.3,61.9
11-28,47.8,75.3,61.8,52.3,73.9,70.0,61.8,42.2,37.3,75.1,60.2,,37.3,42.2,52.3,70.0,75.1,75.3,61.8
11-29,48.4,75.2,62.1,52.8,74.0,70.3,61.9,42.5,37.0,74.3,60.3,,37.0,42.5,52.8,70.3,74.3,75.2,61.9
11-30,48.5,75.1,61.8,53.2,74.0,69.9,62.1,42.3,37.1,74.4,60.2,,37.1,42.3,53.2,69.9,74.4,75.1,61.8
12-01,48.1,75.0,62.1,53.3,73.9,69.5,62.5,42.3,37.1,73.7,60.0,,37.1,42.3,53.3,69.5,73.9,75.0,62.1
12-02,48.4,74.3,62.2,53.2,74.0,68.5,62.9,42.3,37.0,73.3,60.1,,37.0,42.3,53.2,68.5,74.0,74.3,62.2
12-03,48.6,74.1,62.0,52.8,74.3,67.9,63.0,42.4,36.5,73.3,60.1,,36.5,42.4,52.8,67.9,74.1,74.3,62.0
12-04,48.3,76.5,62.2,52.5,74.3,67.8,63.5,42.4,35.3,73.3,60.0,,35.3,42.4,52.5,67.8,74.3,76.5,62.2
12-05,48.4,73.8,62.1,52.5,74.4,67.4,63.5,42.3,35.6,73.1,59.7,,35.6,42.3,52.5,67.4,73.8,74.4,62.1
12-06,48.4,73.7,62.3,52.4,74.5,66.9,63.7,42.3,37.1,72.6,59.8,,37.1,42.3,52.4,66.9,73.7,74.5,62.3
12-07,48.5,73.5,62.4,52.4,74.6,64.8,63.9,42.6,35.1,72.0,60.2,,35.1,42.6,52.4,64.8,73.5,74.6,62.4
12-08,48.5,73.1,62.4,52.3,74.8,65.5,64.2,43.8,35.3,71.9,60.2,,35.3,43.8,52.3,65.5,73.1,74.8,62.4
12-09,48.4,73.1,62.3,52.5,74.7,64.3,64.2,44.2,35.2,71.5,60.1,,35.2,44.2,52.5,64.3,73.1,74.7,62.3
12-10,48.4,73.0,62.2,52.5,74.5,63.1,64.3,44.3,35.2,71.5,60.8,,35.2,44.3,52.5,64.3,73.0,74.5,62.2
12-11,48.3,72.0,62.1,52.6,75.1,61.1,64.5,44.4,35.0,71.6,60.7,,35.0,44.4,52.6,64.5,72.0,75.1,61.1
12-12,48.3,72.9,62.1,53.0,75.5,59.6,64.4,44.9,34.8,71.3,60.7,,34.8,44.9,53.0,64.4,72.9,75.5,60.7
12-13,48.5,72.7,62.1,53.6,75.8,58.8,64.5,45.5,35.1,71.4,60.7,,35.1,45.5,53.6,64.5,72.7,75.8,60.7
12-14,48.2,72.3,62.0,53.4,76.0,57.9,64.8,45.6,35.0,71.1,61.1,,35.0,45.6,53.4,64.8,72.3,76.0,61.1
12-15,48.5,72.5,62.2,53.6,76.6,57.3,64.8,45.8,35.5,71.1,61.4,,35.5,45.8,53.6,64.8,72.5,76.6,61.4
12-16,48.2,72.5,62.0,53.8,76.8,56.1,64.8,45.7,35.3,71.2,61.8,,35.3,45.7,53.8,64.8,72.5,76.8,61.8
12-17,48.2,72.4,62.0,53.9,77.8,55.2,65.0,45.9,35.6,71.1,61.8,,35.6,45.9,53.9,65.0,72.4,77.8,61.8
12-18,48.0,72.1,62.0,54.0,78.1,54.4,65.0,45.8,35.7,70.9,62.3,,35.7,45.8,54.0,65.0,72.1,78.1,62.0
12-19,48.4,72.1,62.0,54.1,78.2,53.1,65.1,45.8,36.1,70.9,62.9,,36.1,45.8,53.1,65.1,72.1,78.2,62.0
12-20,48.3,71.9,62.1,54.3,78.5,52.3,65.0,45.7,36.2,70.7,62.7,,36.2,45.7,52.3,65.0,71.9,78.5,62.1
