date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,18.9,18.4,15.4,41.8,12.9,17.8,19.3,21.1,22.9,30.7,59.4,20.3,20.5,25.9,17.7,17.5,16.2,18.7,21.8,32.8,12.9,16.0,18.0,21.6,32.9,59.4,19.3
10-02,20.2,18.8,15.2,40.7,13.1,17.2,19.0,21.0,22.5,29.8,57.0,20.2,20.6,25.8,17.9,17.7,16.2,18.8,21.5,32.4,13.1,16.0,18.2,21.3,32.0,57.0,20.2
10-03,20.1,18.4,15.1,41.2,12.3,16.7,20.1,20.9,22.5,29.4,55.7,19.9,20.9,25.5,17.5,17.2,16.4,18.5,21.3,32.0,12.3,16.2,17.9,21.2,31.8,55.7,20.1
10-04,19.7,18.5,14.9,40.0,12.5,16.8,18.7,20.5,22.0,28.7,54.4,19.8,20.2,25.3,17.3,17.3,16.0,18.4,21.1,31.7,12.5,15.8,17.7,20.8,30.9,54.4,19.7
10-05,19.7,18.2,15.0,40.0,12.3,16.6,25.4,24.6,21.8,28.0,53.0,19.8,20.0,25.0,25.4,17.2,16.2,18.6,20.7,31.4,12.3,16.0,18.3,24.9,30.4,53.0,20.0
10-06,19.4,17.6,15.0,39.2,15.3,16.3,41.0,36.7,21.8,27.4,51.7,19.1,20.2,24.8,25.1,17.1,16.1,18.2,20.5,31.2,15.0,15.9,17.8,25.0,39.5,51.7,20.2
10-07,18.9,17.7,29.0,38.5,15.3,16.2,43.0,37.1,21.4,27.0,50.2,19.6,19.8,24.9,44.4,17.3,15.8,18.0,20.3,31.1,15.3,16.1,18.4,28.2,43.3,50.2,20.3
10-08,18.6,17.9,27.3,38.0,15.0,15.9,41.0,39.5,20.8,26.7,48.8,19.9,19.7,24.5,45.1,17.2,16.1,17.8,20.0,30.7,15.0,16.0,18.2,27.1,41.8,48.8,20.0
10-09,18.4,17.8,26.5,37.8,15.0,16.0,39.9,39.7,20.8,26.2,47.5,19.8,19.8,24.2,43.7,17.1,15.9,21.0,19.8,30.7,15.0,16.0,18.9,26.4,40.6,47.5,20.8
10-10,17.8,17.8,29.4,37.2,14.7,15.9,38.8,39.5,20.7,25.8,46.3,19.9,19.5,24.2,43.8,17.3,15.8,22.2,19.7,30.4,14.7,15.9,18.5,28.0,40.4,46.3,20.7
10-11,17.8,17.3,28.2,31.3,14.6,15.8,38.0,39.2,20.3,25.3,45.2,20.0,19.9,24.1,42.8,16.5,15.6,22.3,19.4,30.3,14.6,15.8,18.5,27.0,39.9,45.2,20.3
10-12,17.6,17.3,27.4,30.9,14.2,16.0,37.2,38.6,20.0,28.6,43.6,19.8,20.1,23.6,41.9,16.4,15.5,21.8,19.3,29.8,14.2,15.9,18.3,28.1,39.3,43.6,20.1
10-13,17.2,17.2,26.7,29.9,14.0,15.9,36.3,38.1,32.5,27.9,42.2,20.0,19.8,23.9,40.6,16.1,15.4,21.8,19.3,29.5,14.0,15.8,18.0,29.1,38.6,42.2,21.8
10-14,17.1,17.2,27.1,30.0,13.5,15.7,35.5,37.4,32.0,27.3,41.1,19.4,19.7,23.6,39.5,16.3,15.3,22.2,19.4,28.9,13.5,15.6,18.0,29.0,37.8,41.1,22.2
