date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,38.4,33.4,48.8,31.2,25.1,27.1,42.8,46.0,62.9,67.8,44.1,51.8,51.4,31.2,34.4,28.1,40.5,50.6,57.3,25.1,27.8,33.5,48.5,55.1,67.8,41.7
10-02,38.1,33.9,48.9,31.2,24.8,27.4,42.6,45.9,62.4,67.2,43.3,51.8,50.9,31.2,34.0,27.8,40.4,50.2,57.9,24.8,27.6,34.0,48.6,55.0,67.2,41.5
10-03,37.7,33.6,48.4,31.4,24.5,27.1,43.7,45.7,61.7,66.4,42.8,51.4,50.4,31.5,33.7,27.8,40.3,50.2,58.3,24.5,27.6,33.6,48.2,54.5,66.4,41.5
10-04,34.8,33.8,47.9,31.0,24.0,26.7,42.9,45.8,61.3,65.8,42.0,50.6,50.1,32.6,33.6,27.7,39.8,49.9,58.8,24.0,27.4,33.6,47.7,53.8,65.8,40.9
10-05,36.8,35.8,47.8,30.5,24.2,26.6,42.6,45.1,60.5,66.7,41.8,50.0,49.9,36.6,33.5,27.6,39.9,49.7,59.0,24.2,27.3,35.8,47.6,53.1,66.7,40.8
10-06,36.7,41.3,47.4,34.1,24.4,63.8,46.7,44.8,60.0,64.6,42.3,49.5,49.8,36.8,33.7,27.3,39.5,49.3,59.5,24.4,31.7,37.0,49.1,61.1,64.6,43.5
10-07,36.5,51.2,46.4,35.7,24.3,66.2,47.4,44.4,59.5,64.1,43.3,49.2,49.3,42.1,33.2,27.2,39.6,49.1,59.3,24.3,31.4,39.8,49.2,60.9,66.2,45.4
10-08,36.0,50.7,46.6,38.5,23.8,65.0,48.4,44.0,59.2,63.4,43.1,48.5,49.1,40.9,33.2,27.1,39.6,48.8,59.0,23.8,31.4,39.7,48.7,60.5,65.0,45.3
10-09,35.6,50.2,46.5,41.2,23.8,67.6,48.6,43.9,58.7,63.2,43.7,48.1,49.0,41.1,33.1,27.1,46.4,48.4,58.7,23.8,31.3,41.5,48.6,60.1,67.6,46.4
10-10,35.7,49.5,46.3,42.1,23.6,66.8,51.3,43.6,58.4,62.7,43.6,48.0,48.3,42.1,33.1,27.2,46.4,48.3,58.3,23.6,31.3,42.3,48.3,59.7,66.8,46.3
10-11,35.4,50.5,46.3,41.8,23.2,66.8,51.6,43.4,59.7,62.3,43.1,47.8,48.1,43.6,32.4,26.9,46.1,47.6,58.0,23.2,30.7,43.1,48.0,60.5,66.8,46.2
10-12,35.1,51.0,45.7,43.3,23.8,66.2,56.9,43.1,60.2,61.6,43.1,47.6,48.0,46.7,31.9,26.9,45.9,47.7,57.5,23.8,30.4,43.1,47.9,60.7,66.2,46.3
10-13,35.5,50.6,45.7,40.0,23.6,65.5,56.7,44.8,60.0,61.1,43.3,47.2,48.0,47.1,31.7,26.8,46.5,47.1,57.0,23.6,30.2,43.4,47.9,60.3,65.5,46.8
10-14,35.1,50.5,45.2,40.1,23.4,64.7,56.8,47.3,59.6,60.4,42.6,47.0,47.5,47.1,31.7,26.6,48.0,47.1,56.5,23.4,30.2,42.9,48.0,59.9,64.7,47.1
10-15,34.7,57.0,45.3,40.0,23.6,64.0,58.8,48.8,59.6,59.6,42.8,46.2,47.1,46.9,31.9,26.8,49.5,46.8,56.3,23.6,30.4,43.0,49.5,59.6,64.0,46.9
10-16,34.7,57.9,44.7,39.8,23.7,63.6,60.6,48.8,59.4,59.5,42.0,46.3,46.9,47.1,31.6,26.5,50.8,46.4,,23.7,30.1,42.3,50.6,59.8,63.6,46.7
10-17,35.0,58.7,44.5,39.8,23.8,63.2,61.6,48.6,59.4,58.7,42.1,45.8,47.0,46.8,31.9,26.3,53.2,46.2,,23.8,30.2,42.3,52.7,60.0,63.2,46.5
10-18,35.9,59.5,44.6,40.1,23.6,65.8,61.8,48.7,59.5,58.7,42.0,45.8,47.1,47.2,32.1,26.1,54.9,45.9,,23.6,30.3,42.3,54.3,60.2,65.8,46.5
10-19,48.7,59.0,44.1,39.8,23.8,68.5,61.2,48.8,59.0,58.2,53.4,45.2,47.0,47.5,31.7,26.2,54.5,45.6,,23.8,30.1,45.3,54.4,59.7,68.5,48.1
10-20,50.5,58.8,43.8,40.3,24.2,67.3,61.1,48.8,58.9,57.9,55.4,44.6,47.1,47.3,31.8,26.1,54.9,45.3,,24.2,30.1,44.7,55.3,59.6,67.3,48.1
10-21,50.3,58.7,43.2,41.0,23.7,66.4,60.9,48.4,58.9,57.7,59.2,44.3,46.8,47.6,31.5,26.0,54.7,45.0,,23.7,29.9,44.4,57.4,59.7,66.4,48.0
10-22,49.7,58.7,43.1,40.8,25.1,66.8,61.1,48.5,58.8,57.6,61.5,43.6,46.1,49.7,31.1,26.0,54.5,44.7,,25.1,29.6,43.7,57.3,61.2,66.8,49.1
10-23,49.0,58.8,43.2,40.2,24.7,67.2,60.9,48.4,58.6,57.0,61.0,43.6,46.1,55.9,31.1,25.9,54.2,44.5,,24.7,29.6,43.7,56.9,60.9,67.2,48.7
10-24,48.4,58.3,42.9,39.7,24.7,67.6,60.4,48.5,58.5,56.8,59.7,43.3,46.3,56.9,31.1,25.7,54.2,47.8,,24.7,29.5,43.6,56.9,59.9,67.6,48.4
10-25,47.7,58.5,42.8,39.8,24.2,68.7,60.4,47.9,58.6,55.6,58.7,44.9,46.1,56.6,30.8,25.4,54.1,47.7,,24.2,29.2,45.0,56.5,59.2,68.7,47.8
10-26,46.9,58.4,42.9,39.5,24.1,68.8,60.0,47.3,58.7,56.0,58.6,45.3,46.1,56.5,30.7,25.2,57.4,50.8,,24.1,29.0,45.4,57.3,59.1,68.8,49.1
10-27,46.8,58.0,41.9,39.6,23.5,68.0,59.9,46.8,58.6,55.6,58.2,45.4,45.9,56.3,30.8,24.3,59.3,51.8,,23.5,28.8,45.4,57.8,59.5,68.0,49.3
10-28,46.3,58.1,42.3,39.6,24.0,67.7,59.5,46.6,58.7,55.3,57.7,45.5,45.5,57.4,30.3,23.9,59.9,51.2,,23.9,28.4,45.5,57.7,59.6,67.7,48.9
10-29,49.5,57.7,41.9,39.5,22.8,66.6,59.0,46.6,58.4,55.2,57.1,45.6,45.7,58.0,29.9,23.9,60.8,50.9,,22.8,28.1,45.6,57.7,59.6,66.6,50.2
10-30,49.3,57.5,42.9,39.3,22.5,66.2,58.4,46.3,58.2,54.5,57.9,45.7,45.5,58.1,28.9,24.1,61.3,50.7,,22.5,27.5,45.5,57.9,59.3,66.2,50.0
10-31,49.0,56.8,42.9,36.0,22.6,66.2,58.6,45.9,59.5,54.5,57.6,47.0,45.3,58.0,27.9,24.1,61.3,50.6,,22.6,26.8,45.3,57.6,60.1,66.2,49.8
11-01,48.3,56.3,42.3,39.3,22.4,66.0,58.1,45.9,60.4,54.0,57.7,45.6,45.4,57.4,27.4,24.2,61.3,50.6,,22.4,26.5,45.4,57.2,60.7,66.0,49.4
11-02,45.0,56.1,41.9,35.9,22.6,65.9,57.8,45.8,60.4,53.7,58.0,44.8,44.8,56.9,27.5,24.2,61.2,50.8,,22.6,26.5,44.8,56.9,60.7,65.9,48.3
11-03,47.7,55.8,41.7,40.9,22.8,65.4,57.6,46.1,60.6,53.4,57.6,44.9,45.2,56.7,27.8,24.3,61.5,50.8,,22.8,26.8,44.9,56.6,60.9,65.4,49.2
11-04,47.6,55.6,41.3,40.5,22.5,65.2,57.2,45.3,60.7,53.4,57.7,44.3,44.9,56.4,27.9,24.3,61.2,50.7,,22.5,26.8,44.3,56.4,60.9,65.2,49.1
11-05,47.0,55.9,40.6,40.5,26.4,65.2,56.9,45.1,61.0,53.7,57.4,44.3,44.8,56.4,27.9,24.5,60.8,51.0,,24.5,27.4,44.4,56.3,60.8,65.2,49.0
11-06,46.5,55.6,41.1,39.8,27.6,65.3,56.5,45.3,60.9,54.3,57.5,44.4,44.7,56.1,28.1,24.5,60.4,51.7,,24.5,28.0,44.4,56.0,60.5,65.3,49.1
11-07,46.0,55.4,40.5,39.9,27.6,65.1,56.3,44.8,61.5,54.7,57.0,44.7,44.5,55.6,27.9,24.7,60.0,52.3,,24.7,27.8,44.5,55.6,60.5,65.1,49.1
11-08,45.8,55.2,40.3,39.5,27.5,64.8,56.0,45.3,61.1,54.9,57.2,44.4,44.1,55.4,27.8,24.0,59.8,52.6,,24.0,27.7,44.1,55.4,60.2,64.8,49.2
11-09,45.6,55.3,39.5,39.7,27.0,64.3,56.1,44.6,61.3,54.3,57.2,43.9,43.6,54.8,27.9,23.8,59.6,54.1,,23.8,27.7,43.7,55.3,60.1,64.3,49.8
11-10,45.5,54.7,39.8,40.1,26.6,64.2,56.5,47.5,61.2,54.4,56.9,43.8,43.7,54.4,27.5,23.6,59.3,59.7,,23.6,27.2,43.7,56.3,60.2,64.2,50.9
11-11,45.9,54.2,39.7,39.9,26.7,63.8,55.5,47.9,61.3,53.8,56.9,43.7,43.5,53.2,27.7,23.5,59.0,59.5,,23.5,27.4,43.6,55.4,60.0,63.8,50.6
