date,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,35.8,59.4,60.1,55.5,72.0,51.7,53.9,52.5,48.7,58.0,52.7,82.9,85.3,41.1,61.2,65.5,34.6,61.3,34.0,59.8,60.8,67.8,34.0,35.8,52.5,60.8,72.0,85.3,58.0
10-02,35.7,59.3,60.1,55.7,72.0,51.7,54.1,52.4,50.0,58.0,52.8,82.0,84.4,40.4,60.7,64.7,34.2,59.3,33.6,59.6,60.4,67.8,33.6,35.7,52.4,60.1,72.0,84.4,58.0
10-03,65.8,59.4,60.1,55.7,72.2,52.1,53.7,52.1,48.5,58.4,52.4,75.9,83.5,41.6,60.3,64.4,41.1,58.3,33.8,59.0,59.3,68.5,33.8,41.6,52.4,60.1,72.2,83.5,58.4
10-04,66.2,58.9,60.0,55.3,72.2,53.4,53.6,51.7,48.6,58.0,53.2,76.1,77.9,42.2,66.4,64.2,40.5,58.3,33.5,59.0,57.8,69.3,33.5,42.2,53.4,60.0,72.2,77.9,58.0
10-05,66.6,58.8,59.8,55.2,73.4,53.3,53.8,52.3,48.4,57.9,52.2,75.2,76.3,42.3,66.2,63.6,40.7,58.9,33.1,58.8,57.4,70.5,33.1,42.3,53.3,59.8,73.4,76.3,57.9
10-06,66.2,58.9,59.6,54.8,77.7,54.8,53.1,51.0,48.3,57.4,52.9,75.7,75.6,42.6,61.4,63.2,40.9,57.9,33.3,58.4,57.0,70.6,33.3,42.6,53.1,59.6,75.6,77.7,57.4
10-07,66.1,58.6,59.4,55.2,79.3,54.9,52.7,50.8,49.8,57.1,52.3,76.0,75.5,43.8,65.3,62.7,40.2,58.0,32.8,58.7,56.6,70.4,32.8,43.8,52.7,59.4,75.5,79.3,57.1
10-08,66.6,58.9,59.3,55.1,80.0,55.7,53.7,50.4,49.2,57.6,51.9,75.2,75.4,44.3,65.3,62.6,40.1,57.8,32.4,58.9,56.6,70.4,32.4,44.3,53.7,59.3,75.2,80.0,57.6
10-09,66.1,58.8,59.5,55.1,79.5,59.3,54.2,52.0,48.9,57.5,52.2,74.7,74.8,43.9,60.0,62.1,40.5,57.8,32.4,58.9,56.4,55.3,32.4,43.9,54.2,59.5,74.7,79.5,57.8
10-10,66.1,58.9,59.4,54.7,78.7,63.8,22.5,51.0,49.2,57.6,52.6,74.3,74.6,43.9,59.1,62.2,41.4,57.9,32.6,59.3,52.1,70.0,22.5,41.4,52.1,59.4,74.3,78.7,57.9
10-11,66.1,58.4,59.6,54.7,80.4,65.3,53.7,50.8,48.8,59.8,52.4,74.0,74.7,43.7,58.6,62.2,42.1,57.7,32.5,59.7,49.3,69.7,32.5,43.7,52.4,59.8,74.0,80.4,58.4
10-12,66.2,58.2,59.3,54.8,80.8,65.8,52.9,51.5,49.6,67.7,53.4,75.4,73.8,44.0,57.9,62.6,43.6,57.5,32.4,59.6,48.2,69.8,32.4,44.0,52.9,62.6,73.8,80.8,57.9
10-13,66.3,58.1,59.3,54.6,80.8,65.4,51.8,50.6,50.7,71.9,52.6,75.7,73.8,43.7,58.5,62.3,46.1,57.4,33.8,59.5,47.6,70.2,33.8,46.1,51.8,62.3,73.8,80.8,58.1
10-14,66.2,57.7,59.1,54.7,80.4,65.8,53.2,52.3,50.7,74.1,52.9,76.2,74.0,43.5,57.8,61.9,48.4,57.9,33.7,59.5,47.4,73.1,33.7,47.4,52.9,61.9,74.1,80.4,57.8
10-15,66.5,57.5,59.1,54.8,80.1,67.0,53.3,52.3,50.6,74.8,53.3,75.9,74.8,43.4,57.1,61.7,47.0,58.1,33.4,59.6,47.3,73.2,33.4,47.0,53.3,61.7,74.8,80.1,57.5
10-16,66.7,57.8,59.1,54.9,80.4,66.4,52.9,51.0,50.1,74.7,52.9,75.7,75.1,43.4,58.8,61.3,45.8,57.5,33.3,59.5,46.6,,33.3,45.8,52.9,61.3,75.1,80.4,57.8
10-17,66.6,57.5,59.0,54.8,80.1,66.6,52.7,51.3,50.4,74.7,52.9,75.8,74.5,43.1,59.0,61.5,46.1,58.0,33.1,60.1,46.9,,33.1,46.1,52.7,61.5,74.7,80.1,58.0
10-18,66.2,57.6,58.9,54.9,79.5,67.1,52.9,51.4,50.8,75.9,52.6,75.7,73.8,43.8,59.1,61.7,45.7,58.0,32.8,59.9,46.5,,32.8,45.7,52.6,61.7,75.7,79.5,58.0
10-19,44.0,57.6,58.6,55.2,80.1,67.4,52.8,51.7,49.7,75.8,52.9,75.6,74.0,43.8,58.8,61.2,45.5,58.3,32.8,59.4,46.2,,32.8,44.0,51.7,59.4,75.6,80.1,57.6
10-20,66.6,57.3,58.6,56.5,80.1,68.6,53.2,52.4,50.0,75.5,53.4,75.2,73.7,43.6,58.6,61.1,45.7,58.1,32.8,59.6,46.5,,32.8,45.7,53.2,61.1,75.2,80.1,58.1
10-21,67.0,57.4,58.7,56.2,80.4,69.5,52.6,52.0,50.3,75.3,53.6,75.1,73.5,45.3,64.5,61.4,45.4,58.1,32.8,59.6,46.4,,32.8,45.4,52.6,64.5,75.1,80.4,58.1
10-22,66.4,57.5,58.6,56.2,80.6,69.9,52.4,50.5,50.6,75.0,53.3,74.5,73.6,46.0,66.2,61.3,48.7,57.6,32.8,59.8,46.4,,32.8,46.4,52.4,66.2,74.5,80.6,57.6
10-23,66.3,57.2,59.2,56.3,80.6,72.2,52.0,51.9,50.2,74.2,54.4,74.3,73.3,45.4,66.5,60.8,52.0,58.9,32.9,59.9,46.3,,32.9,46.3,52.0,66.3,74.2,80.6,58.9
10-24,66.2,57.4,64.5,56.4,80.6,72.4,52.5,52.0,49.9,74.3,54.7,74.3,73.4,45.3,66.2,60.8,51.2,58.8,32.5,59.6,46.3,,32.5,46.3,52.5,66.2,74.3,80.6,58.8
10-25,65.6,57.0,67.2,56.5,80.7,72.7,52.4,52.3,49.5,73.9,54.5,74.4,73.7,45.7,68.0,60.9,47.0,59.2,32.6,59.8,46.4,,32.6,46.4,52.4,67.2,73.9,80.7,59.2
10-26,66.2,57.0,68.0,56.4,80.6,72.5,53.1,51.1,49.0,74.0,53.3,74.2,73.6,44.9,68.0,60.2,46.4,58.2,32.6,61.5,46.7,,32.6,46.4,53.1,68.0,74.0,80.6,58.2
10-27,65.7,56.5,68.9,56.2,80.5,72.4,53.1,51.4,49.6,73.8,53.3,73.5,73.4,45.1,65.8,60.4,45.9,61.8,31.8,61.4,46.5,,31.8,45.9,53.1,65.8,73.5,80.5,60.4
10-28,65.4,56.7,69.9,56.3,80.4,72.1,53.0,50.6,50.7,73.8,53.7,73.3,73.0,45.6,61.6,60.0,46.4,62.0,32.4,61.1,46.5,,32.4,46.4,53.0,65.4,73.3,80.4,60.0
10-29,66.7,56.5,71.2,56.3,80.3,71.9,52.6,51.3,49.3,73.1,54.0,73.2,73.8,44.8,62.0,60.4,46.5,62.0,33.1,65.5,46.6,,33.1,46.5,52.6,66.7,73.2,80.3,60.4
10-30,66.5,56.6,72.3,56.0,80.4,71.6,52.7,50.7,49.8,73.1,53.5,73.6,72.9,44.9,64.3,59.1,46.1,61.9,33.0,67.7,46.0,,33.0,46.0,52.7,67.7,73.1,80.4,59.1
10-31,66.4,56.5,73.0,55.8,72.1,71.4,53.0,51.3,50.9,72.8,53.7,73.0,72.6,44.5,66.8,59.6,45.9,61.0,32.9,67.6,46.2,,32.9,45.9,53.0,67.6,72.8,73.0,59.6
11-01,67.1,56.0,73.4,55.5,80.0,71.6,52.0,51.2,56.7,72.2,54.5,73.1,73.1,45.1,68.8,59.2,44.4,60.8,33.0,67.9,46.0,,33.0,45.1,54.5,68.8,73.1,80.0,59.2
