date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,34.9,63.3,68.0,35.6,55.3,36.9,21.1,22.7,22.7,42.4,41.7,34.9,21.1,22.7,34.9,42.4,63.3,68.0,36.9
10-02,30.6,62.9,69.4,35.2,55.5,36.5,22.0,22.5,22.3,43.4,43.3,36.6,22.0,22.3,30.6,43.4,62.9,69.4,36.5
10-03,30.3,62.2,68.5,34.6,55.9,36.3,26.1,22.0,22.4,43.4,45.9,38.8,22.0,22.4,30.3,45.9,62.2,68.5,36.3
10-04,30.0,63.6,67.5,34.2,56.5,36.1,29.7,21.8,22.2,43.8,46.4,38.8,21.8,22.2,30.0,46.4,63.6,67.5,36.1
10-05,30.4,61.6,66.9,33.5,58.4,36.1,38.2,21.7,22.2,43.5,46.6,38.7,21.7,22.2,33.5,46.6,61.6,66.9,38.2
10-06,29.8,61.7,66.5,50.9,58.2,36.1,40.8,21.6,22.2,43.8,46.7,39.0,21.6,22.2,36.1,50.9,61.7,66.5,43.8
10-07,29.5,61.7,66.1,49.7,57.9,35.7,47.4,21.5,22.2,44.8,47.3,38.8,21.5,22.2,35.7,49.7,61.7,66.1,47.3
10-08,29.2,61.8,65.6,48.7,57.3,35.6,52.5,21.3,22.0,45.7,48.2,39.0,21.3,22.0,35.6,52.5,61.8,65.6,48.2
10-09,28.9,61.8,65.2,47.8,57.1,35.3,53.2,21.2,22.3,54.0,48.2,38.8,21.2,22.3,35.3,54.0,61.8,65.2,48.2
10-10,28.6,61.6,66.1,47.4,57.5,34.6,53.7,20.9,21.8,54.1,48.2,38.7,20.9,21.8,34.6,54.1,61.6,66.1,48.2
10-11,28.6,62.8,65.6,46.9,57.0,34.7,55.1,20.6,21.7,53.5,48.2,38.5,20.6,21.7,34.7,55.1,62.8,65.6,48.2
10-12,28.7,64.8,65.3,46.3,57.0,34.6,56.6,20.4,21.5,53.2,48.1,38.3,20.4,21.5,34.6,56.6,64.8,65.3,48.1
10-13,31.0,67.3,64.6,45.9,55.4,34.6,59.3,20.0,21.2,53.3,47.8,37.9,20.0,21.2,34.6,55.4,64.6,67.3,47.8
10-14,30.7,68.4,64.1,45.3,56.4,34.3,60.3,20.3,21.3,54.0,47.6,37.8,20.3,21.3,34.3,56.4,64.1,68.4,47.6
10-15,30.9,68.6,63.7,45.0,55.9,33.8,59.4,20.3,21.3,54.2,47.3,37.4,20.3,21.3,33.8,55.9,63.7,68.6,47.3
10-16,30.5,68.3,61.8,44.5,55.6,33.5,58.7,20.4,20.8,54.5,47.0,,20.4,20.8,33.5,55.6,61.8,68.3,47.0
10-17,30.6,68.3,61.1,44.2,55.5,33.2,58.2,20.3,20.6,57.4,46.9,,20.3,20.6,33.2,57.4,61.1,68.3,46.9
10-18,30.4,68.2,60.5,43.9,58.1,33.2,58.3,20.2,20.7,61.2,46.7,,20.2,20.7,33.2,58.3,61.2,68.2,46.7
10-19,29.8,68.2,60.0,49.2,54.5,33.3,59.0,20.2,20.9,65.6,46.5,,20.2,20.9,33.3,59.0,65.6,68.2,49.2
10-20,30.0,68.0,61.0,57.1,54.0,33.2,60.6,20.3,20.6,66.4,46.2,,20.3,20.6,33.2,60.6,66.4,68.0,54.0
10-21,30.1,68.3,60.6,58.2,53.6,33.0,63.0,19.8,20.5,67.5,45.8,,19.8,20.5,33.0,60.6,67.5,68.3,53.6
10-22,30.2,68.5,60.0,62.9,53.2,32.7,64.2,19.5,20.4,68.6,45.9,,19.5,20.4,32.7,62.9,68.5,68.6,53.2
10-23,30.2,68.5,59.7,68.4,53.1,32.3,69.6,19.8,20.2,68.1,45.6,,19.8,20.2,32.3,68.1,68.5,69.6,53.1
10-24,30.4,67.9,59.1,67.0,53.0,32.5,68.8,20.0,20.2,67.2,46.2,,20.0,20.2,32.5,67.0,67.9,68.8,53.0
10-25,29.7,67.6,58.8,68.2,53.6,32.0,69.6,19.4,20.1,66.6,45.8,,19.4,20.1,32.0,66.6,68.2,69.6,53.6
10-26,29.3,67.4,58.7,68.1,55.6,31.9,69.4,19.5,19.7,66.0,45.9,,19.5,19.7,31.9,66.0,68.1,69.4,55.6
10-27,29.3,66.9,58.1,70.6,55.9,31.7,69.2,19.5,19.1,68.0,45.8,,19.1,19.5,31.7,66.9,69.2,70.6,55.9
10-28,28.6,66.6,57.8,69.4,55.6,31.3,69.2,19.1,18.9,67.6,45.7,,18.9,19.1,31.3,66.6,69.2,69.4,55.6
10-29,28.8,66.2,57.1,68.5,55.8,31.3,69.1,18.8,19.2,68.4,45.6,,18.8,19.2,31.3,66.2,68.5,69.1,55.8
10-30,28.9,65.8,56.8,68.3,55.9,31.1,68.3,19.0,19.2,69.0,45.5,,19.0,19.2,31.1,65.8,68.3,69.0,55.9
10-31,29.2,65.7,56.5,68.4,55.9,30.9,68.0,18.8,18.9,69.5,45.5,,18.8,18.9,30.9,65.7,68.4,69.5,55.9
11-01,29.0,65.8,56.2,68.4,55.9,30.8,67.4,18.5,18.9,69.1,45.4,,18.5,18.9,30.8,65.8,68.4,69.1,55.9
11-02,29.1,66.2,56.4,68.5,55.8,30.6,66.8,18.2,18.8,68.4,45.9,,18.2,18.8,30.6,66.2,68.4,68.5,55.8
11-03,28.9,66.2,56.4,67.8,55.1,30.6,66.7,18.4,19.7,67.8,46.9,,18.4,19.7,30.6,66.2,67.8,67.8,55.1
11-04,28.5,65.9,56.5,68.0,55.1,30.6,66.2,18.5,20.3,67.2,47.3,,18.5,20.3,30.6,65.9,67.2,68.0,55.1
11-05,28.7,66.0,56.1,67.9,55.5,30.1,65.8,18.7,20.4,66.6,47.7,,18.7,20.4,30.1,65.8,66.6,67.9,55.5
11-06,28.7,65.9,55.9,68.1,55.7,29.9,65.6,18.5,20.5,66.1,48.2,,18.5,20.5,29.9,65.6,66.1,68.1,55.7
11-07,28.6,65.5,55.9,68.6,55.8,29.8,65.0,18.8,20.6,65.7,48.7,,18.8,20.6,29.8,65.0,65.7,68.6,55.8
11-08,28.8,65.6,56.7,68.8,55.6,29.6,64.3,18.8,22.0,65.2,49.4,,18.8,22.0,29.6,64.3,65.6,68.8,55.6
11-09,28.3,65.6,57.1,68.7,55.5,29.3,64.0,18.5,23.0,64.9,50.2,,18.5,23.0,29.3,64.0,65.6,68.7,55.5
11-10,28.8,69.1,57.7,68.7,55.1,29.3,62.7,18.6,22.8,64.4,50.6,,18.6,22.8,29.3,62.7,68.7,69.1,55.1
11-11,28.5,66.5,57.9,68.8,55.1,29.1,62.0,18.8,22.7,64.4,51.2,,18.8,22.7,29.1,62.0,66.5,68.8,55.1
11-12,27.8,63.9,57.9,69.0,55.0,29.1,61.6,18.5,22.8,64.3,51.3,,18.5,22.8,29.1,61.6,64.3,69.0,55.0
11-13,28.0,66.6,58.3,69.2,54.8,28.9,59.3,18.2,22.5,64.4,51.1,,18.2,22.5,28.9,59.3,66.6,69.2,54.8
11-14,28.0,66.3,58.2,69.2,54.5,29.0,57.1,18.3,22.5,64.3,51.2,,18.3,22.5,29.0,58.2,66.3,69.2,54.5
11-15,27.8,66.1,58.0,69.6,54.2,28.9,56.4,18.5,22.2,64.2,51.2,,18.5,22.2,28.9,58.0,66.1,69.6,54.2
11-16,28.1,65.6,58.0,69.4,54.1,28.8,55.7,18.6,22.4,64.3,51.1,,18.6,22.4,28.8,58.0,65.6,69.4,54.1
11-17,28.1,65.4,57.8,69.5,54.0,28.8,55.8,18.9,22.3,64.3,50.9,,18.9,22.3,28.8,57.8,65.4,69.5,54.0
11-18,28.0,65.2,57.6,69.8,53.8,28.6,55.2,18.6,22.2,63.8,50.8,,18.6,22.2,28.6,57.6,65.2,69.8,53.8
11-19,27.9,65.0,57.0,69.8,53.5,28.3,53.9,18.7,22.4,63.4,50.7,,18.7,22.4,28.3,57.0,65.0,69.8,53.5
11-20,28.2,64.8,56.1,69.6,53.2,28.2,51.5,18.9,23.1,63.0,50.6,,18.9,23.1,28.2,56.1,64.8,69.6,51.5
11-21,27.9,64.3,55.3,69.5,53.5,28.1,50.2,23.7,23.3,62.8,50.5,,23.3,23.7,28.1,55.3,64.3,69.5,50.5
11-22,27.9,64.4,54.4,69.5,56.4,28.2,49.4,23.4,23.8,62.7,50.2,,23.4,23.8,28.2,56.4,64.4,69.5,50.2
11-23,28.0,64.3,53.7,69.4,56.7,28.0,49.7,23.1,24.0,62.1,50.1,,23.1,24.0,28.0,56.7,64.3,69.4,50.1
11-24,28.2,64.2,53.6,69.0,56.9,28.4,49.3,23.2,23.8,62.0,50.0,,23.2,23.8,28.4,56.9,64.2,69.0,50.0
11-25,27.9,64.1,53.5,68.9,56.8,28.4,49.0,22.8,23.9,61.4,49.8,,22.8,23.9,28.4,56.8,64.1,68.9,49.8
11-26,28.0,63.9,52.9,68.8,57.1,28.5,47.5,23.2,23.5,60.3,49.4,,23.2,23.5,28.5,57.1,63.9,68.8,49.4
11-27,27.6,63.9,53.3,68.8,57.0,28.2,46.8,23.4,23.0,58.9,49.3,,23.0,23.4,28.2,57.0,63.9,68.8,49.3
11-28,27.0,63.9,52.9,68.5,56.8,28.3,46.5,23.1,23.1,58.2,49.2,,23.1,23.1,28.3,56.8,63.9,68.5,49.2
11-29,26.4,63.7,52.9,68.3,56.8,28.2,46.6,23.3,22.5,58.2,49.0,,22.5,23.3,28.2,56.8,63.7,68.3,49.0
11-30,26.4,63.8,52.7,68.1,56.9,28.3,46.9,23.2,22.4,58.2,48.9,,22.4,23.2,28.3,56.9,63.8,68.1,48.9
12-01,26.4,63.6,52.6,68.0,56.6,28.0,46.8,23.1,22.1,57.9,48.5,,22.1,23.1,28.0,56.6,63.6,68.0,48.5
12-02,26.8,63.2,52.5,67.8,56.6,27.8,46.8,23.5,21.2,57.7,48.3,,21.2,23.5,27.8,56.6,63.2,67.8,48.3
12-03,26.5,63.0,52.2,67.7,56.6,27.5,46.6,23.3,19.5,57.8,48.2,,19.5,23.3,27.5,56.6,63.0,67.7,48.2
12-04,26.6,62.9,51.7,67.3,56.0,27.5,47.0,23.4,19.4,57.5,48.1,,19.4,23.4,27.5,56.0,62.9,67.3,48.1
12-05,26.3,62.8,54.8,67.3,56.1,27.0,46.8,23.4,19.4,57.5,48.2,,19.4,23.4,27.0,56.1,62.8,67.3,48.2
12-06,26.5,62.9,55.0,67.2,56.2,26.1,46.6,23.5,19.3,56.8,48.2,,19.3,23.5,26.5,56.2,62.9,67.2,48.2
12-07,27.4,62.7,55.1,67.1,55.7,24.7,46.8,23.8,19.2,56.4,48.3,,19.2,23.8,27.4,55.7,62.7,67.1,48.3
12-08,27.6,62.5,55.1,66.9,55.4,23.5,46.8,24.0,19.1,56.5,48.1,,19.1,23.5,27.6,55.4,62.5,66.9,48.1
12-09,27.4,62.5,54.5,66.7,54.7,23.3,46.7,23.6,18.9,56.0,48.0,,18.9,23.3,27.4,54.7,62.5,66.7,48.0
12-10,26.7,62.1,53.6,66.9,55.2,22.8,46.6,23.9,18.9,56.1,48.0,,18.9,22.8,26.7,55.2,62.1,66.9,48.0
12-11,25.0,62.0,52.8,66.7,54.8,22.1,46.6,24.1,18.7,56.1,48.1,,18.7,22.1,25.0,54.8,62.0,66.7,48.1
12-12,24.0,61.8,52.9,66.5,54.7,22.4,46.5,24.7,18.5,56.1,47.9,,18.5,22.4,24.7,54.7,61.8,66.5,47.9
12-13,24.4,61.7,53.0,66.5,54.6,22.5,46.5,25.2,18.3,56.0,48.0,,18.3,22.5,25.2,54.6,61.7,66.5,48.0
12-14,23.8,61.6,53.0,66.4,54.1,22.4,46.1,25.5,18.1,55.9,47.9,,18.1,22.4,25.5,54.1,61.6,66.4,47.9
12-15,23.8,61.3,53.2,66.4,53.8,22.5,45.8,25.5,18.2,55.9,48.1,,18.2,22.5,25.5,53.8,61.3,66.4,48.1
12-16,24.4,60.7,53.2,66.2,53.8,22.2,45.5,25.6,18.4,56.0,48.0,,18.4,22.2,25.6,53.8,60.7,66.2,48.0
12-17,24.3,60.5,53.0,66.1,54.2,22.3,45.3,25.9,18.0,56.2,48.0,,18.0,22.3,25.9,54.2,60.5,66.1,48.0
12-18,24.6,60.0,52.9,66.0,54.5,21.6,45.2,25.9,18.0,56.1,47.8,,18.0,21.6,25.9,54.5,60.0,66.0,47.8
12-19,24.7,60.1,52.7,65.9,55.0,21.1,45.1,26.0,18.2,56.0,47.7,,18.2,21.1,26.0,55.0,60.1,65.9,47.7
12-20,25.1,60.0,52.5,65.9,54.5,20.9,44.9,25.8,18.1,56.0,47.7,,18.1,20.9,25.8,54.5,60.0,65.9,47.7
12-21,24.9,59.7,52.5,65.8,54.1,20.9,44.9,25.8,18.2,55.6,47.6,,18.2,20.9,25.8,54.1,59.7,65.8,47.6
12-22,25.2,59.8,52.4,66.0,54.1,21.1,44.6,26.1,18.1,55.7,47.2,,18.1,21.1,26.1,54.1,59.8,66.0,47.2
12-23,24.8,59.4,52.5,66.1,54.2,21.0,44.4,25.8,18.2,55.5,47.1,,18.2,21.0,25.8,54.2,59.4,66.1,47.1
12-24,24.8,59.3,52.1,65.9,54.4,21.0,44.3,26.0,17.9,55.1,47.1,,17.9,21.0,26.0,54.4,59.3,65.9,47.1
12-25,24.9,59.1,52.0,65.9,54.5,21.0,44.3,25.9,17.7,55.3,47.1,,17.7,21.0,25.9,54.5,59.1,65.9,47.1
12-26,25.3,58.8,51.8,66.2,54.8,21.2,43.9,25.8,17.7,55.4,47.2,,17.7,21.2,25.8,54.8,58.8,66.2,47.2
12-27,25.2,58.7,51.9,66.1,55.0,21.1,44.0,26.2,17.2,55.5,47.2,,17.2,21.1,26.2,55.0,58.7,66.1,47.2
12-28,25.4,58.5,51.6,66.1,55.2,21.1,44.0,25.8,17.4,55.8,47.2,,17.4,21.1,25.8,55.2,58.5,66.1,47.2
12-29,25.1,58.5,51.5,66.0,55.5,20.7,43.9,25.8,17.5,55.9,47.2,,17.5,20.7,25.8,55.5,58.5,66.0,47.2
12-30,25.6,58.0,51.5,65.9,55.6,20.5,43.6,26.1,17.9,56.0,47.4,,17.9,20.5,26.1,55.6,58.0,65.9,47.4
12-31,25.8,57.8,51.4,65.9,55.6,20.8,43.3,26.2,17.5,56.3,47.4,,17.5,20.8,26.2,55.6,57.8,65.9,47.4
01-01,25.7,57.5,51.4,65.8,56.0,20.7,43.3,25.9,17.7,56.3,47.4,,17.7,20.7,25.9,56.0,57.5,65.8,47.4
01-02,25.7,57.5,51.1,65.5,56.0,20.6,43.0,26.3,17.6,56.3,47.4,,17.6,20.6,26.3,56.0,57.5,65.5,47.4
01-03,26.0,57.3,51.2,65.2,56.2,20.3,42.8,26.1,17.6,56.5,47.6,,17.6,20.3,26.1,56.2,57.3,65.2,47.6
01-04,25.9,57.1,51.0,65.2,56.5,19.4,42.8,26.1,17.9,56.5,47.7,,17.9,19.4,26.1,56.5,57.1,65.2,47.7
01-05,25.2,57.2,51.0,65.2,56.3,19.0,42.7,26.2,17.6,56.5,47.8,,17.6,19.0,26.2,56.3,57.2,65.2,47.8
01-06,26.0,56.6,50.9,65.3,56.4,19.2,42.8,26.3,17.9,56.6,47.7,,17.9,19.2,26.3,56.4,56.6,65.3,47.7
