date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,25.7,31.2,26.1,46.4,20.4,21.7,23.1,33.1,39.0,55.0,64.7,37.2,41.0,39.7,23.5,24.2,22.9,31.5,39.5,48.6,20.4,22.7,24.8,39.3,48.1,64.7,31.5
10-02,28.6,31.3,26.3,45.6,20.5,21.3,23.2,32.9,38.7,54.3,63.1,36.4,41.1,39.4,23.5,23.9,22.8,31.3,39.1,48.7,20.5,22.5,24.9,38.9,47.3,63.1,31.3
10-03,28.1,31.0,26.1,45.5,20.5,20.9,23.9,33.7,38.5,53.7,62.1,35.9,40.9,38.9,23.4,23.6,22.8,31.1,38.6,49.0,20.5,22.4,24.8,38.6,47.1,62.1,31.1
10-04,27.7,28.7,26.1,44.8,20.4,20.8,22.7,32.9,38.2,53.1,61.3,35.2,40.0,38.8,23.0,23.6,22.6,30.7,38.7,49.1,20.4,22.3,24.6,38.5,46.5,61.3,30.7
10-05,27.8,30.4,27.1,44.8,19.8,20.8,28.0,34.6,37.8,52.4,61.1,35.0,39.5,38.6,28.6,23.6,22.7,30.9,38.6,49.0,19.8,22.3,27.9,38.2,46.3,61.1,30.9
10-06,28.0,30.0,29.7,44.0,22.5,20.8,60.1,42.6,37.4,51.9,59.6,35.1,39.2,38.4,29.4,23.7,22.3,31.2,38.3,48.8,20.8,22.5,29.5,38.8,53.4,60.1,35.1
10-07,27.5,30.1,46.1,43.0,24.0,20.6,59.9,43.4,36.9,51.5,58.7,35.9,38.7,38.0,40.9,23.3,22.3,31.0,38.0,48.5,20.6,23.1,30.5,42.1,53.0,59.9,38.0
10-08,27.1,30.0,45.1,42.9,26.1,20.2,58.0,45.2,36.6,51.2,57.9,35.8,38.3,37.8,40.7,23.4,22.2,30.9,37.7,48.1,20.2,23.2,30.4,42.0,52.5,58.0,37.7
10-09,27.0,29.7,44.4,42.7,28.0,20.2,57.4,45.4,36.4,50.8,57.2,36.2,38.1,37.4,41.4,23.3,22.2,38.4,37.4,47.9,20.2,23.1,32.3,42.2,52.1,57.4,37.4
10-10,26.6,29.7,45.2,42.4,28.5,20.1,56.4,47.3,36.0,50.3,56.5,36.3,37.7,37.0,42.6,23.3,22.1,39.8,37.3,47.5,20.1,23.1,32.2,42.5,51.5,56.5,37.3
10-11,26.1,29.3,45.5,39.9,28.2,19.8,56.1,47.3,35.9,51.0,55.8,35.9,37.7,36.9,43.7,22.6,21.9,39.5,36.7,47.3,19.8,22.4,31.9,42.2,52.0,56.1,36.9
10-12,25.9,29.2,45.5,39.4,27.6,20.3,55.4,50.2,35.5,53.1,54.9,35.6,37.7,36.6,45.8,22.3,21.9,39.2,36.7,46.7,20.3,22.2,31.7,43.0,53.4,55.4,36.7
10-13,25.8,29.3,44.9,38.8,26.9,20.2,54.3,49.9,40.9,52.7,54.0,36.0,37.2,36.7,45.7,22.1,21.8,39.7,36.4,46.3,20.2,22.0,32.0,43.3,53.0,54.3,37.2
10-14,25.6,29.2,45.1,38.6,26.8,19.7,53.4,49.5,42.5,52.3,53.2,35.3,36.9,36.3,45.3,22.2,21.6,41.4,36.3,45.8,19.7,22.1,31.6,44.0,52.5,53.4,36.9
10-15,25.4,29.0,50.7,38.4,27.3,19.9,52.6,51.6,44.7,52.2,52.3,35.4,36.3,35.9,44.8,22.2,21.8,42.7,36.0,45.6,19.9,22.1,31.6,44.8,52.2,52.6,36.3
10-16,25.5,29.1,52.6,38.0,27.5,20.2,52.1,52.5,44.8,52.0,52.5,34.8,36.4,35.9,45.0,22.1,21.5,45.2,35.8,,20.2,22.0,31.3,45.1,52.5,52.6,36.4
10-17,25.1,30.4,52.7,37.5,27.8,20.2,51.5,52.8,44.3,51.7,51.7,34.7,36.1,35.8,44.9,22.0,21.4,47.5,35.6,,20.2,21.9,32.2,46.5,51.9,52.8,36.1
10-18,29.9,31.1,54.8,37.5,27.7,20.0,54.1,52.8,44.0,51.7,51.4,34.4,35.9,35.9,45.6,22.5,21.2,49.1,35.2,,20.0,22.2,32.4,47.7,53.0,54.8,35.9
10-19,30.8,42.6,55.8,36.9,27.5,20.1,57.9,52.2,43.6,51.3,50.9,47.8,35.3,35.7,45.8,22.2,21.3,48.9,35.0,,20.1,22.0,35.2,48.4,52.9,57.9,42.6
10-20,47.8,44.5,56.8,36.7,27.8,20.4,57.4,52.1,43.4,51.2,50.4,49.0,34.8,35.9,45.8,22.2,21.3,49.3,34.8,,20.4,22.0,35.3,49.2,53.0,57.4,44.5
10-21,75.9,44.2,56.9,36.3,28.1,19.9,57.0,51.6,42.7,51.1,50.1,50.7,34.4,35.6,46.0,21.9,21.2,49.2,34.5,,19.9,21.8,35.0,50.5,56.9,75.9,44.2
10-22,73.4,43.9,56.5,36.0,28.0,20.8,57.7,51.4,42.7,51.0,49.8,51.7,34.0,34.9,48.7,21.8,21.0,49.4,34.3,,20.8,21.6,34.6,50.5,56.8,73.4,43.9
10-23,71.0,43.6,56.1,35.7,27.3,20.4,58.3,51.4,42.4,50.9,49.2,50.9,34.1,35.0,56.7,21.7,21.0,49.3,34.7,,20.4,21.6,34.9,50.9,57.0,71.0,43.6
10-24,69.9,43.1,55.7,35.5,27.0,20.2,59.8,50.9,42.1,50.5,48.6,49.9,33.8,35.1,56.2,21.8,20.7,49.0,37.2,,20.2,21.6,35.2,50.3,57.0,69.9,43.1
10-25,69.1,42.6,55.5,35.6,27.2,20.2,59.5,50.7,41.4,50.6,47.2,48.9,37.5,35.0,55.6,21.5,20.6,48.9,37.2,,20.2,21.3,36.2,50.0,56.4,69.1,42.6
10-26,68.6,42.1,55.4,35.3,26.9,20.1,59.2,50.2,40.9,50.7,48.2,48.4,37.6,35.0,55.2,21.7,20.3,51.5,40.6,,20.1,21.4,36.2,50.5,56.1,68.6,42.1
10-27,68.2,42.1,54.8,34.8,27.0,19.7,58.6,50.0,40.4,50.4,47.7,48.1,37.4,34.9,54.8,21.7,19.5,53.4,42.0,,19.5,21.3,35.9,50.2,55.5,68.2,42.1
10-28,69.8,41.7,54.6,34.9,26.9,19.7,58.2,49.6,40.2,50.4,47.2,47.5,37.2,34.5,55.2,21.2,19.1,54.6,41.5,,19.1,20.9,35.8,50.1,55.8,69.8,41.7
10-29,69.5,46.5,54.3,34.4,27.1,20.3,57.4,49.2,40.0,49.9,47.0,46.9,37.2,34.6,55.4,21.0,19.2,56.1,41.6,,19.2,20.8,35.6,49.6,56.4,69.5,46.5
10-30,68.9,47.6,53.9,34.3,27.0,18.6,57.1,48.7,39.9,49.8,46.5,47.6,37.2,34.6,55.1,20.8,19.2,56.2,41.4,,18.6,20.4,35.7,49.4,56.3,68.9,46.5
10-31,68.6,47.5,53.2,34.3,26.9,18.8,56.6,48.7,39.5,50.5,46.2,47.4,37.3,34.4,54.8,20.1,19.4,56.1,42.7,,18.8,20.0,35.6,49.8,56.2,68.6,46.2
11-01,68.1,47.0,52.7,33.8,26.8,18.7,56.5,48.4,39.5,51.1,46.0,47.2,36.7,34.5,54.0,20.0,19.2,55.8,42.9,,18.7,19.8,35.4,50.1,56.0,68.1,46.0
11-02,67.4,45.0,52.3,33.5,26.5,18.8,56.2,48.1,39.2,51.2,45.6,47.3,36.1,34.0,53.7,20.1,19.3,55.5,43.1,,18.8,20.0,34.8,50.0,55.6,67.4,45.0
11-03,66.8,46.6,51.8,33.2,28.1,19.1,55.9,47.8,39.3,51.4,45.0,47.0,35.8,34.2,53.4,20.4,19.5,55.5,43.1,,19.1,20.2,34.9,49.9,55.6,66.8,45.0
11-04,66.7,46.2,51.6,32.8,27.7,19.0,55.4,47.4,38.8,51.5,44.9,47.0,35.3,34.2,53.1,20.4,19.6,55.2,43.1,,19.0,20.2,34.6,49.8,55.2,66.7,44.9
11-05,66.4,45.8,51.7,32.7,27.8,21.7,55.1,47.2,38.4,51.6,46.0,46.6,35.4,34.0,52.7,20.5,19.6,54.6,43.4,,19.6,21.5,34.5,49.8,54.7,66.4,45.8
11-06,67.1,45.2,51.3,32.6,27.1,22.5,54.9,47.0,38.6,54.3,46.9,46.8,35.5,33.9,52.6,20.6,19.5,54.4,44.1,,19.5,22.1,34.5,49.5,54.5,67.1,45.2
11-07,67.5,44.8,51.0,32.5,27.0,22.7,54.5,46.7,38.2,54.7,46.9,46.5,35.5,33.6,52.0,20.5,19.8,53.9,46.0,,19.8,22.3,34.4,49.4,54.5,67.5,46.0
11-08,73.5,44.5,50.9,32.3,26.7,22.6,54.1,46.5,38.6,54.4,47.0,46.8,35.2,33.3,51.7,20.4,19.2,53.5,46.5,,19.2,22.2,34.0,49.3,54.1,73.5,46.5
11-09,73.6,44.2,50.7,31.9,27.1,22.4,53.4,46.6,38.0,58.0,46.5,46.8,34.7,32.7,51.1,20.5,18.9,53.3,52.7,,18.9,22.0,33.5,50.9,54.3,73.6,46.5
11-10,71.2,44.1,50.3,32.1,27.3,22.5,53.4,46.8,41.0,54.5,47.1,46.7,34.4,32.6,50.6,20.3,18.5,53.0,58.2,,18.5,22.0,33.4,50.5,55.3,71.2,46.7
11-11,69.9,44.1,49.6,32.0,27.1,22.7,53.4,46.7,41.4,54.6,47.1,46.7,34.4,32.7,49.6,20.5,19.5,52.6,58.0,,19.5,22.2,33.3,49.6,55.3,69.9,46.7
11-12,69.7,44.1,48.9,31.5,27.1,23.1,53.5,46.8,42.3,54.9,47.4,46.5,33.7,32.6,48.9,20.4,20.0,52.4,57.5,,20.0,22.6,33.1,48.9,55.4,69.7,46.5
11-13,69.0,44.8,48.7,31.7,30.8,22.9,53.2,46.6,42.5,54.7,47.0,46.9,33.8,32.7,47.5,20.3,20.3,52.0,57.0,,20.3,22.4,33.2,48.2,55.2,69.0,46.6
11-14,68.5,44.9,48.5,31.3,32.2,23.1,53.5,46.7,42.6,52.1,46.8,47.0,33.3,32.6,45.7,20.3,20.0,51.7,56.6,,20.0,22.5,32.9,47.9,54.1,68.5,45.7
11-15,68.1,44.9,48.3,30.9,31.9,22.7,53.6,48.0,42.8,52.0,46.9,46.8,33.4,32.5,45.0,20.4,19.9,51.4,56.4,,19.9,22.2,32.9,48.2,54.1,68.1,45.0
11-16,67.5,44.3,48.2,30.8,31.9,21.8,53.7,48.2,43.0,51.5,46.7,44.3,33.3,32.4,44.7,20.4,19.8,51.1,56.1,,19.8,21.6,32.8,48.2,54.1,67.5,44.3
11-17,67.0,44.0,47.7,30.6,31.5,22.9,53.6,48.0,43.3,51.6,46.3,47.1,32.9,32.3,44.7,20.6,21.0,50.8,55.6,,20.6,22.5,32.5,47.9,54.0,67.0,44.7
11-18,66.9,43.7,47.8,30.5,31.4,22.6,53.6,47.7,43.3,51.4,46.2,47.3,32.8,32.6,44.2,20.6,21.2,50.4,55.4,,20.6,22.3,32.7,47.7,53.9,66.9,44.2
11-19,66.5,43.2,47.4,30.5,31.4,22.4,53.4,47.9,43.7,51.4,46.2,47.7,32.6,32.1,43.2,20.3,21.8,50.1,54.9,,20.3,22.3,32.3,47.8,53.7,66.5,43.7
11-20,66.1,42.8,46.8,30.5,31.0,22.5,53.3,47.7,43.9,51.4,45.9,49.2,32.7,31.5,41.4,21.0,22.1,49.9,54.7,,21.0,22.4,32.0,48.6,53.6,66.1,43.9
11-21,65.6,41.5,46.3,29.6,29.2,22.7,53.8,47.6,43.9,51.3,45.8,49.8,33.0,31.0,40.0,29.1,21.8,49.5,54.3,,21.8,27.8,31.8,48.8,53.9,65.6,43.9
11-22,65.3,40.7,46.1,28.2,29.0,22.4,54.2,48.0,43.8,51.4,45.6,49.8,34.5,31.6,39.4,31.1,21.7,49.2,54.1,,21.7,27.1,32.7,48.7,54.1,65.3,43.8
11-23,65.2,40.6,45.8,28.0,28.9,22.8,55.0,48.2,43.5,51.4,45.3,49.6,35.2,31.7,39.7,30.8,21.4,48.6,53.8,,21.4,27.0,33.1,48.5,54.1,65.2,43.5
11-24,65.1,40.2,45.5,27.9,28.6,22.2,55.5,48.3,43.4,51.6,45.1,49.8,35.7,31.6,39.6,30.7,21.3,47.9,53.6,,21.3,26.8,33.2,48.1,53.9,65.1,43.4
11-25,65.5,40.0,44.8,27.6,28.5,22.4,55.8,48.3,43.3,51.6,44.2,49.9,35.5,31.7,39.7,29.9,21.3,47.0,53.2,,21.3,26.6,33.2,47.8,53.7,65.5,43.3
11-26,65.8,39.4,44.7,27.0,28.1,22.2,55.6,48.4,43.0,51.7,43.1,49.7,35.4,31.6,38.9,29.6,21.0,45.0,53.1,,21.0,26.0,33.1,47.0,53.6,65.8,43.0
11-27,65.9,39.4,44.1,26.7,28.0,22.2,55.8,48.1,42.9,52.0,42.7,49.6,35.1,31.8,38.3,29.5,20.9,44.2,52.8,,20.9,25.8,33.1,46.5,53.4,65.9,42.7
11-28,66.0,39.1,47.4,26.2,28.1,22.2,55.9,48.3,42.3,52.4,42.4,49.5,35.3,31.5,38.0,29.0,20.7,44.0,52.7,,20.7,25.4,33.0,47.9,53.3,66.0,42.3
11-29,65.5,39.0,44.1,26.3,27.8,22.1,56.0,47.9,42.4,52.8,42.5,49.5,35.7,32.4,38.2,28.9,20.4,43.9,52.0,,20.4,25.4,33.7,46.4,53.5,65.5,42.4
11-30,65.1,38.7,43.4,26.0,28.4,21.9,56.2,48.1,42.1,53.5,42.2,49.7,35.1,32.5,38.5,28.9,20.3,43.7,51.4,,20.3,25.2,33.6,46.3,54.0,65.1,42.1
12-01,64.9,38.6,43.0,26.2,28.9,22.0,56.2,47.9,42.7,53.9,42.3,49.3,34.9,32.2,39.2,28.9,20.1,43.6,51.2,,20.1,25.4,33.3,46.2,54.3,64.9,42.3
12-02,64.6,38.6,42.9,26.4,29.5,21.9,56.3,47.9,43.0,54.0,42.2,49.2,35.0,32.1,39.3,29.2,20.0,43.1,51.2,,20.0,25.5,33.3,46.0,54.4,64.6,42.2
12-03,64.2,38.7,42.7,26.1,29.8,22.0,56.5,47.6,43.3,54.0,41.7,49.2,35.2,32.2,39.6,29.3,19.8,42.9,51.2,,19.8,25.3,33.4,45.9,54.5,64.2,41.7
12-04,63.7,39.0,41.8,26.4,29.8,21.9,56.8,47.7,43.6,56.9,42.8,49.1,34.4,31.8,39.6,29.6,19.3,42.7,51.2,,19.3,25.5,32.9,46.1,56.8,63.7,41.8
12-05,63.6,38.9,40.9,26.5,29.7,21.3,56.9,47.8,43.6,54.0,44.4,48.8,34.6,30.9,39.4,30.8,19.4,42.0,51.2,,19.4,25.4,32.4,46.4,54.6,63.6,40.9
12-06,63.1,38.7,40.7,26.9,29.7,21.2,57.2,47.8,43.7,54.0,44.5,48.5,34.4,30.0,39.8,31.1,20.7,41.6,51.4,,20.7,25.7,32.4,46.5,54.7,63.1,40.7
12-07,63.1,38.5,40.8,28.1,28.8,20.4,58.3,47.7,43.6,53.8,44.7,48.2,34.6,29.5,39.8,31.2,19.3,41.1,51.9,,19.3,26.6,32.5,46.5,54.7,63.1,40.8
12-08,63.0,38.4,40.7,39.6,28.8,20.6,58.6,48.1,43.5,53.6,44.7,48.2,33.9,29.0,40.2,32.3,19.4,41.5,52.2,,19.4,27.1,35.7,46.7,54.6,63.0,40.7
12-09,62.9,38.0,40.2,39.5,28.8,21.0,58.7,48.0,43.0,53.6,44.5,48.6,33.2,28.7,40.4,34.4,19.1,41.5,52.3,,19.1,27.2,35.9,46.6,54.6,62.9,40.4
12-10,63.3,37.6,40.0,39.7,29.2,20.8,58.7,48.0,42.1,53.5,43.6,48.7,33.7,28.1,40.1,34.7,19.0,43.1,52.4,,19.0,26.6,35.9,46.2,54.6,63.3,40.1
12-11,63.6,37.4,39.6,39.6,29.1,21.0,59.6,48.2,41.1,53.6,43.2,48.9,33.6,27.5,40.1,35.1,19.3,43.1,52.6,,19.3,26.2,36.0,46.2,54.8,63.6,40.1
12-12,64.3,36.9,39.9,39.9,28.9,20.8,59.9,48.1,40.9,53.6,43.0,49.1,34.0,26.8,40.1,35.0,19.2,43.0,52.4,,19.2,25.6,35.8,46.1,54.8,64.3,40.1
12-13,64.7,36.3,39.9,39.9,29.0,20.8,60.3,47.9,40.6,53.3,43.1,49.2,34.3,26.7,39.9,35.3,19.1,42.9,52.3,,19.1,25.5,35.7,46.0,54.7,64.7,39.9
12-14,64.8,36.1,40.1,39.9,28.9,21.2,60.3,47.9,40.7,53.3,43.1,49.3,34.2,26.4,39.9,35.6,18.8,42.7,52.6,,18.8,25.3,35.8,46.0,54.7,64.8,40.1
12-15,64.7,35.4,39.8,39.8,28.5,21.2,60.2,47.9,40.7,53.1,43.6,49.2,34.5,26.1,39.7,36.2,19.0,44.1,52.5,,19.0,25.2,35.7,46.4,54.6,64.7,39.8
12-16,64.7,34.7,40.3,40.0,28.6,21.1,60.5,47.8,40.3,53.2,43.7,49.1,35.3,25.9,39.6,37.8,18.7,44.4,52.6,,18.7,24.9,36.3,46.4,54.7,64.7,40.3
12-17,64.3,33.1,40.6,39.8,28.9,21.2,60.2,47.8,40.3,53.2,43.6,49.6,45.3,25.9,39.6,38.0,18.8,44.5,52.8,,18.8,25.0,38.6,46.8,54.6,64.3,40.6
12-18,63.6,32.4,40.4,39.9,28.7,21.0,60.0,47.9,40.4,53.2,43.7,49.7,44.8,25.8,39.2,37.9,18.7,44.5,52.6,,18.7,24.9,38.4,46.6,54.5,63.6,40.4
12-19,63.1,32.5,40.7,40.2,29.2,21.1,64.5,47.7,41.1,53.2,43.8,49.7,44.0,25.3,39.3,37.4,18.9,44.6,52.7,,18.9,24.4,38.2,46.5,55.2,64.5,41.1
12-20,63.0,32.7,40.8,40.1,28.9,21.3,71.9,47.9,42.1,53.3,43.8,49.8,43.7,25.2,39.0,37.2,18.7,44.7,52.4,,18.7,24.4,37.9,46.6,55.2,71.9,42.1
12-21,62.8,33.0,40.9,41.5,29.1,21.2,76.0,48.3,42.1,53.5,43.7,49.7,43.0,25.3,39.4,37.3,18.7,44.7,52.2,,18.7,24.5,38.1,46.8,55.3,76.0,42.1
12-22,62.5,33.5,40.8,41.8,29.0,21.4,72.9,48.1,42.4,53.6,43.9,49.8,42.9,25.3,39.0,37.0,18.7,44.9,52.3,,18.7,24.5,37.8,46.8,55.4,72.9,42.4
12-23,62.3,33.6,41.0,41.6,30.1,21.6,72.5,48.1,42.4,53.4,44.4,49.8,43.0,25.4,39.1,37.1,18.9,44.9,52.3,,18.9,24.6,37.9,46.8,55.2,72.5,42.4
12-24,61.8,34.1,40.6,41.7,29.2,21.4,71.8,48.1,42.6,53.5,45.7,49.7,43.0,25.5,39.1,37.2,18.7,46.2,52.4,,18.7,24.7,37.9,47.4,55.1,71.8,42.6
12-25,60.3,34.4,41.0,41.5,29.6,21.6,71.5,48.0,42.3,53.4,45.8,50.2,43.5,25.6,39.0,37.5,18.2,46.5,52.4,,18.2,24.8,38.1,47.4,54.8,71.5,42.3
12-26,60.0,35.1,41.1,41.7,29.2,21.5,70.8,47.9,42.5,53.5,46.0,50.1,43.4,25.9,39.0,37.9,18.0,46.5,52.7,,18.0,25.1,38.3,47.4,54.8,70.8,42.5
12-27,60.0,35.5,41.2,41.5,29.3,21.6,70.4,47.7,42.7,54.0,45.9,50.3,43.5,25.7,39.2,38.1,18.1,47.0,52.8,,18.1,24.9,38.5,47.4,55.2,70.4,42.7
12-28,59.8,35.7,41.3,41.1,29.8,22.0,69.8,47.6,42.7,54.0,46.1,50.3,43.7,25.5,39.3,38.1,18.1,47.6,53.2,,18.1,24.8,38.6,47.6,55.1,69.8,42.7
12-29,59.9,36.3,41.6,41.3,29.9,21.5,69.2,47.4,42.6,54.1,45.5,50.3,44.0,25.5,39.2,38.2,18.0,47.8,53.8,,18.0,24.7,38.6,47.6,55.2,69.2,42.6
12-30,62.7,36.7,41.3,40.9,30.1,21.9,68.7,47.6,42.7,54.1,45.1,50.4,44.2,25.6,39.1,38.1,18.2,48.1,53.8,,18.2,24.8,38.5,47.9,55.8,68.7,42.7
12-31,63.2,36.5,42.1,41.2,30.4,21.8,68.3,48.8,42.8,54.0,44.8,50.1,44.2,25.5,39.0,38.1,18.3,48.2,55.2,,18.3,24.8,38.4,48.5,56.8,68.3,42.8
01-01,63.4,36.8,41.3,41.0,30.2,22.0,67.9,48.9,42.8,53.8,44.5,50.3,44.4,25.5,39.0,38.4,18.3,48.5,55.2,,18.3,24.8,38.6,48.8,56.9,67.9,42.8
01-02,63.4,36.9,41.2,41.1,30.7,21.7,67.5,49.1,42.9,54.0,44.4,50.6,44.6,25.2,38.9,38.5,18.6,48.9,57.3,,18.6,24.5,38.6,49.0,58.5,67.5,42.9
01-03,63.3,38.3,40.7,40.9,30.8,22.1,67.1,49.3,42.9,53.9,44.2,50.4,44.7,25.2,37.7,38.4,18.5,48.9,57.1,,18.5,24.6,38.3,49.2,58.3,67.1,42.9
01-04,63.2,38.4,40.8,40.9,30.6,22.2,66.7,48.9,42.5,53.7,44.2,50.2,44.5,25.3,37.3,38.1,18.8,49.1,57.2,,18.8,24.7,38.3,49.0,58.4,66.7,42.5
01-05,63.1,38.3,41.0,40.9,31.2,22.3,66.3,48.8,42.8,53.3,44.2,50.1,44.9,25.0,37.4,38.3,19.2,49.4,57.3,,19.2,24.4,38.3,49.2,58.5,66.3,42.8
01-06,63.2,38.3,41.5,40.6,31.3,22.7,66.1,48.7,42.5,52.8,44.2,50.2,45.0,25.2,37.3,38.7,19.3,49.5,58.1,,19.3,24.7,38.4,49.2,59.1,66.1,42.5
01-07,63.0,38.4,41.5,40.7,31.3,23.0,65.9,48.4,42.7,52.4,46.0,50.4,45.2,25.5,37.6,38.6,19.3,49.9,58.6,,19.3,25.0,38.5,49.3,59.5,65.9,42.7
01-08,63.0,38.5,41.1,41.0,31.1,22.9,65.6,48.4,42.5,52.1,46.1,50.7,44.9,25.6,37.5,38.9,19.2,50.3,59.0,,19.2,25.1,38.6,49.6,59.8,65.6,42.5
01-09,65.0,38.4,41.2,41.1,31.3,23.2,65.4,48.4,42.6,52.0,46.3,50.8,45.3,25.6,37.7,38.5,18.9,51.0,59.1,,18.9,25.1,38.5,49.8,60.3,65.4,42.6
01-10,70.8,38.0,41.4,41.2,31.8,23.5,65.3,48.0,42.6,51.8,47.8,51.1,46.1,28.8,38.1,38.6,18.9,51.6,59.9,,18.9,27.8,38.3,49.9,61.0,70.8,42.6
01-11,71.1,37.7,41.5,41.3,31.7,23.6,65.5,47.9,42.7,51.7,48.2,51.1,46.2,29.5,38.7,38.8,18.6,51.9,59.9,,18.6,28.3,38.7,50.0,61.0,71.1,42.7
01-12,71.6,37.8,41.6,41.1,31.9,23.6,65.6,48.0,42.6,51.9,49.3,51.0,46.4,29.7,38.9,38.6,18.5,52.1,59.9,,18.5,28.5,38.7,50.4,61.1,71.6,42.6
01-13,70.9,37.8,41.8,41.0,32.0,23.8,66.1,47.5,42.6,52.5,50.5,51.1,46.4,31.1,39.0,38.8,18.6,52.3,60.0,,18.6,29.7,38.9,50.9,61.2,70.9,42.6
01-14,70.5,37.5,42.0,41.0,32.0,23.9,65.6,47.0,42.6,52.8,50.9,51.1,46.3,30.8,39.0,38.9,18.6,52.5,60.1,,18.6,29.4,38.9,51.0,61.2,70.5,42.6
01-15,69.4,37.8,41.8,41.1,32.1,24.0,65.5,46.7,42.7,52.8,51.1,51.4,46.3,30.8,39.2,38.7,18.9,52.4,60.3,,18.9,29.5,38.9,51.3,61.4,69.4,42.7
01-16,68.4,37.8,41.5,40.8,32.0,24.3,65.4,46.6,42.5,52.7,51.5,51.5,46.5,30.8,39.0,38.7,18.8,52.8,60.4,,18.8,29.5,38.8,51.5,61.4,68.4,42.5
01-17,68.0,37.6,41.4,41.3,32.5,24.6,65.5,46.2,42.6,52.4,51.2,51.4,46.4,30.6,40.5,36.5,19.1,52.9,60.6,,19.1,29.4,38.8,51.3,61.5,68.0,42.6
01-18,68.0,37.4,40.9,41.2,32.8,24.2,66.4,45.6,42.2,52.4,50.7,51.3,46.4,30.4,44.7,38.5,19.0,52.7,60.6,,19.0,29.2,39.5,51.1,61.8,68.0,44.7
01-19,68.1,37.1,40.6,41.7,33.2,24.5,66.7,45.1,42.3,52.2,51.2,51.5,46.5,30.3,43.7,38.5,19.1,52.7,60.7,,19.1,29.1,39.3,51.4,61.9,68.1,43.7
01-20,68.1,37.2,40.2,41.5,33.7,24.8,66.5,45.2,42.0,52.2,51.2,51.8,46.8,30.1,43.8,38.5,19.0,52.7,60.7,,19.0,29.1,39.2,51.6,61.8,68.1,43.8
