date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,13.8,17.4,30.7,26.5,17.1,19.6,16.1,18.9,27.6,51.5,51.1,25.2,32.8,39.8,21.3,23.4,17.9,28.9,29.9,22.9,13.8,16.9,19.1,29.5,42.1,51.5,25.2
10-02,13.3,17.8,31.3,27.7,17.3,19.0,16.4,18.8,27.4,51.0,56.1,25.2,33.4,40.9,21.5,23.3,17.9,28.5,29.8,20.9,13.3,17.1,18.9,29.3,42.9,56.1,25.2
10-03,13.4,14.5,31.1,27.4,17.5,19.2,16.9,18.4,27.5,51.6,56.6,24.8,33.7,41.5,22.0,22.5,18.3,28.6,29.0,19.7,13.4,16.4,18.7,28.9,43.5,56.6,24.8
10-04,13.4,14.5,32.7,27.9,17.4,19.6,16.3,18.8,27.5,51.1,56.5,24.4,33.7,41.2,22.9,23.0,17.9,28.6,28.5,19.6,13.4,15.9,19.1,28.6,43.1,56.5,24.4
10-05,13.3,13.6,34.5,28.2,16.9,20.0,16.0,18.5,27.5,50.6,57.0,24.2,33.6,40.9,31.1,22.1,17.7,28.4,29.7,19.6,13.3,15.5,19.1,30.6,42.9,57.0,27.5
10-06,13.1,16.5,37.7,31.4,16.9,20.1,15.7,23.4,27.0,51.4,57.4,24.1,33.2,40.5,46.3,22.3,18.2,27.9,28.5,19.9,13.1,16.3,21.0,32.5,47.3,57.4,27.0
10-07,12.8,16.7,43.8,34.8,16.4,20.8,15.5,26.2,27.0,52.0,56.9,24.1,33.0,40.0,45.4,21.9,17.6,28.1,28.3,19.9,12.8,16.2,21.2,34.1,46.7,56.9,27.0
10-08,13.4,18.6,44.0,35.4,16.5,21.0,15.7,26.8,26.4,52.0,56.8,23.9,33.2,39.8,57.5,21.7,17.4,28.0,28.3,22.1,13.4,16.3,21.2,34.5,53.0,57.5,26.8
10-09,13.4,19.0,49.3,36.3,16.5,21.1,15.4,28.2,26.6,50.2,56.7,24.0,33.0,39.2,61.5,21.6,18.0,27.7,27.9,23.3,13.4,16.3,21.3,35.0,51.5,61.5,27.7
10-10,13.5,20.0,52.1,36.0,16.2,21.3,15.5,32.4,26.2,52.0,55.9,24.3,33.6,39.0,61.7,21.8,17.9,33.4,27.4,24.3,13.5,16.1,21.5,35.0,52.8,61.7,27.4
10-11,13.4,19.7,56.0,36.2,16.0,21.9,15.4,43.9,26.0,52.0,56.1,24.4,33.2,38.8,61.6,21.0,17.6,37.7,27.0,25.6,13.4,15.9,21.3,38.4,56.0,61.6,27.0
10-12,13.5,20.6,56.5,36.6,15.9,21.3,15.5,44.4,26.7,52.8,55.6,24.0,33.3,38.3,65.6,20.6,17.9,44.8,27.6,26.6,13.5,15.8,20.9,41.9,55.8,65.6,27.6
10-13,13.0,21.3,56.4,37.1,15.2,21.3,15.1,44.3,26.6,53.2,54.6,23.9,33.1,38.0,66.0,20.5,17.0,48.1,26.9,35.9,13.0,15.2,21.3,41.8,55.0,66.0,26.9
10-14,13.0,21.0,56.0,37.5,15.4,21.9,15.3,42.6,26.5,54.7,54.6,24.3,33.4,37.4,69.6,20.9,17.5,46.9,27.0,35.7,13.0,15.3,21.3,40.5,54.9,69.6,27.0
10-15,13.2,21.3,55.9,38.2,14.8,25.2,15.3,42.8,26.2,56.0,54.5,24.0,33.4,37.4,68.5,20.8,17.4,47.3,26.5,36.0,13.2,15.2,22.4,41.0,55.9,68.5,26.5
10-16,13.5,21.4,56.0,38.7,15.8,34.0,16.1,42.7,26.4,56.2,54.3,23.8,33.4,36.8,67.6,20.9,17.3,49.1,26.3,,13.5,16.0,22.4,41.1,56.0,67.6,33.4
10-17,12.8,21.6,59.0,38.6,16.0,33.3,16.0,42.2,27.7,56.6,54.0,23.8,33.3,37.1,67.0,20.9,16.9,51.8,26.1,,12.8,16.0,22.5,40.8,57.1,67.0,33.3
10-18,12.3,21.9,60.6,38.9,16.5,33.6,16.6,42.4,25.8,56.8,53.6,23.7,36.9,36.9,66.9,21.3,17.0,52.4,26.1,,12.3,16.6,22.6,41.0,57.5,66.9,33.6
10-19,12.5,21.8,62.9,39.9,16.2,32.5,16.2,42.5,25.4,56.6,53.3,23.7,33.8,36.7,67.0,21.1,17.2,54.7,25.8,,12.5,16.2,22.6,41.5,57.8,67.0,32.5
10-20,12.5,22.2,64.5,44.0,16.4,31.8,16.1,41.9,25.7,56.1,53.4,23.9,33.6,36.5,67.5,20.8,16.6,55.5,25.8,,12.5,16.3,22.9,43.2,57.8,67.5,31.8
10-21,32.0,22.4,66.2,44.9,16.1,32.0,16.1,41.0,25.7,57.1,52.9,23.2,33.5,36.1,67.7,20.3,16.9,57.9,25.7,,16.1,16.7,24.2,43.3,59.6,67.7,32.0
10-22,39.4,23.2,65.0,46.0,15.9,31.7,16.6,40.9,25.5,57.1,52.4,23.5,33.6,35.5,67.5,20.3,17.1,62.9,25.7,,15.9,17.0,24.3,44.0,63.3,67.5,33.6
10-23,38.9,23.6,65.1,48.4,16.2,31.8,16.7,40.9,26.1,57.1,52.2,23.5,33.6,35.7,67.4,26.0,16.8,64.3,25.2,,16.2,16.8,25.5,45.4,64.5,67.4,33.6
10-24,42.0,21.1,64.3,50.6,15.8,31.4,16.5,40.3,25.4,57.6,51.9,23.4,34.2,34.9,66.7,28.5,16.1,67.0,24.7,,15.8,16.4,25.0,47.1,64.8,67.0,34.2
10-25,46.2,23.7,65.0,53.2,16.4,31.0,38.4,40.2,25.7,56.8,51.9,22.9,34.5,35.7,66.7,27.9,16.4,67.4,24.6,,16.4,21.6,26.6,49.7,65.3,67.4,35.7
10-26,49.7,23.7,64.2,54.9,16.0,31.2,40.5,40.9,25.3,58.0,51.8,22.9,35.6,35.1,65.9,28.1,16.3,69.3,24.5,,16.0,21.6,26.4,51.0,64.5,69.3,35.6
10-27,51.7,23.0,63.3,55.6,16.2,31.4,42.7,39.6,25.1,57.5,51.5,23.0,34.9,35.0,65.5,27.7,15.7,70.0,24.1,,15.7,21.7,26.1,51.6,63.8,70.0,35.0
10-28,56.5,23.1,64.0,55.5,15.9,30.5,44.5,39.1,24.9,57.0,50.9,23.0,35.4,34.8,65.5,27.4,15.4,70.0,24.3,,15.4,21.6,25.9,53.7,64.3,70.0,35.4
10-29,58.3,28.5,65.7,56.5,16.3,30.4,45.6,39.0,25.8,57.2,50.1,22.8,36.4,35.0,65.0,27.6,15.2,71.4,24.3,,15.2,21.5,28.0,53.9,65.1,71.4,36.4
10-30,59.3,30.3,66.4,56.1,16.3,30.5,47.1,38.7,25.2,56.9,50.2,22.8,38.2,34.7,65.0,27.1,15.8,71.1,24.5,,15.8,21.5,28.4,53.7,65.3,71.1,38.2
10-31,59.2,32.5,65.0,56.8,16.2,30.5,49.0,38.6,25.5,57.2,50.4,22.5,38.6,35.0,64.2,27.5,15.9,70.8,24.9,,15.9,21.2,28.7,54.2,64.4,70.8,38.6
11-01,59.3,32.2,63.2,56.4,16.6,32.1,51.9,38.5,25.6,57.0,50.2,23.2,49.0,34.1,63.3,27.4,15.7,70.0,26.1,,15.7,21.9,29.3,54.6,63.2,70.0,38.5
11-02,59.2,34.2,62.5,56.1,16.7,32.7,54.1,38.1,25.7,57.6,49.5,23.0,48.5,34.4,63.0,26.8,15.3,69.7,27.1,,15.3,21.8,29.3,55.3,62.6,69.7,38.1
11-03,59.2,36.5,61.7,55.5,15.6,32.2,56.1,38.1,26.1,57.9,49.7,23.0,47.8,33.9,64.1,26.9,15.5,69.7,28.3,,15.5,21.5,29.9,55.8,62.2,69.7,38.1
11-04,58.6,37.3,61.8,54.7,19.3,32.7,57.9,37.4,25.8,57.9,49.3,23.3,47.4,34.3,64.3,26.9,16.0,69.1,28.8,,16.0,22.5,30.3,56.6,62.3,69.1,37.4
11-05,58.8,37.1,60.7,54.0,22.2,33.3,62.8,37.3,25.9,58.5,48.5,22.8,47.3,33.8,64.4,27.8,16.2,68.7,30.0,,16.2,22.7,31.3,56.7,63.1,68.7,37.3
11-06,59.2,36.9,60.0,53.4,24.1,33.7,63.8,37.3,26.0,58.0,48.7,22.5,47.5,33.6,63.9,29.7,16.3,68.2,30.5,,16.3,23.8,31.7,56.1,63.8,68.2,37.3
11-07,59.2,37.4,59.7,53.1,26.7,34.1,63.5,37.4,26.0,57.6,49.0,22.5,46.9,33.4,63.6,30.5,16.2,67.9,32.3,,16.2,25.3,32.8,55.8,63.5,67.9,37.4
11-08,59.9,37.9,60.2,52.8,28.4,33.6,63.2,36.9,26.3,58.3,48.5,22.5,47.2,33.2,63.0,30.6,16.0,67.2,33.5,,16.0,25.5,33.3,56.1,63.0,67.2,37.9
11-09,63.3,40.6,59.5,51.5,29.2,33.5,65.7,37.4,25.9,57.9,48.8,22.7,47.2,33.0,62.4,30.5,15.6,66.6,35.0,,15.6,25.3,33.2,55.3,63.8,66.6,40.6
11-10,64.9,41.1,59.5,51.3,30.3,33.1,64.7,37.3,27.4,58.0,48.6,22.2,46.9,32.8,61.9,30.3,15.4,67.9,36.4,,15.4,26.4,32.9,55.3,64.8,67.9,41.1
11-11,66.7,41.2,59.7,52.3,30.7,33.1,65.1,37.4,27.7,59.0,47.9,22.3,47.2,32.9,61.0,30.2,15.7,68.9,37.4,,15.7,26.6,33.0,56.3,65.4,68.9,41.2
11-12,68.9,45.1,59.4,51.3,30.9,32.5,64.7,36.7,28.2,58.8,48.2,22.8,46.7,33.0,60.0,29.9,15.7,69.1,38.6,,15.7,27.1,32.7,55.8,65.5,69.1,45.1
11-13,69.2,49.2,58.5,50.2,30.7,32.6,69.3,36.8,28.5,59.0,47.7,22.3,46.7,32.7,59.3,29.3,15.6,71.1,39.0,,15.6,27.2,32.6,55.2,69.2,71.1,46.7
11-14,69.3,49.2,57.9,50.5,32.0,32.8,63.6,36.8,29.0,58.8,47.6,22.5,46.0,32.6,58.0,29.3,15.4,71.6,39.4,,15.4,27.7,32.7,54.9,64.7,71.6,46.0
11-15,69.3,50.0,57.2,51.0,31.9,32.5,63.7,37.1,28.8,59.0,47.3,22.2,46.3,32.7,57.3,29.2,15.8,71.5,39.2,,15.8,27.4,32.6,54.7,64.8,71.5,46.3
11-16,68.3,50.3,57.6,50.4,32.8,31.9,63.9,36.9,29.1,58.4,47.1,22.5,45.7,32.3,55.4,29.2,15.2,71.7,39.6,,15.2,27.8,32.5,53.4,64.8,71.7,45.7
11-17,68.5,50.3,57.9,49.5,33.0,32.3,64.1,36.6,28.8,57.9,46.8,22.3,46.1,32.4,54.3,29.5,15.1,71.4,39.4,,15.1,27.5,32.6,52.7,65.0,71.4,46.1
