date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,27.3,44.1,36.5,26.2,27.3,25.0,34.6,31.1,52.3,66.4,38.3,53.4,50.9,24.3,37.6,23.7,36.3,39.4,42.0,23.7,24.8,27.7,39.3,52.6,66.4,36.4
10-02,27.0,44.0,38.1,25.8,27.0,25.0,34.5,30.8,51.9,66.9,37.9,53.3,50.9,24.3,37.2,23.7,36.3,39.2,42.4,23.7,24.8,27.4,39.1,52.3,66.9,36.7
10-03,26.8,45.5,38.0,25.6,27.5,24.9,34.2,30.8,51.4,66.1,37.9,53.3,50.8,27.8,36.9,23.6,36.1,39.3,45.0,23.6,25.4,28.1,39.1,51.9,66.1,36.5
10-04,25.9,45.5,38.4,25.5,28.3,24.8,34.1,30.5,51.5,65.3,38.4,53.6,50.9,29.5,36.8,23.5,36.0,39.0,46.6,23.5,25.3,29.6,39.0,52.1,65.3,36.4
10-05,26.6,47.5,38.4,29.2,29.2,25.9,35.5,30.2,51.2,64.8,38.5,53.9,51.4,36.7,36.6,23.5,35.9,38.9,47.9,23.5,26.4,30.7,38.8,52.2,64.8,36.7
10-06,26.8,50.0,41.5,32.2,29.7,33.8,38.9,29.9,51.6,64.2,40.3,53.7,50.9,40.0,36.5,23.3,36.1,38.6,48.1,23.3,28.8,34.0,41.4,52.2,64.2,38.8
10-07,27.6,59.8,42.0,32.6,30.2,37.4,40.5,29.4,52.4,63.7,40.9,53.5,50.8,41.8,36.2,23.1,37.4,38.4,48.2,23.1,28.9,36.3,42.0,55.4,63.7,39.4
10-08,28.7,59.4,43.1,32.5,30.7,38.0,41.8,29.1,52.7,63.1,40.7,53.2,50.2,44.5,36.0,23.0,38.1,38.4,47.9,23.0,29.0,36.2,44.3,55.1,63.1,39.6
10-09,29.0,59.0,45.8,32.8,30.9,39.2,43.2,29.0,52.0,62.7,40.6,53.0,49.8,46.2,35.9,23.1,44.4,38.1,47.3,23.1,29.0,36.1,46.2,54.8,62.7,41.9
10-10,29.1,59.7,47.7,32.0,31.1,39.5,45.4,28.9,52.1,62.3,40.4,52.7,49.6,47.4,35.9,23.1,46.5,37.8,47.5,23.1,29.0,36.0,47.7,54.8,62.3,42.9
10-11,28.9,60.7,47.6,32.0,31.6,39.6,49.1,28.9,52.3,61.8,40.2,52.5,49.4,48.8,35.3,22.9,47.5,37.5,47.3,22.9,28.9,35.5,49.1,54.9,61.8,43.8
10-12,29.1,60.6,47.3,31.7,32.0,39.6,52.8,29.0,53.7,61.0,39.9,52.3,49.3,50.4,34.9,23.3,48.0,37.3,47.3,23.3,29.1,35.1,50.3,55.7,61.0,43.6
10-13,29.1,59.5,46.8,31.2,32.7,39.2,53.9,30.1,54.2,60.6,39.5,51.8,49.4,51.9,34.7,23.2,49.2,37.0,47.9,23.2,29.8,34.9,51.6,55.8,60.6,43.2
10-14,28.9,58.9,46.8,31.3,34.7,38.7,54.9,32.0,55.1,60.3,39.2,51.5,48.7,52.9,34.6,23.4,50.2,36.8,48.7,23.4,30.5,34.9,51.4,56.2,60.3,43.0
10-15,28.9,60.5,46.8,32.4,39.4,38.5,56.0,32.4,55.8,60.1,39.1,51.4,48.5,52.4,34.7,23.7,50.8,36.5,49.0,23.7,31.3,36.7,51.3,57.2,60.5,43.1
10-16,29.1,60.5,46.5,33.0,39.9,38.3,56.0,32.3,56.1,59.7,38.8,51.5,48.3,52.0,34.7,23.4,51.8,36.3,,23.4,31.4,36.5,51.7,57.2,60.5,43.2
