date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,21.5,20.5,27.0,25.7,21.5,19.9,19.1,18.7,19.3,19.8,34.8,53.2,24.1,39.1,25.5,20.8,30.0,21.7,31.6,45.7,33.9,18.7,19.2,20.7,27.9,39.8,53.2,22.9
10-02,20.8,20.2,27.1,26.3,21.8,19.7,18.7,18.9,19.6,20.0,34.4,55.6,24.3,39.4,25.3,22.9,29.1,21.5,31.4,44.8,33.6,18.7,19.5,20.6,27.7,39.9,55.6,23.6
10-03,20.4,20.6,27.2,27.8,22.7,19.8,18.5,19.3,19.4,19.7,34.2,55.9,23.8,39.2,25.2,22.7,28.5,21.6,31.2,44.4,34.8,18.5,19.4,20.6,28.0,39.7,55.9,23.2
10-04,20.9,20.0,27.1,28.0,23.7,19.7,18.5,19.3,19.2,19.5,31.1,55.4,23.4,39.1,25.4,22.9,28.6,21.6,31.3,44.0,35.7,18.5,19.2,20.6,28.2,39.6,55.4,23.6
10-05,20.5,20.2,26.7,29.6,24.9,19.5,18.0,18.8,21.4,19.9,33.4,54.8,23.4,38.6,25.7,22.1,28.5,21.5,31.1,43.6,35.4,18.0,19.4,21.1,28.8,39.1,54.8,24.1
10-06,20.3,19.7,26.2,33.7,25.8,19.1,17.8,18.9,24.6,19.4,33.5,54.4,23.5,38.2,26.2,31.2,28.0,21.5,31.0,43.1,35.4,17.8,19.1,21.1,31.1,38.7,54.4,26.0
10-07,20.2,20.5,26.3,47.9,31.7,19.0,18.1,20.0,28.0,19.2,33.9,53.7,23.4,38.2,25.9,31.0,28.0,21.5,31.0,42.5,35.6,18.1,19.2,21.2,31.2,43.0,53.7,27.1
10-08,20.7,20.2,26.7,47.6,32.8,18.9,17.8,27.5,28.4,18.8,33.9,53.5,23.3,38.0,26.0,42.0,27.5,21.1,31.0,42.0,35.6,17.8,18.9,22.7,33.2,42.6,53.5,27.5
10-09,20.4,20.4,26.0,48.8,34.0,18.9,17.9,28.8,29.8,18.8,33.5,53.1,23.4,37.9,25.8,43.9,27.7,21.3,35.1,41.5,35.3,17.9,18.9,22.7,34.4,44.4,53.1,28.3
10-10,19.9,20.2,26.1,51.4,34.4,19.3,17.7,29.2,32.1,19.4,33.6,52.4,23.2,37.9,25.6,42.8,27.5,21.3,37.7,41.2,35.2,17.7,19.3,22.6,35.4,43.7,52.4,28.4
10-11,20.0,20.6,26.0,53.1,34.3,19.2,17.9,29.4,36.9,19.2,33.1,52.1,23.5,37.9,25.2,44.9,27.0,21.2,38.1,40.7,35.3,17.9,19.2,22.8,37.2,45.6,53.1,28.2
10-12,19.5,20.1,25.6,52.2,33.9,18.7,18.2,28.9,38.2,19.2,33.5,51.7,23.4,37.5,25.6,46.7,26.6,20.8,39.4,39.9,35.1,18.2,19.2,22.6,37.7,47.2,52.2,27.8
10-13,20.1,20.5,25.9,51.5,34.2,18.3,18.6,28.9,38.6,19.0,34.2,51.1,23.1,37.5,25.7,48.4,26.7,20.6,44.9,39.7,35.6,18.3,19.0,22.3,37.8,48.7,51.5,27.8
10-14,18.6,20.6,25.8,50.5,34.1,17.7,18.6,28.6,38.4,19.0,35.6,50.6,23.2,37.3,25.3,48.1,26.6,20.7,45.7,39.2,36.6,17.7,18.6,22.4,37.6,48.4,50.6,27.6
10-15,19.0,20.3,25.4,50.5,34.7,17.9,22.7,28.2,38.2,19.0,37.0,50.4,23.0,37.3,25.3,47.2,26.4,20.6,45.6,39.1,36.4,17.9,19.0,22.9,37.6,47.5,50.5,27.3
10-16,18.7,20.5,25.9,50.6,34.4,18.3,27.8,28.3,38.6,19.0,38.2,50.3,22.9,36.9,25.4,46.6,26.8,20.3,45.0,38.6,,18.3,19.0,24.6,38.3,47.0,50.6,28.1
10-17,19.0,20.2,26.0,53.3,34.0,18.6,28.5,27.9,38.4,19.1,39.5,49.9,22.8,36.7,25.0,46.8,26.6,20.4,45.2,38.5,,18.6,19.1,24.3,38.4,47.1,53.3,28.2
10-18,19.3,19.7,25.9,53.7,35.2,18.8,29.1,28.0,40.7,18.7,39.7,49.9,22.9,36.7,24.9,47.2,26.6,20.3,45.6,38.3,,18.7,19.2,24.3,38.7,47.5,53.7,28.6
10-19,19.2,19.9,25.7,53.8,35.4,19.0,28.7,28.1,42.4,18.7,36.6,49.6,22.7,36.7,25.1,48.0,26.5,20.3,47.8,38.0,,18.7,19.2,24.4,37.1,48.1,53.8,28.4
