date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Min,10%,30%,70%,90%,Max,Median (POR)
10-01,51.0,87.8,81.5,57.2,88.5,82.2,55.6,57.6,43.0,62.3,77.1,43.0,50.2,56.7,81.7,87.9,88.5,60.0
10-02,50.2,87.6,84.7,57.3,86.9,82.5,54.2,57.1,43.0,61.5,75.9,43.0,49.5,56.3,83.1,87.0,87.6,59.4
10-03,49.8,87.1,86.2,56.2,86.2,80.4,54.8,57.6,42.2,62.0,75.8,42.2,49.0,55.8,82.1,86.3,87.1,59.8
10-04,48.8,87.1,85.9,55.9,85.2,82.3,54.5,57.1,42.7,61.1,76.2,42.7,48.2,55.5,83.2,86.0,87.1,59.1
10-05,48.8,86.6,85.0,55.8,84.9,81.4,56.1,57.3,42.9,61.4,75.6,42.9,48.2,56.0,82.5,85.2,86.6,59.3
10-06,47.6,86.0,84.0,59.4,83.8,81.8,66.9,56.5,41.9,60.4,75.3,41.9,47.0,58.5,82.4,84.2,86.0,63.7
10-07,47.1,86.8,83.6,58.0,83.1,81.4,76.2,56.6,41.6,65.2,74.8,41.6,46.6,57.6,81.9,83.9,86.8,70.7
10-08,46.0,86.7,83.2,57.3,82.7,80.9,89.5,56.6,42.3,64.9,74.3,42.3,45.6,57.1,82.8,87.0,89.5,72.9
10-09,46.1,86.6,83.2,57.0,82.4,80.4,91.7,57.1,41.7,70.7,73.6,41.7,45.7,57.0,82.6,87.1,91.7,75.5
10-10,45.9,86.1,82.8,56.9,82.7,80.2,92.3,56.8,43.2,70.3,73.1,43.2,45.6,56.8,82.7,86.8,92.3,75.2
10-11,45.8,85.9,82.0,56.4,82.4,79.4,93.0,55.3,42.7,69.9,72.2,42.7,45.5,56.0,82.1,86.6,93.0,74.7
10-12,45.5,90.6,79.9,56.9,81.3,79.0,93.1,54.5,41.3,68.2,71.1,41.3,45.1,56.2,80.3,90.9,93.1,73.6
10-13,43.7,90.5,79.1,55.5,81.8,79.3,92.9,54.2,40.9,67.4,70.8,40.9,43.4,55.2,80.1,90.8,92.9,73.2
10-14,67.3,90.7,78.3,55.3,81.5,79.3,93.1,55.6,42.1,87.8,69.9,42.1,54.0,63.8,83.4,90.9,93.1,78.8
10-15,66.4,91.5,78.7,56.8,81.2,78.8,92.4,54.8,41.9,90.9,69.2,41.9,53.5,63.5,84.1,91.6,92.4,78.8
10-16,64.7,92.4,78.8,56.3,81.1,78.2,91.8,55.4,41.3,91.3,68.5,41.3,54.0,62.2,84.1,91.8,92.4,78.5
10-17,63.0,93.4,78.3,55.9,80.8,78.7,90.0,55.6,40.0,91.8,67.6,40.0,54.0,60.9,83.6,91.9,93.4,78.5
10-18,61.1,93.3,77.6,55.3,80.5,78.2,89.9,55.4,41.2,91.9,68.1,41.2,53.9,59.4,83.3,92.0,93.3,77.9
10-19,60.8,92.9,77.7,55.3,80.0,78.0,90.5,55.6,40.4,91.7,67.4,40.4,53.8,59.2,83.2,91.8,92.9,77.9
10-20,59.8,92.6,77.1,55.4,79.6,79.2,91.3,54.6,40.8,91.6,67.1,40.8,53.3,58.5,83.1,91.7,92.6,78.1
10-21,59.1,92.5,77.0,56.1,78.8,78.8,92.3,54.0,41.1,91.3,66.2,41.1,52.7,58.2,82.6,92.3,92.5,77.9
10-22,58.2,92.2,76.3,62.7,79.6,77.1,92.9,53.2,40.5,91.6,65.6,40.5,51.9,61.4,83.2,92.3,92.9,76.7
10-23,58.7,92.1,76.1,65.0,79.2,77.5,93.0,53.9,40.5,91.5,65.1,40.5,52.5,63.1,82.9,92.2,93.0,76.8
10-24,57.3,92.4,76.3,66.3,78.8,77.2,92.9,53.4,39.9,90.6,64.5,39.9,52.0,63.6,82.3,92.4,92.9,76.8
10-25,57.8,92.3,76.2,65.1,80.6,77.9,92.7,53.1,40.1,91.4,63.8,40.1,51.8,62.9,83.9,92.4,92.7,77.0
10-26,57.0,92.7,75.6,64.5,81.0,77.7,91.5,53.8,39.0,91.3,68.6,39.0,52.4,62.2,84.1,91.7,92.7,76.7
10-27,57.1,93.0,75.4,67.8,80.1,77.2,92.1,53.6,38.5,91.9,73.8,38.5,52.1,64.6,83.6,92.2,93.0,76.3
10-28,56.5,93.1,74.7,66.6,79.2,76.5,92.7,53.6,37.7,91.5,74.9,37.7,52.0,63.5,82.9,92.8,93.1,75.6
10-29,56.8,92.3,74.3,64.6,79.4,77.0,91.8,52.3,38.5,92.1,75.3,38.5,50.9,62.2,83.1,92.1,92.3,75.7
10-30,56.6,91.9,74.2,64.2,79.0,76.9,90.9,52.8,38.9,91.9,75.2,38.9,51.4,62.0,82.6,91.9,91.9,75.5
10-31,56.8,91.6,73.5,64.4,79.7,77.7,90.0,52.3,37.3,91.8,75.7,37.3,50.8,62.1,82.8,91.6,91.8,75.6
11-01,56.3,91.3,73.9,66.0,81.8,77.5,89.1,51.4,37.3,91.7,75.9,37.3,50.0,63.1,84.0,91.4,91.7,75.7
11-02,55.3,91.8,73.7,67.4,81.4,76.9,88.6,51.6,37.8,91.6,76.0,37.8,50.2,63.8,83.5,91.6,91.8,75.3
11-03,55.6,91.8,74.5,67.6,82.0,75.9,88.6,51.8,38.9,91.1,76.0,38.9,50.5,64.0,83.9,91.1,91.8,75.2
11-04,55.6,92.2,74.1,68.1,80.8,77.4,88.1,52.1,38.4,90.7,76.6,38.4,50.7,64.4,83.0,90.8,92.2,75.7
11-05,56.2,91.8,73.9,67.4,80.8,75.9,87.9,50.9,38.6,91.0,76.1,38.6,49.6,64.1,82.9,91.1,91.8,74.9
11-06,55.3,91.9,73.3,66.9,80.3,76.2,87.5,51.9,38.1,90.6,76.9,38.1,50.5,63.4,82.4,90.7,91.9,74.7
11-07,54.6,91.6,73.2,66.0,79.6,75.8,87.1,51.9,39.3,91.0,77.3,39.3,50.7,62.6,81.8,91.1,91.6,74.5
11-08,55.2,91.6,73.0,65.6,79.9,75.6,87.1,51.2,38.8,90.3,76.9,38.8,50.0,62.5,82.1,90.5,91.6,74.3
